,,,,,,,,,,,,,,,,,,,,,,,,,,iShares New York Muni Bond ETF
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,449,651.05",0.27,"1,449,651.05","1,220,000.00",64971XNL8,US64971XNL81,-,118.16,United States,-,USD,10.2,2.84,1.0,"Nov 01, 2042",4.0,14.62,-,1.53,6.81,1.53,USD,"Dec 19, 2019","Dec 19, 2019"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,449,319.91",0.27,"1,449,319.91","1,200,000.00",59261AQG5,US59261AQG57,-,120.14,United States,-,USD,7.28,3.09,1.0,"Nov 15, 2034",5.0,9.77,-,1.66,5.55,1.66,USD,"Dec 14, 2017","Dec 14, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,448,592.54",0.26,"1,448,592.54","1,250,000.00",64971WPN4,US64971WPN47,-,115.05,United States,-,USD,3.21,0.99,1.0,"Nov 01, 2025",5.0,3.52,-,0.44,3.1,0.44,USD,"Mar 12, 2015","Mar 12, 2015"
NEW YORK ST TWY AUTH GEN REV,Transportation,Fixed Income,"1,441,132.75",0.26,"1,441,132.75","1,225,000.00",650009U76,US650009U769,-,115.64,United States,-,USD,10.74,3.1,1.0,"Jan 01, 2047",4.0,16.18,-,1.88,6.83,1.88,USD,"Mar 05, 2020","Mar 05, 2020"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,439,899.85",0.26,"1,439,899.85","1,120,000.00",64966QJW1,US64966QJW15,-,126.9,United States,-,USD,9.08,3.06,1.0,"Mar 01, 2040",5.0,12.53,-,1.49,6.84,1.49,USD,"Mar 24, 2020","Mar 24, 2020"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,422,905.94",0.26,"1,422,905.94","1,120,000.00",64971XHL5,US64971XHL55,-,124.96,United States,-,USD,7.43,2.78,1.0,"Aug 01, 2035",5.0,10.14,-,1.06,5.68,1.06,USD,"Sep 25, 2018","Sep 25, 2018"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,419,084.30",0.26,"1,419,084.30","1,325,000.00",650035G28,US650035G284,-,105.63,United States,-,USD,1.75,3.97,1.0,"Mar 15, 2028",5.0,5.26,-,0.32,1.17,0.32,USD,"Dec 19, 2013","Dec 19, 2013"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,402,679.89",0.26,"1,402,679.89","1,250,000.00",59261ATJ6,US59261ATJ69,-,111.7,United States,-,USD,9.21,3.23,1.0,"Nov 15, 2042",4.0,13.89,-,2.03,5.65,2.03,USD,"Dec 21, 2017","Dec 21, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,376,085.85",0.25,"1,376,085.85","1,285,000.00",64971QY64,US64971QY647,-,105.01,United States,-,USD,2.2,4.46,1.0,"Feb 01, 2034",5.0,8.92,-,0.37,1.05,0.37,USD,"Apr 18, 2013","Apr 18, 2013"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"1,372,058.65",0.25,"1,372,058.65","1,200,000.00",44420RBF6,US44420RBF64,-,112.83,United States,-,USD,8.56,3.19,1.0,"Feb 15, 2044",4.0,14.7,-,1.4,4.62,1.4,USD,"May 30, 2017","May 30, 2017"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"1,363,453.28",0.25,"1,363,453.28","1,250,000.00",91802RAH2,US91802RAH21,-,108.85,United States,-,USD,2.96,3.7,1.0,"Dec 15, 2029",5.0,6.59,-,0.45,1.88,0.45,USD,"Dec 18, 2013","Dec 18, 2013"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,334,848.35",0.24,"1,334,848.35","1,070,000.00",64972GSX3,US64972GSX33,-,124.53,United States,-,USD,9.67,3.59,1.0,"Jun 15, 2049",5.0,16.2,-,1.51,6.4,1.51,USD,"Apr 17, 2019","Apr 17, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,326,790.42",0.24,"1,326,790.42","1,000,000.00",64990FZR8,US64990FZR80,-,131.21,United States,-,USD,8.87,2.4,1.0,"Mar 15, 2036",5.0,10.65,-,1.38,7.61,1.38,USD,"Mar 25, 2021","Mar 25, 2021"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,323,385.42",0.24,"1,323,385.42","1,000,000.00",64990FYA6,US64990FYA64,-,130.87,United States,-,USD,7.96,1.92,1.0,"Mar 15, 2033",5.0,8.89,-,1.25,7.27,1.25,USD,"Oct 15, 2020","Oct 15, 2020"
ERIE CNTY NY INDL DEV AGY SCH,School Districts,Fixed Income,"1,308,243.53",0.24,"1,308,243.53","1,000,000.00",29509PLG2,US29509PLG27,-,127.74,United States,-,USD,6.2,1.06,1.0,"May 01, 2029",5.0,6.2,-,1.06,6.2,1.06,USD,"May 19, 2021","May 19, 2021"
TRIBOROUGH BRDG & TUNL AUTH N,Local Tax-Backed,Fixed Income,"1,307,047.79",0.24,"1,307,047.79","1,000,000.00",89602HBF3,US89602HBF38,-,130.07,United States,-,USD,11.09,3.38,1.0,"May 15, 2051",5.0,16.41,-,1.68,8.09,1.68,USD,"Sep 30, 2021","Sep 30, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,305,764.89",0.24,"1,305,764.89","1,150,000.00",64971WNA4,US64971WNA44,-,111.46,United States,-,USD,3.95,3.77,1.0,"Aug 01, 2033",5.0,8.76,-,0.53,2.41,0.53,USD,"Nov 13, 2014","Nov 13, 2014"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,304,711.83",0.24,"1,304,711.83","1,000,000.00",64971XTZ1,US64971XTZ14,-,129.64,United States,-,USD,9.08,2.64,1.0,"May 01, 2037",5.0,11.28,-,1.42,7.38,1.42,USD,"Sep 24, 2020","Sep 24, 2020"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,299,724.97",0.24,"1,299,724.97","1,000,000.00",73358WZ56,US73358WZ567,-,128.31,United States,-,USD,7.33,2.03,1.0,"Sep 01, 2032",5.0,8.51,-,1.13,6.51,1.13,USD,"Aug 16, 2019","Aug 16, 2019"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"1,297,465.73",0.24,"1,297,465.73","1,000,000.00",07133AHW5,US07133AHW53,-,128.91,United States,-,USD,8.83,2.83,1.0,"Nov 01, 2038",5.0,12.03,-,1.13,6.67,1.13,USD,"Aug 06, 2019","Aug 06, 2019"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,296,898.23",0.24,"1,296,898.23","1,000,000.00",73358W4H4,US73358W4H48,-,128.86,United States,-,USD,7.5,2.02,1.0,"Nov 01, 2032",5.0,8.67,-,1.14,6.67,1.14,USD,"Dec 03, 2019","Dec 03, 2019"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,296,072.57",0.24,"1,296,072.57","1,000,000.00",73358W2S2,US73358W2S21,-,127.94,United States,-,USD,7.53,2.26,1.0,"Sep 01, 2033",5.0,9.12,-,1.18,6.5,1.18,USD,"Aug 16, 2019","Aug 16, 2019"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"1,295,909.93",0.24,"1,295,909.93","1,000,000.00",07133AHY1,US07133AHY10,-,128.76,United States,-,USD,9.02,2.99,1.0,"Nov 01, 2040",5.0,12.97,-,1.15,6.67,1.15,USD,"Aug 06, 2019","Aug 06, 2019"
ONONDAGA CNTY N Y TR CULTURAL,Education,Fixed Income,"1,288,744.17",0.24,"1,288,744.17","1,000,000.00",68276FDL1,US68276FDL13,-,128.46,United States,-,USD,8.96,2.94,1.0,"Dec 01, 2039",5.0,12.58,-,1.22,6.75,1.22,USD,"Dec 19, 2019","Dec 19, 2019"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,287,986.69",0.24,"1,287,986.69","1,205,000.00",64972GBW3,US64972GBW33,-,106.66,United States,-,USD,2.83,4.3,1.0,"Jun 15, 2034",5.0,9.31,-,0.4,1.42,0.4,USD,"Mar 21, 2013","Mar 21, 2013"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,285,784.12",0.24,"1,285,784.12","1,000,000.00",650036CH7,US650036CH74,-,127.11,United States,-,USD,10.26,3.39,1.0,"Mar 15, 2047",5.0,15.23,-,1.64,7.23,1.64,USD,"Jul 23, 2020","Jul 23, 2020"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,285,187.63",0.23,"1,285,187.63","1,230,000.00",59259YQK8,US59259YQK81,-,103.85,United States,-,USD,1.07,3.92,1.0,"Nov 15, 2025",5.0,3.49,-,0.57,0.86,0.57,USD,"Aug 20, 2012","Aug 20, 2012"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"1,283,721.56",0.23,"1,283,721.56","1,000,000.00",95736VAJ1,US95736VAJ17,-,127.32,United States,-,USD,5.89,0.85,1.0,"Oct 15, 2028",5.0,5.89,-,0.85,5.89,0.85,USD,"Oct 28, 2020","Oct 28, 2020"
NEW YORK N Y CITY TR CULTURAL,Education,Fixed Income,"1,283,585.70",0.23,"1,283,585.70","1,000,000.00",649717UG8,US649717UG89,-,125.86,United States,-,USD,7.24,2.49,1.0,"Jan 01, 2034",5.0,9.22,-,1.14,5.97,1.14,USD,"Nov 15, 2018","Nov 15, 2018"
HEMPSTEAD TOWN N Y,Local Tax-Backed,Fixed Income,"1,282,296.43",0.23,"1,282,296.43","1,000,000.00",424672G64,US424672G644,-,125.9,United States,-,USD,5.58,0.87,1.0,"Jun 15, 2028",5.0,5.59,-,0.87,5.59,0.87,USD,"Jul 13, 2021","Jul 13, 2021"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"1,280,575.03",0.23,"1,280,575.03","1,000,000.00",07133AHK1,US07133AHK16,-,127.22,United States,-,USD,9.76,3.47,1.0,"Nov 01, 2049",5.0,15.74,-,1.33,6.66,1.33,USD,"Aug 06, 2019","Aug 06, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,280,121.82",0.23,"1,280,121.82","1,000,000.00",64990FKR4,US64990FKR46,-,126.54,United States,-,USD,7.46,2.47,1.0,"Mar 15, 2034",5.0,9.43,-,1.15,6.17,1.15,USD,"Jun 28, 2019","Jun 28, 2019"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,279,849.98",0.23,"1,279,849.98","1,125,000.00",64972GUL6,US64972GUL66,-,113.54,United States,-,USD,3.08,1.82,1.0,"Jun 15, 2026",5.0,4.03,-,0.39,2.79,0.39,USD,"Jul 17, 2019","Jul 17, 2019"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,279,621.03",0.23,"1,279,621.03","1,250,000.00",64972F7Q3,US64972F7Q30,-,102.15,United States,-,USD,1.83,4.85,1.0,"Jun 15, 2045",5.0,13.8,-,0.28,0.45,0.28,USD,"Jun 28, 2012","Jun 28, 2012"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"1,275,543.20",0.23,"1,275,543.20","1,120,000.00",794665FN4,US794665FN44,-,112.83,United States,-,USD,2.62,0.37,1.0,"Oct 15, 2024",5.0,2.62,-,0.37,2.62,0.37,USD,"Oct 15, 2014","Oct 15, 2014"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,274,674.29",0.23,"1,274,674.29","1,085,000.00",59261AD20,US59261AD200,-,116.97,United States,-,USD,10.74,2.94,1.0,"Nov 15, 2043",4.0,15.09,-,1.81,7.21,1.81,USD,"Jan 16, 2020","Jan 16, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,273,191.92",0.23,"1,273,191.92","1,000,000.00",64990FKU7,US64990FKU74,-,125.85,United States,-,USD,8.03,2.89,1.0,"Mar 15, 2037",5.0,11.07,-,1.24,6.17,1.24,USD,"Jun 28, 2019","Jun 28, 2019"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,270,087.12",0.23,"1,270,087.12","1,000,000.00",64972GXF6,US64972GXF61,-,126.79,United States,-,USD,10.45,3.5,1.0,"Jun 15, 2050",5.0,16.63,-,1.6,7.12,1.6,USD,"Jun 10, 2020","Jun 10, 2020"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,268,560.13",0.23,"1,268,560.13","1,000,000.00",64971XFR4,US64971XFR44,-,124.77,United States,-,USD,7.49,2.9,1.0,"Aug 01, 2036",5.0,10.67,-,1.09,5.68,1.09,USD,"Aug 10, 2018","Aug 10, 2018"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,268,538.22",0.23,"1,268,538.22","1,000,000.00",64990FKW3,US64990FKW31,-,125.38,United States,-,USD,8.45,3.09,1.0,"Mar 15, 2039",5.0,12.06,-,1.3,6.16,1.3,USD,"Jun 28, 2019","Jun 28, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,268,078.89",0.23,"1,268,078.89","1,000,000.00",64990FPD0,US64990FPD05,-,124.92,United States,-,USD,5.34,0.82,1.0,"Feb 15, 2028",5.0,5.34,-,0.82,5.34,0.82,USD,"Jan 03, 2020","Jan 03, 2020"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,267,805.87",0.23,"1,267,805.87","1,200,000.00",59259YE54,US59259YE541,-,105.01,United States,-,USD,3.57,4.62,1.0,"Nov 15, 2042",5.0,12.46,-,1.3,1.33,1.3,USD,"Jun 11, 2013","Jun 11, 2013"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,267,606.22",0.23,"1,267,606.22","1,000,000.00",64990FKX1,US64990FKX14,-,125.29,United States,-,USD,8.55,3.16,1.0,"Mar 15, 2040",5.0,12.53,-,1.31,6.16,1.31,USD,"Jun 28, 2019","Jun 28, 2019"
NASSAU CNTY N Y,Local Tax-Backed,Fixed Income,"1,264,413.60",0.23,"1,264,413.60","1,000,000.00",63165TG58,US63165TG580,-,123.94,United States,-,USD,6.87,2.58,1.0,"Jul 01, 2033",5.0,8.9,-,1.16,5.59,1.16,USD,"Dec 19, 2018","Dec 19, 2018"
NASSAU CNTY N Y,Local Tax-Backed,Fixed Income,"1,260,414.70",0.23,"1,260,414.70","1,000,000.00",63165TS71,US63165TS718,-,124.79,United States,-,USD,10.02,3.57,1.0,"Apr 01, 2049",5.0,15.29,-,1.76,6.9,1.76,USD,"Dec 05, 2019","Dec 05, 2019"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"1,256,765.11",0.23,"1,256,765.11","1,000,000.00",631663QW4,US631663QW46,-,125.17,United States,-,USD,8.5,1.48,1.0,"Nov 15, 2032",4.0,9.06,-,1.16,8.01,1.16,USD,"Feb 17, 2021","Feb 17, 2021"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"1,255,385.40",0.23,"1,255,385.40","1,000,000.00",64990C6Q9,US64990C6Q97,-,124.29,United States,-,USD,7.78,3.13,1.0,"Oct 01, 2038",5.0,11.83,-,0.98,5.46,0.98,USD,"May 16, 2018","May 16, 2018"
ALBANY CNTY N Y,Local Tax-Backed,Fixed Income,"1,254,659.95",0.23,"1,254,659.95","1,225,000.00",01212PBD7,US01212PBD78,-,101.17,United States,-,USD,0.25,0.31,1.0,"Apr 01, 2022",5.0,0.25,-,0.31,0.25,0.31,USD,"Apr 12, 2018","Apr 12, 2018"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"1,254,393.38",0.23,"1,254,393.38","1,000,000.00",65000BHH4,US65000BHH42,-,125.04,United States,-,USD,5.7,1.01,1.0,"Jul 01, 2028",5.0,5.7,-,1.01,5.7,1.01,USD,"Dec 02, 2021","Dec 02, 2021"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,253,408.45",0.23,"1,253,408.45","1,005,000.00",59261ANL7,US59261ANL79,-,124.08,United States,-,USD,5.96,1.32,1.0,"Nov 15, 2028",5.0,5.95,-,1.32,5.95,1.32,USD,"Sep 28, 2017","Sep 28, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,253,162.92",0.23,"1,253,162.92","1,085,000.00",64971XDT2,US64971XDT28,-,114.83,United States,-,USD,9.39,3.08,1.0,"May 01, 2044",4.0,15.2,-,1.53,5.64,1.53,USD,"May 30, 2018","May 30, 2018"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,252,905.65",0.23,"1,252,905.65","1,100,000.00",64966LMT5,US64966LMT51,-,111.82,United States,-,USD,2.58,1.59,1.0,"Aug 01, 2025",5.0,3.26,-,0.4,2.41,0.4,USD,"Jun 23, 2014","Jun 23, 2014"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"1,250,520.81",0.23,"1,250,520.81","1,000,000.00",631663QY0,US631663QY02,-,124.54,United States,-,USD,8.85,1.71,1.0,"Nov 15, 2033",4.0,9.73,-,1.22,8.01,1.22,USD,"Feb 17, 2021","Feb 17, 2021"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,247,472.33",0.23,"1,247,472.33","1,000,000.00",64966MPG8,US64966MPG86,-,122.66,United States,-,USD,5.21,1.39,1.0,"Aug 01, 2028",5.0,5.66,-,0.84,4.91,0.84,USD,"Aug 10, 2017","Aug 10, 2017"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"1,245,983.32",0.23,"1,245,983.32","1,000,000.00",64990AKA2,US64990AKA24,-,123.13,United States,-,USD,7.28,2.99,1.0,"Mar 15, 2036",5.0,10.49,-,1.13,5.41,1.13,USD,"Jul 19, 2018","Jul 19, 2018"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,240,587.92",0.23,"1,240,587.92","1,000,000.00",64986DHT5,US64986DHT54,-,123.84,United States,-,USD,8.36,3.42,1.0,"Jun 15, 2043",5.0,13.41,-,1.16,5.66,1.16,USD,"Nov 29, 2018","Nov 29, 2018"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,240,244.53",0.23,"1,240,244.53","1,000,000.00",59261AG50,US59261AG500,-,123.35,United States,-,USD,10.33,3.99,1.0,"Nov 15, 2055",5.25,16.95,-,2.18,6.94,2.18,USD,"May 14, 2020","May 14, 2020"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,239,548.53",0.23,"1,239,548.53","1,000,000.00",64971XCP1,US64971XCP15,-,121.87,United States,-,USD,6.4,2.78,1.0,"Aug 01, 2033",5.0,8.94,-,0.97,4.91,0.97,USD,"Oct 26, 2017","Oct 26, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,236,934.19",0.23,"1,236,934.19","1,000,000.00",64990FGB4,US64990FGB40,-,121.8,United States,-,USD,6.57,2.86,1.0,"Feb 15, 2034",5.0,9.27,-,1.0,4.94,1.0,USD,"Oct 13, 2017","Oct 13, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,235,306.63",0.23,"1,235,306.63","1,000,000.00",64971XAR9,US64971XAR98,-,121.45,United States,-,USD,6.89,3.15,1.0,"Aug 01, 2036",5.0,10.6,-,1.04,4.9,1.04,USD,"Aug 17, 2017","Aug 17, 2017"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,230,739.02",0.23,"1,230,739.02","1,000,000.00",64972GUA0,US64972GUA02,-,122.85,United States,-,USD,4.88,0.72,1.0,"Jun 15, 2027",5.0,4.89,-,0.72,4.89,0.72,USD,"Jul 02, 2019","Jul 02, 2019"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,228,675.53",0.22,"1,228,675.53","1,000,000.00",64971XCX4,US64971XCX49,-,120.78,United States,-,USD,7.87,3.67,1.0,"Aug 01, 2045",5.0,14.1,-,1.15,4.9,1.15,USD,"Oct 26, 2017","Oct 26, 2017"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"1,228,085.00",0.22,"1,228,085.00","1,000,000.00",542691ES5,US542691ES58,-,121.81,United States,-,USD,10.34,2.4,1.0,"Sep 01, 2038",4.0,12.54,-,1.56,8.15,1.56,USD,"Sep 30, 2021","Sep 30, 2021"
METROPOLITAN TRANSN AUTH N Y D,Local Tax-Backed,Fixed Income,"1,225,574.69",0.22,"1,225,574.69","1,000,000.00",59259N8D8,US59259N8D86,-,121.92,United States,-,USD,7.11,3.05,1.0,"Nov 15, 2035",5.0,10.36,-,1.13,5.18,1.13,USD,"May 17, 2017","May 17, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,225,161.33",0.22,"1,225,161.33","1,000,000.00",64971WU65,US64971WU650,-,121.68,United States,-,USD,5.46,2.0,1.0,"Nov 01, 2029",5.0,6.61,-,0.83,4.76,0.83,USD,"Mar 22, 2017","Mar 22, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,224,794.69",0.22,"1,224,794.69","1,000,000.00",64990FWY6,US64990FWY68,-,120.59,United States,-,USD,7.83,3.6,1.0,"Feb 15, 2043",5.0,13.58,-,1.2,4.93,1.2,USD,"Oct 13, 2017","Oct 13, 2017"
HUDSON YARDS INFRASTRUCTURE CORP N,Local Tax-Backed,Fixed Income,"1,222,659.59",0.22,"1,222,659.59","1,000,000.00",44420RAR1,US44420RAR12,-,120.38,United States,-,USD,5.39,2.24,1.0,"Feb 15, 2030",5.0,6.73,-,0.92,4.55,0.92,USD,"May 30, 2017","May 30, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,220,511.83",0.22,"1,220,511.83","1,000,000.00",64971W6U9,US64971W6U99,-,121.22,United States,-,USD,5.81,2.44,1.0,"May 01, 2031",5.0,7.62,-,0.91,4.76,0.91,USD,"Jun 29, 2017","Jun 29, 2017"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"1,219,776.79",0.22,"1,219,776.79","1,000,000.00",89602N7K4,US89602N7K42,-,121.34,United States,-,USD,5.95,2.54,1.0,"Nov 15, 2031",5.0,7.98,-,0.92,4.8,0.92,USD,"Jan 19, 2017","Jan 19, 2017"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,219,387.62",0.22,"1,219,387.62","1,000,000.00",64986DFT7,US64986DFT72,-,121.72,United States,-,USD,7.93,3.68,1.0,"Jun 15, 2047",5.0,14.73,-,0.91,4.88,0.91,USD,"Dec 14, 2017","Dec 14, 2017"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,217,597.53",0.22,"1,217,597.53","1,000,000.00",64966MSU4,US64966MSU44,-,119.68,United States,-,USD,4.12,0.64,1.0,"Aug 01, 2026",5.0,4.11,-,0.64,4.11,0.64,USD,"Dec 20, 2017","Dec 20, 2017"
METROPOLITAN TRANSN AUTH N Y REV,Transportation,Fixed Income,"1,217,207.03",0.22,"1,217,207.03","1,000,000.00",59259RS47,US59259RS479,-,121.05,United States,-,USD,4.38,0.83,1.0,"Nov 15, 2026",5.25,4.38,-,0.83,4.38,0.83,USD,"Dec 20, 2006","Dec 20, 2006"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,213,576.53",0.22,"1,213,576.53","1,000,000.00",64971W6Y1,US64971W6Y12,-,120.52,United States,-,USD,6.79,3.2,1.0,"May 01, 2036",5.0,10.56,-,1.03,4.75,1.03,USD,"Jun 29, 2017","Jun 29, 2017"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,213,368.74",0.22,"1,213,368.74","1,000,000.00",64985HM20,US64985HM203,-,121.09,United States,-,USD,12.06,2.81,1.0,"Aug 15, 2046",4.0,16.49,-,1.72,8.52,1.72,USD,"Dec 09, 2021","Dec 09, 2021"
TRIBOROUGH BRIDGE & TUNNEL AUTH RE,Transportation,Fixed Income,"1,212,609.79",0.22,"1,212,609.79","1,000,000.00",89602RCG8,US89602RCG83,-,120.62,United States,-,USD,4.4,0.69,1.0,"Nov 15, 2026",5.0,4.4,-,0.69,4.4,0.69,USD,"Nov 17, 2017","Nov 17, 2017"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,207,830.19",0.22,"1,207,830.19","1,000,000.00",59261AYZ4,US59261AYZ47,-,120.14,United States,-,USD,9.9,3.88,1.0,"Nov 15, 2052",5.0,16.78,-,2.04,6.28,2.04,USD,"May 14, 2019","May 14, 2019"
NASSAU CNTY N Y FOR ISSUES DTD,Local Tax-Backed,Fixed Income,"1,207,146.14",0.22,"1,207,146.14","975,000.00",63165TZS7,US63165TZS76,-,122.56,United States,-,USD,5.07,0.96,1.0,"Oct 01, 2027",5.0,5.07,-,0.96,5.07,0.96,USD,"Dec 21, 2017","Dec 21, 2017"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"1,204,564.50",0.22,"1,204,564.50","1,000,000.00",64990CUZ2,US64990CUZ21,-,117.96,United States,-,USD,4.03,0.92,1.0,"Jul 01, 2026",5.0,4.02,-,0.92,4.02,0.92,USD,"Apr 27, 2017","Apr 27, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,203,272.64",0.22,"1,203,272.64","1,175,000.00",64990FND2,US64990FND23,-,100.93,United States,-,USD,1.02,4.93,1.0,"Mar 15, 2042",5.0,11.75,-,0.45,0.21,0.45,USD,"Jul 26, 2012","Jul 26, 2012"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,202,779.38",0.22,"1,202,779.38","1,000,000.00",650036AJ5,US650036AJ58,-,119.1,United States,-,USD,9.96,2.61,1.0,"Mar 15, 2039",4.0,12.75,-,1.64,7.43,1.64,USD,"Jun 25, 2020","Jun 25, 2020"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,201,721.38",0.22,"1,201,721.38","1,000,000.00",650036DA1,US650036DA13,-,118.99,United States,-,USD,8.96,2.41,1.0,"Mar 15, 2036",4.0,11.04,-,1.53,7.07,1.53,USD,"Dec 23, 2020","Dec 23, 2020"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,199,931.18",0.22,"1,199,931.18","1,000,000.00",650036AK2,US650036AK22,-,118.82,United States,-,USD,10.07,2.69,1.0,"Mar 15, 2040",4.0,13.27,-,1.67,7.43,1.67,USD,"Jun 25, 2020","Jun 25, 2020"
NEW YORK ST TWY AUTH GEN REV,Transportation,Fixed Income,"1,188,760.23",0.22,"1,188,760.23","1,000,000.00",650009X57,US650009X573,-,117.94,United States,-,USD,11.86,3.0,1.0,"Jan 01, 2048",4.0,16.84,-,1.92,8.0,1.92,USD,"Oct 07, 2021","Oct 07, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,186,720.88",0.22,"1,186,720.88","1,015,000.00",64971WXM7,US64971WXM71,-,116.08,United States,-,USD,5.73,3.52,1.0,"Nov 01, 2035",5.0,10.2,-,0.74,3.52,0.74,USD,"Nov 05, 2015","Nov 05, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,186,390.57",0.22,"1,186,390.57","1,000,000.00",64971XKK3,US64971XKK36,-,117.97,United States,-,USD,9.16,2.67,1.0,"Nov 01, 2038",4.0,12.57,-,1.41,6.43,1.41,USD,"Apr 12, 2019","Apr 12, 2019"
