,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Mar 2023 Term Corporate ex-Financials ETF
EXELON GENERATION CO LLC,Electric,Fixed Income,"112,007.76",0.37,"112,007.76","111,000.00",30161MAL7,US30161MAL72,B8N3G36,100.72,United States,-,USD,0.2,2.65,1.0,"Jun 15, 2022",4.25,0.45,-,0.74,0.21,0.74,USD,"Dec 15, 2012","Feb 12, 2013"
TEXAS INSTRUMENTS INC,Technology,Fixed Income,"110,746.23",0.36,"110,746.23","110,000.00",882508BA1,US882508BA13,BD076W5,100.44,United States,-,USD,0.29,0.66,1.0,"May 15, 2022",1.85,0.37,-,0.31,0.29,0.31,USD,"May 06, 2016","May 06, 2016"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"109,139.48",0.36,"109,139.48","106,000.00",110122CW6,US110122CW67,BMW43C6,101.73,United States,-,USD,0.61,0.46,1.0,"Aug 15, 2022",3.25,0.61,-,0.46,0.61,0.46,USD,"Feb 15, 2020","Jul 17, 2020"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"106,220.09",0.35,"106,220.09","105,000.00",110122CL0,US110122CL03,BMX6FF8,100.84,United States,-,USD,0.37,0.36,1.0,"May 16, 2022",2.6,0.37,-,0.36,0.37,0.36,USD,"May 16, 2020","Jul 17, 2020"
FLEXTRONICS INTERNATIONAL LTD,Technology,Fixed Income,"106,191.89",0.35,"106,191.89","100,000.00",33938EAS6,US33938EAS63,BDFMVM0,104.3,Singapore,-,USD,1.09,1.13,1.0,"Feb 15, 2023",5.0,1.08,-,1.13,1.08,1.13,USD,"Aug 15, 2013","Aug 28, 2013"
AMERICAN HONDA FINANCE CORPORATION MTN,Consumer Cyclical,Fixed Income,"104,917.87",0.34,"104,917.87","105,000.00",02665WDR9,US02665WDR97,-,99.84,United States,-,USD,0.8,0.59,1.0,"Oct 21, 2022",0.4,0.8,-,0.59,0.8,0.59,USD,"Oct 21, 2020","Oct 21, 2020"
RELX CAPITAL INC,Technology,Fixed Income,"103,989.83",0.34,"103,989.83","100,000.00",74949LAB8,US74949LAB80,BZ1JJC5,102.97,United Kingdom,-,USD,1.1,1.02,1.0,"Mar 16, 2023",3.5,1.18,-,0.84,1.1,0.84,USD,"Mar 16, 2018","Mar 16, 2018"
VODAFONE GROUP PLC,Communications,Fixed Income,"103,303.67",0.34,"103,303.67","100,000.00",92857WBC3,US92857WBC38,B8BF4P2,102.22,United Kingdom,-,USD,1.12,0.97,1.0,"Feb 19, 2023",2.95,1.11,-,0.97,1.11,0.97,USD,"Feb 19, 2013","Feb 19, 2013"
MOODYS CORPORATION,Technology,Fixed Income,"102,886.42",0.34,"102,886.42","100,000.00",615369AK1,US615369AK14,BGGC7L1,101.68,United States,-,USD,0.94,1.0,1.0,"Jan 15, 2023",2.63,1.01,-,0.86,0.93,0.86,USD,"Jan 15, 2018","Apr 13, 2018"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"102,088.67",0.33,"102,088.67","100,000.00",12189LAL5,US12189LAL53,B8NWQY4,101.07,United States,-,USD,0.41,1.43,1.0,"Sep 01, 2022",3.05,0.65,-,0.47,0.41,0.47,USD,"Aug 23, 2012","Aug 23, 2012"
DUKE ENERGY CORP,Electric,Fixed Income,"101,887.67",0.33,"101,887.67","100,000.00",26441CAW5,US26441CAW55,BF46ZB4,100.98,United States,-,USD,0.53,0.82,1.0,"Aug 15, 2022",2.4,0.61,-,0.57,0.53,0.57,USD,"Aug 10, 2017","Aug 10, 2017"
3M CO,Capital Goods,Fixed Income,"101,703.97",0.33,"101,703.97","100,000.00",88579YBL4,US88579YBL48,BKRLVC4,101.04,United States,-,USD,1.04,0.82,1.0,"Feb 14, 2023",1.75,1.1,-,0.74,1.02,0.74,USD,"Aug 26, 2019","Aug 26, 2019"
LOWES COMPANIES INC,Consumer Cyclical,Fixed Income,"100,858.67",0.33,"100,858.67","100,000.00",548661CW5,US548661CW57,B7JJ233,100.2,United States,-,USD,0.08,2.41,1.0,"Apr 15, 2022",3.12,0.29,-,0.61,0.08,0.61,USD,"Apr 23, 2012","Apr 23, 2012"
PROGRESS ENERGY CAROLINAS INC,Electric,Fixed Income,"100,629.78",0.33,"100,629.78","100,000.00",144141DC9,US144141DC90,B87NVK4,100.27,United States,-,USD,0.13,2.06,1.0,"May 15, 2022",2.8,0.37,-,0.56,0.12,0.56,USD,"May 18, 2012","May 18, 2012"
AMERISOURCEBERGEN CORPORATION,Consumer Non-Cyclical,Fixed Income,"99,973.01",0.33,"99,973.01","100,000.00",03073EAS4,US03073EAS46,-,99.76,United States,-,USD,0.99,0.94,1.0,"Mar 15, 2023",0.74,1.19,-,0.94,1.19,0.94,USD,"Mar 30, 2021","Mar 30, 2021"
JOHNSON & JOHNSON,Consumer Non-Cyclical,Fixed Income,"99,074.18",0.32,"99,074.18","97,000.00",478160BT0,US478160BT00,BD31B41,101.46,United States,-,USD,1.0,0.79,1.0,"Mar 01, 2023",2.05,1.15,-,0.59,0.99,0.59,USD,"Mar 01, 2016","Mar 01, 2016"
STARBUCKS CORP,Consumer Cyclical,Fixed Income,"98,735.00",0.32,"98,735.00","98,000.00",855244AG4,US855244AG47,BYYG2B6,100.63,United States,-,USD,0.29,1.31,1.0,"Jun 15, 2022",2.7,0.45,-,0.51,0.29,0.51,USD,"Jun 10, 2015","Jun 10, 2015"
NSTAR ELECTRIC CO,Electric,Fixed Income,"96,280.98",0.31,"96,280.98","95,000.00",67021CAG2,US67021CAG24,B8GR1Y1,100.85,United States,-,USD,0.54,1.29,1.0,"Oct 15, 2022",2.38,0.78,-,0.8,0.53,0.8,USD,"Oct 15, 2012","Oct 15, 2012"
AMERICAN HONDA FINANCE CORPORATION MTN,Consumer Cyclical,Fixed Income,"91,843.20",0.3,"91,843.20","90,000.00",02665WCA7,US02665WCA71,BF3RD81,101.72,Japan,-,USD,0.87,0.62,1.0,"Nov 16, 2022",2.6,0.87,-,0.62,0.87,0.62,USD,"Nov 16, 2017","Nov 16, 2017"
DIAGEO INVESTMENT CORPORATION,Consumer Non-Cyclical,Fixed Income,"91,373.77",0.3,"91,373.77","85,000.00",386088AF5,US386088AF50,2583866,105.14,United Kingdom,-,USD,0.69,0.68,1.0,"Sep 15, 2022",8.0,0.68,-,0.68,0.68,0.68,USD,"Sep 15, 1992","Sep 21, 1992"
GENERAL MOTORS FINANCIAL CO INC,Consumer Cyclical,Fixed Income,"90,965.93",0.3,"90,965.93","90,000.00",37045XAW6,US37045XAW65,BYVDTM0,100.3,United States,-,USD,0.11,2.34,1.0,"Apr 10, 2022",3.45,0.27,-,0.68,0.11,0.68,USD,"Apr 10, 2015","Apr 10, 2015"
AMERICAN TOWER CORP,Communications,Fixed Income,"88,577.93",0.29,"88,577.93","85,000.00",03027XAB6,US03027XAB64,B7T8T62,102.75,United States,-,USD,1.06,0.94,1.0,"Jan 31, 2023",3.5,1.05,-,0.94,1.05,0.94,USD,"Jan 08, 2013","Jan 08, 2013"
VF CORPORATION,Consumer Cyclical,Fixed Income,"87,728.37",0.29,"87,728.37","87,000.00",918204AZ1,US918204AZ14,BMVM7T6,100.45,United States,-,USD,0.31,0.6,1.0,"Apr 23, 2022",2.05,0.31,-,0.6,0.31,0.6,USD,"Apr 23, 2020","Apr 23, 2020"
AMERICAN HONDA FINANCE CORPORATION,Consumer Cyclical,Fixed Income,"85,697.07",0.28,"85,697.07","85,000.00",02665WDF5,US02665WDF59,-,100.6,United States,-,USD,0.38,0.4,1.0,"May 20, 2022",1.95,0.39,-,0.4,0.39,0.4,USD,"Nov 21, 2019","Nov 21, 2019"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"85,227.95",0.28,"85,227.95","83,000.00",126650CK4,US126650CK42,BYPFCL2,101.12,United States,-,USD,0.38,1.46,1.0,"Jul 20, 2022",3.5,0.54,-,0.6,0.38,0.6,USD,"Jul 20, 2015","Jul 20, 2015"
WILLIAMS COMPANIES INC,Energy,Fixed Income,"82,797.03",0.27,"82,797.03","81,000.00",96950FAJ3,US96950FAJ30,B6ZZMP0,100.95,United States,-,USD,0.37,1.8,1.0,"Aug 15, 2022",3.35,0.61,-,0.78,0.37,0.78,USD,"Aug 14, 2012","Aug 14, 2012"
HEWLETT PACKARD ENTERPRISE CO,Technology,Fixed Income,"82,564.71",0.27,"82,564.71","80,000.00",42824CAN9,US42824CAN92,BYXLJZ5,102.28,United States,-,USD,0.61,1.48,1.0,"Oct 15, 2022",4.4,0.77,-,0.72,0.61,0.72,USD,"Oct 15, 2016","Dec 30, 2016"
CAMPBELL SOUP CO,Consumer Non-Cyclical,Fixed Income,"81,726.98",0.27,"81,726.98","80,000.00",134429AY5,US134429AY59,B8GPWW0,101.12,United States,-,USD,0.58,0.58,1.0,"Aug 02, 2022",2.5,0.58,-,0.58,0.58,0.58,USD,"Aug 02, 2012","Aug 02, 2012"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"78,647.33",0.26,"78,647.33","76,000.00",494550BM7,US494550BM77,B7T9C11,102.18,United States,-,USD,0.86,1.48,1.0,"Feb 15, 2023",3.45,1.09,-,0.93,0.85,0.93,USD,"Aug 13, 2012","Aug 13, 2012"
TOYOTA MOTOR CREDIT CORP MTN,Consumer Cyclical,Fixed Income,"77,581.50",0.25,"77,581.50","75,000.00",89236TEL5,US89236TEL52,-,102.17,United States,-,USD,1.01,0.58,1.0,"Jan 11, 2023",2.7,1.01,-,0.58,1.01,0.58,USD,"Jan 11, 2018","Jan 11, 2018"
TOYOTA MOTOR CREDIT CORP MTN,Consumer Cyclical,Fixed Income,"76,884.50",0.25,"76,884.50","75,000.00",89236TCQ6,US89236TCQ67,BYMVVZ0,101.21,Japan,-,USD,0.52,0.53,1.0,"Jul 13, 2022",2.8,0.53,-,0.53,0.53,0.53,USD,"Jul 13, 2015","Jul 13, 2015"
EATON CORPORATION,Capital Goods,Fixed Income,"76,613.77",0.25,"76,613.77","75,000.00",278062AC8,US278062AC86,BH4XWD0,101.7,United States,-,USD,0.83,0.71,1.0,"Nov 02, 2022",2.75,0.83,-,0.71,0.83,0.71,USD,"Nov 02, 2013","Nov 07, 2013"
NATIONAL RURAL UTILITIES COOPERATI MTN,Electric,Fixed Income,"76,346.42",0.25,"76,346.42","75,000.00",63743HEQ1,US63743HEQ11,BZ06422,101.12,United States,-,USD,0.62,0.71,1.0,"Sep 15, 2022",2.3,0.7,-,0.5,0.62,0.5,USD,"Aug 30, 2017","Aug 30, 2017"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"75,921.38",0.25,"75,921.38","75,000.00",14912L5F4,US14912L5F48,B735SX9,100.99,United States,-,USD,0.42,0.47,1.0,"Jun 01, 2022",2.85,0.42,-,0.47,0.42,0.47,USD,"May 30, 2012","May 30, 2012"
PACCAR FINANCIAL CORP MTN,Consumer Cyclical,Fixed Income,"75,875.56",0.25,"75,875.56","75,000.00",69371RP83,US69371RP831,BHTGFB3,100.79,United States,-,USD,0.36,0.43,1.0,"May 10, 2022",2.65,0.36,-,0.43,0.36,0.43,USD,"May 10, 2019","May 10, 2019"
PACIFIC GAS AND ELECTRIC COMPANY,Electric,Fixed Income,"74,884.87",0.24,"74,884.87","75,000.00",694308JS7,US694308JS73,-,99.42,United States,-,USD,1.12,1.86,1.0,"Mar 10, 2023",1.37,1.17,-,1.86,1.17,1.86,USD,"Mar 11, 2021","Mar 11, 2021"
MPLX LP,Energy,Fixed Income,"72,497.43",0.24,"72,497.43","70,000.00",55336VAQ3,US55336VAQ32,BF593L8,102.57,United States,-,USD,1.1,1.22,1.0,"Mar 15, 2023",3.38,1.17,-,1.06,1.09,1.06,USD,"Feb 08, 2018","Feb 08, 2018"
NVR INC,Consumer Cyclical,Fixed Income,"71,818.64",0.23,"71,818.64","70,000.00",62944TAE5,US62944TAE55,B8N33T1,101.44,United States,-,USD,0.45,1.89,1.0,"Sep 15, 2022",3.95,0.69,-,0.79,0.45,0.79,USD,"Sep 10, 2012","Sep 10, 2012"
BOEING CO,Capital Goods,Fixed Income,"70,795.89",0.23,"70,795.89","70,000.00",097023CG8,US097023CG82,BJYSCJ5,100.69,United States,-,USD,0.33,0.63,1.0,"May 01, 2022",2.7,0.33,-,0.63,0.33,0.63,USD,"May 02, 2019","May 02, 2019"
ARROW ELECTRONICS INC,Technology,Fixed Income,"70,765.09",0.23,"70,765.09","70,000.00",042735BD1,US042735BD16,BW01ZP6,100.22,United States,-,USD,0.09,2.6,1.0,"Apr 01, 2022",3.5,0.25,-,0.85,0.09,0.85,USD,"Mar 02, 2015","Mar 02, 2015"
DTE ENERGY COMPANY,Electric,Fixed Income,"69,985.77",0.23,"69,985.77","70,000.00",233331BH9,US233331BH98,-,99.89,United States,-,USD,0.83,0.68,1.0,"Nov 01, 2022",0.55,0.83,-,0.68,0.83,0.68,USD,"Oct 07, 2020","Oct 07, 2020"
TYSON FOODS INC,Consumer Non-Cyclical,Fixed Income,"69,683.79",0.23,"69,683.79","69,000.00",902494AT0,US902494AT07,B8L2L07,100.79,United States,-,USD,0.2,2.74,1.0,"Jun 15, 2022",4.5,0.45,-,0.64,0.21,0.64,USD,"Jun 13, 2012","Jun 13, 2012"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"69,282.28",0.23,"69,282.28","67,000.00",29379VAZ6,US29379VAZ67,B9M5X73,102.42,United States,-,USD,0.94,1.32,1.0,"Mar 15, 2023",3.35,1.17,-,0.8,0.94,0.8,USD,"Mar 18, 2013","Mar 18, 2013"
AIR PRODUCTS AND CHEMICALS INC,Basic Industry,Fixed Income,"68,184.31",0.22,"68,184.31","66,000.00",009158AT3,US009158AT32,B8J82L5,102.18,United States,-,USD,1.07,0.74,1.0,"Feb 03, 2023",2.75,1.07,-,0.74,1.07,0.74,USD,"Feb 04, 2013","Feb 04, 2013"
CONNECTICUT LIGHT AND POWER COMPAN,Electric,Fixed Income,"66,697.66",0.22,"66,697.66","65,000.00",207597EF8,US207597EF82,B8J2Y88,101.46,United States,-,USD,0.78,1.08,1.0,"Jan 15, 2023",2.5,1.02,-,0.64,0.77,0.64,USD,"Jan 15, 2013","Jan 15, 2013"
HONEYWELL INTERNATIONAL INC,Capital Goods,Fixed Income,"65,117.07",0.21,"65,117.07","65,000.00",438516CC8,US438516CC86,-,100.0,United States,-,USD,0.15,0.48,1.0,"Aug 19, 2022",0.48,0.63,-,0.33,0.03,0.33,USD,"Aug 19, 2020","Aug 19, 2020"
CARDINAL HEALTH INC,Consumer Non-Cyclical,Fixed Income,"62,112.13",0.2,"62,112.13","60,000.00",14149YAY4,US14149YAY41,B9B3527,102.58,United States,-,USD,1.18,1.04,1.0,"Mar 15, 2023",3.2,1.18,-,1.04,1.18,1.04,USD,"Feb 22, 2013","Feb 22, 2013"
BIOGEN INC,Consumer Non-Cyclical,Fixed Income,"61,869.22",0.2,"61,869.22","60,000.00",09062XAE3,US09062XAE31,BYQC6K9,102.05,United States,-,USD,0.7,0.71,1.0,"Sep 15, 2022",3.63,0.69,-,0.71,0.69,0.71,USD,"Sep 15, 2015","Sep 15, 2015"
WASTE MANAGEMENT INC,Capital Goods,Fixed Income,"61,178.33",0.2,"61,178.33","60,000.00",94106LAY5,US94106LAY56,B4KJJ29,101.11,United States,-,USD,0.45,1.31,1.0,"Sep 15, 2022",2.9,0.69,-,0.46,0.45,0.46,USD,"Sep 12, 2012","Sep 12, 2012"
WALT DISNEY CO,Communications,Fixed Income,"60,788.40",0.2,"60,788.40","60,000.00",254687FJ0,US254687FJ07,BJJJT69,100.76,United States,-,USD,0.66,0.5,1.0,"Sep 01, 2022",1.65,0.66,-,0.5,0.66,0.5,USD,"Sep 06, 2019","Sep 06, 2019"
APPLE INC,Technology,Fixed Income,"60,694.48",0.2,"60,694.48","59,000.00",037833DE7,US037833DE71,BDF9V98,101.75,United States,-,USD,0.94,0.7,1.0,"Jan 13, 2023",2.4,1.01,-,0.55,0.93,0.55,USD,"Nov 13, 2017","Nov 13, 2017"
NUCOR CORPORATION,Basic Industry,Fixed Income,"60,663.55",0.2,"60,663.55","59,000.00",670346AL9,US670346AL99,B3NM218,101.61,United States,-,USD,0.45,1.82,1.0,"Sep 15, 2022",4.13,0.69,-,0.59,0.45,0.59,USD,"Sep 21, 2010","Sep 21, 2010"
AT&T INC,Communications,Fixed Income,"60,486.59",0.2,"60,486.59","60,000.00",00206RCM2,US00206RCM25,BX2KBC7,100.81,United States,-,USD,0.33,1.37,1.0,"Jun 30, 2022",3.0,0.5,-,0.56,0.33,0.56,USD,"May 04, 2015","May 04, 2015"
CANADIAN NATURAL RESOURCES LTD,Energy,Fixed Income,"58,840.69",0.19,"58,840.69","57,000.00",136385AW1,US136385AW17,BF0P366,101.87,Canada,-,USD,0.94,1.13,1.0,"Jan 15, 2023",2.95,1.01,-,0.98,0.93,0.98,USD,"May 30, 2017","May 30, 2017"
ENERGY TRANSFER OPERATING LP,Energy,Fixed Income,"58,312.46",0.19,"58,312.46","56,000.00",29278NAL7,US29278NAL73,BJXMVG8,102.88,United States,-,USD,0.93,1.82,1.0,"Mar 15, 2023",4.25,1.16,-,1.21,0.93,1.21,USD,"Mar 15, 2019","Mar 22, 2019"
ADOBE INC,Technology,Fixed Income,"58,048.42",0.19,"58,048.42","57,000.00",00724PAA7,US00724PAA75,-,101.13,United States,-,USD,1.07,0.65,1.0,"Feb 01, 2023",1.7,1.07,-,0.65,1.07,0.65,USD,"Feb 03, 2020","Feb 03, 2020"
RYDER SYSTEM INC MTN,Transportation,Fixed Income,"57,109.43",0.19,"57,109.43","55,000.00",78355HKG3,US78355HKG38,BDRNRT0,102.7,United States,-,USD,1.06,1.06,1.0,"Mar 01, 2023",3.4,1.14,-,0.89,1.06,0.89,USD,"Feb 26, 2018","Feb 26, 2018"
NATIONAL RURAL UTILITIES COOP FINA,Electric,Fixed Income,"56,576.85",0.18,"56,576.85","55,000.00",637432NJ0,US637432NJ01,BYVQZJ8,101.85,United States,-,USD,0.94,1.04,1.0,"Feb 15, 2023",2.7,1.1,-,0.76,0.94,0.76,USD,"Feb 08, 2016","Feb 08, 2016"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"56,143.18",0.18,"56,143.18","55,000.00",00287YCT4,US00287YCT47,-,101.27,United States,-,USD,0.49,1.54,1.0,"Oct 01, 2022",3.25,0.74,-,0.71,0.49,0.71,USD,"Oct 01, 2020","Nov 17, 2020"
PUBLIC SERVICE ENTERPRISE GROUP IN,Electric,Fixed Income,"56,006.29",0.18,"56,006.29","55,000.00",744573AL0,US744573AL05,BZ6F412,101.49,United States,-,USD,0.78,0.93,1.0,"Nov 15, 2022",2.65,0.86,-,0.75,0.78,0.75,USD,"Nov 06, 2017","Nov 06, 2017"
AMERICAN ELECTRIC POWER COMPANY IN,Electric,Fixed Income,"55,933.41",0.18,"55,933.41","55,000.00",025537AG6,US025537AG68,B8YQJP7,101.57,United States,-,USD,0.7,1.3,1.0,"Dec 15, 2022",2.95,0.94,-,0.72,0.7,0.72,USD,"Dec 03, 2012","Dec 03, 2012"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"55,866.22",0.18,"55,866.22","55,000.00",14913Q3A5,US14913Q3A59,-,100.97,United States,-,USD,0.68,0.47,1.0,"Sep 06, 2022",1.9,0.67,-,0.47,0.67,0.47,USD,"Sep 06, 2019","Sep 06, 2019"
EDISON INTERNATIONAL,Electric,Fixed Income,"55,857.27",0.18,"55,857.27","55,000.00",281020AL1,US281020AL15,BYVWJH2,100.85,United States,-,USD,0.62,1.18,1.0,"Sep 15, 2022",2.4,0.7,-,1.02,0.61,1.02,USD,"Aug 22, 2017","Aug 22, 2017"
COMMONSPIRIT HEALTH,Consumer Non-Cyclical,Fixed Income,"55,206.72",0.18,"55,206.72","54,000.00",14916RAC8,US14916RAC88,B815117,101.74,United States,-,USD,0.83,0.85,1.0,"Nov 01, 2022",2.95,0.82,-,0.85,0.82,0.85,USD,"Oct 31, 2012","Oct 31, 2012"
CHURCH & DWIGHT CO INC,Consumer Non-Cyclical,Fixed Income,"52,206.02",0.17,"52,206.02","51,000.00",171340AH5,US171340AH58,B83NH77,101.65,United States,-,USD,0.75,0.67,1.0,"Oct 01, 2022",2.88,0.74,-,0.67,0.74,0.67,USD,"Sep 26, 2012","Sep 26, 2012"
FISERV INC,Technology,Fixed Income,"52,166.88",0.17,"52,166.88","51,000.00",337738AM0,US337738AM09,B88P0T1,101.41,United States,-,USD,0.49,1.59,1.0,"Oct 01, 2022",3.5,0.74,-,0.66,0.49,0.66,USD,"Sep 25, 2012","Sep 25, 2012"
GENERAL MOTORS FINANCIAL CO INC,Consumer Cyclical,Fixed Income,"51,886.94",0.17,"51,886.94","50,000.00",37045XCF1,US37045XCF15,BDFKQ18,102.19,United States,-,USD,0.91,1.07,1.0,"Jan 05, 2023",3.25,0.98,-,0.88,0.9,0.88,USD,"Jan 05, 2018","Jan 05, 2018"
ENERGY TRANSFER LP,Energy,Fixed Income,"51,781.50",0.17,"51,781.50","50,000.00",29273RAS8,US29273RAS85,B8HDKR4,102.06,United States,-,USD,0.82,1.67,1.0,"Feb 01, 2023",3.6,1.05,-,1.11,0.81,1.11,USD,"Jan 22, 2013","Jan 22, 2013"
PPG INDUSTRIES INC,Basic Industry,Fixed Income,"51,750.61",0.17,"51,750.61","50,000.00",693506BN6,US693506BN60,BDGS8N7,102.56,United States,-,USD,1.1,1.06,1.0,"Mar 15, 2023",3.2,1.18,-,0.9,1.1,0.9,USD,"Feb 27, 2018","Feb 27, 2018"
ZOETIS INC,Consumer Non-Cyclical,Fixed Income,"51,632.08",0.17,"51,632.08","50,000.00",98978VAB9,US98978VAB99,BG3PT39,101.91,United States,-,USD,0.82,1.47,1.0,"Feb 01, 2023",3.25,1.05,-,0.94,0.81,0.94,USD,"Aug 01, 2013","Oct 30, 2013"
GENERAL MOTORS FINANCIAL CO INC,Consumer Cyclical,Fixed Income,"51,579.99",0.17,"51,579.99","50,000.00",37045XCU8,US37045XCU81,BHZQX02,101.45,United States,-,USD,0.51,0.74,1.0,"Jul 08, 2022",3.55,0.51,-,0.74,0.51,0.74,USD,"Apr 08, 2019","Apr 08, 2019"
EDISON INTERNATIONAL,Electric,Fixed Income,"51,493.31",0.17,"51,493.31","50,000.00",281020AJ6,US281020AJ68,BZB2D77,102.12,United States,-,USD,1.03,1.17,1.0,"Mar 15, 2023",2.95,1.18,-,0.9,1.02,0.9,USD,"Mar 09, 2016","Mar 09, 2016"
NUTRIEN LTD,Basic Industry,Fixed Income,"51,018.25",0.17,"51,018.25","50,000.00",67077MAJ7,US67077MAJ71,BFM70F8,101.25,Canada,-,USD,0.49,1.47,1.0,"Oct 01, 2022",3.15,0.74,-,0.64,0.49,0.64,USD,"Apr 01, 2018","Apr 10, 2018"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"50,746.96",0.17,"50,746.96","50,000.00",14913Q3C1,US14913Q3C16,-,101.26,United States,-,USD,0.88,0.51,1.0,"Nov 18, 2022",1.95,0.87,-,0.51,0.87,0.51,USD,"Jan 13, 2020","Jan 13, 2020"
SYSCO CORPORATION,Consumer Non-Cyclical,Fixed Income,"50,517.11",0.16,"50,517.11","50,000.00",871829AQ0,US871829AQ03,B8L2KS8,100.9,United States,-,USD,0.45,0.59,1.0,"Jun 12, 2022",2.6,0.45,-,0.59,0.45,0.59,USD,"Jun 12, 2012","Jun 12, 2012"
PRAXAIR INC,Basic Industry,Fixed Income,"49,717.90",0.16,"49,717.90","49,000.00",74005PBB9,US74005PBB94,B89Y0K8,100.63,United States,-,USD,0.37,1.17,1.0,"Aug 15, 2022",2.2,0.61,-,0.49,0.37,0.49,USD,"Aug 02, 2012","Aug 02, 2012"
CLOROX CO,Consumer Non-Cyclical,Fixed Income,"48,990.75",0.16,"48,990.75","48,000.00",189054AT6,US189054AT60,B8QB4N3,101.17,United States,-,USD,0.45,1.38,1.0,"Sep 15, 2022",3.05,0.69,-,0.48,0.45,0.48,USD,"Sep 13, 2012","Sep 13, 2012"
PHILLIPS 66,Energy,Fixed Income,"47,934.36",0.16,"47,934.36","47,000.00",718546AC8,US718546AC87,B94MSW2,100.91,United States,-,USD,0.25,0.64,1.0,"Apr 01, 2022",4.3,0.25,-,0.64,0.25,0.64,USD,"Oct 01, 2012","Jan 18, 2013"
NORFOLK SOUTHERN CORPORATION,Transportation,Fixed Income,"47,283.26",0.15,"47,283.26","46,000.00",655844BL1,US655844BL13,B9XQF46,101.69,United States,-,USD,0.86,1.38,1.0,"Feb 15, 2023",2.9,1.09,-,0.95,0.85,0.95,USD,"Feb 15, 2013","May 22, 2013"
MCKESSON CORP,Consumer Non-Cyclical,Fixed Income,"47,223.68",0.15,"47,223.68","46,000.00",58155QAG8,US58155QAG82,B8Y9WB3,101.82,United States,-,USD,0.95,1.32,1.0,"Mar 15, 2023",2.85,1.18,-,0.93,0.94,0.93,USD,"Mar 08, 2013","Mar 08, 2013"
WALT DISNEY CO,Communications,Fixed Income,"47,186.03",0.15,"47,186.03","46,000.00",254687CM6,US254687CM62,BKMDZ67,101.69,United States,-,USD,0.7,0.59,1.0,"Sep 15, 2022",3.0,0.7,-,0.59,0.7,0.59,USD,"Sep 15, 2019","Nov 22, 2019"
AMEREN ILLINOIS CO,Electric,Fixed Income,"46,808.68",0.15,"46,808.68","46,000.00",02361DAL4,US02361DAL47,B8408C9,100.86,United States,-,USD,0.41,1.4,1.0,"Sep 01, 2022",2.7,0.66,-,0.63,0.41,0.63,USD,"Aug 20, 2012","Aug 20, 2012"
PUGET ENERGY INC,Electric,Fixed Income,"46,795.39",0.15,"46,795.39","45,000.00",745310AF9,US745310AF99,B92MHP0,101.4,United States,-,USD,0.28,2.99,1.0,"Jul 15, 2022",5.63,0.52,-,0.72,0.27,0.72,USD,"Jun 15, 2012","Nov 30, 2012"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"46,746.66",0.15,"46,746.66","46,000.00",126650BZ2,US126650BZ20,B90QJ25,101.39,United States,-,USD,0.66,1.22,1.0,"Dec 01, 2022",2.75,0.9,-,0.65,0.66,0.65,USD,"Nov 29, 2012","Nov 29, 2012"
HEWLETT-PACKARD CO,Technology,Fixed Income,"46,584.22",0.15,"46,584.22","45,000.00",428236BX0,US428236BX09,B7N55M7,102.33,United States,-,USD,0.7,0.73,1.0,"Sep 15, 2022",4.05,0.69,-,0.73,0.69,0.73,USD,"Mar 12, 2012","Mar 12, 2012"
UNION PACIFIC CORPORATION,Transportation,Fixed Income,"46,411.33",0.15,"46,411.33","45,000.00",907818DM7,US907818DM74,B8L2KY4,101.78,United States,-,USD,0.77,1.22,1.0,"Jan 15, 2023",2.95,1.01,-,0.69,0.77,0.69,USD,"Jun 11, 2012","Jun 11, 2012"
VIRGINIA ELECTRIC AND POWER CO,Electric,Fixed Income,"46,227.03",0.15,"46,227.03","45,000.00",927804FN9,US927804FN91,BCFFRF7,101.92,United States,-,USD,0.95,1.14,1.0,"Mar 15, 2023",2.75,1.18,-,0.73,0.94,0.73,USD,"Mar 14, 2013","Mar 14, 2013"
ONEOK PARTNERS LP,Energy,Fixed Income,"45,940.39",0.15,"45,940.39","45,000.00",68268NAJ2,US68268NAJ28,B8QBB21,101.25,United States,-,USD,0.49,1.69,1.0,"Oct 01, 2022",3.38,0.74,-,0.87,0.49,0.87,USD,"Sep 13, 2012","Sep 13, 2012"
