,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
CONNECTICUT ST,State Tax-Backed,Fixed Income,"5,906,633.14",0.09,"5,906,633.14","5,515,000.00",20772KBN8,US20772KBN81,-,106.05,United States,-,USD,1.26,0.3,1.0,"Apr 15, 2023",5.0,1.25,-,0.3,1.25,0.3,USD,"Apr 11, 2018","Apr 11, 2018"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"5,906,158.50",0.09,"5,906,158.50","5,000,000.00",544647CV0,US544647CV07,-,115.62,United States,-,USD,3.2,0.49,1.0,"Jul 01, 2025",5.0,3.2,-,0.49,3.2,0.49,USD,"Nov 10, 2020","Nov 10, 2020"
CLARK CNTY NEV,Local Tax-Backed,Fixed Income,"5,898,020.63",0.09,"5,898,020.63","5,510,000.00",180848D91,US180848D914,-,106.63,United States,-,USD,1.38,0.31,1.0,"Jun 01, 2023",5.0,1.38,-,0.31,1.38,0.31,USD,"Jul 31, 2019","Jul 31, 2019"
HENRICO CNTY VA,Local Tax-Backed,Fixed Income,"5,887,211.79",0.09,"5,887,211.79","5,165,000.00",426056R33,US426056R330,-,111.9,United States,-,USD,2.42,0.37,1.0,"Aug 01, 2024",5.0,2.41,-,0.37,2.41,0.37,USD,"Oct 09, 2019","Oct 09, 2019"
MINNESOTA ST,State Tax-Backed,Fixed Income,"5,886,575.06",0.09,"5,886,575.06","5,000,000.00",60412AXA6,US60412AXA68,-,116.37,United States,-,USD,3.38,0.49,1.0,"Sep 01, 2025",5.0,3.37,-,0.49,3.37,0.49,USD,"Sep 23, 2021","Sep 23, 2021"
DELAWARE TRANSN AUTH TRANSN SY,State Tax-Backed,Fixed Income,"5,879,678.63",0.09,"5,879,678.63","5,605,000.00",246428ZM1,US246428ZM16,-,102.4,United States,-,USD,0.49,0.19,1.0,"Jul 01, 2022",5.0,0.49,-,0.19,0.49,0.19,USD,"Apr 11, 2012","Apr 11, 2012"
HOUSTON TEX UTIL SYS REV,Utility,Fixed Income,"5,870,750.64",0.09,"5,870,750.64","5,260,000.00",4424354B6,US4424354B62,-,110.97,United States,-,USD,2.41,1.64,1.0,"May 15, 2025",5.0,3.12,-,0.35,2.26,0.35,USD,"Apr 15, 2014","Apr 01, 2014"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"5,854,955.75",0.09,"5,854,955.75","5,250,000.00",70914PL42,US70914PL424,-,109.86,United States,-,USD,2.05,0.42,1.0,"Mar 01, 2024",5.0,2.05,-,0.42,2.05,0.42,USD,"May 23, 2018","May 23, 2018"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"5,846,615.59",0.09,"5,846,615.59","5,145,000.00",64971XYX0,US64971XYX01,-,112.8,United States,-,USD,2.67,0.45,1.0,"Nov 01, 2024",5.0,2.66,-,0.45,2.66,0.45,USD,"Apr 07, 2021","Apr 07, 2021"
DISTRICT COLUMBIA,State Tax-Backed,Fixed Income,"5,817,109.37",0.09,"5,817,109.37","5,225,000.00",25476FYA0,US25476FYA01,-,110.97,United States,-,USD,3.07,0.39,1.0,"Feb 01, 2025",4.0,3.07,-,0.39,3.07,0.39,USD,"Nov 30, 2021","Nov 30, 2021"
NEW JERSEY ST TRANSN TR FD AUTH,State Tax-Backed,Fixed Income,"5,806,209.01",0.09,"5,806,209.01","5,300,000.00",646136YC9,US646136YC96,-,109.32,United States,-,USD,1.88,0.46,1.0,"Dec 15, 2023",5.25,1.88,-,0.46,1.88,0.46,USD,"Oct 21, 2010","Oct 21, 2010"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"5,804,646.23",0.09,"5,804,646.23","5,545,000.00",89602NZE7,US89602NZE74,-,104.04,United States,-,USD,0.89,2.77,1.0,"Nov 15, 2023",5.0,1.78,-,0.35,0.86,0.35,USD,"Aug 23, 2012","Aug 23, 2012"
WASHINGTON ST FOR ISSUES DTD P,State Tax-Backed,Fixed Income,"5,804,403.61",0.09,"5,804,403.61","5,020,000.00",93974DLS5,US93974DLS52,-,113.13,United States,-,USD,3.09,1.94,1.0,"Jul 01, 2026",5.0,3.99,-,0.58,2.77,0.58,USD,"Feb 04, 2015","Feb 04, 2015"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"5,802,373.11",0.09,"5,802,373.11","5,000,000.00",64990FXQ2,US64990FXQ26,-,114.58,United States,-,USD,2.98,0.42,1.0,"Mar 15, 2025",5.0,2.97,-,0.42,2.97,0.42,USD,"Oct 15, 2020","Oct 15, 2020"
UTAH TRAN AUTH SALES TAX REV,Prerefund/Escrow,Fixed Income,"5,789,635.61",0.08,"5,789,635.61","5,000,000.00",917567AN9,US917567AN94,-,115.57,United States,-,USD,3.22,0.45,1.0,"Jun 15, 2025",5.0,3.22,-,0.45,3.22,0.45,USD,"Feb 25, 2015","Feb 25, 2015"
MASSACHUSETTS ST COLLEGE BLDG,Prerefund/Escrow,Fixed Income,"5,785,413.67",0.08,"5,785,413.67","5,000,000.00",575831CR1,US575831CR11,-,114.87,United States,-,USD,3.1,0.49,1.0,"May 01, 2025",5.0,3.1,-,0.49,3.1,0.49,USD,"Feb 25, 2016","Feb 25, 2016"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"5,784,726.34",0.08,"5,784,726.34","5,085,000.00",13067WRR5,US13067WRR50,-,113.34,United States,-,USD,2.75,0.39,1.0,"Dec 01, 2024",5.0,2.75,-,0.39,2.75,0.39,USD,"Aug 06, 2020","Aug 06, 2020"
TRIBOROUGH BRDG & TUNL AUTH N,Transportation,Fixed Income,"5,783,687.21",0.08,"5,783,687.21","5,405,000.00",89602NE83,US89602NE838,-,106.37,United States,-,USD,1.46,2.68,1.0,"Nov 15, 2024",5.0,2.67,-,0.34,1.33,0.34,USD,"Jan 29, 2013","Jan 29, 2013"
COLUMBUS OHIO,Local Tax-Backed,Fixed Income,"5,778,888.67",0.08,"5,778,888.67","4,985,000.00",199492G86,US199492G863,-,114.68,United States,-,USD,3.02,0.45,1.0,"Apr 01, 2025",5.0,3.02,-,0.45,3.02,0.45,USD,"Feb 17, 2021","Feb 17, 2021"
DENVER COLO CITY & CNTY ARPT R,Transportation,Fixed Income,"5,766,564.48",0.08,"5,766,564.48","5,080,000.00",249182JW7,US249182JW71,-,112.88,United States,-,USD,2.7,0.48,1.0,"Nov 15, 2024",5.0,2.7,-,0.48,2.7,0.48,USD,"Dec 01, 2016","Dec 01, 2016"
FAIRFAX CNTY VA,Local Tax-Backed,Fixed Income,"5,765,916.24",0.08,"5,765,916.24","5,165,000.00",3038207C2,US3038207C28,-,110.38,United States,-,USD,2.14,0.36,1.0,"Apr 01, 2024",5.0,2.13,-,0.36,2.13,0.36,USD,"Feb 02, 2012","Feb 02, 2012"
HONOLULU HAWAII CITY & CNTY,Local Tax-Backed,Fixed Income,"5,761,719.34",0.08,"5,761,719.34","4,970,000.00",438687LY9,US438687LY90,-,114.26,United States,-,USD,2.94,0.46,1.0,"Mar 01, 2025",5.0,2.93,-,0.46,2.93,0.46,USD,"Mar 05, 2020","Mar 05, 2020"
NEW YORK ST TWY AUTH ST PERS I,State Tax-Backed,Fixed Income,"5,757,459.20",0.08,"5,757,459.20","4,935,000.00",650028WK5,US650028WK59,-,114.54,United States,-,USD,2.96,0.43,1.0,"Mar 15, 2025",5.0,2.96,-,0.43,2.96,0.43,USD,"Jul 28, 2021","Jul 28, 2021"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"5,755,741.62",0.08,"5,755,741.62","5,045,000.00",57582RNW2,US57582RNW24,-,111.59,United States,-,USD,2.33,0.34,1.0,"Jul 01, 2024",5.0,2.33,-,0.34,2.33,0.34,USD,"Jun 28, 2017","Jun 28, 2017"
MARYLAND ST DEPT TRANSN CONS T,State Tax-Backed,Fixed Income,"5,723,971.33",0.08,"5,723,971.33","5,000,000.00",574204S79,US574204S797,-,113.31,United States,-,USD,2.74,0.4,1.0,"Dec 01, 2024",5.0,2.73,-,0.4,2.73,0.4,USD,"Oct 07, 2021","Oct 07, 2021"
GEORGIA ST,State Tax-Backed,Fixed Income,"5,717,790.14",0.08,"5,717,790.14","5,215,000.00",373385CG6,US373385CG63,-,107.14,United States,-,USD,1.43,0.23,1.0,"Jul 01, 2023",5.0,1.43,-,0.23,1.43,0.23,USD,"Jul 12, 2018","Jul 12, 2018"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"5,696,451.50",0.08,"5,696,451.50","5,000,000.00",544647DU1,US544647DU15,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Apr 29, 2021","Apr 29, 2021"
GEORGIA ST,State Tax-Backed,Fixed Income,"5,692,613.84",0.08,"5,692,613.84","4,810,000.00",373385CJ0,US373385CJ03,-,115.85,United States,-,USD,3.2,0.43,1.0,"Jul 01, 2025",5.0,3.2,-,0.43,3.2,0.43,USD,"Jul 12, 2018","Jul 12, 2018"
MARYLAND ST DEPT TRANSN CONS T,State Tax-Backed,Fixed Income,"5,692,250.50",0.08,"5,692,250.50","5,000,000.00",574204M83,US574204M832,-,112.6,United States,-,USD,2.58,0.39,1.0,"Oct 01, 2024",5.0,2.58,-,0.39,2.58,0.39,USD,"Oct 17, 2019","Oct 17, 2019"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"5,683,778.80",0.08,"5,683,778.80","5,550,000.00",91412GRT4,US91412GRT49,-,101.77,United States,-,USD,0.37,0.23,1.0,"May 15, 2022",5.0,0.37,-,0.23,0.37,0.23,USD,"Mar 14, 2013","Mar 14, 2013"
MINNESOTA ST,State Tax-Backed,Fixed Income,"5,678,346.06",0.08,"5,678,346.06","5,000,000.00",60412AWZ2,US60412AWZ29,-,112.21,United States,-,USD,2.51,0.39,1.0,"Sep 01, 2024",5.0,2.5,-,0.39,2.5,0.39,USD,"Sep 23, 2021","Sep 23, 2021"
WASHINGTON ST,State Tax-Backed,Fixed Income,"5,672,957.29",0.08,"5,672,957.29","5,180,000.00",93974C8C7,US93974C8C74,-,107.02,United States,-,USD,1.51,2.1,1.0,"Jul 01, 2024",5.0,2.31,-,0.31,1.43,0.31,USD,"Feb 05, 2013","Feb 05, 2013"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"5,652,440.69",0.08,"5,652,440.69","4,850,000.00",59261ADJ3,US59261ADJ34,-,115.91,United States,-,USD,3.57,0.82,1.0,"Nov 15, 2025",5.0,3.56,-,0.82,3.56,0.82,USD,"Feb 25, 2016","Feb 25, 2016"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"5,651,886.96",0.08,"5,651,886.96","5,230,000.00",797356EK4,US797356EK45,-,107.09,United States,-,USD,1.45,0.26,1.0,"Jul 01, 2023",5.0,1.45,-,0.26,1.45,0.26,USD,"Oct 21, 2021","Oct 21, 2021"
TEXAS TRANSN COMMN ST HWY FD R,State Tax-Backed,Fixed Income,"5,640,439.88",0.08,"5,640,439.88","5,380,000.00",88283LJU1,US88283LJU17,-,103.59,United States,-,USD,0.74,0.21,1.0,"Oct 01, 2022",5.0,0.74,-,0.21,0.74,0.21,USD,"Jul 22, 2015","Jul 22, 2015"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"5,636,755.94",0.08,"5,636,755.94","5,000,000.00",59261AB48,US59261AB485,-,112.1,United States,-,USD,2.7,0.74,1.0,"Nov 15, 2024",5.0,2.7,-,0.74,2.7,0.74,USD,"Nov 07, 2019","Nov 07, 2019"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"5,629,501.39",0.08,"5,629,501.39","5,140,000.00",64966LDW8,US64966LDW81,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Dec 19, 2013","Dec 19, 2013"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"5,613,076.44",0.08,"5,613,076.44","5,480,000.00",20772JU83,US20772JU835,-,100.96,United States,-,USD,0.2,0.34,1.0,"Mar 15, 2022",5.0,0.21,-,0.34,0.21,0.34,USD,"Mar 30, 2016","Mar 30, 2016"
MISSOURI ST HWYS & TRANS COMMN,State Tax-Backed,Fixed Income,"5,601,032.13",0.08,"5,601,032.13","4,775,000.00",60636WSU0,US60636WSU08,-,117.08,United States,-,USD,3.67,0.5,1.0,"Nov 01, 2025",5.0,3.66,-,0.5,3.66,0.5,USD,"Dec 15, 2021","Dec 15, 2021"
MASSACHUSETTS ST SCH BLDG AUTH,Prerefund/Escrow,Fixed Income,"5,595,685.67",0.08,"5,595,685.67","4,750,000.00",576000UB7,US576000UB77,-,117.17,United States,-,USD,3.57,0.52,1.0,"Nov 15, 2025",5.0,3.57,-,0.52,3.57,0.52,USD,"Jan 20, 2016","Jan 20, 2016"
METROPOLITAN GOVT NASHVILLE &,Prerefund/Escrow,Fixed Income,"5,591,554.81",0.08,"5,591,554.81","5,215,000.00",592112MY9,US592112MY98,-,104.72,United States,-,USD,0.97,0.27,1.0,"Jan 01, 2023",5.0,0.97,-,0.27,0.97,0.27,USD,"May 09, 2013","May 09, 2013"
CARY N C,Local Tax-Backed,Fixed Income,"5,585,641.12",0.08,"5,585,641.12","4,590,000.00",147051YD2,US147051YD20,-,120.29,United States,-,USD,4.21,0.59,1.0,"Sep 01, 2026",5.0,4.21,-,0.59,4.21,0.59,USD,"Sep 20, 2021","Sep 20, 2021"
FLORIDA ST BRD ED PUB ED,State Tax-Backed,Fixed Income,"5,580,542.83",0.08,"5,580,542.83","5,000,000.00",34153QRB4,US34153QRB40,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Aug 13, 2019","Aug 13, 2019"
FLORIDA ST BRD ED PUB ED,State Tax-Backed,Fixed Income,"5,580,542.83",0.08,"5,580,542.83","5,000,000.00",34153QUT1,US34153QUT11,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Mar 03, 2021","Mar 03, 2021"
NEW JERSEY ST TPK AUTH TPK REV,Prerefund/Escrow,Fixed Income,"5,578,138.28",0.08,"5,578,138.28","5,200,000.00",6461392A2,US6461392A26,-,104.77,United States,-,USD,0.97,0.22,1.0,"Jan 01, 2023",5.0,0.97,-,0.22,0.97,0.22,USD,"Sep 20, 2012","Sep 20, 2012"
KANSAS ST DEV FIN AUTH REV,Utility,Fixed Income,"5,578,011.17",0.08,"5,578,011.17","5,000,000.00",48542RGA6,US48542RGA68,-,110.73,United States,-,USD,2.22,0.38,1.0,"May 01, 2024",5.0,2.22,-,0.38,2.22,0.38,USD,"Feb 27, 2020","Feb 27, 2020"
WISCONSIN ST,State Tax-Backed,Fixed Income,"5,578,011.17",0.08,"5,578,011.17","5,000,000.00",97705MQZ1,US97705MQZ13,-,110.73,United States,-,USD,2.22,0.38,1.0,"May 01, 2024",5.0,2.22,-,0.38,2.22,0.38,USD,"Jun 18, 2020","Jun 18, 2020"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"5,574,457.67",0.08,"5,574,457.67","4,900,000.00",64972GXH2,US64972GXH28,-,113.54,United States,-,USD,3.08,1.82,1.0,"Jun 15, 2026",5.0,4.03,-,0.39,2.79,0.39,USD,"Jun 10, 2020","Jun 10, 2020"
TEXAS ST UNIV SYS FING REV,Education,Fixed Income,"5,573,729.03",0.08,"5,573,729.03","4,815,000.00",88278PUH5,US88278PUH53,-,114.29,United States,-,USD,2.98,0.5,1.0,"Mar 15, 2025",5.0,2.97,-,0.5,2.97,0.5,USD,"Mar 18, 2015","Mar 01, 2015"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"5,571,824.04",0.08,"5,571,824.04","5,200,000.00",650035F86,US650035F864,-,105.68,United States,-,USD,1.45,3.53,1.0,"Mar 15, 2026",5.0,3.74,-,0.28,1.17,0.28,USD,"Dec 19, 2013","Dec 19, 2013"
JEFFERSON CNTY COLO SCH DIST NO R-,School Districts,Fixed Income,"5,569,780.49",0.08,"5,569,780.49","5,315,000.00",472736P27,US472736P276,-,104.57,United States,-,USD,0.94,0.21,1.0,"Dec 15, 2022",5.0,0.94,-,0.21,0.94,0.21,USD,"Mar 15, 2010","Mar 15, 2010"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"5,567,207.90",0.08,"5,567,207.90","5,195,000.00",64966KDW0,US64966KDW09,-,105.08,United States,-,USD,1.08,1.73,1.0,"Aug 01, 2023",5.0,1.5,-,0.3,1.05,0.3,USD,"Jan 03, 2013","Jan 03, 2013"
NEW YORK ST URBAN DEV CORP ST,State Tax-Backed,Fixed Income,"5,558,396.11",0.08,"5,558,396.11","5,000,000.00",64985TBV2,US64985TBV26,-,110.2,United States,-,USD,2.1,0.35,1.0,"Mar 15, 2024",5.0,2.1,-,0.35,2.1,0.35,USD,"Oct 21, 2021","Oct 21, 2021"
OHIO ST TPK COMMN TPK REV,Prerefund/Escrow,Fixed Income,"5,551,846.24",0.08,"5,551,846.24","5,180,000.00",67760HJY8,US67760HJY80,-,105.29,United States,-,USD,1.09,0.28,1.0,"Feb 15, 2023",5.0,1.09,-,0.28,1.09,0.28,USD,"Aug 15, 2013","Aug 15, 2013"
MASSACHUSETTS ST SCH BLDG AUTH,Prerefund/Escrow,Fixed Income,"5,547,592.26",0.08,"5,547,592.26","5,290,000.00",576000MN0,US576000MN08,-,102.98,United States,-,USD,0.61,0.2,1.0,"Aug 15, 2022",5.0,0.61,-,0.2,0.61,0.2,USD,"Aug 16, 2012","Aug 16, 2012"
GRAND PARKWAY TRANSN CORP TEX,Prerefund/Escrow,Fixed Income,"5,541,475.87",0.08,"5,541,475.87","5,020,000.00",38611TAB3,US38611TAB35,-,108.98,United States,-,USD,1.68,0.35,1.0,"Oct 01, 2023",5.5,1.67,-,0.35,1.67,0.35,USD,"Aug 01, 2013","Aug 01, 2013"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"5,538,647.76",0.08,"5,538,647.76","5,070,000.00",20772JRA2,US20772JRA24,-,108.19,United States,-,USD,1.83,1.97,1.0,"Oct 15, 2024",5.0,2.59,-,0.4,1.72,0.4,USD,"Oct 24, 2013","Oct 24, 2013"
CONNECTICUT ST HEALTH & EDL FA,Prerefund/Escrow,Fixed Income,"5,533,120.29",0.08,"5,533,120.29","5,060,000.00",20774YPV3,-,-,108.52,United States,-,USD,1.76,0.34,1.0,"Nov 01, 2023",5.0,1.76,-,0.34,1.76,0.34,USD,"Oct 23, 2013","Oct 23, 2013"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"5,529,411.49",0.08,"5,529,411.49","4,605,000.00",650035W95,US650035W950,-,118.6,United States,-,USD,3.82,0.52,1.0,"Mar 15, 2026",5.0,3.82,-,0.52,3.82,0.52,USD,"Mar 17, 2016","Mar 17, 2016"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"5,492,634.20",0.08,"5,492,634.20","4,655,000.00",57582RNL6,US57582RNL68,-,116.74,United States,-,USD,3.45,0.49,1.0,"Oct 01, 2025",5.0,3.45,-,0.49,3.45,0.49,USD,"Apr 13, 2017","Apr 13, 2017"
TEXAS A & M UNIV REV,Education,Fixed Income,"5,485,601.14",0.08,"5,485,601.14","4,735,000.00",88213AKU8,US88213AKU87,-,115.21,United States,-,USD,3.14,0.45,1.0,"May 15, 2025",5.0,3.14,-,0.45,3.14,0.45,USD,"Dec 20, 2017","Dec 20, 2017"
NEW YORK ST DORM AUTH REVS NON,Prerefund/Escrow,Fixed Income,"5,479,723.00",0.08,"5,479,723.00","5,000,000.00",649907UK6,US649907UK67,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"Sep 11, 2013","Sep 11, 2013"
HAWAII ST,Prerefund/Escrow,Fixed Income,"5,476,993.17",0.08,"5,476,993.17","5,000,000.00",419792VH6,US419792VH67,-,107.46,United States,-,USD,1.51,0.28,1.0,"Aug 01, 2023",5.0,1.51,-,0.28,1.51,0.28,USD,"Nov 21, 2013","Nov 21, 2013"
HARRIS CNTY TEX FLOOD CTL DIST,Local Tax-Backed,Fixed Income,"5,471,896.00",0.08,"5,471,896.00","5,000,000.00",4140187F2,US4140187F22,-,108.19,United States,-,USD,1.68,0.3,1.0,"Oct 01, 2023",5.0,1.68,-,0.3,1.68,0.3,USD,"Oct 17, 2019","Oct 17, 2019"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"5,468,968.51",0.08,"5,468,968.51","4,805,000.00",64971XFB9,US64971XFB91,-,111.73,United States,-,USD,2.42,0.43,1.0,"Aug 01, 2024",5.0,2.41,-,0.43,2.41,0.43,USD,"Aug 10, 2018","Aug 10, 2018"
MARYLAND ST DEPT OF TRANSPRTNCONSO,State Tax-Backed,Fixed Income,"5,413,816.08",0.08,"5,413,816.08","4,585,000.00",574204H48,US574204H485,-,116.41,United States,-,USD,3.37,0.48,1.0,"Sep 01, 2025",5.0,3.36,-,0.48,3.36,0.48,USD,"Sep 21, 2017","Sep 21, 2017"
MISSISSIPPI ST,State Tax-Backed,Fixed Income,"5,410,089.88",0.08,"5,410,089.88","5,210,000.00",605581BM8,US605581BM89,-,103.17,United States,-,USD,0.83,0.19,1.0,"Nov 01, 2022",4.0,0.82,-,0.19,0.82,0.19,USD,"Aug 28, 2012","Aug 28, 2012"
WISCONSIN ST,Prerefund/Escrow,Fixed Income,"5,405,741.88",0.08,"5,405,741.88","5,045,000.00",97705MLN3,US97705MLN38,-,106.32,United States,-,USD,1.3,0.25,1.0,"May 01, 2023",5.0,1.3,-,0.25,1.3,0.25,USD,"Mar 15, 2018","Mar 15, 2018"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"5,394,392.26",0.08,"5,394,392.26","4,575,000.00",79765RH28,US79765RH284,-,117.08,United States,-,USD,3.54,0.5,1.0,"Nov 01, 2025",5.0,3.53,-,0.5,3.53,0.5,USD,"Oct 20, 2016","Oct 20, 2016"
MASSACHUSETTS ST SCH BLDG AUTH,State Tax-Backed,Fixed Income,"5,382,031.44",0.08,"5,382,031.44","5,135,000.00",576000YA5,US576000YA58,-,102.92,United States,-,USD,0.66,3.82,1.0,"Aug 15, 2024",5.0,2.4,-,0.3,0.61,0.3,USD,"Aug 16, 2012","Aug 16, 2012"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"5,370,108.89",0.08,"5,370,108.89","5,010,000.00",6500354B1,US6500354B18,-,105.72,United States,-,USD,1.17,0.25,1.0,"Mar 15, 2023",5.0,1.17,-,0.25,1.17,0.25,USD,"Mar 23, 2017","Mar 23, 2017"
HOWARD CNTY MD,Local Tax-Backed,Fixed Income,"5,363,232.44",0.08,"5,363,232.44","5,000,000.00",44256PCQ4,US44256PCQ46,-,105.38,United States,-,USD,1.09,0.2,1.0,"Feb 15, 2023",5.0,1.09,-,0.2,1.09,0.2,USD,"Apr 22, 2015","Apr 22, 2015"
NEW YORK N Y,Prerefund/Escrow,Fixed Income,"5,361,343.83",0.08,"5,361,343.83","5,000,000.00",64966QTH3,US64966QTH38,-,105.56,United States,-,USD,1.13,0.22,1.0,"Mar 01, 2023",5.0,1.13,-,0.22,1.13,0.22,USD,"Mar 19, 2013","Mar 19, 2013"
MASSACHUSETTS ST SCH BLDG AUTH,Prerefund/Escrow,Fixed Income,"5,360,077.85",0.08,"5,360,077.85","4,550,000.00",576000UA9,US576000UA94,-,117.17,United States,-,USD,3.57,0.52,1.0,"Nov 15, 2025",5.0,3.57,-,0.52,3.57,0.52,USD,"Jan 20, 2016","Jan 20, 2016"
TEXAS A & M UNIV REV,Education,Fixed Income,"5,356,708.44",0.08,"5,356,708.44","5,000,000.00",88213AGQ2,US88213AGQ22,-,106.5,United States,-,USD,1.33,0.26,1.0,"May 15, 2023",5.0,1.34,-,0.26,1.34,0.26,USD,"Jul 20, 2016","Jul 20, 2016"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"5,356,833.67",0.08,"5,356,833.67","5,000,000.00",65829QDU5,US65829QDU58,-,106.3,United States,-,USD,1.3,0.26,1.0,"May 01, 2023",5.0,1.3,-,0.26,1.3,0.26,USD,"Nov 12, 2020","Nov 12, 2020"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"5,340,648.08",0.08,"5,340,648.08","4,690,000.00",64966LRK9,US64966LRK97,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Sep 04, 2014","Sep 04, 2014"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"5,338,556.11",0.08,"5,338,556.11","4,615,000.00",20772KFS3,US20772KFS33,-,114.62,United States,-,USD,3.06,0.51,1.0,"Apr 15, 2025",5.0,3.06,-,0.51,3.06,0.51,USD,"Apr 11, 2019","Apr 11, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"5,327,124.73",0.08,"5,327,124.73","4,865,000.00",13063CY95,US13063CY959,-,107.83,United States,-,USD,1.6,0.29,1.0,"Sep 01, 2023",5.0,1.6,-,0.29,1.6,0.29,USD,"Sep 13, 2016","Sep 13, 2016"
CONNECTICUT ST,State Tax-Backed,Fixed Income,"5,326,957.94",0.08,"5,326,957.94","5,200,000.00",20772KGW3,US20772KGW36,-,100.55,United States,-,USD,0.13,0.47,1.0,"Feb 15, 2022",5.0,0.12,-,0.47,0.12,0.47,USD,"Aug 07, 2019","Aug 07, 2019"
UTAH TRAN AUTH SALES TAX REV,Prerefund/Escrow,Fixed Income,"5,326,464.76",0.08,"5,326,464.76","4,600,000.00",917567FA2,US917567FA29,-,115.57,United States,-,USD,3.22,0.45,1.0,"Jun 15, 2025",5.0,3.22,-,0.45,3.22,0.45,USD,"Feb 25, 2015","Feb 25, 2015"
WASHINGTON ST,State Tax-Backed,Fixed Income,"5,313,847.05",0.08,"5,313,847.05","4,500,000.00",93974EHL3,US93974EHL39,-,115.59,United States,-,USD,3.2,0.5,1.0,"Jul 01, 2025",5.0,3.2,-,0.5,3.2,0.5,USD,"Apr 29, 2020","Apr 29, 2020"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"5,301,081.69",0.08,"5,301,081.69","5,105,000.00",13063DZS0,US13063DZS07,-,103.51,United States,-,USD,0.91,0.17,1.0,"Dec 01, 2022",4.0,0.91,-,0.17,0.91,0.17,USD,"Mar 23, 2021","Mar 23, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"5,297,090.10",0.08,"5,297,090.10","5,050,000.00",64971XAD0,US64971XAD03,-,102.81,United States,-,USD,0.57,0.18,1.0,"Aug 01, 2022",5.0,0.57,-,0.18,0.57,0.18,USD,"Aug 17, 2017","Aug 17, 2017"
MARYLAND ST,State Tax-Backed,Fixed Income,"5,296,252.39",0.08,"5,296,252.39","4,835,000.00",574193KM9,US574193KM94,-,107.46,United States,-,USD,1.51,0.28,1.0,"Aug 01, 2023",5.0,1.51,-,0.28,1.51,0.28,USD,"Aug 05, 2014","Aug 05, 2014"
METROPOLITAN GOVT NASHVILLE &,Prerefund/Escrow,Fixed Income,"5,291,337.10",0.08,"5,291,337.10","4,935,000.00",592112NE2,US592112NE26,-,104.72,United States,-,USD,0.97,0.27,1.0,"Jan 01, 2023",5.0,0.97,-,0.27,0.97,0.27,USD,"May 09, 2013","May 09, 2013"
