,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
PERUSAHAAN LISTRIK NEGARA (PERSERO MTN 144A,Owned No Guarantee,Fixed Income,"859,351.81",0.03,"859,351.81","786,000.00",71568PAK5,US71568PAK57,BK5QHF6,107.13,Indonesia,-,USD,15.16,4.42,1.0,"Jul 17, 2049",4.88,15.2,-,4.42,15.2,4.42,USD,"Jul 17, 2019","Jul 17, 2019"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"858,681.05",0.03,"858,681.05","895,000.00",02209SBL6,US02209SBL60,-,94.94,United States,-,USD,8.76,3.04,1.0,"Feb 04, 2032",2.45,8.74,-,3.04,8.74,3.04,USD,"Feb 04, 2021","Feb 04, 2021"
SIEMENS FINANCIERINGSMAATSCHAPPIJ 144A,Capital Goods,Fixed Income,"858,885.06",0.03,"858,885.06","835,000.00",82620KBF9,US82620KBF93,BMC9NW1,101.99,Germany,-,USD,14.57,2.74,1.0,"Mar 11, 2041",2.88,14.61,-,2.74,14.61,2.74,USD,"Mar 11, 2021","Mar 11, 2021"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"858,633.06",0.03,"858,633.06","832,000.00",02209SAM5,US02209SAM52,B8K84P2,101.52,United States,-,USD,13.49,4.14,1.0,"Aug 09, 2042",4.25,13.48,-,4.14,13.48,4.14,USD,"Aug 09, 2012","Aug 09, 2012"
ASTRAZENECA PLC,Consumer Non-Cyclical,Fixed Income,"857,801.19",0.03,"857,801.19","667,000.00",046353AM0,US046353AM00,BYQNQH9,128.06,United Kingdom,-,USD,15.77,2.76,1.0,"Nov 16, 2045",4.38,15.87,-,2.76,15.87,2.76,USD,"Nov 16, 2015","Nov 16, 2015"
EASTMAN CHEMICAL CO,Basic Industry,Fixed Income,"857,275.22",0.03,"857,275.22","711,000.00",277432AP5,US277432AP52,BMHDHX7,119.59,United States,-,USD,14.53,3.41,1.0,"Oct 15, 2044",4.65,14.7,-,3.39,14.5,3.39,USD,"May 15, 2014","May 15, 2014"
HSBC HOLDINGS PLC,Banking,Fixed Income,"856,478.44",0.03,"856,478.44","618,000.00",404280AF6,US404280AF65,B0JT2X4,137.66,United Kingdom,-,USD,7.71,3.31,1.0,"May 17, 2032",7.63,7.67,-,3.31,7.67,3.31,USD,"May 17, 2005","Aug 25, 2005"
WYETH,Consumer Non-Cyclical,Fixed Income,"856,455.40",0.03,"856,455.40","598,000.00",983024AL4,US983024AL46,B0Z6LM1,140.95,United States,-,USD,10.18,2.53,1.0,"Feb 15, 2036",6.0,10.19,-,2.53,10.19,2.53,USD,"Nov 14, 2005","Feb 07, 2006"
PERTAMINA PERSERO PT MTN 144A,Owned No Guarantee,Fixed Income,"855,733.60",0.03,"855,733.60","770,000.00",69370PAE1,US69370PAE16,-,109.18,Indonesia,-,USD,15.59,4.14,1.0,"Jul 30, 2049",4.7,15.65,-,4.14,15.65,4.14,USD,"Jul 30, 2019","Jul 30, 2019"
BANK OF AMERICA CORP MTN,Banking,Fixed Income,"855,785.19",0.03,"855,785.19","867,000.00",06051GJM2,US06051GJM24,BLNB200,98.18,United States,-,USD,17.74,2.9,1.0,"Oct 24, 2051",2.83,19.42,-,2.9,19.41,2.9,USD,"Oct 21, 2020","Oct 21, 2020"
KINDER MORGAN INC,Energy,Fixed Income,"855,442.70",0.03,"855,442.70","683,000.00",49456BAQ4,US49456BAQ41,BDR5VY9,123.51,United States,-,USD,15.1,3.78,1.0,"Mar 01, 2048",5.2,15.27,-,3.76,15.11,3.76,USD,"Mar 01, 2018","Mar 01, 2018"
PARTNERS HEALTHCARE SYSTEM INC,Consumer Non-Cyclical,Fixed Income,"855,235.17",0.03,"855,235.17","774,000.00",70213HAF5,US70213HAF55,-,108.82,United States,-,USD,21.71,2.96,1.0,"Jul 01, 2060",3.34,21.98,-,2.95,21.83,2.95,USD,"Jan 29, 2020","Jan 29, 2020"
PACIFIC LIFE INSURANCE COMPANY 144A,Insurance,Fixed Income,"854,554.06",0.03,"854,554.06","740,000.00",69448FAA9,US69448FAA93,BZ3CYH2,114.68,United States,-,USD,15.9,3.33,1.0,"Oct 24, 2067",4.3,16.57,-,3.33,16.15,3.33,USD,"Oct 24, 2017","Oct 24, 2017"
BARCLAYS PLC,Banking,Fixed Income,"854,535.15",0.03,"854,535.15","837,000.00",06738EBW4,US06738EBW49,-,101.76,United Kingdom,-,USD,13.4,3.11,1.0,"Nov 24, 2042",3.33,14.48,-,3.11,14.48,3.11,USD,"Nov 24, 2021","Nov 24, 2021"
TRANSCANADA PIPELINES LIMITED,Energy,Fixed Income,"853,986.81",0.03,"853,986.81","718,000.00",89352HAM1,US89352HAM16,BLSP672,117.4,Canada,-,USD,9.36,2.92,1.0,"Mar 01, 2034",4.63,9.42,-,2.89,9.27,2.89,USD,"Feb 28, 2014","Feb 28, 2014"
ENERGY TRANSFER PARTNERS LP,Energy,Fixed Income,"854,067.07",0.03,"854,067.07","730,000.00",29273RBL2,US29273RBL24,BDHTRM1,115.88,United States,-,USD,14.44,4.27,1.0,"Apr 15, 2047",5.3,14.57,-,4.26,14.41,4.26,USD,"Jan 17, 2017","Jan 17, 2017"
SINOPEC GROUP OVERSEAS DEVELOPMENT 144A,Owned No Guarantee,Fixed Income,"853,618.12",0.03,"853,618.12","850,000.00",82939GAQ1,US82939GAQ10,BL981C0,99.99,China,-,USD,17.96,3.35,1.0,"May 13, 2050",3.35,18.14,-,3.35,18.14,3.35,USD,"May 13, 2020","May 13, 2020"
GRUPO TELEVISA SAB,Communications,Fixed Income,"853,342.11",0.03,"853,342.11","719,000.00",40049JBA4,US40049JBA43,BMJ71M4,118.03,Mexico,-,USD,14.32,3.83,1.0,"May 13, 2045",5.0,14.47,-,3.81,14.29,3.81,USD,"May 13, 2014","May 13, 2014"
DISCOVERY COMMUNICATIONS INC,Communications,Fixed Income,"852,439.55",0.03,"852,439.55","619,000.00",25470DAD1,US25470DAD12,B56M372,137.18,United States,-,USD,11.96,3.58,1.0,"Jun 01, 2040",6.35,11.98,-,3.58,11.98,3.58,USD,"Jun 03, 2010","Jun 03, 2010"
RAYTHEON TECHNOLOGIES CORPORATION,Capital Goods,Fixed Income,"852,267.25",0.03,"852,267.25","728,000.00",913017CA5,US913017CA50,BWTZ6W3,116.54,United States,-,USD,15.34,3.15,1.0,"May 15, 2045",4.15,15.53,-,3.13,15.32,3.13,USD,"May 04, 2015","May 04, 2015"
ASCENSION HEALTH ALLIANCE,Consumer Non-Cyclical,Fixed Income,"852,027.85",0.03,"852,027.85","694,000.00",04351LAB6,US04351LAB62,BYYXY44,122.27,United States,-,USD,16.59,2.71,1.0,"Nov 15, 2046",3.94,16.7,-,2.71,16.7,2.71,USD,"May 11, 2016","May 11, 2016"
ANTHEM INC,Insurance,Fixed Income,"852,083.33",0.03,"852,083.33","675,000.00",036752AH6,US036752AH62,BF2PYZ0,124.72,United States,-,USD,16.06,3.16,1.0,"Mar 01, 2048",4.55,16.27,-,3.14,16.09,3.14,USD,"Mar 02, 2018","Mar 02, 2018"
PARKER HANNIFIN CORP MTN,Capital Goods,Fixed Income,"851,851.94",0.03,"851,851.94","615,000.00",70109HAJ4,US70109HAJ41,B2RK017,137.71,United States,-,USD,11.16,3.26,1.0,"May 15, 2038",6.25,11.17,-,3.26,11.17,3.26,USD,"May 16, 2008","May 16, 2008"
PRUDENTIAL FINANCIAL INC MTN,Insurance,Fixed Income,"850,722.70",0.03,"850,722.70","585,000.00",74432QBD6,US74432QBD60,B29QSG4,144.87,United States,-,USD,10.91,3.05,1.0,"Dec 01, 2037",6.63,10.92,-,3.05,10.92,3.05,USD,"Dec 03, 2007","Dec 03, 2007"
INTERNATIONAL PAPER CO,Basic Industry,Fixed Income,"850,442.38",0.03,"850,442.38","683,000.00",460146CQ4,US460146CQ41,BYYGTQ0,122.85,United States,-,USD,15.98,3.1,1.0,"Aug 15, 2047",4.4,16.19,-,3.09,16.0,3.09,USD,"Aug 11, 2016","Aug 11, 2016"
HASBRO INC,Consumer Non-Cyclical,Fixed Income,"848,838.04",0.03,"848,838.04","607,000.00",418056AS6,US418056AS62,B66F4L9,137.97,United States,-,USD,11.78,3.51,1.0,"Mar 15, 2040",6.35,11.8,-,3.51,11.8,3.51,USD,"Mar 11, 2010","Mar 11, 2010"
ALLSTATE CORPORATION (THE),Insurance,Fixed Income,"848,621.63",0.03,"848,621.63","610,000.00",020002AT8,US020002AT86,B11Y5N5,137.63,United States,-,USD,10.27,2.74,1.0,"Apr 01, 2036",5.95,10.28,-,2.74,10.28,2.74,USD,"Mar 24, 2006","Mar 24, 2006"
SEMPRA ENERGY,Natural Gas,Fixed Income,"848,251.54",0.03,"848,251.54","609,000.00",816851AP4,US816851AP42,B4T9B57,138.02,United States,-,USD,11.9,3.18,1.0,"Oct 15, 2039",6.0,11.93,-,3.18,11.93,3.18,USD,"Oct 08, 2009","Oct 08, 2009"
BOEING CO,Capital Goods,Fixed Income,"848,164.52",0.03,"848,164.52","804,000.00",097023CK9,US097023CK94,BK1WFJ8,104.84,United States,-,USD,16.74,3.62,1.0,"May 01, 2049",3.9,16.9,-,3.62,16.72,3.62,USD,"May 02, 2019","May 02, 2019"
CENOVUS ENERGY INC,Energy,Fixed Income,"847,657.60",0.03,"847,657.60","716,000.00",15135UAP4,US15135UAP49,BFNWDQ4,118.15,Canada,-,USD,10.85,3.7,1.0,"Jun 15, 2037",5.25,10.97,-,3.66,10.72,3.66,USD,"Apr 07, 2017","Dec 11, 2017"
TYSON FOODS INC,Consumer Non-Cyclical,Fixed Income,"847,653.90",0.03,"847,653.90","682,000.00",902494BD4,US902494BD46,BF0P399,123.92,United States,-,USD,15.9,3.17,1.0,"Jun 02, 2047",4.55,16.11,-,3.16,15.92,3.16,USD,"Jun 02, 2017","Jun 02, 2017"
RAYMOND JAMES FINANCIAL INC.,Brokerage/Asset Managers/Exchanges,Fixed Income,"846,538.92",0.03,"846,538.92","760,000.00",754730AH2,US754730AH26,-,110.45,United States,-,USD,17.94,3.2,1.0,"Apr 01, 2051",3.75,18.15,-,3.19,17.96,3.19,USD,"Apr 01, 2021","Apr 01, 2021"
LYB INTERNATIONAL FINANCE BV,Basic Industry,Fixed Income,"845,878.37",0.03,"845,878.37","645,000.00",50247VAB5,US50247VAB53,BCBR9Y0,128.72,United States,-,USD,13.67,3.36,1.0,"Jul 15, 2043",5.25,13.72,-,3.36,13.72,3.36,USD,"Jul 16, 2013","Jul 16, 2013"
CHEVRON USA INC,Energy,Fixed Income,"845,886.97",0.03,"845,886.97","908,000.00",166756AH9,US166756AH97,-,92.25,United States,-,USD,19.97,2.73,1.0,"Aug 12, 2050",2.34,20.16,-,2.73,20.16,2.73,USD,"Aug 12, 2020","Aug 12, 2020"
ENERGY TRANSFER PARTNERS LP,Energy,Fixed Income,"845,351.38",0.03,"845,351.38","679,000.00",29278NAE3,US29278NAE31,BDFT2Z1,124.23,United States,-,USD,14.4,4.43,1.0,"Jun 15, 2048",6.0,14.53,-,4.42,14.39,4.42,USD,"Jun 08, 2018","Jun 08, 2018"
ARCELORMITTAL,Basic Industry,Fixed Income,"844,661.50",0.03,"844,661.50","615,000.00",03938LAS3,US03938LAS34,B5NGHC0,135.01,Luxembourg,-,USD,11.58,4.3,1.0,"Mar 01, 2041",6.75,11.58,-,4.3,11.58,4.3,USD,"Mar 07, 2011","Mar 07, 2011"
BERKSHIRE HATHAWAY ENERGY CO,Electric,Fixed Income,"844,436.21",0.03,"844,436.21","652,000.00",59562VBD8,US59562VBD82,BMJ6RW3,128.86,United States,-,USD,13.96,3.29,1.0,"Nov 15, 2043",5.15,14.15,-,3.26,13.94,3.26,USD,"Nov 08, 2013","Apr 28, 2014"
DH EUROPE FINANCE II SARL,Consumer Non-Cyclical,Fixed Income,"844,466.33",0.03,"844,466.33","788,000.00",23291KAJ4,US23291KAJ43,-,106.75,United States,-,USD,13.45,2.77,1.0,"Nov 15, 2039",3.25,13.61,-,2.76,13.32,2.76,USD,"Nov 07, 2019","Nov 07, 2019"
LYB INTERNATIONAL FINANCE III LLC,Basic Industry,Fixed Income,"844,561.65",0.03,"844,561.65","793,000.00",50249AAK9,US50249AAK97,-,105.55,United States,-,USD,20.3,3.54,1.0,"Oct 01, 2060",3.8,20.52,-,3.53,20.39,3.53,USD,"Oct 08, 2020","Oct 08, 2020"
UNITEDHEALTH GROUP INCORPORATED,Insurance,Fixed Income,"844,206.90",0.03,"844,206.90","669,000.00",91324PBU5,US91324PBU57,B76MDD2,125.6,United States,-,USD,13.53,2.92,1.0,"Nov 15, 2041",4.63,13.73,-,2.89,13.5,2.89,USD,"Nov 10, 2011","Nov 10, 2011"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,Fixed Income,"843,847.92",0.03,"843,847.92","519,000.00",03523TBJ6,US03523TBJ60,B3RQGZ8,161.57,Belgium,-,USD,11.26,3.38,1.0,"Nov 15, 2039",8.0,11.29,-,3.38,11.29,3.38,USD,"Nov 15, 2010","Mar 14, 2011"
APPLIED MATERIALS INC,Technology,Fixed Income,"841,335.15",0.03,"841,335.15","657,000.00",038222AM7,US038222AM71,BYVBMC5,126.97,United States,-,USD,16.13,2.85,1.0,"Apr 01, 2047",4.35,16.36,-,2.83,16.16,2.83,USD,"Mar 31, 2017","Mar 31, 2017"
KAISER FOUNDATION HOSPITALS,Consumer Non-Cyclical,Fixed Income,"840,902.85",0.03,"840,902.85","782,000.00",48305QAE3,US48305QAE35,BKS7M84,106.99,United States,-,USD,18.27,2.9,1.0,"Nov 01, 2049",3.27,18.47,-,2.89,18.27,2.89,USD,"Oct 31, 2019","Oct 31, 2019"
PRUDENTIAL FINANCIAL INC,Insurance,Fixed Income,"840,583.14",0.03,"840,583.14","719,000.00",744320BA9,US744320BA94,BFZCSL2,116.65,United States,-,USD,17.52,3.05,1.0,"Dec 07, 2049",3.94,17.74,-,3.04,17.54,3.04,USD,"Dec 07, 2017","May 03, 2018"
ENTERPRISE PRODUCTS OPERATING LLC,Energy,Fixed Income,"839,582.22",0.03,"839,582.22","766,000.00",29379VBZ5,US29379VBZ58,BKM3QK8,107.96,United States,-,USD,19.79,3.57,1.0,"Jan 31, 2060",3.95,20.01,-,3.56,19.88,3.56,USD,"Jan 15, 2020","Jan 15, 2020"
AETNA INC,Insurance,Fixed Income,"838,886.47",0.03,"838,886.47","579,000.00",00817YAG3,US00817YAG35,B29T2H2,144.59,United States,-,USD,10.87,3.17,1.0,"Dec 15, 2037",6.75,10.88,-,3.17,10.88,3.17,USD,"Dec 04, 2007","Dec 04, 2007"
ASTRAZENECA PLC,Consumer Non-Cyclical,Fixed Income,"837,593.54",0.03,"837,593.54","641,000.00",046353AU2,US046353AU26,BGHJWG1,129.05,United Kingdom,-,USD,16.64,2.82,1.0,"Aug 17, 2048",4.38,16.89,-,2.8,16.69,2.8,USD,"Aug 17, 2018","Aug 17, 2018"
TEXAS INSTRUMENTS INC,Technology,Fixed Income,"837,551.79",0.03,"837,551.79","702,000.00",882508BF0,US882508BF00,-,118.17,United States,-,USD,12.64,2.56,1.0,"Mar 15, 2039",3.88,12.84,-,2.53,12.57,2.53,USD,"Mar 11, 2019","Mar 11, 2019"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"837,190.75",0.03,"837,190.75","599,000.00",12189LAA9,US12189LAA98,B4PXK12,138.81,United States,-,USD,12.19,2.99,1.0,"May 01, 2040",5.75,12.4,-,2.94,12.18,2.94,USD,"May 17, 2010","May 17, 2010"
SOUTHERN CALIFORNIA EDISON COMPANY,Electric,Fixed Income,"836,301.37",0.03,"836,301.37","632,000.00",842400ES8,US842400ES88,2317894,129.56,United States,-,USD,8.9,3.05,1.0,"Jan 15, 2034",6.0,8.87,-,3.05,8.87,3.05,USD,"Jan 14, 2004","Jan 14, 2004"
FLORIDA POWER AND LIGHT CO,Electric,Fixed Income,"836,022.13",0.03,"836,022.13","590,000.00",341081FA0,US341081FA03,B2Q0F35,139.22,United States,-,USD,11.1,2.88,1.0,"Feb 01, 2038",5.95,11.13,-,2.88,11.13,2.88,USD,"Jan 16, 2008","Jan 16, 2008"
PULTE HOMES INC,Consumer Cyclical,Fixed Income,"834,813.96",0.03,"834,813.96","638,000.00",745867AP6,US745867AP60,2691424,130.03,United States,-,USD,8.54,3.2,1.0,"May 15, 2033",6.38,8.5,-,3.2,8.5,3.2,USD,"May 22, 2003","May 22, 2003"
PRINCETON UNIVERSITY,Industrial Other,Fixed Income,"834,397.73",0.03,"834,397.73","571,000.00",89837LAB1,US89837LAB18,B3L59G3,144.23,United States,-,USD,11.9,2.51,1.0,"Mar 01, 2039",5.7,11.95,-,2.51,11.95,2.51,USD,"Jan 21, 2009","Jan 21, 2009"
WALT DISNEY CO,Communications,Fixed Income,"834,555.40",0.03,"834,555.40","634,000.00",254687FB7,US254687FB70,-,131.03,United States,-,USD,15.65,2.98,1.0,"Nov 15, 2046",4.75,15.88,-,2.95,15.69,2.95,USD,"Nov 15, 2019","Nov 22, 2019"
CME GROUP INC,Brokerage/Asset Managers/Exchanges,Fixed Income,"833,137.96",0.03,"833,137.96","643,000.00",12572QAH8,US12572QAH83,BFNJ440,129.39,United States,-,USD,17.11,2.61,1.0,"Jun 15, 2048",4.15,17.37,-,2.59,17.16,2.59,USD,"Jun 21, 2018","Jun 21, 2018"
WALT DISNEY CO,Communications,Fixed Income,"832,994.05",0.03,"832,994.05","595,000.00",254687ET9,US254687ET97,BJQX544,138.65,United States,-,USD,14.02,2.97,1.0,"Oct 01, 2043",5.4,14.09,-,2.97,14.09,2.97,USD,"Oct 01, 2019","Nov 22, 2019"
DOLLAR TREE INC,Consumer Cyclical,Fixed Income,"832,842.04",0.03,"832,842.04","825,000.00",256746AK4,US256746AK45,-,100.67,United States,-,USD,18.55,3.34,1.0,"Dec 01, 2051",3.38,18.73,-,3.34,18.55,3.34,USD,"Dec 01, 2021","Dec 01, 2021"
NORFOLK SOUTHERN CORPORATION,Transportation,Fixed Income,"832,532.65",0.03,"832,532.65","684,000.00",655844BV9,US655844BV94,BGDLQC5,120.19,United States,-,USD,18.24,3.03,1.0,"Aug 15, 2052",4.05,18.48,-,3.02,18.3,3.02,USD,"Feb 15, 2018","May 23, 2018"
NVIDIA CORPORATION,Technology,Fixed Income,"832,429.40",0.03,"832,429.40","735,000.00",67066GAG9,US67066GAG91,BKP3KQ9,112.38,United States,-,USD,13.47,2.64,1.0,"Apr 01, 2040",3.5,13.66,-,2.62,13.38,2.62,USD,"Mar 31, 2020","Mar 31, 2020"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"831,797.52",0.03,"831,797.52","707,000.00",12189LAZ4,US12189LAZ40,BYP8NL8,116.03,United States,-,USD,16.03,2.98,1.0,"Aug 01, 2046",3.9,16.23,-,2.96,16.02,2.96,USD,"May 16, 2016","May 16, 2016"
TRAVELERS PROPERTY CASUALTY CORP,Insurance,Fixed Income,"831,511.09",0.03,"831,511.09","590,000.00",89420GAE9,US89420GAE98,2600851,139.06,United States,-,USD,8.48,2.38,1.0,"Mar 15, 2033",6.38,8.48,-,2.38,8.48,2.38,USD,"Mar 11, 2003","May 13, 2003"
BURLINGTON NORTHERN SANTA FE LLC,Transportation,Fixed Income,"829,812.16",0.03,"829,812.16","668,000.00",12189LAN1,US12189LAN10,B7YGHX4,122.91,United States,-,USD,14.16,2.98,1.0,"Mar 15, 2043",4.45,14.36,-,2.96,14.13,2.96,USD,"Mar 12, 2013","Mar 12, 2013"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"829,174.16",0.03,"829,174.16","702,000.00",494550BP0,US494550BP09,B83ZS69,116.46,United States,-,USD,13.33,3.85,1.0,"Mar 01, 2043",5.0,13.47,-,3.84,13.27,3.84,USD,"Feb 28, 2013","Feb 28, 2013"
NESTLE HOLDINGS INC. 144A,Consumer Non-Cyclical,Fixed Income,"829,307.70",0.03,"829,307.70","707,000.00",641062AL8,US641062AL84,BG0QJS0,116.25,United States,-,USD,12.34,2.69,1.0,"Sep 24, 2038",3.9,12.52,-,2.66,12.24,2.66,USD,"Sep 24, 2018","Sep 24, 2018"
L3HARRIS TECHNOLOGIES INC,Capital Goods,Fixed Income,"826,166.51",0.03,"826,166.51","581,000.00",413875AN5,US413875AN59,B4LWT05,141.92,United States,-,USD,12.46,3.19,1.0,"Dec 15, 2040",6.15,12.5,-,3.19,12.5,3.19,USD,"Dec 03, 2010","Dec 03, 2010"
GREAT-WEST LIFECO FINANCE (DELAWAR 144A,Insurance,Fixed Income,"824,742.05",0.03,"824,742.05","692,000.00",391382AB4,US391382AB40,BYWTV54,118.86,Canada,-,USD,16.28,3.08,1.0,"Jun 03, 2047",4.15,16.49,-,3.06,16.29,3.06,USD,"May 26, 2017","May 26, 2017"
PETROLEOS DEL PERU - PETROPERU SA 144A,Owned No Guarantee,Fixed Income,"824,523.41",0.03,"824,523.41","789,000.00",716564AA7,US716564AA72,-,104.34,Peru,-,USD,8.32,4.23,1.0,"Jun 19, 2032",4.75,8.23,-,4.23,8.23,4.23,USD,"Jun 19, 2017","Jun 19, 2017"
INTERNATIONAL PAPER CO,Basic Industry,Fixed Income,"824,209.18",0.03,"824,209.18","651,000.00",460146CK7,US460146CK70,BN70J06,126.39,United States,-,USD,14.53,3.15,1.0,"Jun 15, 2044",4.8,14.73,-,3.13,14.53,3.13,USD,"Jun 10, 2014","Jun 10, 2014"
ONE GAS INC,Natural Gas,Fixed Income,"824,262.59",0.03,"824,262.59","661,000.00",68235PAF5,US68235PAF53,BSKRSL3,122.76,United States,-,USD,14.23,3.21,1.0,"Feb 01, 2044",4.66,14.41,-,3.19,14.21,3.19,USD,"Aug 01, 2014","Oct 07, 2014"
INTERNATIONAL FLAVORS & FRAGRANCES 144A,Basic Industry,Fixed Income,"823,836.62",0.03,"823,836.62","808,000.00",459506AR2,US459506AR22,-,101.54,United States,-,USD,13.87,3.16,1.0,"Nov 15, 2040",3.27,13.99,-,3.16,13.72,3.16,USD,"Sep 16, 2020","Sep 16, 2020"
MARS INC 144A,Consumer Non-Cyclical,Fixed Income,"823,284.13",0.03,"823,284.13","855,000.00",571676AN5,US571676AN55,-,95.2,United States,-,USD,14.5,2.71,1.0,"Jul 16, 2040",2.38,14.63,-,2.71,14.63,2.71,USD,"Jul 16, 2020","Jul 16, 2020"
CSX CORP,Transportation,Fixed Income,"822,847.72",0.03,"822,847.72","728,000.00",126408HF3,US126408HF31,BYMPHS7,112.4,United States,-,USD,16.28,3.08,1.0,"Nov 01, 2046",3.8,16.48,-,3.07,16.26,3.07,USD,"Oct 18, 2016","Oct 18, 2016"
TELEFONICA EMISIONES SAU,Communications,Fixed Income,"822,448.89",0.03,"822,448.89","675,000.00",87938WAW3,US87938WAW38,BF2TMG9,120.28,Spain,-,USD,15.49,3.68,1.0,"Mar 06, 2048",4.89,15.56,-,3.68,15.56,3.68,USD,"Mar 06, 2018","Mar 06, 2018"
DOMINION RESOURCES INC,Electric,Fixed Income,"822,336.24",0.03,"822,336.24","660,000.00",257469AJ5,US257469AJ58,2972884,122.41,United States,-,USD,8.87,2.95,1.0,"Aug 01, 2033",5.25,8.84,-,2.95,8.84,2.95,USD,"Jul 24, 2003","Jul 24, 2003"
INTEL CORPORATION,Technology,Fixed Income,"821,912.20",0.03,"821,912.20","813,000.00",458140BK5,US458140BK55,BLK78B4,99.93,United States,-,USD,21.77,3.1,1.0,"Feb 15, 2060",3.1,22.01,-,3.1,22.01,3.1,USD,"Feb 13, 2020","Feb 13, 2020"
NORFOLK SOUTHERN CORPORATION,Transportation,Fixed Income,"821,683.75",0.03,"821,683.75","706,000.00",655844BX5,US655844BX50,-,115.73,United States,-,USD,16.6,3.06,1.0,"Nov 01, 2047",3.94,16.8,-,3.05,16.6,3.05,USD,"May 01, 2018","May 23, 2018"
UNION PACIFIC CORPORATION,Transportation,Fixed Income,"820,864.57",0.03,"820,864.57","715,000.00",907818FL7,US907818FL73,BKDMLC1,113.29,United States,-,USD,23.08,3.21,1.0,"Feb 05, 2070",3.75,23.38,-,3.2,23.28,3.2,USD,"Jan 31, 2020","Jan 31, 2020"
OVINTIV INC,Energy,Fixed Income,"819,514.72",0.03,"819,514.72","625,000.00",292505AD6,US292505AD65,B02DZ90,128.67,United States,-,USD,9.01,3.65,1.0,"Aug 15, 2034",6.5,8.97,-,3.65,8.97,3.65,USD,"Aug 04, 2004","Aug 04, 2004"
WALT DISNEY COMPANY (THE),Communications,Fixed Income,"819,449.30",0.03,"819,449.30","722,000.00",25468PCX2,US25468PCX24,B90NR11,113.19,United States,-,USD,14.85,2.86,1.0,"Dec 01, 2042",3.7,14.91,-,2.86,14.91,2.86,USD,"Nov 30, 2012","Nov 30, 2012"
BOEING CO,Capital Goods,Fixed Income,"818,944.49",0.03,"818,944.49","836,000.00",097023BL8,US097023BL86,BVZ6WM5,96.79,United States,-,USD,15.34,3.71,1.0,"Mar 01, 2045",3.5,15.45,-,3.71,15.45,3.71,USD,"Feb 20, 2015","Feb 20, 2015"
DOW CHEMICAL CO,Basic Industry,Fixed Income,"817,384.87",0.03,"817,384.87","636,000.00",260543CE1,US260543CE14,B76L298,127.85,United States,-,USD,13.02,3.32,1.0,"Nov 15, 2041",5.25,13.19,-,3.29,12.98,3.29,USD,"Nov 14, 2011","Nov 14, 2011"
AMERICA MOVIL SAB DE CV,Communications,Fixed Income,"817,190.15",0.03,"817,190.15","677,000.00",02364WBE4,US02364WBE49,B6Z7568,118.71,Mexico,-,USD,13.87,3.13,1.0,"Jul 16, 2042",4.38,13.92,-,3.13,13.92,3.13,USD,"Jul 16, 2012","Jul 16, 2012"
PARTNERS HEALTHCARE SYSTEM INC,Consumer Non-Cyclical,Fixed Income,"817,247.76",0.03,"817,247.76","760,000.00",70213HAE8,US70213HAE80,-,105.94,United States,-,USD,18.04,2.88,1.0,"Jul 01, 2049",3.19,18.25,-,2.87,18.04,2.87,USD,"Jan 29, 2020","Jan 29, 2020"
BERKSHIRE HATHAWAY FINANCE CORP,Insurance,Fixed Income,"816,654.94",0.03,"816,654.94","667,000.00",084664BU4,US084664BU46,B8BPMB4,121.87,United States,-,USD,14.03,2.96,1.0,"May 15, 2042",4.4,14.09,-,2.96,14.09,2.96,USD,"May 15, 2012","May 15, 2012"
ALIBABA GROUP HOLDING LTD,Consumer Cyclical,Fixed Income,"816,474.02",0.03,"816,474.02","875,000.00",01609WBA9,US01609WBA99,-,92.04,China,-,USD,20.8,3.63,1.0,"Feb 09, 2061",3.25,21.0,-,3.63,21.0,3.63,USD,"Feb 09, 2021","Feb 09, 2021"
SUNCOR ENERGY INC,Energy,Fixed Income,"816,031.14",0.03,"816,031.14","631,000.00",71644EAG7,US71644EAG70,B08R8G4,128.56,Canada,-,USD,9.74,3.29,1.0,"May 15, 2035",5.95,9.71,-,3.29,9.71,3.29,USD,"May 16, 2005","May 16, 2005"
NORFOLK SOUTHERN CORPORATION,Transportation,Fixed Income,"815,947.20",0.03,"815,947.20","798,000.00",655844CF3,US655844CF36,BL6L2C9,101.86,United States,-,USD,18.72,2.95,1.0,"May 15, 2050",3.05,18.93,-,2.95,18.71,2.95,USD,"May 11, 2020","May 11, 2020"
LYONDELLBASELL INDUSTRIES NV,Basic Industry,Fixed Income,"815,257.76",0.03,"815,257.76","660,000.00",552081AM3,US552081AM30,BW3SZD2,121.92,United States,-,USD,17.99,3.5,1.0,"Feb 26, 2055",4.63,18.2,-,3.49,18.06,3.49,USD,"Mar 05, 2015","Mar 05, 2015"
