,,,,,,,,,,,,,,,,,,,,,,,,,,iShares California Muni Bond ETF
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,686,583.48",0.14,"2,686,583.48","2,250,000.00",13063DFJ2,US13063DFJ28,-,118.15,United States,-,USD,3.99,1.07,1.0,"Oct 01, 2026",5.0,4.26,-,0.66,3.86,0.66,USD,"Mar 15, 2018","Mar 15, 2018"
SAN DIEGO CALIF UNI SCH DIST,Prerefund/Escrow,Fixed Income,"2,683,918.65",0.14,"2,683,918.65","2,450,000.00",797355U51,US797355U513,-,107.05,United States,-,USD,1.43,0.29,1.0,"Jul 01, 2023",5.0,1.43,-,0.29,1.43,0.29,USD,"Apr 30, 2013","Apr 30, 2013"
EAST BAY CALIF MUN UTIL DIST W,Utility,Fixed Income,"2,680,020.10",0.14,"2,680,020.10","2,410,000.00",271014C59,US271014C592,-,110.87,United States,-,USD,6.81,3.33,1.0,"Jun 01, 2045",4.0,14.71,-,0.77,3.22,0.77,USD,"Jun 17, 2015","Jun 17, 2015"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"2,668,421.22",0.14,"2,668,421.22","2,500,000.00",91412G5T8,US91412G5T80,-,106.1,United States,-,USD,3.0,4.42,1.0,"May 15, 2036",5.0,9.86,-,0.53,1.33,0.53,USD,"Mar 14, 2013","Mar 14, 2013"
SAN JOSE CALIF,Local Tax-Backed,Fixed Income,"2,666,476.22",0.14,"2,666,476.22","2,000,000.00",798135L49,US798135L491,-,131.21,United States,-,USD,10.08,3.03,1.0,"Sep 01, 2043",5.0,14.15,-,1.37,7.55,1.37,USD,"Jul 29, 2021","Jul 29, 2021"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"2,656,132.93",0.14,"2,656,132.93","2,000,000.00",54466HJU1,US54466HJU14,-,132.39,United States,-,USD,7.4,1.33,1.0,"Jun 01, 2031",5.0,7.82,-,0.98,7.14,0.98,USD,"Aug 27, 2020","Aug 27, 2020"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,655,196.33",0.14,"2,655,196.33","2,000,000.00",544532DG6,US544532DG60,-,132.34,United States,-,USD,10.05,2.76,1.0,"Jul 01, 2040",5.0,12.96,-,1.36,7.88,1.36,USD,"Dec 01, 2021","Dec 01, 2021"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,653,375.09",0.14,"2,653,375.09","2,230,000.00",544495W34,US544495W345,-,116.49,United States,-,USD,6.26,3.83,1.0,"Jul 01, 2042",5.0,12.47,-,0.8,3.61,0.8,USD,"Jun 23, 2016","Jun 23, 2016"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,645,953.21",0.14,"2,645,953.21","2,415,000.00",544525RZ3,US544525RZ37,-,107.06,United States,-,USD,1.51,2.08,1.0,"Jul 01, 2024",5.0,2.31,-,0.28,1.43,0.28,USD,"Dec 05, 2013","Dec 05, 2013"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,644,726.60",0.14,"2,644,726.60","2,195,000.00",13063DVE5,US13063DVE56,-,119.16,United States,-,USD,9.8,2.66,1.0,"Mar 01, 2040",4.0,13.24,-,1.5,7.03,1.5,USD,"Apr 22, 2020","Apr 22, 2020"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"2,634,472.72",0.14,"2,634,472.72","2,400,000.00",13068LLA1,US13068LLA16,-,108.85,United States,-,USD,3.02,4.52,1.0,"Nov 01, 2033",5.5,8.72,-,0.63,1.75,0.63,USD,"Nov 20, 2013","Nov 20, 2013"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,634,288.76",0.14,"2,634,288.76","2,000,000.00",544525D21,US544525D216,-,129.19,United States,-,USD,10.46,3.36,1.0,"Jul 01, 2049",5.0,15.84,-,1.52,7.39,1.52,USD,"Jun 29, 2021","Jun 29, 2021"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"2,624,560.80",0.13,"2,624,560.80","2,000,000.00",072024WH1,US072024WH14,-,129.98,United States,-,USD,6.59,0.97,1.0,"Oct 01, 2029",5.0,6.6,-,0.97,6.6,0.97,USD,"Aug 01, 2019","Aug 01, 2019"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"2,618,617.71",0.13,"2,618,617.71","2,020,000.00",59266TQH7,US59266TQH76,-,127.13,United States,-,USD,7.34,2.46,1.0,"Jul 01, 2034",5.0,9.54,-,0.98,5.98,0.98,USD,"Jun 06, 2019","Jun 06, 2019"
LOS ANGELES CALIF WASTEWATER S,Utility,Fixed Income,"2,611,768.27",0.13,"2,611,768.27","2,450,000.00",53945CAS9,US53945CAS98,-,106.19,United States,-,USD,3.09,4.38,1.0,"Jun 01, 2035",5.0,9.8,-,0.61,1.38,0.61,USD,"May 23, 2013","May 23, 2013"
UNIVERSITY CALIF REVS,Education,Fixed Income,"2,610,468.96",0.13,"2,610,468.96","2,135,000.00",91412G3S2,US91412G3S26,-,121.63,United States,-,USD,6.85,3.12,1.0,"May 15, 2036",5.0,10.62,-,0.87,4.8,0.87,USD,"Dec 21, 2017","Dec 21, 2017"
SACRAMENTO CALIF WTR REV,Prerefund/Escrow,Fixed Income,"2,607,317.77",0.13,"2,607,317.77","2,380,000.00",786089GT3,US786089GT33,-,107.88,United States,-,USD,1.6,0.26,1.0,"Sep 01, 2023",5.0,1.6,-,0.26,1.6,0.26,USD,"Mar 28, 2013","Mar 28, 2013"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"2,595,163.41",0.13,"2,595,163.41","2,280,000.00",13067WKR2,US13067WKR24,-,113.41,United States,-,USD,2.93,1.47,1.0,"Dec 01, 2025",5.0,3.59,-,0.37,2.75,0.37,USD,"Oct 30, 2014","Oct 30, 2014"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,592,127.53",0.13,"2,592,127.53","2,000,000.00",13063DA32,US13063DA320,-,129.19,United States,-,USD,10.46,3.28,1.0,"Dec 01, 2046",5.0,15.52,-,1.49,7.45,1.49,USD,"Mar 23, 2021","Mar 23, 2021"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"2,584,806.47",0.13,"2,584,806.47","2,010,000.00",13067WRV6,US13067WRV62,-,128.18,United States,-,USD,6.02,0.8,1.0,"Dec 01, 2028",5.0,6.02,-,0.8,6.02,0.8,USD,"Aug 06, 2020","Aug 06, 2020"
MOUNT SAN ANTONIO CALIF CMNTY,School Districts,Fixed Income,"2,580,602.52",0.13,"2,580,602.52","2,235,000.00",623040FW7,US623040FW73,-,115.46,United States,-,USD,13.68,2.94,1.0,"Aug 01, 2043",0.0,15.45,-,1.75,12.42,1.75,USD,"Aug 01, 2013","Aug 01, 2013"
SAN DIEGO CALIF PUB FACS FING,Utility,Fixed Income,"2,576,836.23",0.13,"2,576,836.23","2,130,000.00",79730CKP8,US79730CKP85,-,119.31,United States,-,USD,10.71,2.87,1.0,"Aug 01, 2045",4.0,14.92,-,1.58,7.31,1.58,USD,"May 11, 2020","May 11, 2020"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,571,476.83",0.13,"2,571,476.83","1,825,000.00",13062TH72,US13062TH729,-,138.72,United States,-,USD,8.06,1.32,1.0,"Aug 01, 2032",5.25,8.08,-,1.32,8.08,1.32,USD,"Apr 01, 2007","Apr 01, 2007"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,569,021.80",0.13,"2,569,021.80","2,000,000.00",13063DLP1,US13063DLP14,-,127.2,United States,-,USD,7.8,2.57,1.0,"Apr 01, 2035",5.0,10.06,-,1.09,6.22,1.09,USD,"Mar 14, 2019","Mar 14, 2019"
SAN DIEGO CNTY CALIF REGL ARPT,Transportation,Fixed Income,"2,566,617.09",0.13,"2,566,617.09","2,000,000.00",79739GMZ6,US79739GMZ62,-,128.01,United States,-,USD,10.97,3.47,1.0,"Jul 01, 2051",5.0,16.49,-,1.78,7.84,1.78,USD,"Dec 08, 2021","Dec 08, 2021"
SAN MATEO FOSTER CITY CALIF SCH DI,School Districts,Fixed Income,"2,564,139.51",0.13,"2,564,139.51","2,235,000.00",799055LS5,US799055LS55,-,114.73,United States,-,USD,10.6,3.67,1.0,"Aug 01, 2042",0.0,13.62,-,1.66,8.92,1.66,USD,"Feb 23, 2010","Feb 23, 2010"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,558,925.00",0.13,"2,558,925.00","2,000,000.00",13063DPW2,US13063DPW29,-,126.7,United States,-,USD,9.75,3.49,1.0,"Oct 01, 2049",5.0,16.27,-,1.36,6.57,1.36,USD,"Sep 17, 2019","Sep 17, 2019"
SAN DIEGO CNTY CALIF REGL ARPT,Transportation,Fixed Income,"2,553,139.80",0.13,"2,553,139.80","2,000,000.00",79739GLD6,US79739GLD69,-,125.16,United States,-,USD,8.55,3.12,1.0,"Jul 01, 2039",5.0,12.1,-,1.45,6.32,1.45,USD,"Dec 11, 2019","Dec 11, 2019"
SAN DIEGO CNTY CALIF REGL ARPT,Transportation,Fixed Income,"2,550,599.29",0.13,"2,550,599.29","2,000,000.00",79739GNA0,US79739GNA03,-,127.21,United States,-,USD,11.18,3.61,1.0,"Jul 01, 2056",5.0,17.85,-,1.86,7.83,1.86,USD,"Dec 08, 2021","Dec 08, 2021"
SAN FRANCISCO CALIF BAY AREA R,Local Tax-Backed,Fixed Income,"2,548,138.65",0.13,"2,548,138.65","2,250,000.00",797661VQ5,US797661VQ55,-,111.58,United States,-,USD,5.42,2.82,1.0,"Aug 01, 2033",4.0,9.25,-,0.72,3.33,0.72,USD,"Oct 08, 2015","Oct 08, 2015"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"2,538,758.80",0.13,"2,538,758.80","2,000,000.00",54466HHF6,US54466HHF64,-,124.44,United States,-,USD,8.27,3.43,1.0,"Jul 01, 2044",5.0,13.43,-,1.09,5.6,1.09,USD,"Feb 20, 2019","Feb 20, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,536,704.20",0.13,"2,536,704.20","2,000,000.00",13063DPG7,US13063DPG78,-,125.59,United States,-,USD,5.47,0.8,1.0,"Apr 01, 2028",5.0,5.47,-,0.8,5.47,0.8,USD,"Apr 18, 2019","Apr 18, 2019"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"2,532,355.33",0.13,"2,532,355.33","2,150,000.00",91412GJ30,US91412GJ302,-,117.15,United States,-,USD,7.11,3.9,1.0,"May 15, 2046",5.0,14.09,-,0.98,3.98,0.98,USD,"Apr 20, 2016","Apr 20, 2016"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"2,526,232.27",0.13,"2,526,232.27","2,000,000.00",13067WSP8,US13067WSP85,-,125.98,United States,-,USD,9.14,1.74,1.0,"Dec 01, 2034",4.0,10.44,-,1.09,8.07,1.09,USD,"May 19, 2021","May 19, 2021"
LONG BEACH CALIF HBR REV,Transportation,Fixed Income,"2,524,344.78",0.13,"2,524,344.78","2,000,000.00",542424VW3,US542424VW30,-,125.58,United States,-,USD,9.1,3.36,1.0,"May 15, 2044",5.0,13.81,-,1.34,6.32,1.34,USD,"Jul 11, 2019","Jul 11, 2019"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,519,574.60",0.13,"2,519,574.60","2,000,000.00",5446466W7,US5446466W72,-,123.35,United States,-,USD,7.8,3.62,1.0,"Jul 01, 2042",5.25,12.51,-,1.2,5.18,1.2,USD,"Mar 08, 2018","Mar 08, 2018"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,516,669.00",0.13,"2,516,669.00","2,000,000.00",5446466Q0,US5446466Q05,-,123.33,United States,-,USD,6.58,2.63,1.0,"Jul 01, 2033",5.0,8.89,-,0.98,5.22,0.98,USD,"Mar 08, 2018","Mar 08, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,506,471.80",0.13,"2,506,471.80","2,000,000.00",13063DG93,US13063DG939,-,123.95,United States,-,USD,5.07,0.74,1.0,"Oct 01, 2027",5.0,5.08,-,0.74,5.08,0.74,USD,"Sep 22, 2021","Sep 22, 2021"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"2,499,041.97",0.13,"2,499,041.97","2,205,000.00",13068LMF9,US13068LMF93,-,111.67,United States,-,USD,3.59,3.27,1.0,"Sep 01, 2029",5.0,6.34,-,0.58,2.49,0.58,USD,"Apr 03, 2014","Apr 03, 2014"
CALIFORNIA INFRASTRUCTURE & EC,Utility,Fixed Income,"2,497,913.00",0.13,"2,497,913.00","2,000,000.00",13034AZB9,US13034AZB96,-,123.65,United States,-,USD,8.15,3.45,1.0,"Oct 01, 2043",5.0,13.18,-,1.08,5.46,1.08,USD,"Mar 08, 2018","Mar 08, 2018"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"2,493,204.08",0.13,"2,493,204.08","2,085,000.00",13077C3J1,US13077C3J14,-,118.74,United States,-,USD,4.36,1.62,1.0,"Nov 01, 2027",5.0,5.12,-,0.61,3.95,0.61,USD,"Apr 20, 2016","Apr 20, 2016"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,492,220.29",0.13,"2,492,220.29","2,025,000.00",544647EU0,US544647EU06,-,122.51,United States,-,USD,10.47,2.35,1.0,"Jul 01, 2038",4.0,12.51,-,1.56,8.43,1.56,USD,"Nov 10, 2021","Nov 10, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,489,430.05",0.13,"2,489,430.05","2,275,000.00",13063CJT8,US13063CJT80,-,109.01,United States,-,USD,1.97,1.81,1.0,"Dec 01, 2024",5.0,2.72,-,0.28,1.85,0.28,USD,"Mar 27, 2014","Mar 27, 2014"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"2,489,032.17",0.13,"2,489,032.17","2,035,000.00",797272PX3,US797272PX30,-,120.23,United States,-,USD,4.12,0.53,1.0,"Aug 01, 2026",5.0,4.12,-,0.53,4.12,0.53,USD,"Nov 03, 2016","Nov 03, 2016"
SAN FRANCISCO CALIF CITY & CNT,Transportation,Fixed Income,"2,469,623.87",0.13,"2,469,623.87","2,000,000.00",79766DLJ6,US79766DLJ62,-,122.65,United States,-,USD,8.72,3.65,1.0,"May 01, 2048",5.0,15.01,-,1.27,5.53,1.27,USD,"May 30, 2018","May 30, 2018"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"2,468,450.74",0.13,"2,468,450.74","2,270,000.00",13068LLB9,US13068LLB98,-,107.91,United States,-,USD,3.84,4.33,1.0,"Nov 01, 2038",5.0,10.55,-,0.65,1.76,0.65,USD,"Nov 20, 2013","Nov 20, 2013"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"2,463,954.87",0.13,"2,463,954.87","2,000,000.00",91412GX83,US91412GX832,-,122.53,United States,-,USD,6.83,3.67,1.0,"May 15, 2042",5.25,12.43,-,0.94,4.77,0.94,USD,"May 18, 2017","May 18, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,448,746.40",0.13,"2,448,746.40","2,000,000.00",544525WH7,US544525WH73,-,119.94,United States,-,USD,7.13,3.57,1.0,"Jul 01, 2041",5.0,12.38,-,0.91,4.43,0.91,USD,"May 11, 2017","May 11, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,445,502.20",0.13,"2,445,502.20","2,000,000.00",544525WJ3,US544525WJ30,-,119.78,United States,-,USD,7.4,3.7,1.0,"Jul 01, 2044",5.0,13.59,-,0.94,4.43,0.94,USD,"May 11, 2017","May 11, 2017"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,445,149.62",0.13,"2,445,149.62","2,070,000.00",544647AS9,US544647AS95,-,115.62,United States,-,USD,3.2,0.49,1.0,"Jul 01, 2025",5.0,3.2,-,0.49,3.2,0.49,USD,"May 29, 2019","May 29, 2019"
LOS ANGELES CALIF HBR DEPT REV,Transportation,Fixed Income,"2,444,358.86",0.13,"2,444,358.86","2,010,000.00",544552A85,US544552A851,-,119.53,United States,-,USD,4.12,0.67,1.0,"Aug 01, 2026",5.0,4.11,-,0.67,4.11,0.67,USD,"Sep 18, 2019","Sep 18, 2019"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,436,348.44",0.13,"2,436,348.44","1,850,000.00",544647AW0,US544647AW08,-,129.19,United States,-,USD,6.35,0.96,1.0,"Jul 01, 2029",5.0,6.36,-,0.96,6.36,0.96,USD,"May 29, 2019","May 29, 2019"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"2,435,491.78",0.13,"2,435,491.78","2,000,000.00",544445DV8,US544445DV83,-,121.14,United States,-,USD,7.5,3.54,1.0,"May 15, 2042",5.0,12.6,-,0.95,4.79,0.95,USD,"Jul 26, 2017","Jul 26, 2017"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,434,896.60",0.13,"2,434,896.60","2,000,000.00",13063DQH4,US13063DQH43,-,120.49,United States,-,USD,4.28,0.62,1.0,"Oct 01, 2026",5.0,4.28,-,0.62,4.28,0.62,USD,"Sep 17, 2019","Sep 17, 2019"
SAN JOSE CALIF ARPT REV,Transportation,Fixed Income,"2,426,474.33",0.12,"2,426,474.33","2,000,000.00",798136WT0,US798136WT07,-,119.66,United States,-,USD,7.65,3.78,1.0,"Mar 01, 2047",5.0,14.37,-,1.08,4.59,1.08,USD,"Apr 11, 2017","Apr 11, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,410,687.73",0.12,"2,410,687.73","2,000,000.00",13063CC65,US13063CC658,-,118.87,United States,-,USD,6.34,3.36,1.0,"Sep 01, 2036",5.0,10.62,-,0.87,4.19,0.87,USD,"Mar 17, 2016","Mar 17, 2016"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"2,409,566.67",0.12,"2,409,566.67","2,000,000.00",79768HFS2,US79768HFS22,-,120.15,United States,-,USD,12.01,2.89,1.0,"Oct 01, 2047",4.0,16.91,-,1.75,8.24,1.75,USD,"Nov 30, 2021","Nov 30, 2021"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"2,406,613.52",0.12,"2,406,613.52","2,115,000.00",79765RF79,US79765RF791,-,112.95,United States,-,USD,2.67,0.4,1.0,"Nov 01, 2024",5.0,2.66,-,0.4,2.66,0.4,USD,"Apr 16, 2015","Apr 16, 2015"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"2,405,422.80",0.12,"2,405,422.80","2,000,000.00",7973558V9,US7973558V99,-,118.27,United States,-,USD,9.79,2.89,1.0,"Jul 01, 2044",4.0,14.53,-,1.42,6.49,1.42,USD,"Oct 30, 2019","Oct 30, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,397,578.65",0.12,"2,397,578.65","1,890,000.00",13063DHQ4,US13063DHQ43,-,124.77,United States,-,USD,7.49,2.9,1.0,"Aug 01, 2036",5.0,10.67,-,1.09,5.68,1.09,USD,"Sep 18, 2018","Sep 18, 2018"
SAN DIEGO CNTY CALIF REGL ARPT,Transportation,Fixed Income,"2,381,892.11",0.12,"2,381,892.11","2,000,000.00",79739GMX1,US79739GMX15,-,118.84,United States,-,USD,11.62,2.92,1.0,"Jul 01, 2046",4.0,15.93,-,1.83,8.06,1.83,USD,"Dec 08, 2021","Dec 08, 2021"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,373,373.20",0.12,"2,373,373.20","1,850,000.00",13063DWN4,US13063DWN47,-,127.46,United States,-,USD,5.93,0.85,1.0,"Nov 01, 2028",5.0,5.94,-,0.85,5.94,0.85,USD,"Sep 09, 2020","Sep 09, 2020"
ALAMEDA CORRIDOR TRANSN AUTH C,Transportation,Fixed Income,"2,370,989.20",0.12,"2,370,989.20","2,000,000.00",010869GZ2,US010869GZ28,-,117.3,United States,-,USD,6.33,3.41,1.0,"Oct 01, 2035",5.0,10.14,-,1.24,4.26,1.24,USD,"May 24, 2016","May 24, 2016"
ALAMEDA CORRIDOR TRANSN AUTH C,Transportation,Fixed Income,"2,368,620.40",0.12,"2,368,620.40","2,000,000.00",010869HA6,US010869HA67,-,117.18,United States,-,USD,6.38,3.5,1.0,"Oct 01, 2036",5.0,10.66,-,1.26,4.26,1.26,USD,"May 24, 2016","May 24, 2016"
SAN DIEGO CNTY CALIF REGL TRAN,Local Tax-Backed,Fixed Income,"2,365,178.00",0.12,"2,365,178.00","2,000,000.00",797400KW7,US797400KW72,-,117.01,United States,-,USD,6.32,3.75,1.0,"Apr 01, 2041",5.0,11.91,-,0.91,3.86,0.91,USD,"Aug 17, 2016","Aug 17, 2016"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"2,350,397.39",0.12,"2,350,397.39","1,945,000.00",79765RH85,US79765RH854,-,120.01,United States,-,USD,5.58,2.67,1.0,"Nov 01, 2031",5.0,7.93,-,0.77,4.36,0.77,USD,"Oct 20, 2016","Oct 20, 2016"
CAMPBELL CALIF UN HIGH SCH DIS,Prerefund/Escrow,Fixed Income,"2,347,587.33",0.12,"2,347,587.33","2,000,000.00",134159YR7,US134159YR72,-,115.71,United States,-,USD,4.2,0.53,1.0,"Aug 01, 2026",4.0,4.19,-,0.53,4.19,0.53,USD,"Aug 29, 2018","Aug 29, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,345,175.73",0.12,"2,345,175.73","2,000,000.00",13063DCL0,US13063DCL01,-,116.59,United States,-,USD,8.01,2.7,1.0,"Nov 01, 2037",4.0,11.99,-,1.06,5.25,1.06,USD,"Sep 12, 2017","Sep 12, 2017"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"2,341,467.27",0.12,"2,341,467.27","1,925,000.00",79765RH44,US79765RH441,-,120.8,United States,-,USD,4.65,1.29,1.0,"Nov 01, 2027",5.0,5.14,-,0.62,4.36,0.62,USD,"Oct 20, 2016","Oct 20, 2016"
SAN DIEGO CA UNIF SCH DIST,School Districts,Fixed Income,"2,337,629.20",0.12,"2,337,629.20","2,000,000.00",7973555X8,US7973555X82,-,114.88,United States,-,USD,8.87,3.15,1.0,"Jul 01, 2047",4.0,15.65,-,1.2,4.92,1.2,USD,"Nov 01, 2017","Nov 01, 2017"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,332,932.61",0.12,"2,332,932.61","1,975,000.00",5446465N8,US5446465N82,-,115.62,United States,-,USD,3.2,0.49,1.0,"Jul 01, 2025",5.0,3.2,-,0.49,3.2,0.49,USD,"May 25, 2017","May 25, 2017"
BAY AREA TOLL AUTH CALIF TOLL,Transportation,Fixed Income,"2,331,678.00",0.12,"2,331,678.00","2,000,000.00",072024VM1,US072024VM18,-,115.58,United States,-,USD,7.61,2.74,1.0,"Apr 01, 2037",4.0,11.6,-,0.95,4.76,0.95,USD,"Aug 23, 2017","Aug 23, 2017"
SOUTHWESTERN CMNTY COLLEGE DIS,School Districts,Fixed Income,"2,329,496.13",0.12,"2,329,496.13","2,000,000.00",845389JC0,US845389JC06,-,114.81,United States,-,USD,8.94,3.15,1.0,"Aug 01, 2047",4.0,15.67,-,1.25,5.0,1.25,USD,"Nov 30, 2017","Nov 30, 2017"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,324,887.37",0.12,"2,324,887.37","1,750,000.00",13063DA81,US13063DA817,-,132.43,United States,-,USD,8.59,2.12,1.0,"Dec 01, 2034",5.0,10.02,-,1.16,7.48,1.16,USD,"Mar 23, 2021","Mar 23, 2021"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,317,813.00",0.12,"2,317,813.00","2,000,000.00",13063DPA0,US13063DPA09,-,114.64,United States,-,USD,3.02,0.46,1.0,"Apr 01, 2025",5.0,3.02,-,0.46,3.02,0.46,USD,"Apr 18, 2019","Apr 18, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,316,784.38",0.12,"2,316,784.38","1,920,000.00",13063C6S4,US13063C6S44,-,118.58,United States,-,USD,6.18,3.29,1.0,"Aug 01, 2035",5.0,10.01,-,0.86,4.11,0.86,USD,"Mar 14, 2017","Mar 14, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,311,246.87",0.12,"2,311,246.87","2,000,000.00",13063CE30,US13063CE308,-,114.23,United States,-,USD,6.98,2.81,1.0,"Sep 01, 2036",4.0,11.2,-,0.88,4.26,0.88,USD,"Mar 17, 2016","Mar 17, 2016"
SAN MATEO CALIF UN HIGH SCH DIST,School Districts,Fixed Income,"2,306,448.60",0.12,"2,306,448.60","1,915,000.00",799017GU6,US799017GU63,-,120.44,United States,-,USD,13.54,2.68,1.0,"Sep 01, 2041",0.0,14.47,-,1.84,12.99,1.84,USD,"Jun 15, 2011","Jun 15, 2011"
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"2,288,299.93",0.12,"2,288,299.93","1,480,000.00",130178VU7,US130178VU75,-,153.3,United States,-,USD,12.88,1.81,1.0,"Apr 01, 2040",5.25,13.05,-,1.81,13.05,1.81,USD,"May 06, 2010","May 06, 2010"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,280,170.00",0.12,"2,280,170.00","2,000,000.00",544495F33,US544495F332,-,111.51,United States,-,USD,2.69,2.29,1.0,"Jul 01, 2026",5.0,3.98,-,0.37,2.33,0.37,USD,"Aug 05, 2014","Aug 05, 2014"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,280,099.01",0.12,"2,280,099.01","1,760,000.00",5444957J7,US5444957J70,-,127.05,United States,-,USD,6.8,2.11,1.0,"Jul 01, 2032",5.0,8.33,-,0.99,5.98,0.99,USD,"May 09, 2019","May 09, 2019"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"2,278,580.60",0.12,"2,278,580.60","2,000,000.00",544647DU1,US544647DU15,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Apr 29, 2021","Apr 29, 2021"
SAN FRANCISCO CNTY CALIF TRANS,Local Tax-Backed,Fixed Income,"2,276,483.98",0.12,"2,276,483.98","2,020,000.00",79773TAF2,US79773TAF21,-,111.03,United States,-,USD,2.9,0.4,1.0,"Feb 01, 2025",4.0,2.89,-,0.4,2.89,0.4,USD,"Nov 02, 2017","Nov 02, 2017"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,268,588.05",0.12,"2,268,588.05","2,080,000.00",13063CGC8,US13063CGC82,-,108.23,United States,-,USD,2.96,3.98,1.0,"Nov 01, 2031",5.0,7.76,-,0.48,1.76,0.48,USD,"Nov 05, 2013","Nov 05, 2013"
ELK GROVE CALIF UNI SCH DIST,School Districts,Fixed Income,"2,265,908.33",0.12,"2,265,908.33","2,000,000.00",287281XC8,US287281XC85,-,111.63,United States,-,USD,8.32,3.31,1.0,"Aug 01, 2046",4.0,15.49,-,1.37,4.17,1.37,USD,"Feb 20, 2019","Feb 20, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,255,329.02",0.12,"2,255,329.02","1,910,000.00",13063C5U0,US13063C5U09,-,116.0,United States,-,USD,3.28,0.49,1.0,"Aug 01, 2025",5.0,3.28,-,0.49,3.28,0.49,USD,"Mar 14, 2017","Mar 14, 2017"
