,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2024 Term Muni Bond ETF
ILLINOIS FIN AUTH REV,Corporates,Fixed Income,"267,546.63",0.1,"267,546.63","235,000.00",45204EJF6,US45204EJF60,-,111.35,United States,-,USD,2.33,0.43,1.0,"Jul 01, 2024",5.0,2.33,-,0.43,2.33,0.43,USD,"Sep 12, 2016","Sep 12, 2016"
MARYLAND ST DEPT OF TRANSPRTNCONSO,Government Related,Fixed Income,"267,401.50",0.1,"267,401.50","235,000.00",574204C92,US574204C924,-,112.95,United States,-,USD,2.67,0.4,1.0,"Nov 01, 2024",5.0,2.66,-,0.4,2.66,0.4,USD,"Nov 10, 2016","Nov 10, 2016"
TEXAS ST,Government Related,Fixed Income,"267,329.30",0.1,"267,329.30","235,000.00",882723ZB8,US882723ZB88,-,112.51,United States,-,USD,2.58,0.42,1.0,"Oct 01, 2024",5.0,2.58,-,0.42,2.58,0.42,USD,"Sep 30, 2015","Sep 30, 2015"
NEVADA ST,Government Related,Fixed Income,"267,188.47",0.1,"267,188.47","235,000.00",641461N79,US641461N793,-,112.86,United States,-,USD,2.67,0.43,1.0,"Nov 01, 2024",5.0,2.66,-,0.43,2.66,0.43,USD,"Mar 10, 2015","Mar 10, 2015"
METROPOLITAN ATLANTA RAPID TRA,Government Related,Fixed Income,"266,409.46",0.1,"266,409.46","240,000.00",5917454F8,US5917454F85,-,109.0,United States,-,USD,2.36,0.38,1.0,"Jul 01, 2024",4.0,2.36,-,0.38,2.36,0.38,USD,"Jul 19, 2018","Jul 19, 2018"
LONE STAR COLLEGE SYS TEX,Municipals,Fixed Income,"262,354.04",0.1,"262,354.04","235,000.00",542264FY7,US542264FY72,-,109.75,United States,-,USD,2.01,0.38,1.0,"Feb 15, 2024",5.0,2.01,-,0.38,2.01,0.38,USD,"Apr 29, 2015","Apr 29, 2015"
AUSTIN TEX,Government Related,Fixed Income,"261,906.70",0.1,"261,906.70","230,000.00",0523962Z0,US0523962Z04,-,112.21,United States,-,USD,2.51,0.39,1.0,"Sep 01, 2024",5.0,2.5,-,0.39,2.5,0.39,USD,"Oct 01, 2013","Oct 01, 2013"
NEW YORK N Y,Government Related,Fixed Income,"261,908.11",0.1,"261,908.11","230,000.00",64966LRK9,US64966LRK97,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Sep 04, 2014","Sep 04, 2014"
FAIRFAX CNTY VA,Government Related,Fixed Income,"261,776.16",0.1,"261,776.16","230,000.00",30382ADA7,US30382ADA79,-,112.57,United States,-,USD,2.58,0.4,1.0,"Oct 01, 2024",5.0,2.58,-,0.4,2.58,0.4,USD,"Mar 04, 2015","Mar 04, 2015"
RHODE ISLAND ST COMM CORP REV,Municipals,Fixed Income,"261,366.23",0.1,"261,366.23","240,000.00",762232AG1,US762232AG15,-,108.72,United States,-,USD,2.37,0.42,1.0,"Jun 15, 2024",4.0,2.36,-,0.42,2.36,0.42,USD,"Jun 14, 2016","Jun 14, 2016"
PHILADELPHIA PA,Government Related,Fixed Income,"261,278.65",0.1,"261,278.65","230,000.00",717813SY6,US717813SY63,-,111.52,United States,-,USD,2.42,0.51,1.0,"Aug 01, 2024",5.0,2.41,-,0.51,2.41,0.51,USD,"Feb 02, 2017","Feb 02, 2017"
NORFOLK VA WTR REV,Government Related,Fixed Income,"261,017.95",0.1,"261,017.95","230,000.00",656009LL9,US656009LL93,-,112.65,United States,-,USD,2.67,0.5,1.0,"Nov 01, 2024",5.0,2.66,-,0.5,2.66,0.5,USD,"Dec 18, 2017","Dec 18, 2017"
MARYLAND ST DEPT TRANSN CONS T,Government Related,Fixed Income,"260,673.19",0.1,"260,673.19","235,000.00",574204E66,US574204E664,-,109.59,United States,-,USD,2.54,0.38,1.0,"Sep 01, 2024",4.0,2.53,-,0.38,2.53,0.38,USD,"Nov 10, 2016","Nov 10, 2016"
UNIVERSITY COLO ENTERPRISE SYS,Government Related,Fixed Income,"260,397.19",0.1,"260,397.19","250,000.00",91417K4W8,US91417K4W87,-,103.99,United States,-,USD,2.72,0.55,1.0,"Oct 15, 2024",2.0,2.71,-,0.55,2.71,0.55,USD,"Oct 15, 2019","Oct 15, 2019"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"257,099.08",0.1,"257,099.08","230,000.00",64990ENF0,US64990ENF06,-,109.89,United States,-,USD,2.01,0.32,1.0,"Feb 15, 2024",5.0,2.01,-,0.32,2.01,0.32,USD,"Mar 21, 2014","Mar 21, 2014"
LOS ANGELES CNTY CALIF MET TRA,Government Related,Fixed Income,"256,936.95",0.1,"256,936.95","225,000.00",54471RDX2,US54471RDX26,-,111.69,United States,-,USD,2.33,0.3,1.0,"Jul 01, 2024",5.0,2.34,-,0.3,2.34,0.3,USD,"Dec 02, 2015","Dec 02, 2015"
ESTRN CA MUNI WTR DIST WTR & WSTW,Government Related,Fixed Income,"256,757.78",0.1,"256,757.78","225,000.00",27627TAS1,US27627TAS15,-,111.61,United States,-,USD,2.33,0.33,1.0,"Jul 01, 2024",5.0,2.33,-,0.33,2.33,0.33,USD,"Apr 05, 2016","Apr 05, 2016"
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"256,584.30",0.1,"256,584.30","225,000.00",7417013Y0,US7417013Y02,-,111.73,United States,-,USD,2.37,0.35,1.0,"Jul 15, 2024",5.0,2.37,-,0.35,2.37,0.35,USD,"Sep 12, 2017","Sep 12, 2017"
OHIO ST WTR DEV AUTH WTR POLLU,Government Related,Fixed Income,"256,528.40",0.1,"256,528.40","230,000.00",67766WVR0,US67766WVR05,-,111.12,United States,-,USD,2.31,0.37,1.0,"Jun 01, 2024",5.0,2.3,-,0.37,2.3,0.37,USD,"May 01, 2014","May 01, 2014"
NEW CASTLE CNTY DEL,Municipals,Fixed Income,"256,349.14",0.1,"256,349.14","225,000.00",64327TDK1,US64327TDK16,-,112.68,United States,-,USD,2.58,0.36,1.0,"Oct 01, 2024",5.0,2.58,-,0.36,2.58,0.36,USD,"Feb 12, 2015","Feb 12, 2015"
PEORIA ARIZ,Municipals,Fixed Income,"256,220.77",0.1,"256,220.77","225,000.00",712838SD4,US712838SD45,-,111.57,United States,-,USD,2.37,0.41,1.0,"Jul 15, 2024",5.0,2.37,-,0.41,2.37,0.41,USD,"Dec 15, 2015","Dec 15, 2015"
CARROLL CNTY MD,Municipals,Fixed Income,"256,158.80",0.1,"256,158.80","225,000.00",1448795L3,US1448795L36,-,113.02,United States,-,USD,2.67,0.38,1.0,"Nov 01, 2024",5.0,2.66,-,0.38,2.66,0.38,USD,"Nov 13, 2014","Nov 13, 2014"
PHOENIX ARIZ CIVIC IMPT CORP A,Government Related,Fixed Income,"256,042.64",0.1,"256,042.64","225,000.00",71883MMH4,US71883MMH42,-,111.3,United States,-,USD,2.33,0.45,1.0,"Jul 01, 2024",5.0,2.33,-,0.45,2.33,0.45,USD,"Dec 21, 2017","Dec 21, 2017"
SPRING TEX INDPT SCH DIST,Municipals,Fixed Income,"256,028.62",0.1,"256,028.62","225,000.00",8500006Z8,US8500006Z85,-,111.9,United States,-,USD,2.45,0.43,1.0,"Aug 15, 2024",5.0,2.45,-,0.43,2.45,0.43,USD,"Feb 26, 2019","Feb 15, 2019"
CLARK CNTY NEV SCH DIST,Government Related,Fixed Income,"255,457.12",0.1,"255,457.12","230,000.00",181059VH6,US181059VH61,-,110.85,United States,-,USD,2.35,0.55,1.0,"Jun 15, 2024",5.0,2.34,-,0.55,2.34,0.55,USD,"Jun 16, 2016","Jun 16, 2016"
FLORIDA ST BRD ED PUB ED,Government Related,Fixed Income,"251,124.43",0.1,"251,124.43","225,000.00",34153P7K8,US34153P7K88,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Apr 02, 2015","Apr 02, 2015"
LOUISIANA ST,Government Related,Fixed Income,"251,065.99",0.1,"251,065.99","225,000.00",546415U99,US546415U998,-,110.75,United States,-,USD,2.22,0.37,1.0,"May 01, 2024",5.0,2.22,-,0.37,2.22,0.37,USD,"May 14, 2015","May 14, 2015"
SAN ANTONIO TEX ELEC & GAS REV,Government Related,Fixed Income,"251,046.73",0.1,"251,046.73","225,000.00",7962533X8,US7962533X82,-,109.49,United States,-,USD,1.97,0.42,1.0,"Feb 01, 2024",5.0,1.97,-,0.42,1.97,0.42,USD,"Aug 13, 2015","Aug 13, 2015"
GEORGIA ST,Government Related,Fixed Income,"250,993.69",0.1,"250,993.69","220,000.00",373385BC6,US373385BC68,-,111.59,United States,-,USD,2.33,0.34,1.0,"Jul 01, 2024",5.0,2.33,-,0.34,2.33,0.34,USD,"Jul 18, 2017","Jul 18, 2017"
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"250,882.42",0.1,"250,882.42","220,000.00",7417014M5,US7417014M54,-,111.73,United States,-,USD,2.37,0.35,1.0,"Jul 15, 2024",5.0,2.37,-,0.35,2.37,0.35,USD,"May 15, 2018","May 15, 2018"
ESCONDIDO CALIF UN HIGH SCH DI,Municipals,Fixed Income,"250,815.55",0.1,"250,815.55","255,000.00",296353KP9,US296353KP97,-,98.36,United States,-,USD,2.58,0.64,1.0,"Aug 01, 2024",0.0,2.57,-,0.64,2.57,0.64,USD,"Aug 18, 2009","Aug 18, 2009"
DELAWARE ST,Government Related,Fixed Income,"250,717.04",0.1,"250,717.04","220,000.00",2463803W7,US2463803W72,-,112.71,United States,-,USD,2.58,0.35,1.0,"Oct 01, 2024",5.0,2.58,-,0.35,2.58,0.35,USD,"Oct 22, 2009","Oct 22, 2009"
MINNESOTA ST FOR PREVIOUS ISSU,Government Related,Fixed Income,"250,641.45",0.1,"250,641.45","220,000.00",60412AEV1,US60412AEV17,-,111.84,United States,-,USD,2.42,0.39,1.0,"Aug 01, 2024",5.0,2.41,-,0.39,2.41,0.39,USD,"Aug 19, 2015","Aug 19, 2015"
ARIZONA ST TRANSN BRD,Government Related,Fixed Income,"250,527.40",0.1,"250,527.40","220,000.00",040647DX4,US040647DX45,-,111.38,United States,-,USD,2.33,0.42,1.0,"Jul 01, 2024",5.0,2.33,-,0.42,2.33,0.42,USD,"Oct 06, 2016","Oct 06, 2016"
LOS ANGELES CNTY CALIF PUB WKS,Government Related,Fixed Income,"250,479.14",0.1,"250,479.14","220,000.00",54473ERC0,US54473ERC02,-,113.44,United States,-,USD,2.75,0.36,1.0,"Dec 01, 2024",5.0,2.75,-,0.36,2.75,0.36,USD,"Sep 02, 2015","Sep 02, 2015"
WEST VA SCH BLDG AUTH EXCESS L,Government Related,Fixed Income,"250,178.39",0.1,"250,178.39","220,000.00",95639DLM0,US95639DLM01,-,111.22,United States,-,USD,2.33,0.48,1.0,"Jul 01, 2024",5.0,2.33,-,0.48,2.33,0.48,USD,"Nov 19, 2015","Nov 19, 2015"
OHIO ST WTR DEV AUTH WTR POLLU,Government Related,Fixed Income,"250,136.21",0.1,"250,136.21","220,000.00",67766WWV0,US67766WWV08,-,113.28,United States,-,USD,2.75,0.41,1.0,"Dec 01, 2024",5.0,2.75,-,0.41,2.75,0.41,USD,"Jan 13, 2016","Jan 13, 2016"
MICHIGAN ST,Government Related,Fixed Income,"250,067.68",0.1,"250,067.68","220,000.00",594612CB7,US594612CB72,-,113.25,United States,-,USD,2.75,0.42,1.0,"Dec 01, 2024",5.0,2.75,-,0.42,2.75,0.42,USD,"Sep 15, 2015","Sep 15, 2015"
NEVADA ST HWY IMPT REV,Government Related,Fixed Income,"249,930.73",0.1,"249,930.73","220,000.00",641480HW1,US641480HW13,-,113.19,United States,-,USD,2.75,0.44,1.0,"Dec 01, 2024",5.0,2.75,-,0.44,2.75,0.44,USD,"Mar 09, 2016","Mar 09, 2016"
OREGON ST DEPT ADMINISTRATIVE,Government Related,Fixed Income,"245,491.20",0.09,"245,491.20","220,000.00",68607VJ30,US68607VJ305,-,110.34,United States,-,USD,2.14,0.38,1.0,"Apr 01, 2024",5.0,2.13,-,0.38,2.13,0.38,USD,"Jul 29, 2014","Jul 29, 2014"
TEXAS ST UNIV SYS FING REV,Corporates,Fixed Income,"245,498.55",0.09,"245,498.55","220,000.00",88278PYD0,US88278PYD04,-,110.12,United States,-,USD,2.09,0.39,1.0,"Mar 15, 2024",5.0,2.09,-,0.39,2.09,0.39,USD,"Jan 31, 2017","Jan 01, 2017"
VIRGINIA ST PUB BLDG AUTH PUB,Government Related,Fixed Income,"244,886.10",0.09,"244,886.10","215,000.00",928172W50,US928172W502,-,111.82,United States,-,USD,2.42,0.4,1.0,"Aug 01, 2024",5.0,2.41,-,0.4,2.41,0.4,USD,"Feb 23, 2012","Feb 23, 2012"
MASSACHUSETTS ST WTR RES AUTH,Government Related,Fixed Income,"244,886.10",0.09,"244,886.10","215,000.00",576051YF7,US576051YF77,-,111.82,United States,-,USD,2.42,0.4,1.0,"Aug 01, 2024",5.0,2.41,-,0.4,2.41,0.4,USD,"May 22, 2019","May 22, 2019"
LOWER COLO RIV AUTH TEX TRANSM,Corporates,Fixed Income,"244,717.99",0.09,"244,717.99","220,000.00",54811BSH5,US54811BSH59,-,110.6,United States,-,USD,2.26,0.5,1.0,"May 15, 2024",5.0,2.25,-,0.5,2.25,0.5,USD,"Mar 28, 2019","Mar 01, 2019"
DALLAS TEX WTRWKS & SWR SYS RE,Government Related,Fixed Income,"244,389.17",0.09,"244,389.17","215,000.00",2354166K5,US2354166K52,-,112.42,United States,-,USD,2.58,0.45,1.0,"Oct 01, 2024",5.0,2.58,-,0.45,2.58,0.45,USD,"Mar 25, 2015","Mar 25, 2015"
SNOHOMISH CNTY WASH SCH DIST N,Municipals,Fixed Income,"243,983.02",0.09,"243,983.02","215,000.00",833209LP2,US833209LP27,-,113.06,United States,-,USD,2.75,0.48,1.0,"Dec 01, 2024",5.0,2.75,-,0.48,2.75,0.48,USD,"Aug 01, 2017","Aug 01, 2017"
RHODE ISLAND ST TPK & BRDG AUT,Municipals,Fixed Income,"243,636.11",0.09,"243,636.11","215,000.00",762322AJ4,US762322AJ47,-,112.07,United States,-,USD,2.58,0.57,1.0,"Oct 01, 2024",5.0,2.58,-,0.57,2.58,0.57,USD,"Feb 04, 2016","Feb 04, 2016"
REGIONAL PUB TRANSN AUTH ARIZ,Municipals,Fixed Income,"240,814.06",0.09,"240,814.06","210,000.00",75902JBC2,US75902JBC27,-,112.05,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.25,2.33,-,0.4,2.33,0.4,USD,"Jan 29, 2014","Jan 29, 2014"
INDIANA ST FIN AUTH REV,Government Related,Fixed Income,"240,407.03",0.09,"240,407.03","215,000.00",45506DNY7,US45506DNY75,-,109.73,United States,-,USD,1.97,0.31,1.0,"Feb 01, 2024",5.0,1.97,-,0.31,1.97,0.31,USD,"Feb 11, 2015","Feb 11, 2015"
VIRGINIA COLLEGE BLDG AUTH VA,Government Related,Fixed Income,"240,171.43",0.09,"240,171.43","215,000.00",92778VBV9,US92778VBV99,-,109.62,United States,-,USD,1.97,0.36,1.0,"Feb 01, 2024",5.0,1.97,-,0.36,1.97,0.36,USD,"Aug 13, 2015","Aug 13, 2015"
NEW YORK ST URBAN DEV CORP REV,Government Related,Fixed Income,"240,086.03",0.09,"240,086.03","215,000.00",650036BK1,US650036BK13,-,110.2,United States,-,USD,2.09,0.35,1.0,"Mar 15, 2024",5.0,2.09,-,0.35,2.09,0.35,USD,"Jul 23, 2020","Jul 23, 2020"
METRO WASTEWTR RECLAMATION DIS,Municipals,Fixed Income,"240,065.00",0.09,"240,065.00","215,000.00",59164GEG3,US59164GEG38,-,110.41,United States,-,USD,2.14,0.35,1.0,"Apr 01, 2024",5.0,2.13,-,0.35,2.13,0.35,USD,"May 17, 2019","May 17, 2019"
TEXAS A & M UNIV REV,Government Related,Fixed Income,"239,910.18",0.09,"239,910.18","215,000.00",88213AKS3,US88213AKS32,-,110.95,United States,-,USD,2.26,0.36,1.0,"May 15, 2024",5.0,2.26,-,0.36,2.26,0.36,USD,"Dec 20, 2017","Dec 20, 2017"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"239,250.96",0.09,"239,250.96","210,000.00",544646P55,US544646P552,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"Jun 26, 2014","Jun 26, 2014"
MECKLENBURG CNTY N C,Government Related,Fixed Income,"239,028.21",0.09,"239,028.21","210,000.00",584002UN7,US584002UN75,-,113.41,United States,-,USD,2.75,0.37,1.0,"Dec 01, 2024",5.0,2.75,-,0.37,2.75,0.37,USD,"Oct 18, 2016","Oct 18, 2016"
OHIO ST WTR DEV AUTH REV FOR I,Government Related,Fixed Income,"238,766.38",0.09,"238,766.38","210,000.00",67765QCG9,US67765QCG91,-,113.28,United States,-,USD,2.75,0.41,1.0,"Dec 01, 2024",5.0,2.75,-,0.41,2.75,0.41,USD,"Jul 07, 2016","Jul 07, 2016"
OHIO ST PARKS & REC CAP FACS,Government Related,Fixed Income,"238,635.59",0.09,"238,635.59","210,000.00",67760ADQ6,US67760ADQ67,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"Dec 14, 2017","Dec 14, 2017"
HAWAII ST HWY REV,Government Related,Fixed Income,"234,727.75",0.09,"234,727.75","210,000.00",41981CMD9,US41981CMD91,-,109.28,United States,-,USD,1.89,0.34,1.0,"Jan 01, 2024",5.0,1.89,-,0.34,1.89,0.34,USD,"Aug 14, 2014","Aug 14, 2014"
NEVADA ST,Government Related,Fixed Income,"234,332.51",0.09,"234,332.51","210,000.00",641461S58,US641461S586,-,110.34,United States,-,USD,2.14,0.38,1.0,"Apr 01, 2024",5.0,2.13,-,0.38,2.13,0.38,USD,"Nov 04, 2015","Nov 04, 2015"
TEXAS PUB FIN AUTH LEASE REV,Government Related,Fixed Income,"234,310.28",0.09,"234,310.28","210,000.00",882669AY0,US882669AY03,-,109.49,United States,-,USD,1.97,0.42,1.0,"Feb 01, 2024",5.0,1.97,-,0.42,1.97,0.42,USD,"Jun 18, 2019","Jun 18, 2019"
ALLAN HANCOCK CALIF JT CMNTY C,Municipals,Fixed Income,"234,002.59",0.09,"234,002.59","205,000.00",016730HP1,US016730HP15,-,112.06,United States,-,USD,2.42,0.31,1.0,"Aug 01, 2024",5.0,2.42,-,0.31,2.42,0.31,USD,"Oct 28, 2014","Oct 28, 2014"
ARIZONA BRD REGENTS ARIZ ST UN,Municipals,Fixed Income,"233,663.10",0.09,"233,663.10","205,000.00",04048RLC8,US04048RLC87,-,111.48,United States,-,USD,2.33,0.38,1.0,"Jul 01, 2024",5.0,2.33,-,0.38,2.33,0.38,USD,"Apr 07, 2015","Apr 07, 2015"
HENRICO CNTY VA,Municipals,Fixed Income,"233,664.75",0.09,"233,664.75","205,000.00",426056J24,US426056J246,-,111.9,United States,-,USD,2.42,0.37,1.0,"Aug 01, 2024",5.0,2.41,-,0.37,2.41,0.37,USD,"May 31, 2017","May 31, 2017"
RICHMOND VA,Government Related,Fixed Income,"233,666.33",0.09,"233,666.33","205,000.00",76541VRS8,US76541VRS87,-,111.68,United States,-,USD,2.37,0.37,1.0,"Jul 15, 2024",5.0,2.37,-,0.37,2.37,0.37,USD,"Jul 14, 2017","Jul 14, 2017"
MARYLAND ST DEPT TRANSN CONS T,Government Related,Fixed Income,"233,496.74",0.09,"233,496.74","205,000.00",574204H30,US574204H303,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Sep 21, 2017","Sep 21, 2017"
ALASKA ST,Government Related,Fixed Income,"233,271.35",0.09,"233,271.35","205,000.00",0117703W2,US0117703W28,-,111.71,United States,-,USD,2.42,0.44,1.0,"Aug 01, 2024",5.0,2.41,-,0.44,2.41,0.44,USD,"Jun 30, 2016","Jun 30, 2016"
CLARK CNTY NEV FOR ISSUES DTD,Government Related,Fixed Income,"233,079.31",0.09,"233,079.31","205,000.00",180848QN6,US180848QN68,-,112.86,United States,-,USD,2.67,0.43,1.0,"Nov 01, 2024",5.0,2.66,-,0.43,2.66,0.43,USD,"Mar 03, 2016","Mar 03, 2016"
SAN MATEO CALIF UN HIGH SCH DI,Municipals,Fixed Income,"232,942.00",0.09,"232,942.00","210,000.00",799017NE4,US799017NE49,-,109.59,United States,-,USD,2.54,0.38,1.0,"Sep 01, 2024",4.0,2.53,-,0.38,2.53,0.38,USD,"Nov 13, 2014","Nov 13, 2014"
MASSACHUSETTS BAY TRANSN AUTH,Corporates,Fixed Income,"230,995.42",0.09,"230,995.42","200,000.00",575579GL5,US575579GL50,-,112.75,United States,-,USD,2.32,0.37,1.0,"Jul 01, 2024",5.5,2.32,-,0.37,2.32,0.37,USD,"Dec 22, 2004","Dec 22, 2004"
WASHINGTON ST FOR ISSUES DTD P,Government Related,Fixed Income,"228,955.77",0.09,"228,955.77","205,000.00",93974DMJ4,US93974DMJ45,-,109.6,United States,-,USD,1.97,0.37,1.0,"Feb 01, 2024",5.0,1.97,-,0.37,1.97,0.37,USD,"Feb 04, 2015","Feb 04, 2015"
MARYLAND ST DEPT OF TRANSPRTNCONSO,Government Related,Fixed Income,"228,799.56",0.09,"228,799.56","205,000.00",574204F65,US574204F653,-,110.78,United States,-,USD,2.22,0.36,1.0,"May 01, 2024",5.0,2.22,-,0.36,2.22,0.36,USD,"May 11, 2017","May 11, 2017"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"228,802.26",0.09,"228,802.26","205,000.00",6133407B8,US6133407B80,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Nov 15, 2017","Nov 15, 2017"
MULTNOMAH CNTY ORE,Municipals,Fixed Income,"228,802.26",0.09,"228,802.26","205,000.00",625506NW6,US625506NW67,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Dec 14, 2017","Dec 14, 2017"
PURDUE UNIV IND UNIV REVS,Municipals,Fixed Income,"228,070.00",0.09,"228,070.00","200,000.00",746189VP1,US746189VP15,-,111.54,United States,-,USD,2.33,0.36,1.0,"Jul 01, 2024",5.0,2.33,-,0.36,2.33,0.36,USD,"Mar 31, 2015","Mar 31, 2015"
DELAWARE TRANSN AUTH TRANSN SY,Government Related,Fixed Income,"228,017.00",0.09,"228,017.00","200,000.00",246428J56,US246428J567,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Sep 09, 2020","Sep 09, 2020"
SACRAMENTO CALIF MUN UTIL DIST,Corporates,Fixed Income,"227,971.00",0.09,"227,971.00","200,000.00",786005ZE1,US786005ZE12,-,112.1,United States,-,USD,2.46,0.36,1.0,"Aug 15, 2024",5.0,2.45,-,0.36,2.45,0.36,USD,"Dec 14, 2017","Dec 14, 2017"
NORTHSIDE TEX INDPT SCH DIST,Government Related,Fixed Income,"227,915.24",0.09,"227,915.24","200,000.00",66702RSV5,US66702RSV59,-,112.07,United States,-,USD,2.46,0.37,1.0,"Aug 15, 2024",5.0,2.45,-,0.37,2.45,0.37,USD,"Dec 06, 2017","Nov 01, 2017"
MASSACHUSETTS ST CLEAN WTR TR,Corporates,Fixed Income,"227,910.73",0.09,"227,910.73","200,000.00",575829EA0,US575829EA04,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Sep 12, 2018","Sep 12, 2018"
SAN ANTONIO TEX,Government Related,Fixed Income,"227,910.73",0.09,"227,910.73","200,000.00",79623PFD2,US79623PFD24,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Sep 10, 2020","Aug 01, 2020"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"227,858.06",0.09,"227,858.06","200,000.00",544647AR1,US544647AR13,-,111.43,United States,-,USD,2.33,0.4,1.0,"Jul 01, 2024",5.0,2.33,-,0.4,2.33,0.4,USD,"May 29, 2019","May 29, 2019"
WISCONSIN ST TRANSN REV,Government Related,Fixed Income,"227,805.10",0.09,"227,805.10","200,000.00",977123R26,US977123R265,-,111.4,United States,-,USD,2.33,0.41,1.0,"Jul 01, 2024",5.0,2.33,-,0.41,2.33,0.41,USD,"May 31, 2017","May 31, 2017"
RHODE IS INFRASTRUCTURE BK WTR,Municipals,Fixed Income,"227,690.02",0.09,"227,690.02","200,000.00",76221UEE2,US76221UEE29,-,112.6,United States,-,USD,2.58,0.39,1.0,"Oct 01, 2024",5.0,2.58,-,0.39,2.58,0.39,USD,"Jun 28, 2017","Jun 28, 2017"
OREGON ST,Government Related,Fixed Income,"227,636.23",0.09,"227,636.23","200,000.00",68609TNW4,US68609TNW44,-,112.98,United States,-,USD,2.67,0.39,1.0,"Nov 01, 2024",5.0,2.66,-,0.39,2.66,0.39,USD,"Nov 05, 2019","Nov 05, 2019"
ALASKA ST,Government Related,Fixed Income,"227,581.81",0.09,"227,581.81","200,000.00",0117702M5,US0117702M54,-,111.71,United States,-,USD,2.42,0.44,1.0,"Aug 01, 2024",5.0,2.41,-,0.44,2.41,0.44,USD,"Apr 09, 2015","Apr 09, 2015"
HENNEPIN CNTY MINN,Municipals,Fixed Income,"227,583.53",0.09,"227,583.53","200,000.00",425507DC1,US425507DC18,-,113.38,United States,-,USD,2.75,0.38,1.0,"Dec 01, 2024",5.0,2.75,-,0.38,2.75,0.38,USD,"Jul 13, 2016","Jul 13, 2016"
CALIFORNIA ST,Government Related,Fixed Income,"227,575.75",0.09,"227,575.75","200,000.00",13063DBK3,US13063DBK37,-,112.95,United States,-,USD,2.67,0.4,1.0,"Nov 01, 2024",5.0,2.66,-,0.4,2.66,0.4,USD,"Sep 12, 2017","Sep 12, 2017"
WICHITA KANS WTR & SWR UTIL RE,Government Related,Fixed Income,"227,455.78",0.09,"227,455.78","200,000.00",967338C77,US967338C776,-,112.48,United States,-,USD,2.58,0.43,1.0,"Oct 01, 2024",5.0,2.58,-,0.43,2.58,0.43,USD,"Jun 01, 2017","Jun 01, 2017"
CONNECTICUT ST,Government Related,Fixed Income,"227,398.57",0.09,"227,398.57","200,000.00",20772J3T7,US20772J3T71,-,112.64,United States,-,USD,2.62,0.43,1.0,"Oct 15, 2024",5.0,2.62,-,0.43,2.62,0.43,USD,"Oct 26, 2016","Oct 26, 2016"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"227,344.00",0.09,"227,344.00","205,000.00",29270CZK4,US29270CZK43,-,108.9,United States,-,USD,2.36,0.42,1.0,"Jul 01, 2024",4.0,2.36,-,0.42,2.36,0.42,USD,"May 14, 2014","May 14, 2014"
HAMILTON CNTY OHIO SALES TAX,Government Related,Fixed Income,"227,334.25",0.09,"227,334.25","200,000.00",407287LZ2,US407287LZ23,-,113.25,United States,-,USD,2.75,0.42,1.0,"Dec 01, 2024",5.0,2.75,-,0.42,2.75,0.42,USD,"Sep 07, 2016","Sep 07, 2016"
CONNECTICUT ST,Government Related,Fixed Income,"227,274.94",0.09,"227,274.94","200,000.00",20772JYB2,US20772JYB24,-,113.0,United States,-,USD,2.71,0.44,1.0,"Nov 15, 2024",5.0,2.7,-,0.44,2.7,0.44,USD,"Dec 10, 2014","Dec 10, 2014"
BELLEVUE WASH,Municipals,Fixed Income,"227,271.99",0.09,"227,271.99","200,000.00",0793652S0,US0793652S07,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"Apr 28, 2015","Apr 28, 2015"
