,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
MICROSOFT CORP,Corporates,Fixed Income,"4,765,454.73",0.3,"4,765,454.73","4,720,000.00",594918BA1,US594918BA18,BVWXT95,100.05,United States,-,USD,0.12,1.95,1.0,"Feb 12, 2022",2.38,0.11,-,1.73,0.08,1.73,USD,"Feb 12, 2015","Feb 12, 2015"
HEWLETT-PACKARD CO,Corporates,Fixed Income,"4,668,774.55",0.3,"4,668,774.55","4,510,000.00",428236BX0,US428236BX09,B7N55M7,102.33,United States,-,USD,0.7,0.73,1.0,"Sep 15, 2022",4.05,0.69,-,0.73,0.69,0.73,USD,"Mar 12, 2012","Mar 12, 2012"
APPLE INC,Corporates,Fixed Income,"4,661,524.33",0.3,"4,661,524.33","4,615,000.00",037833CM0,US037833CM07,BD897D1,100.02,United States,-,USD,0.11,2.27,1.0,"Feb 09, 2022",2.5,0.1,-,2.27,0.1,2.27,USD,"Feb 09, 2017","Feb 09, 2017"
UNITEDHEALTH GROUP INC,Corporates,Fixed Income,"4,659,339.04",0.3,"4,659,339.04","4,520,000.00",91324PCN0,US91324PCN06,BYTRVY0,101.54,United States,-,USD,0.53,0.49,1.0,"Jul 15, 2022",3.35,0.53,-,0.49,0.53,0.49,USD,"Jul 23, 2015","Jul 23, 2015"
EXELON CORPORATION,Corporates,Fixed Income,"4,652,873.30",0.3,"4,652,873.30","4,598,000.00",30161NAW1,US30161NAW11,BYQ1XT4,100.9,United States,-,USD,0.33,1.31,1.0,"Jun 01, 2022",3.5,0.41,-,0.78,0.33,0.78,USD,"Mar 01, 2017","Apr 03, 2017"
AT&T INC,Corporates,Fixed Income,"4,650,245.75",0.3,"4,650,245.75","4,580,000.00",00206RBN1,US00206RBN17,B8KGTH3,101.32,United States,-,USD,0.67,1.18,1.0,"Dec 01, 2022",2.63,0.9,-,0.65,0.66,0.65,USD,"Dec 11, 2012","Dec 11, 2012"
CANADIAN IMPERIAL BANK OF COMMERCE,Corporates,Fixed Income,"4,640,916.28",0.3,"4,640,916.28","4,592,000.00",136069TY7,US136069TY74,BD8P342,100.96,Canada,-,USD,0.46,0.45,1.0,"Jun 16, 2022",2.55,0.46,-,0.45,0.46,0.45,USD,"Jun 16, 2017","Jun 16, 2017"
DEUTSCHE BANK AG (NEW YORK BRANCH),Corporates,Fixed Income,"4,629,572.01",0.29,"4,629,572.01","4,518,000.00",251526BL2,US251526BL24,BZ1JRM1,102.06,Germany,-,USD,0.87,0.93,1.0,"Nov 16, 2022",3.3,0.86,-,0.93,0.86,0.93,USD,"Nov 16, 2017","Nov 16, 2017"
VIATRIS INC,Corporates,Fixed Income,"4,585,531.74",0.29,"4,585,531.74","4,574,000.00",92556VAA4,US92556VAA44,-,100.22,United States,-,USD,0.47,0.65,1.0,"Jun 22, 2022",1.13,0.47,-,0.65,0.47,0.65,USD,"Jun 22, 2021","Oct 28, 2021"
PNC BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"4,562,670.24",0.29,"4,562,670.24","4,469,000.00",69349LAG3,US69349LAG32,B8BRDP1,101.65,United States,-,USD,0.74,0.71,1.0,"Nov 01, 2022",2.7,0.82,-,0.5,0.74,0.5,USD,"Oct 22, 2012","Oct 22, 2012"
GENERAL DYNAMICS CORPORATION,Corporates,Fixed Income,"4,534,943.40",0.29,"4,534,943.40","4,472,000.00",369550AU2,US369550AU23,B8ZQTM3,101.12,United States,-,USD,0.62,0.96,1.0,"Nov 15, 2022",2.25,0.86,-,0.44,0.62,0.44,USD,"Nov 06, 2012","Nov 06, 2012"
BUNGE LIMITED FINANCE CORPORATION,Corporates,Fixed Income,"4,494,942.30",0.29,"4,494,942.30","4,395,000.00",120568AY6,US120568AY67,BF21KC7,101.47,United States,-,USD,0.64,0.98,1.0,"Sep 25, 2022",3.0,0.72,-,0.72,0.64,0.72,USD,"Sep 25, 2017","Sep 25, 2017"
ALTRIA GROUP INC,Corporates,Fixed Income,"4,463,316.11",0.28,"4,463,316.11","4,355,000.00",02209SAN3,US02209SAN36,B8JZ904,101.36,United States,-,USD,0.6,0.59,1.0,"Aug 09, 2022",2.85,0.6,-,0.59,0.6,0.59,USD,"Aug 09, 2012","Aug 09, 2012"
NOVARTIS CAPITAL CORP,Corporates,Fixed Income,"4,363,334.35",0.28,"4,363,334.35","4,325,000.00",66989HAM0,US66989HAM07,BZ7NY93,100.59,Switzerland,-,USD,0.29,0.82,1.0,"May 17, 2022",2.4,0.38,-,0.38,0.3,0.38,USD,"Feb 17, 2017","Feb 17, 2017"
ROYAL BANK OF CANADA MTN,Corporates,Fixed Income,"4,325,678.29",0.28,"4,325,678.29","4,271,000.00",78013X6D5,US78013X6D51,BJLW9T9,100.8,Canada,-,USD,0.33,0.36,1.0,"Apr 29, 2022",2.8,0.33,-,0.36,0.33,0.36,USD,"Apr 29, 2019","Apr 29, 2019"
TRANSCANADA PIPELINES LIMITED,Corporates,Fixed Income,"4,319,809.07",0.27,"4,319,809.07","4,234,000.00",893526DM2,US893526DM20,B83D476,100.99,Canada,-,USD,0.58,0.8,1.0,"Aug 01, 2022",2.5,0.57,-,0.8,0.57,0.8,USD,"Aug 02, 2012","Aug 02, 2012"
AUSTRALIA AND NEW ZEALAND BANKING MTN,Corporates,Fixed Income,"4,318,443.97",0.27,"4,318,443.97","4,228,000.00",05253JAU5,US05253JAU51,BYWQ6J4,101.76,Australia,-,USD,0.85,0.56,1.0,"Nov 09, 2022",2.63,0.85,-,0.56,0.85,0.56,USD,"Nov 09, 2017","Nov 09, 2017"
CLOROX CO,Corporates,Fixed Income,"4,310,165.07",0.27,"4,310,165.07","4,223,000.00",189054AT6,US189054AT60,B8QB4N3,101.17,United States,-,USD,0.45,1.38,1.0,"Sep 15, 2022",3.05,0.69,-,0.48,0.45,0.48,USD,"Sep 13, 2012","Sep 13, 2012"
WILLIAMS COMPANIES INC,Corporates,Fixed Income,"4,286,022.09",0.27,"4,286,022.09","4,237,000.00",96949LAA3,US96949LAA35,BW3SWT7,100.1,United States,-,USD,0.08,3.09,1.0,"Mar 15, 2022",3.6,0.2,-,2.29,0.08,2.29,USD,"Mar 03, 2015","Mar 03, 2015"
WESTPAC BANKING CORP,Corporates,Fixed Income,"4,268,725.12",0.27,"4,268,725.12","4,224,000.00",961214DQ3,US961214DQ36,BF5SP86,101.04,Australia,-,USD,0.49,0.38,1.0,"Jun 28, 2022",2.5,0.49,-,0.38,0.49,0.38,USD,"Jun 28, 2017","Jun 28, 2017"
HONEYWELL INTERNATIONAL INC,Corporates,Fixed Income,"4,268,674.49",0.27,"4,268,674.49","4,261,000.00",438516CC8,US438516CC86,-,100.0,United States,-,USD,0.15,0.48,1.0,"Aug 19, 2022",0.48,0.63,-,0.33,0.03,0.33,USD,"Aug 19, 2020","Aug 19, 2020"
PAYPAL HOLDINGS INC,Corporates,Fixed Income,"4,204,129.45",0.27,"4,204,129.45","4,129,000.00",70450YAB9,US70450YAB92,BK71DK6,101.24,United States,-,USD,0.73,0.51,1.0,"Sep 26, 2022",2.2,0.73,-,0.51,0.73,0.51,USD,"Sep 26, 2019","Sep 26, 2019"
ROYAL BANK OF CANADA MTN,Corporates,Fixed Income,"4,202,521.42",0.27,"4,202,521.42","4,147,000.00",78012KZG5,US78012KZG56,BYQFHZ0,100.19,Canada,-,USD,0.09,0.43,1.0,"Feb 01, 2022",2.75,0.08,-,0.43,0.08,0.43,USD,"Jan 31, 2017","Jan 31, 2017"
DEUTSCHE BANK AG (NEW YORK BRANCH),Corporates,Fixed Income,"4,179,308.90",0.27,"4,179,308.90","4,083,000.00",251526CA5,US251526CA59,BJBZTC1,100.46,Germany,-,USD,0.12,1.16,1.0,"Feb 14, 2022",5.0,0.12,-,1.16,0.12,1.16,USD,"Feb 14, 2019","Feb 14, 2019"
BP CAPITAL MARKETS PLC,Corporates,Fixed Income,"4,123,262.16",0.26,"4,123,262.16","4,040,000.00",05565QCB2,US05565QCB23,B8ZQX87,101.68,United Kingdom,-,USD,0.84,0.51,1.0,"Nov 06, 2022",2.5,0.84,-,0.51,0.84,0.51,USD,"Nov 06, 2012","Nov 06, 2012"
INTERNATIONAL LEASE FINANCE CORP,Corporates,Fixed Income,"4,122,590.70",0.26,"4,122,590.70","3,915,000.00",459745GN9,US459745GN96,B8NWVB6,103.08,United States,-,USD,0.61,0.89,1.0,"Aug 15, 2022",5.88,0.61,-,0.89,0.61,0.89,USD,"Aug 21, 2012","Aug 21, 2012"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"4,108,359.90",0.26,"4,108,359.90","4,015,000.00",459200JC6,US459200JC60,BZBZMB3,101.91,United States,-,USD,0.85,0.63,1.0,"Nov 09, 2022",2.88,0.85,-,0.63,0.85,0.63,USD,"Nov 09, 2015","Nov 09, 2015"
MOSAIC CO,Corporates,Fixed Income,"4,095,347.02",0.26,"4,095,347.02","3,999,000.00",61945CAF0,US61945CAF05,BD5W7Y4,101.99,United States,-,USD,0.78,0.95,1.0,"Nov 15, 2022",3.25,0.86,-,0.71,0.78,0.71,USD,"Nov 13, 2017","Nov 13, 2017"
DIAGEO INVESTMENT CORPORATION,Corporates,Fixed Income,"4,093,468.99",0.26,"4,093,468.99","4,043,000.00",25245BAB3,US25245BAB36,B84RFF2,100.85,United Kingdom,-,USD,0.36,0.52,1.0,"May 11, 2022",2.88,0.36,-,0.52,0.36,0.52,USD,"May 11, 2012","May 11, 2012"
UNITEDHEALTH GROUP INC,Corporates,Fixed Income,"4,081,754.12",0.26,"4,081,754.12","4,040,000.00",91324PBV3,US91324PBV31,B65VM81,100.19,United States,-,USD,0.08,1.95,1.0,"Mar 15, 2022",2.88,0.2,-,0.53,0.08,0.53,USD,"Mar 08, 2012","Mar 08, 2012"
PEPSICO INC/NC,Corporates,Fixed Income,"4,073,478.52",0.26,"4,073,478.52","4,021,000.00",713448BY3,US713448BY31,B56Y1S5,100.42,United States,-,USD,0.18,0.39,1.0,"Mar 05, 2022",2.75,0.18,-,0.39,0.18,0.39,USD,"Mar 05, 2012","Mar 05, 2012"
CME GROUP INC,Corporates,Fixed Income,"3,999,853.00",0.25,"3,999,853.00","3,900,000.00",12572QAE5,US12572QAE52,B7W5TH1,101.68,United States,-,USD,0.7,0.61,1.0,"Sep 15, 2022",3.0,0.7,-,0.61,0.7,0.61,USD,"Sep 10, 2012","Sep 10, 2012"
HSBC HOLDINGS PLC,Corporates,Fixed Income,"3,967,764.32",0.25,"3,967,764.32","3,896,000.00",404280AN9,US404280AN99,BFN0JG0,100.84,United Kingdom,-,USD,0.24,0.62,1.0,"Mar 30, 2022",4.0,0.25,-,0.62,0.25,0.62,USD,"Mar 30, 2012","Mar 30, 2012"
NATIONAL RURAL UTILITIES COOPERATI MTN,Corporates,Fixed Income,"3,959,834.14",0.25,"3,959,834.14","3,890,000.00",63743HEQ1,US63743HEQ11,BZ06422,101.12,United States,-,USD,0.62,0.71,1.0,"Sep 15, 2022",2.3,0.7,-,0.5,0.62,0.5,USD,"Aug 30, 2017","Aug 30, 2017"
BANK OF AMERICA CORP,Corporates,Fixed Income,"3,941,491.56",0.25,"3,941,491.56","3,835,000.00",06051GEM7,US06051GEM78,B7N9BD2,100.29,United States,-,USD,0.07,1.11,1.0,"Jan 24, 2022",5.7,0.06,-,1.11,0.06,1.11,USD,"Jan 24, 2012","Jan 24, 2012"
TELEFONAKTIEBOLAGET LM ERICSSON,Corporates,Fixed Income,"3,888,880.69",0.25,"3,888,880.69","3,825,000.00",294829AA4,US294829AA48,B83QNW3,101.14,Sweden,-,USD,0.37,1.04,1.0,"May 15, 2022",4.13,0.37,-,1.04,0.37,1.04,USD,"May 09, 2012","May 09, 2012"
BANCO SANTANDER SA,Corporates,Fixed Income,"3,872,068.65",0.25,"3,872,068.65","3,812,000.00",05964HAC9,US05964HAC97,BDG0ZH6,100.8,Spain,-,USD,0.28,0.62,1.0,"Apr 11, 2022",3.5,0.28,-,0.62,0.28,0.62,USD,"Apr 11, 2017","Apr 11, 2017"
GILEAD SCIENCES INC,Corporates,Fixed Income,"3,867,202.99",0.25,"3,867,202.99","3,776,000.00",375558BC6,US375558BC64,BYMYP57,101.33,United States,-,USD,0.49,1.24,1.0,"Sep 01, 2022",3.25,0.65,-,0.58,0.49,0.58,USD,"Sep 14, 2015","Sep 14, 2015"
BANK OF NEW YORK MELLON CORP/THE MTN,Corporates,Fixed Income,"3,844,148.46",0.24,"3,844,148.46","3,803,000.00",06406RAA5,US06406RAA59,BDCL4Q5,100.04,United States,-,USD,0.03,2.16,1.0,"Feb 07, 2022",2.6,0.1,-,0.82,0.03,0.82,USD,"Feb 07, 2017","Feb 07, 2017"
ONEOK PARTNERS LP,Corporates,Fixed Income,"3,839,595.50",0.24,"3,839,595.50","3,761,000.00",68268NAJ2,US68268NAJ28,B8QBB21,101.25,United States,-,USD,0.49,1.69,1.0,"Oct 01, 2022",3.38,0.74,-,0.87,0.49,0.87,USD,"Sep 13, 2012","Sep 13, 2012"
KINDER MORGAN ENERGY PARTNERS LP,Corporates,Fixed Income,"3,834,375.90",0.24,"3,834,375.90","3,735,000.00",494550BL9,US494550BL94,B76YC20,101.34,United States,-,USD,0.41,1.91,1.0,"Sep 01, 2022",3.95,0.65,-,0.71,0.41,0.71,USD,"Mar 14, 2012","Mar 14, 2012"
MERCK & CO INC,Corporates,Fixed Income,"3,832,918.97",0.24,"3,832,918.97","3,790,000.00",58933YAQ8,US58933YAQ89,BVFMPP7,100.21,United States,-,USD,0.11,0.39,1.0,"Feb 10, 2022",2.35,0.11,-,0.39,0.11,0.39,USD,"Feb 10, 2015","Feb 10, 2015"
EXXON MOBIL CORP,Corporates,Fixed Income,"3,820,469.05",0.24,"3,820,469.05","3,759,000.00",30231GBB7,US30231GBB77,BJQZJY8,100.92,United States,-,USD,0.62,0.42,1.0,"Aug 16, 2022",1.9,0.62,-,0.42,0.62,0.42,USD,"Aug 16, 2019","Aug 16, 2019"
BANK OF NOVA SCOTIA,Corporates,Fixed Income,"3,819,842.21",0.24,"3,819,842.21","3,763,000.00",064159SH0,US064159SH06,BKDTS65,101.26,Canada,-,USD,0.87,0.56,1.0,"Nov 15, 2022",2.0,0.86,-,0.56,0.86,0.56,USD,"Oct 15, 2019","Oct 15, 2019"
ROYAL BANK OF SCOTLAND GROUP PLC,Corporates,Fixed Income,"3,806,135.67",0.24,"3,806,135.67","3,630,000.00",780099CE5,US780099CE50,B9052M3,104.58,United Kingdom,-,USD,0.94,1.29,1.0,"Dec 15, 2022",6.13,0.94,-,1.29,0.94,1.29,USD,"Dec 04, 2012","Dec 04, 2012"
DEERE & CO,Corporates,Fixed Income,"3,785,797.74",0.24,"3,785,797.74","3,764,000.00",244199BE4,US244199BE40,B80CFY0,100.41,United States,-,USD,0.18,1.64,1.0,"Jun 08, 2022",2.6,0.43,-,0.37,0.19,0.37,USD,"Jun 08, 2012","Jun 08, 2012"
TOTAL CAPITAL INTERNATIONAL SA,Corporates,Fixed Income,"3,747,210.03",0.24,"3,747,210.03","3,697,000.00",89153VAB5,US89153VAB53,B7KQFQ7,100.29,France,-,USD,0.13,0.61,1.0,"Feb 17, 2022",2.88,0.13,-,0.61,0.13,0.61,USD,"Feb 17, 2012","Feb 17, 2012"
TYSON FOODS INC,Corporates,Fixed Income,"3,744,746.28",0.24,"3,744,746.28","3,708,000.00",902494AT0,US902494AT07,B8L2L07,100.79,United States,-,USD,0.2,2.74,1.0,"Jun 15, 2022",4.5,0.45,-,0.64,0.21,0.64,USD,"Jun 13, 2012","Jun 13, 2012"
PNC BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"3,735,214.07",0.24,"3,735,214.07","3,693,000.00",69353RFB9,US69353RFB96,BZBZBR2,100.17,United States,-,USD,0.13,1.31,1.0,"Feb 17, 2022",2.63,0.13,-,0.54,0.08,0.54,USD,"Feb 17, 2017","Feb 17, 2017"
WALT DISNEY COMPANY (THE) MTN,Corporates,Fixed Income,"3,729,497.89",0.24,"3,729,497.89","3,665,000.00",25468PCW4,US25468PCW41,B6YCNP9,101.56,United States,-,USD,0.91,0.64,1.0,"Dec 01, 2022",2.35,0.91,-,0.64,0.91,0.64,USD,"Nov 30, 2012","Nov 30, 2012"
BANK OF NEW YORK MELLON CORP/THE MTN,Corporates,Fixed Income,"3,723,625.13",0.24,"3,723,625.13","3,664,000.00",06406RAK3,US06406RAK32,BKSV3S3,100.93,United States,-,USD,0.64,0.5,1.0,"Aug 23, 2022",1.95,0.64,-,0.5,0.64,0.5,USD,"Aug 23, 2019","Aug 23, 2019"
APPLE INC,Corporates,Fixed Income,"3,719,468.13",0.24,"3,719,468.13","3,681,000.00",037833AY6,US037833AY62,BVVCSG3,100.2,United States,-,USD,0.11,0.28,1.0,"Feb 09, 2022",2.15,0.11,-,0.28,0.11,0.28,USD,"Feb 09, 2015","Feb 09, 2015"
VISA INC,Corporates,Fixed Income,"3,712,411.85",0.24,"3,712,411.85","3,651,000.00",92826CAG7,US92826CAG78,BD5WJ04,101.05,United States,-,USD,0.62,0.66,1.0,"Sep 15, 2022",2.15,0.7,-,0.46,0.62,0.46,USD,"Sep 11, 2017","Sep 11, 2017"
PHILIP MORRIS INTERNATIONAL INC,Corporates,Fixed Income,"3,690,420.59",0.23,"3,690,420.59","3,622,000.00",718172CA5,US718172CA54,BF954Z3,101.01,United States,-,USD,0.54,0.77,1.0,"Aug 17, 2022",2.38,0.62,-,0.52,0.54,0.52,USD,"Aug 17, 2017","Aug 17, 2017"
TRUIST FINANCIAL CORP MTN,Corporates,Fixed Income,"3,688,854.25",0.23,"3,688,854.25","3,650,000.00",05531FAX1,US05531FAX15,BDZW9N7,100.38,United States,-,USD,0.16,1.23,1.0,"Apr 01, 2022",2.75,0.25,-,0.47,0.17,0.47,USD,"Mar 21, 2017","Mar 21, 2017"
UNITEDHEALTH GROUP INC,Corporates,Fixed Income,"3,680,372.94",0.23,"3,680,372.94","3,610,000.00",91324PDD1,US91324PDD15,BD492H4,101.45,United States,-,USD,0.79,0.53,1.0,"Oct 15, 2022",2.38,0.78,-,0.53,0.78,0.53,USD,"Oct 25, 2017","Oct 25, 2017"
MICROSOFT CORPORATION,Corporates,Fixed Income,"3,670,219.88",0.23,"3,670,219.88","3,602,000.00",594918BH6,US594918BH60,BYV2RY5,101.47,United States,-,USD,0.67,0.89,1.0,"Nov 03, 2022",2.65,0.83,-,0.46,0.67,0.46,USD,"Nov 03, 2015","Nov 03, 2015"
BERKSHIRE HATHAWAY FINANCE CORP,Corporates,Fixed Income,"3,656,759.10",0.23,"3,656,759.10","3,609,000.00",084664BT7,US084664BT72,B8BPMW5,100.94,United States,-,USD,0.37,0.47,1.0,"May 15, 2022",3.0,0.37,-,0.47,0.37,0.47,USD,"May 15, 2012","May 15, 2012"
WESTPAC BANKING CORP,Corporates,Fixed Income,"3,655,410.21",0.23,"3,655,410.21","3,606,000.00",961214DG5,US961214DG53,BYYPS59,100.05,Australia,-,USD,0.03,1.06,1.0,"Jan 11, 2022",2.8,0.03,-,1.06,0.03,1.06,USD,"Jan 11, 2017","Jan 11, 2017"
SUNTRUST BANK,Corporates,Fixed Income,"3,638,048.34",0.23,"3,638,048.34","3,567,000.00",86787EAT4,US86787EAT47,BF2X9V5,100.97,United States,-,USD,0.49,0.78,1.0,"Aug 01, 2022",2.45,0.58,-,0.5,0.49,0.5,USD,"Jul 31, 2017","Jul 31, 2017"
TOYOTA MOTOR CREDIT CORP,Corporates,Fixed Income,"3,633,826.64",0.23,"3,633,826.64","3,570,000.00",89236TEC5,US89236TEC53,BF99VV0,101.11,Japan,-,USD,0.68,0.52,1.0,"Sep 08, 2022",2.15,0.68,-,0.52,0.68,0.52,USD,"Sep 08, 2017","Sep 08, 2017"
BANK OF MONTREAL MTN,Corporates,Fixed Income,"3,632,057.55",0.23,"3,632,057.55","3,564,000.00",06366RJJ5,US06366RJJ59,B891H31,101.52,Canada,-,USD,0.76,0.75,1.0,"Nov 06, 2022",2.55,0.84,-,0.55,0.76,0.55,USD,"Nov 06, 2012","Nov 06, 2012"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"3,616,755.30",0.23,"3,616,755.30","3,560,000.00",459200HG9,US459200HG92,B8F5C09,100.81,United States,-,USD,0.58,0.48,1.0,"Aug 01, 2022",1.88,0.58,-,0.48,0.58,0.48,USD,"Jul 30, 2012","Jul 30, 2012"
CITIGROUP INC,Corporates,Fixed Income,"3,585,167.95",0.23,"3,585,167.95","3,458,000.00",172967GK1,US172967GK16,B8RC822,101.99,United States,-,USD,0.57,0.63,1.0,"Jul 30, 2022",4.05,0.57,-,0.63,0.57,0.63,USD,"Feb 08, 2013","Feb 08, 2013"
BAIDU INC,Corporates,Fixed Income,"3,568,300.71",0.23,"3,568,300.71","3,490,000.00",056752AH1,US056752AH11,BF251Z9,100.85,China,-,USD,0.5,1.21,1.0,"Jul 06, 2022",2.88,0.51,-,1.21,0.51,1.21,USD,"Jul 06, 2017","Jul 06, 2017"
APPLE INC,Corporates,Fixed Income,"3,520,859.33",0.22,"3,520,859.33","3,471,000.00",037833DL1,US037833DL15,-,100.92,United States,-,USD,0.69,0.38,1.0,"Sep 11, 2022",1.7,0.69,-,0.38,0.69,0.38,USD,"Sep 11, 2019","Sep 11, 2019"
JABIL CIRCUIT INC,Corporates,Fixed Income,"3,501,578.74",0.22,"3,501,578.74","3,366,000.00",466313AG8,US466313AG80,B8Q8Q27,102.64,United States,-,USD,0.69,0.93,1.0,"Sep 15, 2022",4.7,0.69,-,0.93,0.69,0.93,USD,"Aug 03, 2012","Aug 03, 2012"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"3,489,053.60",0.22,"3,489,053.60","3,477,000.00",14913R2B2,US14913R2B24,-,100.22,United States,-,USD,0.36,0.35,1.0,"May 13, 2022",0.95,0.37,-,0.35,0.37,0.35,USD,"May 15, 2020","May 15, 2020"
ELI LILLY AND COMPANY,Corporates,Fixed Income,"3,485,051.63",0.22,"3,485,051.63","3,449,000.00",532457BQ0,US532457BQ09,BDVJY04,100.75,United States,-,USD,0.37,0.34,1.0,"May 15, 2022",2.35,0.37,-,0.34,0.37,0.34,USD,"May 09, 2017","May 09, 2017"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"3,470,125.66",0.22,"3,470,125.66","3,362,000.00",110122CX4,US110122CX41,-,101.88,United States,-,USD,0.61,0.53,1.0,"Aug 15, 2022",3.55,0.61,-,0.53,0.61,0.53,USD,"Feb 15, 2020","Jul 15, 2020"
INTEL CORP,Corporates,Fixed Income,"3,448,355.59",0.22,"3,448,355.59","3,353,000.00",458140AR1,US458140AR18,BWVFJN3,101.54,United States,-,USD,0.57,0.44,1.0,"Jul 29, 2022",3.1,0.57,-,0.44,0.57,0.44,USD,"Jul 29, 2015","Jul 29, 2015"
JOHNSON & JOHNSON,Corporates,Fixed Income,"3,445,717.93",0.22,"3,445,717.93","3,415,000.00",478160CD4,US478160CD49,BF01Z46,100.16,United States,-,USD,0.12,1.3,1.0,"Mar 03, 2022",2.25,0.17,-,0.87,0.12,0.87,USD,"Mar 03, 2017","Mar 03, 2017"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"3,442,673.65",0.22,"3,442,673.65","3,392,000.00",14913Q3C1,US14913Q3C16,-,101.26,United States,-,USD,0.88,0.51,1.0,"Nov 18, 2022",1.95,0.87,-,0.51,0.87,0.51,USD,"Jan 13, 2020","Jan 13, 2020"
NATIONAL AUSTRALIA BANK LTD (NEW Y MTN,Corporates,Fixed Income,"3,428,899.31",0.22,"3,428,899.31","3,392,000.00",63254AAW8,US63254AAW80,BZ0YQT7,100.82,Australia,-,USD,0.39,0.41,1.0,"May 22, 2022",2.5,0.39,-,0.41,0.39,0.41,USD,"May 22, 2017","May 22, 2017"
EXXON MOBIL CORP,Corporates,Fixed Income,"3,425,434.31",0.22,"3,425,434.31","3,399,000.00",30231GAJ1,US30231GAJ13,BVVPYM0,100.01,United States,-,USD,0.1,2.31,1.0,"Mar 06, 2022",2.4,0.18,-,2.16,0.08,2.16,USD,"Mar 06, 2015","Mar 06, 2015"
EVERSOURCE ENERGY,Corporates,Fixed Income,"3,423,360.97",0.22,"3,423,360.97","3,388,000.00",30040WAC2,US30040WAC29,BF082L3,100.23,United States,-,USD,0.13,1.6,1.0,"Mar 15, 2022",2.75,0.2,-,0.81,0.12,0.81,USD,"Mar 10, 2017","Mar 10, 2017"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"3,412,656.71",0.22,"3,412,656.71","3,370,000.00",89236TDP7,US89236TDP75,BDDXTP4,100.04,Japan,-,USD,0.03,1.22,1.0,"Jan 11, 2022",2.6,0.03,-,1.22,0.03,1.22,USD,"Jan 09, 2017","Jan 09, 2017"
E TRADE FINANCIAL CORP,Corporates,Fixed Income,"3,385,498.08",0.22,"3,385,498.08","3,307,000.00",269246BP8,US269246BP88,BD5KB46,101.33,United States,-,USD,0.56,0.88,1.0,"Aug 24, 2022",2.95,0.64,-,0.58,0.56,0.58,USD,"Aug 24, 2017","Aug 24, 2017"
MUFG UNION BANK NA,Corporates,Fixed Income,"3,367,672.58",0.21,"3,367,672.58","3,327,000.00",90520EAH4,US90520EAH45,BJQ1Y63,100.44,United States,-,USD,0.16,1.39,1.0,"Apr 01, 2022",3.15,0.25,-,0.52,0.17,0.52,USD,"Mar 07, 2019","Mar 07, 2019"
BAT CAPITAL CORP,Corporates,Fixed Income,"3,348,061.57",0.21,"3,348,061.57","3,279,000.00",05526DAV7,US05526DAV73,BG5QS55,101.06,United Kingdom,-,USD,0.53,1.05,1.0,"Aug 15, 2022",2.76,0.61,-,0.79,0.53,0.79,USD,"Aug 15, 2018","Nov 20, 2018"
SUMITOMO MITSUI BANKING CORP,Corporates,Fixed Income,"3,345,523.91",0.21,"3,345,523.91","3,252,000.00",865622AW4,US865622AW48,B8472S4,101.43,Japan,-,USD,0.54,0.58,1.0,"Jul 18, 2022",3.2,0.54,-,0.58,0.54,0.58,USD,"Jul 18, 2012","Jul 18, 2012"
TARGET CORPORATION,Corporates,Fixed Income,"3,342,613.09",0.21,"3,342,613.09","3,296,000.00",87612EAZ9,US87612EAZ97,B7GB7Y8,100.08,United States,-,USD,0.05,0.91,1.0,"Jan 15, 2022",2.9,0.04,-,0.91,0.04,0.91,USD,"Jan 12, 2012","Jan 12, 2012"
AUSTRALIA AND NEW ZEALAND BANKING MTN,Corporates,Fixed Income,"3,336,738.58",0.21,"3,336,738.58","3,286,000.00",05253JAW1,US05253JAW18,BKRW525,101.32,Australia,-,USD,0.88,0.56,1.0,"Nov 21, 2022",2.05,0.88,-,0.56,0.88,0.56,USD,"Nov 21, 2019","Nov 21, 2019"
ANTHEM INC,Corporates,Fixed Income,"3,325,566.01",0.21,"3,325,566.01","3,281,000.00",94973VAX5,US94973VAX55,B87XCR8,100.96,United States,-,USD,0.37,0.54,1.0,"May 15, 2022",3.13,0.37,-,0.54,0.37,0.54,USD,"May 07, 2012","May 07, 2012"
PHILLIPS 66,Corporates,Fixed Income,"3,318,689.52",0.21,"3,318,689.52","3,254,000.00",718546AC8,US718546AC87,B94MSW2,100.91,United States,-,USD,0.25,0.64,1.0,"Apr 01, 2022",4.3,0.25,-,0.64,0.25,0.64,USD,"Oct 01, 2012","Jan 18, 2013"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"3,313,488.74",0.21,"3,313,488.74","3,268,000.00",86562MAM2,US86562MAM29,BZ6T4W5,100.05,Japan,-,USD,0.03,1.1,1.0,"Jan 11, 2022",2.85,0.03,-,1.1,0.03,1.1,USD,"Jan 12, 2017","Jan 12, 2017"
