,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
CITIGROUP INC,Financial Institutions,Fixed Income,"285,036.20",0.25,"285,036.20","290,000.00",172967NA5,US172967NA50,-,98.2,United States,-,USD,4.25,1.7,1.0,"Jun 09, 2027",1.46,4.27,-,1.7,4.27,1.7,USD,"Jun 09, 2021","Jun 09, 2021"
MIZUHO FINANCIAL GROUP INC,Financial Institutions,Fixed Income,"282,344.93",0.25,"282,344.93","280,000.00",60687YBF5,US60687YBF51,-,100.25,Japan,-,USD,1.47,1.12,1.0,"Jul 10, 2024",1.24,1.49,-,1.08,1.5,1.08,USD,"Jul 10, 2020","Jul 10, 2020"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"280,692.36",0.24,"280,692.36","270,000.00",46647PBP0,US46647PBP09,-,103.57,United States,-,USD,7.2,2.49,1.0,"May 13, 2031",2.96,7.37,-,2.48,7.37,2.48,USD,"May 13, 2020","May 13, 2020"
CCO HOLDINGS LLC 144A,Industrial,Fixed Income,"278,107.60",0.24,"278,107.60","263,000.00",1248EPBX0,US1248EPBX05,BF2KJZ0,103.66,United States,-,USD,1.55,4.31,1.0,"Feb 01, 2028",5.0,5.12,-,2.9,0.56,2.9,USD,"Aug 08, 2017","Aug 08, 2017"
FGOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"278,093.39",0.24,"278,093.39","264,854.00",3128MJX39,US3128MJX397,-,104.75,United States,-,USD,3.74,1.98,1.0,"Mar 01, 2046",3.0,4.7,-,1.98,4.7,1.98,USD,"Mar 01, 2016","Mar 01, 2016"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"277,155.64",0.24,"277,155.64","259,589.00",36179TCY9,US36179TCY91,BF5Q6D2,106.43,United States,-,USD,3.06,2.3,1.0,"Jul 20, 2047",4.0,3.88,-,2.3,3.88,2.3,USD,"Jul 01, 2017","Jul 01, 2017"
TRIMBLE INC,Industrial,Fixed Income,"274,194.67",0.24,"274,194.67","240,000.00",896239AC4,US896239AC42,BF4L962,114.03,United States,-,USD,5.47,2.53,1.0,"Jun 15, 2028",4.9,5.59,-,2.45,5.41,2.45,USD,"Jun 15, 2018","Jun 15, 2018"
FORD MOTOR CREDIT COMPANY LLC,Industrial,Fixed Income,"272,499.31",0.24,"272,499.31","259,000.00",345397WW9,US345397WW97,BQRRZ11,104.06,United States,-,USD,2.55,2.1,1.0,"Sep 08, 2024",3.66,2.53,-,2.1,2.53,2.1,USD,"Sep 08, 2014","Sep 08, 2014"
MGIC INVESTMENT CORPORATION,Financial Institutions,Fixed Income,"268,695.83",0.23,"268,695.83","250,000.00",552848AG8,US552848AG81,-,105.5,United States,-,USD,2.89,4.29,1.0,"Aug 15, 2028",5.25,5.49,-,3.33,1.52,3.33,USD,"Aug 12, 2020","Aug 12, 2020"
CHENIERE ENERGY INC,Industrial,Fixed Income,"268,213.47",0.23,"268,213.47","250,000.00",16411RAK5,US16411RAK59,BNMB2S3,106.31,United States,-,USD,2.79,3.57,1.0,"Oct 15, 2028",4.63,5.78,-,2.28,1.71,2.28,USD,"Apr 15, 2021","Jul 07, 2021"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"267,547.79",0.23,"267,547.79","267,186.00",3140KQN31,US3140KQN319,-,99.97,United States,-,USD,6.15,1.99,1.0,"Sep 01, 2050",2.0,6.19,-,1.99,6.19,1.99,USD,"Sep 01, 2020","Sep 01, 2020"
FNMA 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"266,595.55",0.23,"266,595.55","259,667.00",3140X9R64,US3140X9R648,-,102.5,United States,-,USD,3.61,1.33,1.0,"Feb 01, 2036",2.0,3.88,-,1.33,3.88,1.33,USD,"Jan 01, 2021","Jan 01, 2021"
FNMA 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"265,720.93",0.23,"265,720.93","256,238.00",3140X9CL7,US3140X9CL77,-,103.49,United States,-,USD,2.85,1.53,1.0,"Oct 01, 2035",2.5,3.72,-,1.53,3.72,1.53,USD,"Dec 01, 2020","Dec 01, 2020"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"263,663.82",0.23,"263,663.82","251,949.00",3133KJXK3,US3133KJXK32,-,104.4,United States,-,USD,3.67,2.03,1.0,"Aug 01, 2050",3.0,4.68,-,2.03,4.68,2.03,USD,"Aug 01, 2020","Aug 01, 2020"
UNITED PARCEL SERVICE INC,Industrial,Fixed Income,"261,757.10",0.23,"261,757.10","220,000.00",911312BY1,US911312BY18,BMGJVK1,117.87,United States,-,USD,6.84,2.08,1.0,"Apr 01, 2030",4.45,6.98,-,2.02,6.8,2.02,USD,"Mar 24, 2020","Mar 24, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"259,231.77",0.23,"259,231.77","247,758.00",3140X9ED3,US3140X9ED34,-,104.38,United States,-,USD,4.35,2.0,1.0,"Jan 01, 2051",3.0,4.52,-,2.0,4.52,2.0,USD,"Jan 01, 2021","Jan 01, 2021"
MITSUBISHI UFJ FINANCIAL GROUP INC,Financial Institutions,Fixed Income,"258,287.13",0.23,"258,287.13","260,000.00",606822BW3,US606822BW35,-,98.92,Japan,-,USD,2.5,1.26,1.0,"Jul 19, 2025",0.95,2.49,-,1.26,2.5,1.26,USD,"Jul 20, 2021","Jul 20, 2021"
RESOLUTE FOREST PRODUCTS 144A,Industrial,Fixed Income,"258,252.50",0.23,"258,252.50","250,000.00",76117WAC3,US76117WAC38,-,101.68,United States,-,USD,3.19,4.43,1.0,"Mar 01, 2026",4.88,3.68,-,4.43,3.68,4.43,USD,"Feb 02, 2021","Feb 02, 2021"
HCA INC,Industrial,Fixed Income,"257,384.57",0.22,"257,384.57","230,000.00",404119BQ1,US404119BQ19,BRK9CV0,110.8,United States,-,USD,3.03,1.85,1.0,"Apr 15, 2025",5.25,3.02,-,1.85,3.02,1.85,USD,"Oct 17, 2014","Oct 17, 2014"
NIKE INC,Industrial,Fixed Income,"257,117.20",0.22,"257,117.20","240,000.00",654106AK9,US654106AK94,BLB1V27,106.39,United States,-,USD,7.2,2.0,1.0,"Mar 27, 2030",2.85,7.31,-,1.98,7.11,1.98,USD,"Mar 27, 2020","Mar 27, 2020"
BONANZA CREEK ENERGY INC 144A,Industrial,Fixed Income,"255,443.33",0.22,"255,443.33","250,000.00",097793AE3,US097793AE35,BMTVQ76,101.09,United States,-,USD,3.73,4.74,1.0,"Oct 15, 2026",5.0,4.18,-,4.68,3.39,4.68,USD,"Oct 13, 2021","Oct 13, 2021"
FIRST REPUBLIC BANK,Financial Institutions,Fixed Income,"254,575.61",0.22,"254,575.61","250,000.00",33616CHQ6,US33616CHQ69,-,101.09,United States,-,USD,1.09,1.2,1.0,"Feb 12, 2024",1.91,1.09,-,0.92,1.09,0.92,USD,"Feb 12, 2020","Feb 12, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"251,655.57",0.22,"251,655.57","233,395.00",31418DMW9,US31418DMW91,-,107.45,United States,-,USD,2.66,2.35,1.0,"Mar 01, 2050",4.5,3.58,-,2.35,3.58,2.35,USD,"Feb 01, 2020","Feb 01, 2020"
CREDIT SUISSE AG (NEW YORK BRANCH),Financial Institutions,Fixed Income,"248,872.78",0.22,"248,872.78","250,000.00",22550L2F7,US22550L2F72,-,99.34,Switzerland,-,USD,1.59,0.93,1.0,"Aug 09, 2023",0.52,1.59,-,0.93,1.59,0.93,USD,"Aug 09, 2021","Aug 09, 2021"
TORONTO-DOMINION BANK/THE MTN,Financial Institutions,Fixed Income,"248,567.92",0.22,"248,567.92","250,000.00",89114TZA3,US89114TZA32,-,99.4,Canada,-,USD,1.41,0.72,1.0,"Jun 02, 2023",0.3,1.41,-,0.72,1.41,0.72,USD,"Jun 03, 2021","Jun 03, 2021"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"248,525.17",0.22,"248,525.17","242,913.00",3140QFFK0,US3140QFFK09,-,102.1,United States,-,USD,4.74,2.02,1.0,"Oct 01, 2050",2.5,4.62,-,2.02,4.62,2.02,USD,"Sep 01, 2020","Sep 01, 2020"
MORGAN STANLEY,Financial Institutions,Fixed Income,"244,743.32",0.21,"244,743.32","245,000.00",6174468W2,US6174468W28,-,99.67,United States,-,USD,1.04,0.7,1.0,"Jan 25, 2024",0.53,1.06,-,0.7,1.06,0.7,USD,"Jan 25, 2021","Jan 25, 2021"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"242,249.42",0.21,"242,249.42","235,936.00",3617NWHH8,US3617NWHH81,-,102.47,United States,-,USD,4.04,1.92,1.0,"Aug 20, 2050",2.5,4.41,-,1.92,4.41,1.92,USD,"Sep 01, 2020","Sep 01, 2020"
FAIR ISAAC CORP 144A,Industrial,Fixed Income,"241,746.33",0.21,"241,746.33","235,000.00",303250AF1,US303250AF16,BKV3193,102.69,United States,-,USD,2.9,3.53,1.0,"Jun 15, 2028",4.0,5.65,-,3.04,2.77,3.04,USD,"Dec 06, 2019","Dec 06, 2019"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"241,302.83",0.21,"241,302.83","235,848.00",3133KK3U1,US3133KK3U19,-,102.1,United States,-,USD,4.74,2.02,1.0,"Jan 01, 2051",2.5,4.64,-,2.02,4.64,2.02,USD,"Jan 01, 2021","Jan 01, 2021"
FIVE POINT OPERATING COMPANY LP 144A,Financial Institutions,Fixed Income,"237,335.06",0.21,"237,335.06","225,000.00",33834YAA6,US33834YAA64,BDVNGP5,104.48,United States,-,USD,0.08,6.54,1.0,"Nov 15, 2025",7.88,3.29,-,0.38,0.08,0.38,USD,"Nov 22, 2017","Nov 22, 2017"
PERKINELMER INC,Industrial,Fixed Income,"237,295.40",0.21,"237,295.40","240,000.00",714046AL3,US714046AL31,-,98.61,United States,-,USD,2.38,1.37,1.0,"Sep 15, 2024",0.85,2.66,-,1.37,2.66,1.37,USD,"Sep 10, 2021","Sep 10, 2021"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"236,925.94",0.21,"236,925.94","216,938.00",01F050619,US01F0506190,-,109.05,United States,-,USD,2.1,2.04,1.0,"Jan 13, 2022",5.0,3.17,-,2.04,3.17,2.04,USD,"Jan 01, 2022","Jan 01, 2022"
ONEOK INC,Industrial,Fixed Income,"233,778.30",0.2,"233,778.30","210,000.00",682680AR4,US682680AR43,BZ3CCM3,108.82,United States,-,USD,1.34,2.08,1.0,"Sep 01, 2023",7.5,1.55,-,1.2,1.33,1.2,USD,"Aug 21, 2015","Aug 21, 2015"
DELL INTERNATIONAL LLC,Industrial,Fixed Income,"232,887.40",0.2,"232,887.40","180,000.00",24703TAH9,US24703TAH95,-,126.52,United States,-,USD,6.62,2.7,1.0,"Jul 15, 2030",6.2,6.74,-,2.62,6.58,2.62,USD,"Jan 15, 2021","Jun 15, 2021"
YUM! BRANDS INC. 144A,Industrial,Fixed Income,"231,979.18",0.2,"231,979.18","210,000.00",988498AL5,US988498AL59,BJDSXL5,108.28,United States,-,USD,6.53,3.56,1.0,"Jan 15, 2030",4.75,6.58,-,3.53,6.41,3.53,USD,"Sep 11, 2019","Sep 11, 2019"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"230,838.32",0.2,"230,838.32","230,526.00",3140X8SQ1,US3140X8SQ18,-,99.97,United States,-,USD,6.15,1.99,1.0,"Dec 01, 2050",2.0,6.19,-,1.99,6.19,1.99,USD,"Nov 01, 2020","Nov 01, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"230,411.44",0.2,"230,411.44","230,100.00",3140QGLT2,US3140QGLT27,-,99.97,United States,-,USD,6.15,1.99,1.0,"Jan 01, 2051",2.0,6.19,-,1.99,6.19,1.99,USD,"Dec 01, 2020","Dec 01, 2020"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"229,129.94",0.2,"229,129.94","223,162.00",3617NWHS4,US3617NWHS47,-,102.47,United States,-,USD,4.08,1.92,1.0,"Sep 20, 2050",2.5,4.42,-,1.92,4.42,1.92,USD,"Sep 01, 2020","Sep 01, 2020"
BANK OF AMERICA CORP,Financial Institutions,Fixed Income,"228,576.45",0.2,"228,576.45","230,000.00",06051GJR1,US06051GJR11,BN29JX1,99.19,United States,-,USD,2.27,1.16,1.0,"Apr 22, 2025",0.98,2.27,-,1.16,2.27,1.16,USD,"Apr 22, 2021","Apr 22, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"227,048.19",0.2,"227,048.19","218,515.00",3133KJQ39,US3133KJQ395,-,103.66,United States,-,USD,3.85,2.02,1.0,"Jul 01, 2050",3.0,3.91,-,2.02,3.91,2.02,USD,"Jul 01, 2020","Jul 01, 2020"
BANK OF NOVA SCOTIA,Financial Institutions,Fixed Income,"225,487.59",0.2,"225,487.59","230,000.00",0641593U8,US0641593U89,-,97.69,Canada,-,USD,4.05,1.62,1.0,"Mar 02, 2026",1.05,4.04,-,1.62,4.04,1.62,USD,"Mar 02, 2021","Mar 02, 2021"
VERISK ANALYTICS INC,Industrial,Fixed Income,"224,335.86",0.2,"224,335.86","208,000.00",92345YAD8,US92345YAD85,BXPB5D6,107.68,United States,-,USD,3.06,1.7,1.0,"Jun 15, 2025",4.0,3.24,-,1.54,3.02,1.54,USD,"May 15, 2015","May 15, 2015"
UBER TECHNOLOGIES INC 144A,Industrial,Fixed Income,"222,186.67",0.19,"222,186.67","200,000.00",90353TAE0,US90353TAE01,BKPQNG9,108.89,United States,-,USD,0.77,5.65,1.0,"Sep 15, 2027",7.5,4.57,-,2.65,0.68,2.65,USD,"Sep 17, 2019","Sep 17, 2019"
GNMA 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"221,375.00",0.19,"221,375.00","200,000.00",01N042617,US01N0426179,-,110.45,United States,-,USD,3.4,1.98,1.0,"Jan 20, 2022",4.5,4.14,-,1.98,4.14,1.98,USD,"Jan 01, 2022","Jan 01, 2022"
BARCLAYS PLC,Financial Institutions,Fixed Income,"221,349.07",0.19,"221,349.07","200,000.00",06738EAW5,US06738EAW57,BDGKSN3,109.98,United Kingdom,-,USD,4.95,3.09,1.0,"May 09, 2028",4.84,5.47,-,2.81,4.71,2.81,USD,"May 09, 2017","May 09, 2017"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"220,576.90",0.19,"220,576.90","208,506.00",31418DHM7,US31418DHM74,-,105.5,United States,-,USD,3.53,2.09,1.0,"Nov 01, 2049",3.5,4.02,-,2.09,4.02,2.09,USD,"Oct 01, 2019","Oct 01, 2019"
MORGAN STANLEY MTN,Financial Institutions,Fixed Income,"220,185.28",0.19,"220,185.28","200,000.00",61746BDZ6,US61746BDZ67,BDCRXV1,108.44,United States,-,USD,3.74,1.72,1.0,"Jan 27, 2026",3.88,3.73,-,1.72,3.73,1.72,USD,"Jan 27, 2016","Jan 27, 2016"
CCO HOLDINGS LLC 144A,Industrial,Fixed Income,"219,177.35",0.19,"219,177.35","210,000.00",1248EPBT9,US1248EPBT92,BYM4WW3,103.52,United States,-,USD,0.63,4.38,1.0,"May 01, 2027",5.13,4.61,-,2.17,0.33,2.17,USD,"Feb 06, 2017","Feb 06, 2017"
FORTERRA FINANCE LLC 144A,Industrial,Fixed Income,"218,126.44",0.19,"218,126.44","200,000.00",34962WAA2,US34962WAA27,-,106.07,United States,-,USD,0.52,4.62,1.0,"Jul 15, 2025",6.5,3.07,-,1.2,0.52,1.2,USD,"Jul 16, 2020","Jul 16, 2020"
XHR LP 144A,Financial Institutions,Fixed Income,"217,160.67",0.19,"217,160.67","200,000.00",98372MAA3,US98372MAA36,BKPVMF6,106.17,United States,-,USD,0.61,4.51,1.0,"Aug 15, 2025",6.38,3.16,-,1.49,0.6,1.49,USD,"Aug 18, 2020","Aug 18, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"216,106.94",0.19,"216,106.94","211,098.00",3140QEKL5,US3140QEKL51,-,102.16,United States,-,USD,5.41,2.06,1.0,"Aug 01, 2050",2.5,5.21,-,2.06,5.21,2.06,USD,"Jul 01, 2020","Jul 01, 2020"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"215,273.58",0.19,"215,273.58","200,000.00",46625HJY7,US46625HJY71,BR17VT4,106.44,United States,-,USD,2.55,1.43,1.0,"Sep 10, 2024",3.88,2.54,-,1.43,2.54,1.43,USD,"Sep 10, 2014","Sep 10, 2014"
PHILIP MORRIS INTERNATIONAL INC,Industrial,Fixed Income,"215,093.18",0.19,"215,093.18","206,000.00",718172CH0,US718172CH08,BJK36L4,103.94,United States,-,USD,2.19,1.16,1.0,"May 01, 2024",2.88,2.25,-,1.1,2.17,1.1,USD,"May 01, 2019","May 01, 2019"
HORIZON PHARMA USA INC 144A,Industrial,Fixed Income,"214,727.33",0.19,"214,727.33","200,000.00",44055PAA4,US44055PAA49,BKFH1G8,105.07,United States,-,USD,1.93,4.46,1.0,"Aug 01, 2027",5.5,4.69,-,3.69,0.56,3.69,USD,"Jul 16, 2019","Jul 16, 2019"
HSBC HOLDINGS PLC,Financial Institutions,Fixed Income,"213,938.39",0.19,"213,938.39","200,000.00",404280AP4,US404280AP48,BKJLDZ9,105.71,United Kingdom,-,USD,2.1,1.6,1.0,"Mar 14, 2024",4.25,2.09,-,1.6,2.09,1.6,USD,"Mar 12, 2014","Mar 12, 2014"
GLOBAL PARTNERS LP,Industrial,Fixed Income,"213,651.33",0.19,"213,651.33","200,000.00",37954FAG9,US37954FAG90,-,103.91,United States,-,USD,2.26,6.16,1.0,"Aug 01, 2027",7.0,4.47,-,5.77,2.28,5.77,USD,"Feb 01, 2020","Feb 10, 2020"
GARTNER INC 144A,Industrial,Fixed Income,"213,558.00",0.19,"213,558.00","200,000.00",366651AC1,US366651AC11,-,104.53,United States,-,USD,2.9,3.71,1.0,"Jul 01, 2028",4.5,5.51,-,2.87,1.42,2.87,USD,"Jun 22, 2020","Jun 22, 2020"
TRIVIUM PACKAGING FINANCE BV 144A,Industrial,Fixed Income,"212,985.00",0.19,"212,985.00","200,000.00",89686QAA4,US89686QAA40,BK0YKJ0,104.43,Netherlands,-,USD,1.15,4.43,1.0,"Aug 15, 2026",5.5,3.99,-,2.69,0.6,2.69,USD,"Aug 02, 2019","Aug 02, 2019"
MINERALS TECHNOLOGIES INC. 144A,Industrial,Fixed Income,"212,904.00",0.19,"212,904.00","200,000.00",603158AA4,US603158AA41,-,103.95,United States,-,USD,3.22,4.29,1.0,"Jul 01, 2028",5.0,5.4,-,3.78,3.13,3.78,USD,"Jun 30, 2020","Jun 30, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"212,903.94",0.19,"212,903.94","212,911.00",3140QKHM3,US3140QKHM32,-,99.83,United States,-,USD,6.55,2.01,1.0,"Apr 01, 2051",2.0,6.64,-,2.01,6.64,2.01,USD,"Mar 01, 2021","Mar 01, 2021"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"212,759.00",0.19,"212,759.00","200,000.00",46625HRV4,US46625HRV41,BDHBPY5,105.64,United States,-,USD,4.28,1.71,1.0,"Oct 01, 2026",2.95,4.41,-,1.64,4.19,1.64,USD,"Jul 21, 2016","Jul 21, 2016"
STARWOOD PROPERTY TRUST INC,Financial Institutions,Fixed Income,"212,441.22",0.19,"212,441.22","200,000.00",85571BAL9,US85571BAL99,BYW54F3,104.82,United States,-,USD,2.64,3.16,1.0,"Mar 15, 2025",4.75,2.93,-,2.88,2.51,2.88,USD,"Mar 15, 2018","Aug 14, 2018"
GREIF INC 144A,Industrial,Fixed Income,"211,833.33",0.18,"211,833.33","200,000.00",397624AH0,US397624AH07,BJJQGY7,103.75,United States,-,USD,0.47,5.65,1.0,"Mar 01, 2027",6.5,4.28,-,3.3,0.16,3.3,USD,"Feb 11, 2019","Feb 11, 2019"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"211,327.11",0.18,"211,327.11","194,000.00",38143U8H7,US38143U8H71,BYYLHX8,107.62,United States,-,USD,3.66,1.83,1.0,"Feb 25, 2026",3.75,3.81,-,1.72,3.6,1.72,USD,"Feb 25, 2016","Feb 25, 2016"
BANCO SANTANDER SA,Financial Institutions,Fixed Income,"209,947.64",0.18,"209,947.64","210,000.00",05964HAL9,US05964HAL96,-,99.48,Spain,-,USD,4.04,1.98,1.0,"Mar 25, 2026",1.85,4.03,-,1.98,4.03,1.98,USD,"Mar 25, 2021","Mar 25, 2021"
CHARLES RIVER LABORATORIES INTERNA 144A,Industrial,Fixed Income,"209,796.67",0.18,"209,796.67","200,000.00",159864AE7,US159864AE78,BK59DC4,104.19,United States,-,USD,2.71,3.51,1.0,"May 01, 2028",4.25,5.5,-,2.61,1.29,2.61,USD,"Oct 23, 2019","Oct 23, 2019"
MSCI INC 144A,Industrial,Fixed Income,"209,296.33",0.18,"209,296.33","200,000.00",55354GAM2,US55354GAM24,-,104.04,United States,-,USD,6.38,3.14,1.0,"Nov 01, 2031",3.63,8.22,-,3.04,6.77,3.04,USD,"May 14, 2021","May 14, 2021"
GNMA 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"209,273.34",0.18,"209,273.34","196,000.00",01N040611,US01N0406114,-,106.56,United States,-,USD,3.89,2.48,1.0,"Jan 20, 2022",4.0,4.32,-,2.48,4.32,2.48,USD,"Jan 01, 2022","Jan 01, 2022"
ACADIA HEALTHCARE CO INC 144A,Industrial,Fixed Income,"209,105.11",0.18,"209,105.11","200,000.00",00404AAP4,US00404AAP49,BMCM9K0,103.5,United States,-,USD,3.86,4.43,1.0,"Apr 15, 2029",5.0,6.03,-,3.99,3.4,3.99,USD,"Oct 14, 2020","Oct 14, 2020"
BANK OF AMERICA CORP,Financial Institutions,Fixed Income,"208,615.46",0.18,"208,615.46","210,000.00",06051GJY6,US06051GJY61,-,99.32,United States,-,USD,1.43,0.79,1.0,"Jun 14, 2024",0.52,1.44,-,0.79,1.44,0.79,USD,"Jun 14, 2021","Jun 14, 2021"
PUBLIC STORAGE,Financial Institutions,Fixed Income,"208,525.32",0.18,"208,525.32","190,000.00",74460DAD1,US74460DAD12,BJN4QV4,109.19,United States,-,USD,6.37,2.03,1.0,"May 01, 2029",3.38,6.5,-,1.99,6.3,1.99,USD,"Apr 12, 2019","Apr 12, 2019"
HSBC HOLDINGS PLC,Financial Institutions,Fixed Income,"208,425.67",0.18,"208,425.67","200,000.00",404280BS7,US404280BS77,BF108N2,103.75,United Kingdom,-,USD,1.35,1.2,1.0,"May 18, 2024",3.95,1.34,-,1.2,1.35,1.2,USD,"May 18, 2018","May 18, 2018"
VMED O2 UK FINANCING I PLC 144A,Industrial,Fixed Income,"208,029.28",0.18,"208,029.28","200,000.00",92858RAB6,US92858RAB69,-,101.73,United Kingdom,-,USD,6.19,4.52,1.0,"Jul 15, 2031",4.75,7.46,-,4.48,6.16,4.48,USD,"Jul 07, 2021","Jul 07, 2021"
FS KKR CAPITAL CORP,Financial Institutions,Fixed Income,"207,028.68",0.18,"207,028.68","210,000.00",302635AJ6,US302635AJ69,-,98.22,United States,-,USD,2.71,2.31,1.0,"Oct 12, 2024",1.65,2.69,-,2.31,2.69,2.31,USD,"Oct 12, 2021","Oct 12, 2021"
DEUTSCHE BANK AG MTN,Financial Institutions,Fixed Income,"206,337.07",0.18,"206,337.07","200,000.00",251525AM3,US251525AM33,B9ZT6L7,102.73,Germany,-,USD,1.36,3.29,1.0,"May 24, 2028",4.3,1.3,-,2.3,1.35,2.3,USD,"May 24, 2013","May 24, 2013"
GENERAL MOTORS FINANCIAL CO INC,Industrial,Fixed Income,"206,319.94",0.18,"206,319.94","200,000.00",37045XCU8,US37045XCU81,BHZQX02,101.45,United States,-,USD,0.51,0.74,1.0,"Jul 08, 2022",3.55,0.51,-,0.74,0.51,0.74,USD,"Apr 08, 2019","Apr 08, 2019"
GARTNER INC 144A,Industrial,Fixed Income,"205,185.00",0.18,"205,185.00","200,000.00",366651AE7,US366651AE76,-,101.66,United States,-,USD,5.25,3.53,1.0,"Oct 01, 2030",3.75,7.35,-,3.28,3.45,3.28,USD,"Sep 28, 2020","Sep 28, 2020"
CCO HOLDINGS LLC 144A,Industrial,Fixed Income,"204,894.00",0.18,"204,894.00","200,000.00",1248EPCL5,US1248EPCL57,-,102.07,United States,-,USD,7.29,4.27,1.0,"Jun 01, 2033",4.5,8.86,-,4.2,6.94,4.2,USD,"Apr 22, 2021","Apr 22, 2021"
TURNING POINT BRANDS INC 144A,Industrial,Fixed Income,"204,808.00",0.18,"204,808.00","200,000.00",90041LAF2,US90041LAF22,-,100.28,United States,-,USD,3.31,5.55,1.0,"Feb 15, 2026",5.63,3.56,-,5.52,2.77,5.52,USD,"Feb 11, 2021","Feb 11, 2021"
FHLMC GOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"204,638.47",0.18,"204,638.47","194,896.00",31335BRK4,US31335BRK43,-,104.75,United States,-,USD,3.74,1.98,1.0,"Jun 01, 2047",3.0,4.7,-,1.98,4.7,1.98,USD,"May 01, 2018","May 01, 2018"
FNMA 15YR UMBS,MBS Pass-Through,Fixed Income,"204,391.57",0.18,"204,391.57","199,050.00",3140QHET8,US3140QHET82,-,102.52,United States,-,USD,4.22,1.4,1.0,"Feb 01, 2036",2.0,4.31,-,1.4,4.31,1.4,USD,"Feb 01, 2021","Feb 01, 2021"
FNMA 15YR UMBS,MBS Pass-Through,Fixed Income,"204,367.95",0.18,"204,367.95","197,075.00",31418DTN2,US31418DTN20,-,103.49,United States,-,USD,2.85,1.53,1.0,"Oct 01, 2035",2.5,3.72,-,1.53,3.72,1.53,USD,"Sep 01, 2020","Sep 01, 2020"
LGI HOMES INC 144A,Industrial,Fixed Income,"203,808.67",0.18,"203,808.67","200,000.00",50187TAF3,US50187TAF30,-,99.87,United States,-,USD,6.24,4.02,1.0,"Jul 15, 2029",4.0,6.32,-,4.02,6.32,4.02,USD,"Jun 28, 2021","Jun 28, 2021"
FNMA 15YR UMBS,MBS Pass-Through,Fixed Income,"203,449.51",0.18,"203,449.51","198,133.00",3140QHEP6,US3140QHEP60,-,102.52,United States,-,USD,4.22,1.4,1.0,"Feb 01, 2036",2.0,4.31,-,1.4,4.31,1.4,USD,"Feb 01, 2021","Feb 01, 2021"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"203,427.75",0.18,"203,427.75","191,459.00",3140X7VJ5,US3140X7VJ54,-,105.96,United States,-,USD,3.04,2.11,1.0,"Jun 01, 2049",3.5,4.4,-,2.11,4.4,2.11,USD,"Aug 01, 2020","Aug 01, 2020"
ARDAGH PACKAGING FINANCE PLC 144A,Industrial,Fixed Income,"202,854.50",0.18,"202,854.50","200,000.00",03969AAP5,US03969AAP57,BK5HL24,100.77,United States,-,USD,3.56,5.09,1.0,"Aug 15, 2027",5.25,4.79,-,4.93,2.41,4.93,USD,"Aug 12, 2019","Aug 12, 2019"
MPLX LP,Industrial,Fixed Income,"201,820.66",0.18,"201,820.66","185,000.00",55336VAG5,US55336VAG59,BDCG2P5,108.69,United States,-,USD,2.53,1.8,1.0,"Dec 01, 2024",4.88,2.73,-,1.54,2.5,1.54,USD,"Jun 01, 2016","Sep 27, 2016"
ZOOMINFO TECHNOLOGIES LLC 144A,Industrial,Fixed Income,"200,897.17",0.18,"200,897.17","200,000.00",98981BAA0,US98981BAA08,BMGS3M4,98.83,United States,-,USD,5.03,4.07,1.0,"Feb 01, 2029",3.88,6.03,-,4.07,6.03,4.07,USD,"Feb 02, 2021","Feb 02, 2021"
