,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
SYSCO CORPORATION,Corporates,Fixed Income,"50,658.03",0.25,"50,658.03","40,000.00",871829BL0,US871829BL07,BM5M5P4,125.11,United States,-,USD,6.55,2.55,1.0,"Apr 01, 2030",5.95,6.67,-,2.47,6.51,2.47,USD,"Apr 02, 2020","Apr 02, 2020"
MARRIOTT INTERNATIONAL INC,Corporates,Fixed Income,"50,251.83",0.25,"50,251.83","50,000.00",571903BG7,US571903BG74,-,99.9,United States,-,USD,8.04,2.86,1.0,"Apr 15, 2031",2.85,8.06,-,2.86,8.06,2.86,USD,"Mar 05, 2021","Mar 05, 2021"
BANK OF AMERICA CORP MTN,Corporates,Fixed Income,"50,249.53",0.25,"50,249.53","45,000.00",06051GFU8,US06051GFU85,BYYD0K2,110.21,United States,-,USD,3.8,1.89,1.0,"Mar 03, 2026",4.45,3.79,-,1.89,3.79,1.89,USD,"Mar 03, 2016","Mar 03, 2016"
VMWARE INC,Corporates,Fixed Income,"49,790.85",0.25,"49,790.85","45,000.00",928563AC9,US928563AC98,BDT5HN8,109.24,United States,-,USD,4.9,2.15,1.0,"Aug 21, 2027",3.9,5.03,-,2.08,4.82,2.08,USD,"Aug 21, 2017","Aug 21, 2017"
HCA INC,Corporates,Fixed Income,"49,760.25",0.25,"49,760.25","45,000.00",404119BX6,US404119BX69,BKKDGV1,110.4,United States,-,USD,6.35,2.58,1.0,"Jun 15, 2029",4.13,6.46,-,2.54,6.27,2.54,USD,"Jun 12, 2019","Jun 12, 2019"
LABORATORY CORPORATION OF AMERICA,Corporates,Fixed Income,"49,556.08",0.25,"49,556.08","50,000.00",50540RAX0,US50540RAX08,-,98.98,United States,-,USD,4.23,1.79,1.0,"Jun 01, 2026",1.55,4.24,-,1.79,4.24,1.79,USD,"May 26, 2021","May 26, 2021"
T-MOBILE USA INC,Corporates,Fixed Income,"49,090.35",0.25,"49,090.35","45,000.00",87264ABD6,US87264ABD63,-,108.3,United States,-,USD,4.7,2.08,1.0,"Apr 15, 2027",3.75,4.78,-,2.04,4.65,2.04,USD,"Apr 15, 2021","May 21, 2021"
HUMANA INC,Corporates,Fixed Income,"48,959.12",0.25,"48,959.12","50,000.00",444859BQ4,US444859BQ43,-,97.35,United States,-,USD,4.88,1.9,1.0,"Feb 03, 2027",1.35,4.86,-,1.9,4.86,1.9,USD,"Aug 03, 2021","Aug 03, 2021"
NORTHROP GRUMMAN CORP,Corporates,Fixed Income,"48,858.58",0.24,"48,858.58","45,000.00",666807BN1,US666807BN13,BF15KF3,107.08,United States,-,USD,5.32,2.0,1.0,"Jan 15, 2028",3.25,5.42,-,1.95,5.22,1.95,USD,"Oct 13, 2017","Oct 13, 2017"
PERKINELMER INC,Corporates,Fixed Income,"48,382.95",0.24,"48,382.95","45,000.00",714046AG4,US714046AG46,-,106.55,United States,-,USD,6.66,2.37,1.0,"Sep 15, 2029",3.3,6.76,-,2.34,6.56,2.34,USD,"Sep 12, 2019","Sep 12, 2019"
MICROCHIP TECHNOLOGY INCORPORATED,Corporates,Fixed Income,"47,379.90",0.24,"47,379.90","45,000.00",595017BA1,US595017BA15,BNTZVT2,103.87,United States,-,USD,1.02,3.12,1.0,"Sep 01, 2025",4.25,3.34,-,1.57,0.65,1.57,USD,"May 29, 2020","May 29, 2020"
FORTIS INC,Corporates,Fixed Income,"47,303.23",0.24,"47,303.23","45,000.00",349553AM9,US349553AM97,BDFFQX5,104.38,Canada,-,USD,4.29,2.08,1.0,"Oct 04, 2026",3.06,4.4,-,2.03,4.18,2.03,USD,"Apr 04, 2017","Jun 28, 2017"
ONEOK INC,Corporates,Fixed Income,"47,177.70",0.24,"47,177.70","45,000.00",682680AY9,US682680AY93,BKFV9C2,103.71,United States,-,USD,6.6,2.86,1.0,"Sep 01, 2029",3.4,6.66,-,2.84,6.47,2.84,USD,"Aug 15, 2019","Aug 15, 2019"
ALTRIA GROUP INC,Corporates,Fixed Income,"47,020.70",0.24,"47,020.70","45,000.00",02209SBJ1,US02209SBJ15,-,103.97,United States,-,USD,7.15,2.86,1.0,"May 06, 2030",3.4,7.22,-,2.85,7.03,2.85,USD,"May 06, 2020","May 06, 2020"
ORANGE SA,Corporates,Fixed Income,"46,883.10",0.23,"46,883.10","30,000.00",35177PAL1,US35177PAL13,7310155,153.3,France,-,USD,6.81,2.47,1.0,"Mar 01, 2031",8.5,6.8,-,2.47,6.8,2.47,USD,"Sep 01, 2001","Feb 11, 2002"
CONOCOPHILLIPS CO,Corporates,Fixed Income,"46,598.38",0.23,"46,598.38","35,000.00",208251AE8,US208251AE82,5670055,131.67,United States,-,USD,5.94,2.22,1.0,"Apr 15, 2029",6.95,5.92,-,2.22,5.92,2.22,USD,"Apr 20, 1999","Apr 20, 1999"
ORACLE CORPORATION,Corporates,Fixed Income,"46,385.10",0.23,"46,385.10","45,000.00",68389XBT1,US68389XBT19,-,102.45,United States,-,USD,3.07,1.72,1.0,"Apr 01, 2025",2.5,3.1,-,1.7,3.02,1.7,USD,"Apr 01, 2020","Apr 01, 2020"
CI FINANCIAL CORP,Corporates,Fixed Income,"46,354.70",0.23,"46,354.70","45,000.00",125491AN0,US125491AN04,-,102.89,Canada,-,USD,7.71,2.83,1.0,"Dec 17, 2030",3.2,7.76,-,2.82,7.57,2.82,USD,"Dec 17, 2020","Dec 17, 2020"
GLP CAPITAL LP,Corporates,Fixed Income,"46,274.42",0.23,"46,274.42","40,000.00",361841AL3,US361841AL38,BGLKMW6,113.2,United States,-,USD,5.73,3.19,1.0,"Jan 15, 2029",5.3,5.82,-,3.13,5.64,3.13,USD,"Sep 26, 2018","Sep 26, 2018"
FHMS-_K123 A2,Securitized,Fixed Income,"46,161.53",0.23,"46,161.53","46,667.00",3137F8ZV8,US3137F8ZV80,-,98.78,United States,-,USD,8.01,1.77,1.0,"Dec 25, 2030",1.62,8.01,-,1.77,8.01,1.77,USD,"Jan 01, 2021","Jan 01, 2021"
CSX CORP,Corporates,Fixed Income,"45,746.16",0.23,"45,746.16","40,000.00",126408HM8,US126408HM81,BH4QB54,113.11,United States,-,USD,6.08,2.27,1.0,"Mar 15, 2029",4.25,6.21,-,2.21,6.02,2.21,USD,"Nov 15, 2018","Nov 15, 2018"
LENNAR CORPORATION,Corporates,Fixed Income,"45,526.32",0.23,"45,526.32","40,000.00",526057CD4,US526057CD41,BFFY830,113.35,United States,-,USD,4.9,2.32,1.0,"Nov 29, 2027",4.75,5.19,-,2.12,4.81,2.12,USD,"May 29, 2018","Jun 11, 2018"
BROOKFIELD FINANCE INC,Corporates,Fixed Income,"45,501.73",0.23,"45,501.73","40,000.00",11271LAE2,US11271LAE20,-,112.84,Canada,-,USD,6.88,2.62,1.0,"Apr 15, 2030",4.35,6.99,-,2.57,6.81,2.57,USD,"Apr 09, 2020","Apr 09, 2020"
DOWDUPONT INC,Corporates,Fixed Income,"44,427.64",0.22,"44,427.64","40,000.00",26078JAC4,US26078JAC45,BGL9DK8,110.5,United States,-,USD,3.47,1.68,1.0,"Nov 15, 2025",4.49,3.57,-,1.59,3.45,1.59,USD,"Nov 28, 2018","Nov 28, 2018"
HASBRO INC,Corporates,Fixed Income,"44,333.60",0.22,"44,333.60","40,000.00",418056AZ0,US418056AZ06,-,110.38,United States,-,USD,6.7,2.44,1.0,"Nov 19, 2029",3.9,6.81,-,2.4,6.62,2.4,USD,"Nov 19, 2019","Nov 19, 2019"
AMEREN CORPORATION,Corporates,Fixed Income,"44,018.42",0.22,"44,018.42","40,000.00",023608AJ1,US023608AJ15,-,108.4,United States,-,USD,7.59,2.46,1.0,"Jan 15, 2031",3.5,7.67,-,2.43,7.49,2.43,USD,"Apr 03, 2020","Apr 03, 2020"
MOTOROLA SOLUTIONS INC,Corporates,Fixed Income,"43,901.50",0.22,"43,901.50","45,000.00",620076BT5,US620076BT59,BLB5ZP0,97.27,United States,-,USD,7.9,2.65,1.0,"Nov 15, 2030",2.3,7.93,-,2.65,7.93,2.65,USD,"Aug 14, 2020","Aug 14, 2020"
BECTON DICKINSON AND COMPANY,Corporates,Fixed Income,"43,733.58",0.22,"43,733.58","40,000.00",075887BW8,US075887BW84,BD3VQC4,109.08,United States,-,USD,4.8,1.93,1.0,"Jun 06, 2027",3.7,4.93,-,1.85,4.73,1.85,USD,"Jun 06, 2017","Jun 06, 2017"
BANK_17-BNK7 A5,Securitized,Fixed Income,"43,280.18",0.22,"43,280.18","40,000.00",06541XAF7,US06541XAF78,-,107.91,United States,-,USD,4.8,1.84,1.0,"Sep 15, 2060",3.44,4.8,-,1.84,4.8,1.84,USD,"Sep 01, 2017","Sep 01, 2017"
SOUTHERN COMPANY (THE),Corporates,Fixed Income,"43,042.40",0.22,"43,042.40","40,000.00",842587CV7,US842587CV72,BYT1506,105.98,United States,-,USD,4.0,1.86,1.0,"Jul 01, 2026",3.25,4.13,-,1.78,3.92,1.78,USD,"May 24, 2016","May 24, 2016"
ARES CAPITAL CORPORATION,Corporates,Fixed Income,"42,937.92",0.22,"42,937.92","40,000.00",04010LAZ6,US04010LAZ67,-,105.56,United States,-,USD,3.65,2.42,1.0,"Jan 15, 2026",3.88,3.68,-,2.39,3.61,2.39,USD,"Jul 15, 2020","Jul 15, 2020"
NXP BV 144A,Corporates,Fixed Income,"42,910.49",0.22,"42,910.49","40,000.00",62954HAD0,US62954HAD08,-,106.72,Netherlands,-,USD,7.15,2.5,1.0,"May 01, 2030",3.4,7.24,-,2.48,7.05,2.48,USD,"May 01, 2020","May 01, 2020"
DENTSPLY SIRONA INC,Corporates,Fixed Income,"42,400.77",0.21,"42,400.77","40,000.00",24906PAA7,US24906PAA75,BL6D184,105.7,United States,-,USD,7.27,2.49,1.0,"Jun 01, 2030",3.25,7.35,-,2.47,7.16,2.47,USD,"May 26, 2020","May 26, 2020"
EXELON GENERATION COMPANY LLC,Corporates,Fixed Income,"42,153.53",0.21,"42,153.53","40,000.00",30161MAS2,US30161MAS26,-,105.11,United States,-,USD,3.19,1.7,1.0,"Jun 01, 2025",3.25,3.23,-,1.67,3.15,1.67,USD,"May 15, 2020","May 15, 2020"
OWL ROCK CAPITAL CORP,Corporates,Fixed Income,"42,142.90",0.21,"42,142.90","40,000.00",69121KAC8,US69121KAC80,-,103.7,United States,-,USD,3.25,2.65,1.0,"Jul 22, 2025",3.75,3.27,-,2.63,3.2,2.63,USD,"Jan 22, 2020","Jan 22, 2020"
AMERICAN TOWER CORPORATION,Corporates,Fixed Income,"41,739.22",0.21,"41,739.22","40,000.00",03027XAX8,US03027XAX84,-,103.08,United States,-,USD,4.59,2.1,1.0,"Jan 15, 2027",2.75,4.64,-,2.08,4.5,2.08,USD,"Oct 03, 2019","Oct 03, 2019"
BOOKING HOLDINGS INC,Corporates,Fixed Income,"41,201.68",0.21,"41,201.68","35,000.00",09857LAR9,US09857LAR96,BLD7XG1,116.72,United States,-,USD,6.83,2.39,1.0,"Apr 13, 2030",4.63,6.95,-,2.33,6.77,2.33,USD,"Apr 13, 2020","Apr 13, 2020"
QUANTA SERVICES INC.,Corporates,Fixed Income,"41,153.67",0.21,"41,153.67","40,000.00",74762EAF9,US74762EAF97,-,102.14,United States,-,USD,7.59,2.63,1.0,"Oct 01, 2030",2.9,7.65,-,2.62,7.46,2.62,USD,"Sep 22, 2020","Sep 22, 2020"
DUPONT DE NEMOURS INC,Corporates,Fixed Income,"40,827.54",0.2,"40,827.54","35,000.00",26078JAD2,US26078JAD28,BGT0PR4,116.01,United States,-,USD,5.79,2.2,1.0,"Nov 15, 2028",4.72,5.93,-,2.12,5.75,2.12,USD,"Nov 28, 2018","Nov 28, 2018"
COMCAST CORPORATION,Corporates,Fixed Income,"40,745.68",0.2,"40,745.68","35,000.00",20030NCU3,US20030NCU37,BGGFKB1,115.52,United States,-,USD,7.28,2.29,1.0,"Oct 15, 2030",4.25,7.4,-,2.24,7.22,2.24,USD,"Oct 05, 2018","Oct 05, 2018"
MARSH & MCLENNAN COMPANIES INC,Corporates,Fixed Income,"40,454.12",0.2,"40,454.12","35,000.00",571748BG6,US571748BG65,BJ2NYK7,114.3,United States,-,USD,6.06,2.22,1.0,"Mar 15, 2029",4.38,6.19,-,2.15,6.01,2.15,USD,"Jan 15, 2019","Jan 15, 2019"
SUN COMMUNITIES OPERATING LP,Corporates,Fixed Income,"40,442.60",0.2,"40,442.60","40,000.00",866677AE7,US866677AE75,-,99.73,United States,-,USD,8.23,2.73,1.0,"Jul 15, 2031",2.7,8.24,-,2.73,8.24,2.73,USD,"Jun 28, 2021","Jun 28, 2021"
BOEING CO,Corporates,Fixed Income,"40,352.28",0.2,"40,352.28","40,000.00",097023DG7,US097023DG73,-,99.98,United States,-,USD,2.61,2.2,1.0,"Feb 04, 2026",2.2,3.86,-,2.2,3.86,2.2,USD,"Feb 04, 2021","Feb 04, 2021"
OMNICOM GROUP INC,Corporates,Fixed Income,"40,034.74",0.2,"40,034.74","37,000.00",68217FAA0,US68217FAA03,BDBFN05,107.44,United States,-,USD,3.81,1.79,1.0,"Apr 15, 2026",3.6,3.96,-,1.69,3.75,1.69,USD,"Apr 06, 2016","Apr 06, 2016"
SABINE PASS LIQUEFACTION LLC,Corporates,Fixed Income,"39,935.43",0.2,"39,935.43","35,000.00",785592AS5,US785592AS57,BZ4FB57,112.63,United States,-,USD,4.26,2.4,1.0,"Mar 15, 2027",5.0,4.57,-,2.16,4.18,2.16,USD,"Mar 15, 2017","May 10, 2017"
AT&T INC,Corporates,Fixed Income,"39,924.85",0.2,"39,924.85","35,000.00",00206RHJ4,US00206RHJ41,BGKCWJ0,112.62,United States,-,USD,6.02,2.42,1.0,"Mar 01, 2029",4.35,6.15,-,2.36,5.96,2.36,USD,"Feb 19, 2019","Feb 19, 2019"
ROYALTY PHARMA PLC,Corporates,Fixed Income,"39,456.27",0.2,"39,456.27","40,000.00",78081BAH6,US78081BAH69,-,98.24,United States,-,USD,3.55,1.7,1.0,"Sep 02, 2025",1.2,3.56,-,1.7,3.56,1.7,USD,"Mar 02, 2021","Aug 03, 2021"
TRANSCANADA PIPELINES LTD,Corporates,Fixed Income,"39,403.19",0.2,"39,403.19","35,000.00",89352HBA6,US89352HBA68,-,111.72,Canada,-,USD,6.94,2.52,1.0,"Apr 15, 2030",4.1,7.04,-,2.48,6.86,2.48,USD,"Apr 06, 2020","Apr 06, 2020"
TRANSCANADA PIPELINES LTD,Corporates,Fixed Income,"39,308.87",0.2,"39,308.87","35,000.00",89352HAW9,US89352HAW97,BF16175,111.77,Canada,-,USD,5.48,2.26,1.0,"May 15, 2028",4.25,5.61,-,2.19,5.41,2.19,USD,"May 07, 2018","May 07, 2018"
WEYERHAEUSER COMPANY,Corporates,Fixed Income,"39,299.79",0.2,"39,299.79","35,000.00",962166BX1,US962166BX19,BJJDQP9,111.77,United States,-,USD,6.67,2.35,1.0,"Nov 15, 2029",4.0,6.79,-,2.31,6.6,2.31,USD,"Feb 25, 2019","Feb 25, 2019"
AON CORP,Corporates,Fixed Income,"38,663.04",0.19,"38,663.04","35,000.00",037389BC6,US037389BC65,BK1WFQ5,109.82,United States,-,USD,6.3,2.29,1.0,"May 02, 2029",3.75,6.42,-,2.24,6.23,2.24,USD,"May 02, 2019","May 02, 2019"
BOEING CO,Corporates,Fixed Income,"38,617.08",0.19,"38,617.08","35,000.00",097023CT0,US097023CT04,-,109.52,United States,-,USD,3.02,1.91,1.0,"May 01, 2025",4.88,3.08,-,1.84,3.01,1.84,USD,"May 04, 2020","May 04, 2020"
DIGITAL REALTY TRUST LP,Corporates,Fixed Income,"38,506.22",0.19,"38,506.22","35,000.00",25389JAR7,US25389JAR77,BD93Q02,108.62,United States,-,USD,4.91,2.07,1.0,"Aug 15, 2027",3.7,5.04,-,2.0,4.83,2.0,USD,"Aug 07, 2017","Aug 07, 2017"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"37,924.48",0.19,"37,924.48","35,000.00",842400GN7,US842400GN73,BD5H1M5,106.81,United States,-,USD,3.22,1.73,1.0,"Aug 01, 2025",3.7,3.32,-,1.64,3.17,1.64,USD,"Aug 02, 2018","Aug 02, 2018"
CANADIAN NATURAL RESOURCES LTD,Corporates,Fixed Income,"37,745.69",0.19,"37,745.69","35,000.00",136385AX9,US136385AX99,BF0P377,107.52,Canada,-,USD,4.78,2.36,1.0,"Jun 01, 2027",3.85,4.89,-,2.3,4.68,2.3,USD,"May 30, 2017","May 30, 2017"
MCDONALDS CORPORATION MTN,Corporates,Fixed Income,"37,727.90",0.19,"37,727.90","35,000.00",58013MFN9,US58013MFN92,-,106.14,United States,-,USD,3.24,1.49,1.0,"Jul 01, 2025",3.3,3.27,-,1.47,3.23,1.47,USD,"Mar 27, 2020","Mar 27, 2020"
SIMON PROPERTY GROUP LP,Corporates,Fixed Income,"37,710.84",0.19,"37,710.84","35,000.00",828807DE4,US828807DE42,BF4BJ95,107.46,United States,-,USD,5.25,2.03,1.0,"Dec 01, 2027",3.38,5.37,-,1.98,5.16,1.98,USD,"Dec 11, 2017","Dec 11, 2017"
QORVO INC,Corporates,Fixed Income,"37,708.51",0.19,"37,708.51","35,000.00",74736KAH4,US74736KAH41,-,106.82,United States,-,USD,3.98,3.37,1.0,"Oct 15, 2029",4.38,6.56,-,2.59,2.61,2.59,USD,"Apr 15, 2020","Aug 21, 2020"
DOMINION ENERGY INC,Corporates,Fixed Income,"37,611.61",0.19,"37,611.61","35,000.00",25746UDG1,US25746UDG13,BM6KKK7,106.62,United States,-,USD,7.07,2.48,1.0,"Apr 01, 2030",3.38,7.16,-,2.46,6.97,2.46,USD,"Apr 03, 2020","Apr 03, 2020"
PARKER HANNIFIN CORPORATION,Corporates,Fixed Income,"37,154.79",0.19,"37,154.79","35,000.00",701094AN4,US701094AN45,BKKDHH4,105.98,United States,-,USD,6.52,2.37,1.0,"Jun 14, 2029",3.25,6.62,-,2.34,6.42,2.34,USD,"Jun 14, 2019","Jun 14, 2019"
AVANGRID INC,Corporates,Fixed Income,"37,066.24",0.19,"37,066.24","35,000.00",05351WAC7,US05351WAC73,-,105.23,United States,-,USD,3.06,1.56,1.0,"Apr 15, 2025",3.2,3.11,-,1.52,3.03,1.52,USD,"Apr 09, 2020","Apr 09, 2020"
ARES CAPITAL CORPORATION,Corporates,Fixed Income,"36,876.91",0.18,"36,876.91","35,000.00",04010LAY9,US04010LAY92,BL2FJM4,103.86,United States,-,USD,3.26,2.11,1.0,"Jul 15, 2025",3.25,3.29,-,2.09,3.22,2.09,USD,"Jan 15, 2020","Jan 15, 2020"
NVR INC,Corporates,Fixed Income,"36,540.47",0.18,"36,540.47","35,000.00",62944TAF2,US62944TAF21,-,103.99,United States,-,USD,7.17,2.47,1.0,"May 15, 2030",3.0,7.37,-,2.44,6.98,2.44,USD,"May 04, 2020","May 04, 2020"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"35,901.44",0.18,"35,901.44","30,000.00",92343VCV4,US92343VCV45,BYRLRK2,117.67,United States,-,USD,10.68,2.75,1.0,"Jan 15, 2036",4.27,10.68,-,2.75,10.68,2.75,USD,"Jul 15, 2015","Aug 20, 2015"
HP INC,Corporates,Fixed Income,"35,816.04",0.18,"35,816.04","35,000.00",40434LAA3,US40434LAA35,-,102.25,United States,-,USD,3.29,1.53,1.0,"Jun 17, 2025",2.2,3.32,-,1.52,3.25,1.52,USD,"Jun 17, 2020","Jun 17, 2020"
AMERISOURCEBERGEN CORPORATION,Corporates,Fixed Income,"35,736.58",0.18,"35,736.58","35,000.00",03073EAT2,US03073EAT29,-,101.29,United States,-,USD,8.01,2.54,1.0,"Mar 15, 2031",2.7,8.05,-,2.54,7.86,2.54,USD,"Mar 30, 2021","Mar 30, 2021"
LOWES COMPANIES INC,Corporates,Fixed Income,"35,160.75",0.18,"35,160.75","30,000.00",548661DU8,US548661DU82,BMH1W14,116.22,United States,-,USD,6.86,2.34,1.0,"Apr 15, 2030",4.5,6.98,-,2.28,6.8,2.28,USD,"Mar 26, 2020","Mar 26, 2020"
MICRON TECHNOLOGY INC,Corporates,Fixed Income,"35,105.57",0.18,"35,105.57","30,000.00",595112BQ5,US595112BQ52,-,115.26,United States,-,USD,6.65,2.57,1.0,"Feb 15, 2030",4.66,6.77,-,2.51,6.59,2.51,USD,"Jul 12, 2019","Jul 12, 2019"
FIDELITY NATIONAL FINANCIAL INC,Corporates,Fixed Income,"34,831.93",0.17,"34,831.93","35,000.00",31620RAK1,US31620RAK14,-,98.78,United States,-,USD,8.1,2.6,1.0,"Mar 15, 2031",2.45,8.13,-,2.6,8.13,2.6,USD,"Sep 15, 2020","Sep 15, 2020"
MOTOROLA SOLUTIONS INC,Corporates,Fixed Income,"34,458.57",0.17,"34,458.57","30,000.00",620076BN8,US620076BN89,BK203M0,114.34,United States,-,USD,6.2,2.47,1.0,"May 23, 2029",4.6,6.33,-,2.4,6.14,2.4,USD,"May 23, 2019","May 23, 2019"
FHMS_K081 A2,Securitized,Fixed Income,"34,236.51",0.17,"34,236.51","30,000.00",3137FJEH8,US3137FJEH82,-,113.8,United States,-,USD,5.64,1.58,1.0,"Aug 25, 2028",3.9,5.65,-,1.58,5.65,1.58,USD,"Oct 01, 2018","Oct 01, 2018"
NUTRIEN LTD,Corporates,Fixed Income,"34,178.70",0.17,"34,178.70","30,000.00",67077MAT5,US67077MAT53,BHPHFC1,112.88,Canada,-,USD,6.13,2.26,1.0,"Apr 01, 2029",4.2,6.26,-,2.2,6.07,2.2,USD,"Apr 01, 2019","Apr 01, 2019"
ROPER TECHNOLOGIES INC,Corporates,Fixed Income,"34,101.50",0.17,"34,101.50","30,000.00",776743AF3,US776743AF34,BGHJVQ4,112.44,United States,-,USD,5.71,2.2,1.0,"Sep 15, 2028",4.2,5.84,-,2.13,5.65,2.13,USD,"Aug 28, 2018","Aug 28, 2018"
GENERAL MILLS INC,Corporates,Fixed Income,"33,773.80",0.17,"33,773.80","30,000.00",370334CG7,US370334CG79,BFY3D22,111.72,United States,-,USD,5.41,2.2,1.0,"Apr 17, 2028",4.2,5.54,-,2.12,5.34,2.12,USD,"Apr 17, 2018","Apr 17, 2018"
AMERICAN TOWER CORPORATION,Corporates,Fixed Income,"33,743.15",0.17,"33,743.15","35,000.00",03027XBJ8,US03027XBJ81,-,95.78,United States,-,USD,5.72,2.25,1.0,"Jan 31, 2028",1.5,5.73,-,2.25,5.73,2.25,USD,"Nov 20, 2020","Nov 20, 2020"
EXELON CORPORATION,Corporates,Fixed Income,"33,726.60",0.17,"33,726.60","30,000.00",30161NAX9,US30161NAX93,BM5M651,111.57,United States,-,USD,6.95,2.5,1.0,"Apr 15, 2030",4.05,7.06,-,2.46,6.87,2.46,USD,"Apr 01, 2020","Apr 01, 2020"
DOLLAR TREE INC,Corporates,Fixed Income,"33,680.30",0.17,"33,680.30","30,000.00",256746AH1,US256746AH16,BFY8ZY3,111.73,United States,-,USD,5.49,2.22,1.0,"May 15, 2028",4.2,5.61,-,2.15,5.42,2.15,USD,"Apr 19, 2018","Apr 19, 2018"
RELX CAPITAL INC,Corporates,Fixed Income,"33,636.13",0.17,"33,636.13","30,000.00",74949LAC6,US74949LAC63,BJ16XR7,110.98,United Kingdom,-,USD,6.14,2.34,1.0,"Mar 18, 2029",4.0,6.25,-,2.29,6.06,2.29,USD,"Mar 18, 2019","Mar 18, 2019"
HUNTSMAN INTERNATIONAL LLC,Corporates,Fixed Income,"33,561.30",0.17,"33,561.30","30,000.00",44701QBE1,US44701QBE17,BJLTYV7,111.12,United States,-,USD,6.16,2.81,1.0,"May 01, 2029",4.5,6.26,-,2.76,6.08,2.76,USD,"Mar 13, 2019","Mar 13, 2019"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"33,213.20",0.17,"33,213.20","30,000.00",161175BK9,US161175BK95,BFFFBV2,109.47,United States,-,USD,5.32,2.54,1.0,"Mar 15, 2028",4.2,5.43,-,2.48,5.24,2.48,USD,"Sep 18, 2017","Nov 27, 2017"
GLP CAPITAL LP / GLP FINANCING II,Corporates,Fixed Income,"33,126.15",0.17,"33,126.15","30,000.00",361841AJ8,US361841AJ81,BG08VZ7,109.98,United States,-,USD,2.96,2.2,1.0,"Jun 01, 2025",5.25,3.14,-,1.98,2.93,1.98,USD,"May 21, 2018","May 21, 2018"
CAPITAL ONE FINANCIAL CORPORATION,Corporates,Fixed Income,"33,080.50",0.17,"33,080.50","30,000.00",14040HBW4,US14040HBW43,BFXS0V6,108.69,United States,-,USD,5.4,2.26,1.0,"Jan 31, 2028",3.8,5.38,-,2.25,5.31,2.25,USD,"Jan 30, 2018","Jan 30, 2018"
CAPITAL ONE FINANCIAL CORPORATION,Corporates,Fixed Income,"32,868.50",0.16,"32,868.50","30,000.00",14040HBN4,US14040HBN44,BDFC7T9,108.4,United States,-,USD,4.65,2.04,1.0,"Mar 09, 2027",3.75,4.69,-,2.01,4.62,2.01,USD,"Mar 09, 2017","Mar 09, 2017"
CROWN CASTLE INTERNATIONAL CORP,Corporates,Fixed Income,"32,660.00",0.16,"32,660.00","30,000.00",22822VAH4,US22822VAH42,BF28NQ3,107.65,United States,-,USD,4.97,2.21,1.0,"Sep 01, 2027",3.65,5.08,-,2.15,4.88,2.15,USD,"Aug 01, 2017","Aug 01, 2017"
VULCAN MATERIALS COMPANY,Corporates,Fixed Income,"32,471.35",0.16,"32,471.35","30,000.00",929160AZ2,US929160AZ21,BM95BK6,107.92,United States,-,USD,7.21,2.45,1.0,"Jun 01, 2030",3.5,7.3,-,2.43,7.11,2.43,USD,"May 18, 2020","May 18, 2020"
ENTERPRISE PRODUCTS OPERATING LLC,Corporates,Fixed Income,"32,372.00",0.16,"32,372.00","30,000.00",29379VBE2,US29379VBE20,BRKFLN3,106.49,United States,-,USD,2.75,1.61,1.0,"Feb 15, 2025",3.75,2.92,-,1.44,2.7,1.44,USD,"Oct 14, 2014","Oct 14, 2014"
GOLDMAN SACHS GROUP INC/THE,Corporates,Fixed Income,"32,123.55",0.16,"32,123.55","30,000.00",38145GAH3,US38145GAH39,BZ12537,106.64,United States,-,USD,3.87,2.06,1.0,"Nov 16, 2026",3.5,4.47,-,1.72,3.62,1.72,USD,"Nov 16, 2016","Nov 16, 2016"
EMERA US FINANCE LP,Corporates,Fixed Income,"31,964.63",0.16,"31,964.63","30,000.00",29103DAJ5,US29103DAJ54,BDRHY79,106.39,Canada,-,USD,3.99,2.04,1.0,"Jun 15, 2026",3.55,4.12,-,1.96,3.91,1.96,USD,"Dec 15, 2016","Jan 13, 2017"
GLOBAL PAYMENTS INC,Corporates,Fixed Income,"31,630.77",0.16,"31,630.77","30,000.00",37940XAB8,US37940XAB82,BK0WRZ9,104.23,United States,-,USD,6.6,2.59,1.0,"Aug 15, 2029",3.2,6.68,-,2.57,6.48,2.57,USD,"Aug 14, 2019","Aug 14, 2019"
CARLISLE COMPANIES INCORPORATED,Corporates,Fixed Income,"30,966.48",0.16,"30,966.48","30,000.00",142339AJ9,US142339AJ92,BKBP1Y4,102.28,United States,-,USD,7.15,2.44,1.0,"Mar 01, 2030",2.75,7.23,-,2.43,7.02,2.43,USD,"Feb 28, 2020","Feb 28, 2020"
ALTRIA GROUP INC,Corporates,Fixed Income,"30,749.39",0.15,"30,749.39","25,000.00",02209SBE2,US02209SBE28,BJ2WB47,120.74,United States,-,USD,11.13,4.1,1.0,"Feb 14, 2039",5.8,11.23,-,4.07,11.02,4.07,USD,"Feb 14, 2019","Feb 14, 2019"
