,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
ALLY FINANCIAL INC,Banking,Fixed Income,"329,082.90",0.23,"329,082.90","290,000.00",02005NBF6,US02005NBF69,BDCBVG4,112.82,United States,-,USD,3.46,2.28,1.0,"Nov 20, 2025",5.75,3.5,-,2.22,3.43,2.22,USD,"Nov 20, 2015","Nov 20, 2015"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"322,146.25",0.22,"322,146.25","300,000.00",55342UAJ3,US55342UAJ34,BJVN8K6,105.46,United States,-,USD,4.05,3.79,1.0,"Aug 01, 2029",4.63,6.28,-,3.27,2.39,3.27,USD,"Jul 26, 2019","Jul 26, 2019"
NCR CORPORATION 144A,Technology,Fixed Income,"318,749.23",0.22,"318,749.23","305,000.00",62886EBA5,US62886EBA55,-,103.43,United States,-,USD,4.29,4.57,1.0,"Apr 15, 2029",5.13,6.0,-,4.24,3.79,4.24,USD,"Apr 06, 2021","Apr 06, 2021"
VEON HOLDINGS BV MTN 144A,Communications,Fixed Income,"318,272.91",0.22,"318,272.91","325,000.00",91823N2A0,US91823N2A05,-,97.6,Russian Federation,-,USD,5.29,3.83,1.0,"Nov 25, 2027",3.38,5.28,-,3.83,5.28,3.83,USD,"Nov 25, 2020","Nov 25, 2020"
ARAMARK SERVICES INC 144A,Consumer Non-Cyclical,Fixed Income,"316,729.00",0.22,"316,729.00","300,000.00",038522AQ1,US038522AQ17,BFWVB79,103.49,United States,-,USD,2.8,4.34,1.0,"Feb 01, 2028",5.0,5.12,-,3.95,1.03,3.95,USD,"Jan 18, 2018","Jan 18, 2018"
CLEAR CHANNEL OUTDOOR HOLDINGS INC 144A,Communications,Fixed Income,"316,251.33",0.22,"316,251.33","300,000.00",18453HAA4,US18453HAA41,BJ9NFT6,103.48,United States,-,USD,1.92,4.42,1.0,"Aug 15, 2027",5.13,4.77,-,3.52,0.6,3.52,USD,"Aug 23, 2019","Aug 23, 2019"
UPC BROADBAND FINCO BV 144A,Communications,Fixed Income,"314,203.12",0.22,"314,203.12","300,000.00",90320BAA7,US90320BAA70,-,102.5,Netherlands,-,USD,6.1,4.55,1.0,"Jul 15, 2031",4.88,7.43,-,4.48,6.14,4.48,USD,"Apr 21, 2021","Apr 21, 2021"
TRANSDIGM INC 144A,Capital Goods,Fixed Income,"311,674.60",0.22,"311,674.60","290,000.00",893647BK2,US893647BK28,-,105.47,United States,-,USD,0.27,6.41,1.0,"Dec 15, 2025",8.0,3.31,-,2.37,0.27,2.37,USD,"Apr 08, 2020","Apr 08, 2020"
IQVIA INC 144A,Consumer Non-Cyclical,Fixed Income,"311,314.67",0.22,"311,314.67","300,000.00",449934AD0,US449934AD05,BD91587,102.72,United States,-,USD,0.23,4.36,1.0,"Oct 15, 2026",5.0,4.19,-,2.16,0.08,2.16,USD,"Sep 28, 2016","Sep 28, 2016"
TELECOM ITALIA CAPITAL SA,Communications,Fixed Income,"306,553.00",0.21,"306,553.00","260,000.00",87927VAR9,US87927VAR96,B8DHVZ5,114.65,Italy,-,USD,9.2,5.7,1.0,"Jul 18, 2036",7.2,9.1,-,5.7,9.1,5.7,USD,"Jul 18, 2006","Jul 18, 2006"
ASTON MARTIN CAPITAL HOLDINGS LTD 144A,Consumer Cyclical,Fixed Income,"306,520.04",0.21,"306,520.04","275,000.00",04625HAG4,US04625HAG48,-,109.74,Jersey,-,USD,2.53,7.58,1.0,"Nov 30, 2025",10.5,3.17,-,6.67,2.42,6.67,USD,"Nov 16, 2020","Nov 16, 2020"
SPIRIT AEROSYSTEMS INC 144A,Capital Goods,Fixed Income,"304,412.30",0.21,"304,412.30","285,000.00",85205TAL4,US85205TAL44,-,105.23,United States,-,USD,0.29,5.73,1.0,"Apr 15, 2025",7.5,2.86,-,2.23,0.29,2.23,USD,"Apr 17, 2020","Apr 17, 2020"
NETFLIX INC 144A,Communications,Fixed Income,"303,988.53",0.21,"303,988.53","260,000.00",64110LAV8,US64110LAV80,-,116.7,United States,-,USD,6.94,2.66,1.0,"Jun 15, 2030",4.88,7.05,-,2.6,6.87,2.6,USD,"Oct 25, 2019","Oct 25, 2019"
HILTON DOMESTIC OPERATING COMPANY 144A,Consumer Cyclical,Fixed Income,"302,952.22",0.21,"302,952.22","295,000.00",432833AL5,US432833AL52,BNDLGZ7,102.03,United States,-,USD,6.17,3.74,1.0,"May 01, 2031",4.0,7.7,-,3.68,6.28,3.68,USD,"Dec 01, 2020","Dec 01, 2020"
NORTONLIFELOCK INC 144A,Technology,Fixed Income,"300,748.24",0.21,"300,748.24","295,000.00",871503AU2,US871503AU26,BYXT818,100.89,United States,-,USD,0.29,4.7,1.0,"Apr 15, 2025",5.0,2.97,-,1.87,0.29,1.87,USD,"Feb 09, 2017","Feb 09, 2017"
TELECOM ITALIA CAPITAL,Communications,Fixed Income,"300,237.19",0.21,"300,237.19","255,000.00",87927VAV0,US87927VAV09,B39NQJ1,117.16,Italy,-,USD,9.88,6.06,1.0,"Jun 04, 2038",7.72,9.77,-,6.06,9.77,6.06,USD,"Jun 04, 2008","Jun 04, 2008"
VICI PROPERTIES LP 144A,Consumer Cyclical,Fixed Income,"299,234.37",0.21,"299,234.37","280,000.00",92564RAB1,US92564RAB15,BJYKF47,106.48,United States,-,USD,4.24,3.66,1.0,"Dec 01, 2029",4.63,6.64,-,3.05,2.72,3.05,USD,"Nov 26, 2019","Nov 26, 2019"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"298,233.00",0.21,"298,233.00","300,000.00",126307BH9,US126307BH94,-,98.84,United States,-,USD,6.9,4.65,1.0,"Nov 15, 2031",4.5,7.84,-,4.65,7.84,4.65,USD,"May 13, 2021","May 13, 2021"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"297,493.63",0.21,"297,493.63","290,000.00",46284VAN1,US46284VAN10,-,100.88,United States,-,USD,6.07,4.38,1.0,"Feb 15, 2031",4.5,7.31,-,4.35,5.95,4.35,USD,"Aug 18, 2020","Aug 18, 2020"
COMMSCOPE TECHNOLOGIES LLC 144A,Technology,Fixed Income,"297,147.46",0.21,"297,147.46","296,000.00",20337YAA5,US20337YAA55,BYQF2Y4,100.12,United States,-,USD,2.37,5.96,1.0,"Jun 15, 2025",6.0,3.07,-,5.91,1.37,5.91,USD,"Jun 11, 2015","Jun 11, 2015"
TEGNA INC,Communications,Fixed Income,"296,471.88",0.21,"296,471.88","285,000.00",87901JAH8,US87901JAH86,BMXC0P1,102.55,United States,-,USD,4.81,4.6,1.0,"Sep 15, 2029",5.0,6.27,-,4.49,4.87,4.49,USD,"Sep 13, 2019","Sep 13, 2019"
CLEAR CHANNEL OUTDOOR HOLDINGS INC 144A,Communications,Fixed Income,"295,567.25",0.2,"295,567.25","275,000.00",18453HAD8,US18453HAD89,-,106.85,United States,-,USD,3.84,6.33,1.0,"Jun 01, 2029",7.5,5.67,-,5.72,3.73,5.72,USD,"Jun 01, 2021","Jun 01, 2021"
UNITI GROUP LP 144A,Communications,Fixed Income,"290,915.33",0.2,"290,915.33","285,000.00",91327BAA8,US91327BAA89,-,99.62,United States,-,USD,4.76,6.57,1.0,"Feb 15, 2029",6.5,5.49,-,6.57,5.49,6.57,USD,"Feb 02, 2021","Feb 02, 2021"
COMPASS DIVERSIFIED HOLDINGS 144A,Brokerage/Asset Managers/Exchanges,Fixed Income,"286,924.50",0.2,"286,924.50","270,000.00",20451RAB8,US20451RAB87,-,105.16,United States,-,USD,3.89,4.41,1.0,"Apr 15, 2029",5.25,5.99,-,3.93,3.79,3.93,USD,"Mar 23, 2021","Mar 23, 2021"
AVAYA INC. 144A,Technology,Fixed Income,"286,013.10",0.2,"286,013.10","265,000.00",053499AL3,US053499AL36,BM9TQX6,106.13,United States,-,USD,2.97,5.04,1.0,"Sep 15, 2028",6.13,5.41,-,4.12,1.59,4.12,USD,"Sep 25, 2020","Sep 25, 2020"
UNIVISION COMMUNICATIONS INC 144A,Communications,Fixed Income,"285,639.20",0.2,"285,639.20","280,000.00",914906AV4,US914906AV42,-,101.26,United States,-,USD,4.78,4.3,1.0,"May 01, 2029",4.5,6.16,-,4.18,3.88,4.18,USD,"May 21, 2021","May 21, 2021"
NETFLIX INC,Communications,Fixed Income,"283,685.69",0.2,"283,685.69","250,000.00",64110LAL0,US64110LAL09,BZ6C9T6,112.23,United States,-,USD,2.88,1.83,1.0,"Feb 15, 2025",5.88,2.85,-,1.83,2.85,1.83,USD,"Feb 05, 2015","Feb 05, 2015"
VEON HOLDINGS BV 144A,Communications,Fixed Income,"282,815.50",0.2,"282,815.50","275,000.00",92334VAA3,US92334VAA35,BKP5N11,101.94,Russian Federation,-,USD,2.95,3.37,1.0,"Apr 09, 2025",4.0,3.03,-,3.32,2.81,3.32,USD,"Oct 09, 2019","Oct 09, 2019"
YUM! BRANDS INC.,Consumer Cyclical,Fixed Income,"282,101.01",0.2,"282,101.01","280,000.00",988498AN1,US988498AN16,BN7S9F5,99.68,United States,-,USD,7.69,3.67,1.0,"Mar 15, 2031",3.63,7.68,-,3.67,7.68,3.67,USD,"Sep 25, 2020","Sep 25, 2020"
COMMERZBANK AG 144A,Banking,Fixed Income,"281,203.78",0.19,"281,203.78","250,000.00",20259BAA9,US20259BAA98,BDWGZR8,110.2,Germany,-,USD,1.61,2.05,1.0,"Sep 19, 2023",8.13,1.6,-,2.05,1.6,2.05,USD,"Sep 19, 2013","Sep 19, 2013"
COMMSCOPE INC 144A,Technology,Fixed Income,"279,853.25",0.19,"279,853.25","265,000.00",20338QAA1,US20338QAA13,BJLN9Y7,102.86,United States,-,USD,2.56,7.57,1.0,"Mar 01, 2027",8.25,4.06,-,6.8,1.91,6.8,USD,"Feb 19, 2019","Feb 19, 2019"
HAT HOLDINGS I LLC & HAT 144A,Reits,Fixed Income,"278,902.25",0.19,"278,902.25","275,000.00",418751AE3,US418751AE33,-,101.27,United States,-,USD,4.06,3.07,1.0,"Jun 15, 2026",3.38,4.11,-,3.05,3.89,3.05,USD,"Jun 28, 2021","Jun 28, 2021"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"278,510.80",0.19,"278,510.80","265,000.00",46284VAC5,US46284VAC54,BD5WDB3,103.66,United States,-,USD,1.84,4.15,1.0,"Sep 15, 2027",4.88,4.89,-,3.03,0.68,3.03,USD,"Sep 18, 2017","Sep 18, 2017"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"278,059.02",0.19,"278,059.02","215,000.00",50077LAM8,US50077LAM81,BD7YG52,126.93,United States,-,USD,14.28,3.51,1.0,"Jul 15, 2045",5.2,14.45,-,3.49,14.27,3.49,USD,"Jul 15, 2016","Aug 19, 2016"
CLEAR CHANNEL OUTDOOR HOLDINGS INC 144A,Communications,Fixed Income,"278,052.28",0.19,"278,052.28","255,000.00",18453HAC0,US18453HAC07,-,107.4,United States,-,USD,3.47,6.3,1.0,"Apr 15, 2028",7.75,4.91,-,5.77,3.6,5.77,USD,"Feb 17, 2021","Feb 17, 2021"
TRONOX INC 144A,Basic Industry,Fixed Income,"278,040.97",0.19,"278,040.97","275,000.00",897051AC2,US897051AC29,BNQPRV9,99.74,United States,-,USD,4.94,4.67,1.0,"Mar 15, 2029",4.63,5.99,-,4.67,5.99,4.67,USD,"Mar 15, 2021","Mar 15, 2021"
BROOKFIELD PROPERTY REIT INC 144A,Reits,Fixed Income,"276,884.51",0.19,"276,884.51","265,000.00",11284DAA3,US11284DAA37,BJBL0T3,103.75,United States,-,USD,0.99,4.79,1.0,"May 15, 2026",5.75,3.82,-,3.25,0.37,3.25,USD,"May 01, 2019","May 01, 2019"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"276,728.90",0.19,"276,728.90","255,000.00",50077LBC9,US50077LBC90,-,108.03,United States,-,USD,4.73,2.28,1.0,"May 15, 2027",3.88,4.85,-,2.21,4.64,2.21,USD,"Nov 15, 2020","Jan 19, 2021"
LIVE NATION ENTERTAINMENT INC 144A,Consumer Cyclical,Fixed Income,"275,713.89",0.19,"275,713.89","250,000.00",538034AV1,US538034AV10,-,109.46,United States,-,USD,1.9,4.5,1.0,"May 15, 2027",6.5,4.52,-,2.92,1.31,2.92,USD,"May 20, 2020","May 20, 2020"
GRIFFON CORPORATION,Capital Goods,Fixed Income,"275,427.53",0.19,"275,427.53","260,000.00",398433AP7,US398433AP71,-,104.02,United States,-,USD,2.88,4.98,1.0,"Mar 01, 2028",5.75,5.08,-,4.59,1.1,4.59,USD,"Feb 19, 2020","Apr 21, 2020"
US FOODS INC 144A,Consumer Non-Cyclical,Fixed Income,"274,639.16",0.19,"274,639.16","260,000.00",90290MAC5,US90290MAC55,BL6FPX3,104.31,United States,-,USD,0.29,4.81,1.0,"Apr 15, 2025",6.25,2.92,-,2.03,0.29,2.03,USD,"Apr 28, 2020","Apr 28, 2020"
LIONS GATE CAPITAL HOLDINGS LLC 144A,Communications,Fixed Income,"273,891.04",0.19,"273,891.04","265,000.00",53627NAE1,US53627NAE13,BMWX2S2,102.19,United States,-,USD,4.58,5.13,1.0,"Apr 15, 2029",5.5,5.9,-,4.92,3.7,4.92,USD,"Apr 01, 2021","Apr 01, 2021"
HCA INC,Consumer Non-Cyclical,Fixed Income,"273,854.06",0.19,"273,854.06","225,000.00",404119BW8,US404119BW86,BFMY0T3,119.27,United States,-,USD,5.54,2.85,1.0,"Feb 01, 2029",5.88,5.81,-,2.66,5.47,2.66,USD,"Jan 30, 2019","Jan 30, 2019"
NETFLIX INC 144A,Communications,Fixed Income,"273,692.84",0.19,"273,692.84","230,000.00",64110LAU0,US64110LAU08,BK0RZV6,118.76,United States,-,USD,6.58,2.71,1.0,"Nov 15, 2029",5.38,6.55,-,2.71,6.55,2.71,USD,"Apr 29, 2019","Apr 29, 2019"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"273,411.60",0.19,"273,411.60","220,000.00",50076QAE6,US50076QAE61,B8Y96M2,123.9,United States,-,USD,13.53,3.37,1.0,"Jun 04, 2042",5.0,13.57,-,3.37,13.57,3.37,USD,"Dec 04, 2012","Jan 14, 2013"
UNITED RENTALS (NORTH AMERICA) INC,Capital Goods,Fixed Income,"273,225.31",0.19,"273,225.31","265,000.00",911363AM1,US911363AM11,BLFGYK7,101.64,United States,-,USD,5.79,3.66,1.0,"Feb 15, 2031",3.88,7.54,-,3.59,5.73,3.59,USD,"Aug 10, 2020","Aug 10, 2020"
NEXSTAR BROADCASTING INC 144A,Communications,Fixed Income,"273,171.72",0.19,"273,171.72","265,000.00",65336YAN3,US65336YAN31,BMFNGQ5,102.29,United States,-,USD,4.14,4.36,1.0,"Nov 01, 2028",4.75,5.76,-,4.1,3.46,4.1,USD,"Sep 25, 2020","Sep 25, 2020"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"273,060.88",0.19,"273,060.88","260,000.00",46284VAF8,US46284VAF85,BJ9TC37,103.59,United States,-,USD,4.6,4.32,1.0,"Sep 15, 2029",4.88,6.32,-,4.16,4.89,4.16,USD,"Sep 09, 2019","Sep 09, 2019"
NIELSEN FINANCE LLC 144A,Technology,Fixed Income,"272,028.25",0.19,"272,028.25","260,000.00",65409QBD3,US65409QBD34,BM8ZLH4,103.22,United States,-,USD,3.86,5.05,1.0,"Oct 01, 2028",5.63,5.51,-,4.68,3.32,4.68,USD,"Sep 24, 2020","Sep 24, 2020"
AECOM,Industrial Other,Fixed Income,"270,453.12",0.19,"270,453.12","245,000.00",00774CAB3,US00774CAB37,BZBYDG2,108.88,United States,-,USD,4.42,3.26,1.0,"Mar 15, 2027",5.13,4.53,-,3.17,4.34,3.17,USD,"Feb 21, 2017","Jun 26, 2017"
SQUARE INC 144A,Technology,Fixed Income,"268,594.73",0.19,"268,594.73","260,000.00",852234AM5,US852234AM55,-,103.01,United States,-,USD,7.97,3.13,1.0,"Jun 01, 2031",3.5,7.98,-,3.12,7.8,3.12,USD,"May 20, 2021","May 20, 2021"
MPH ACQUISITION HOLDINGS LLC 144A,Consumer Non-Cyclical,Fixed Income,"268,481.92",0.19,"268,481.92","260,000.00",553283AD4,US553283AD43,-,101.32,United States,-,USD,4.67,5.26,1.0,"Sep 01, 2028",5.5,5.43,-,5.18,4.0,5.18,USD,"Aug 24, 2021","Aug 24, 2021"
YUM! BRANDS INC.,Consumer Cyclical,Fixed Income,"268,183.12",0.19,"268,183.12","250,000.00",988498AP6,US988498AP63,-,106.12,United States,-,USD,6.03,3.89,1.0,"Jan 31, 2032",4.63,7.99,-,3.66,4.21,3.66,USD,"Apr 01, 2021","Apr 01, 2021"
HOWMET AEROSPACE INC,Capital Goods,Fixed Income,"267,795.41",0.19,"267,795.41","245,000.00",013817AW1,US013817AW16,BQWJT65,108.02,United States,-,USD,2.36,2.11,1.0,"Oct 01, 2024",5.13,2.55,-,1.83,2.33,1.83,USD,"Sep 22, 2014","Sep 22, 2014"
BLACK KNIGHT INFOSERV LLC 144A,Technology,Fixed Income,"267,762.18",0.19,"267,762.18","265,000.00",092174AA9,US092174AA96,-,99.83,United States,-,USD,4.54,3.65,1.0,"Sep 01, 2028",3.63,5.8,-,3.65,5.8,3.65,USD,"Aug 26, 2020","Aug 26, 2020"
HCA INC,Consumer Non-Cyclical,Fixed Income,"267,130.42",0.19,"267,130.42","250,000.00",404121AG0,US404121AG00,B6RQPK7,105.87,United States,-,USD,1.29,1.41,1.0,"May 01, 2023",5.88,1.28,-,1.41,1.28,1.41,USD,"Oct 23, 2012","Oct 23, 2012"
HOWMET AEROSPACE INC,Capital Goods,Fixed Income,"266,946.82",0.19,"266,946.82","230,000.00",443201AA6,US443201AA64,-,114.92,United States,-,USD,2.95,2.21,1.0,"May 01, 2025",6.88,3.0,-,2.1,2.93,2.1,USD,"Apr 24, 2020","Apr 24, 2020"
BUILDERS FIRSTSOURCE INC 144A,Capital Goods,Fixed Income,"264,718.19",0.18,"264,718.19","250,000.00",12008RAP2,US12008RAP29,-,104.02,United States,-,USD,6.2,3.77,1.0,"Feb 01, 2032",4.25,8.05,-,3.64,6.36,3.64,USD,"Jul 23, 2021","Jul 23, 2021"
MGM GROWTH PROPERTIES OPERATING PA,Consumer Cyclical,Fixed Income,"264,314.58",0.18,"264,314.58","245,000.00",55303XAC9,US55303XAC92,BD899Z7,106.95,United States,-,USD,1.98,2.54,1.0,"May 01, 2024",5.63,2.18,-,2.2,1.96,2.2,USD,"Nov 01, 2016","Mar 03, 2017"
NETFLIX INC,Communications,Fixed Income,"263,706.62",0.18,"263,706.62","210,000.00",64110LAX4,US64110LAX47,BK724H3,124.76,United States,-,USD,6.07,2.65,1.0,"May 15, 2029",6.38,6.04,-,2.65,6.04,2.65,USD,"Oct 26, 2018","Oct 26, 2018"
VODAFONE GROUP PLC,Communications,Fixed Income,"263,379.19",0.18,"263,379.19","265,000.00",92857WBW9,US92857WBW91,-,99.08,United Kingdom,-,USD,7.69,4.27,1.0,"Jun 04, 2081",4.13,7.72,-,4.25,7.59,4.25,USD,"Jun 04, 2021","Jun 04, 2021"
HILTON DOMESTIC OPERATING COMPANY,Consumer Cyclical,Fixed Income,"263,255.80",0.18,"263,255.80","240,000.00",432833AF8,US432833AF84,BKRRN37,107.44,United States,-,USD,4.11,3.79,1.0,"Jan 15, 2030",4.88,6.54,-,3.06,2.77,3.06,USD,"Jun 20, 2019","Nov 08, 2019"
PERRIGO FINANCE PLC,Consumer Non-Cyclical,Fixed Income,"263,110.83",0.18,"263,110.83","250,000.00",714295AC6,US714295AC63,BST7803,105.07,United States,-,USD,2.64,2.12,1.0,"Dec 15, 2024",3.9,2.79,-,1.97,2.56,1.97,USD,"Dec 02, 2014","Dec 02, 2014"
ADT SECURITY CORP 144A,Consumer Cyclical,Fixed Income,"262,492.53",0.18,"262,492.53","260,000.00",00109LAA1,US00109LAA17,-,99.22,United States,-,USD,6.12,4.25,1.0,"Aug 01, 2029",4.13,6.34,-,4.25,6.34,4.25,USD,"Jul 29, 2021","Jul 29, 2021"
FAIR ISAAC CORP 144A,Technology,Fixed Income,"262,320.48",0.18,"262,320.48","255,000.00",303250AF1,US303250AF16,BKV3193,102.69,United States,-,USD,2.9,3.53,1.0,"Jun 15, 2028",4.0,5.65,-,3.04,2.77,3.04,USD,"Dec 06, 2019","Dec 06, 2019"
II-VI INCORPORATED 144A,Technology,Fixed Income,"262,223.30",0.18,"262,223.30","255,000.00",902104AC2,US902104AC24,-,102.54,United States,-,USD,5.03,4.61,1.0,"Dec 15, 2029",5.0,6.51,-,4.42,4.35,4.42,USD,"Dec 10, 2021","Dec 10, 2021"
VODAFONE GROUP PLC,Communications,Fixed Income,"262,049.16",0.18,"262,049.16","255,000.00",92857WBX7,US92857WBX74,BN0WZL2,102.38,United Kingdom,-,USD,12.14,4.87,1.0,"Jun 04, 2081",5.13,16.08,-,4.87,15.11,4.87,USD,"Jun 04, 2021","Jun 04, 2021"
JEFFERIES FINANCE LLC 144A,Brokerage/Asset Managers/Exchanges,Fixed Income,"261,588.89",0.18,"261,588.89","250,000.00",47232MAF9,US47232MAF95,-,102.58,United States,-,USD,4.45,4.54,1.0,"Aug 15, 2028",5.0,5.5,-,4.38,4.02,4.38,USD,"Aug 03, 2021","Aug 03, 2021"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"260,304.44",0.18,"260,304.44","225,000.00",85172FAQ2,US85172FAQ28,BK62TX5,112.64,United States,-,USD,4.69,4.23,1.0,"Jan 15, 2028",6.63,4.9,-,4.05,4.56,4.05,USD,"May 09, 2019","May 09, 2019"
TRANSDIGM INC,Capital Goods,Fixed Income,"259,767.58",0.18,"259,767.58","255,000.00",893647BP1,US893647BP15,-,99.74,United States,-,USD,4.8,4.67,1.0,"Jan 15, 2029",4.63,5.82,-,4.67,5.82,4.67,USD,"Jul 15, 2021","Sep 20, 2021"
US FOODS INC 144A,Consumer Non-Cyclical,Fixed Income,"258,743.61",0.18,"258,743.61","250,000.00",90290MAD3,US90290MAD39,-,101.7,United States,-,USD,4.48,4.47,1.0,"Feb 15, 2029",4.75,5.9,-,4.29,3.65,4.29,USD,"Feb 04, 2021","Feb 04, 2021"
ARAMARK SERVICES INC 144A,Consumer Non-Cyclical,Fixed Income,"258,097.50",0.18,"258,097.50","250,000.00",038522AP3,US038522AP34,BDH6XR9,101.99,United States,-,USD,0.26,4.34,1.0,"Apr 01, 2025",5.0,2.94,-,1.98,0.25,1.98,USD,"Mar 22, 2017","Mar 22, 2017"
HANESBRANDS INC 144A,Consumer Cyclical,Fixed Income,"257,325.88",0.18,"257,325.88","245,000.00",410345AJ1,US410345AJ12,BD60L78,104.44,United States,-,USD,2.06,2.68,1.0,"May 15, 2024",4.63,2.23,-,2.47,2.01,2.47,USD,"May 06, 2016","May 06, 2016"
OPEN TEXT HOLDINGS INC 144A,Technology,Fixed Income,"255,724.47",0.18,"255,724.47","245,000.00",683720AA4,US683720AA42,-,102.82,Canada,-,USD,5.06,3.72,1.0,"Feb 15, 2030",4.13,6.77,-,3.61,5.31,3.61,USD,"Feb 18, 2020","Feb 18, 2020"
KAR AUCTION SERVICES INC 144A,Consumer Cyclical,Fixed Income,"254,235.21",0.18,"254,235.21","250,000.00",48238TAA7,US48238TAA79,BD3VQ24,101.27,United States,-,USD,1.8,4.72,1.0,"Jun 01, 2025",5.13,3.09,-,4.19,1.35,4.19,USD,"May 31, 2017","May 31, 2017"
YUM! BRANDS INC. 144A,Consumer Cyclical,Fixed Income,"254,072.44",0.18,"254,072.44","230,000.00",988498AL5,US988498AL59,BJDSXL5,108.28,United States,-,USD,6.53,3.56,1.0,"Jan 15, 2030",4.75,6.58,-,3.53,6.41,3.53,USD,"Sep 11, 2019","Sep 11, 2019"
SABRE GLBL INC 144A,Technology,Fixed Income,"252,801.51",0.18,"252,801.51","220,000.00",78573NAC6,US78573NAC65,BLF9945,112.96,United States,-,USD,2.81,4.93,1.0,"Apr 15, 2025",9.25,2.82,-,4.84,2.76,4.84,USD,"Apr 17, 2020","Apr 17, 2020"
SIX FLAGS ENTERTAINMENT CORP 144A,Consumer Cyclical,Fixed Income,"252,686.26",0.18,"252,686.26","245,000.00",83001AAB8,US83001AAB89,BYYYTY2,101.11,United States,-,USD,0.7,4.42,1.0,"Jul 31, 2024",4.88,2.36,-,2.94,0.56,2.94,USD,"Jun 16, 2016","Jun 16, 2016"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"252,343.02",0.17,"252,343.02","220,000.00",780153AY8,US780153AY85,-,109.72,United States,-,USD,1.07,3.78,1.0,"Jun 01, 2023",10.88,1.27,-,2.38,1.06,2.38,USD,"May 19, 2020","May 19, 2020"
ZAYO GROUP HOLDINGS INC 144A,Communications,Fixed Income,"251,804.17",0.17,"251,804.17","250,000.00",98919VAB1,US98919VAB18,-,98.68,United States,-,USD,4.34,6.39,1.0,"Mar 01, 2028",6.13,4.96,-,6.39,4.96,6.39,USD,"Mar 09, 2020","Mar 09, 2020"
CEDAR FAIR LP 144A,Consumer Cyclical,Fixed Income,"251,636.80",0.17,"251,636.80","240,000.00",150190AF3,US150190AF30,BMTRDY0,103.93,United States,-,USD,0.35,4.22,1.0,"May 01, 2025",5.5,3.01,-,1.86,0.33,1.86,USD,"Apr 27, 2020","Apr 27, 2020"
NETFLIX INC,Communications,Fixed Income,"250,942.56",0.17,"250,942.56","225,000.00",64110LAN6,US64110LAN64,BDGJMQ1,110.97,United States,-,USD,4.42,2.0,1.0,"Nov 15, 2026",4.38,4.4,-,2.0,4.4,2.0,USD,"Oct 27, 2016","Oct 27, 2016"
RITE AID CORPORATION 144A,Consumer Cyclical,Fixed Income,"249,212.54",0.17,"249,212.54","235,000.00",767754CL6,US767754CL62,-,102.36,United States,-,USD,3.18,7.42,1.0,"Nov 15, 2026",8.0,3.85,-,7.12,2.57,7.12,USD,"Jul 27, 2020","Jul 27, 2020"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"248,823.33",0.17,"248,823.33","240,000.00",780153BJ0,US780153BJ00,-,101.68,United States,-,USD,3.91,5.09,1.0,"Aug 31, 2026",5.5,4.0,-,5.05,3.62,5.05,USD,"Aug 19, 2021","Aug 19, 2021"
HCA INC,Consumer Non-Cyclical,Fixed Income,"248,581.46",0.17,"248,581.46","217,000.00",404121AH8,US404121AH82,BYZLW87,112.76,United States,-,USD,3.77,2.46,1.0,"Sep 01, 2026",5.38,4.11,-,2.16,3.72,2.16,USD,"Aug 23, 2018","Aug 23, 2018"
SIRIUS XM RADIO INC 144A,Communications,Fixed Income,"247,819.64",0.17,"247,819.64","245,000.00",82967NBL1,US82967NBL10,BM9SCZ7,99.98,United States,-,USD,3.73,3.13,1.0,"Sep 01, 2026",3.13,4.26,-,3.13,4.26,3.13,USD,"Aug 16, 2021","Aug 16, 2021"
MEDNAX INC 144A,Consumer Non-Cyclical,Fixed Income,"247,640.87",0.17,"247,640.87","230,000.00",58502BAC0,US58502BAC00,BYW3NH2,104.79,United States,-,USD,1.0,5.16,1.0,"Jan 15, 2027",6.25,4.19,-,4.45,0.97,4.45,USD,"Nov 13, 2018","Nov 13, 2018"
CLARIVATE SCIENCE HOLDINGS CORP 144A,Technology,Fixed Income,"246,960.00",0.17,"246,960.00","245,000.00",18064PAC3,US18064PAC32,-,100.8,United States,-,USD,4.73,3.74,1.0,"Jul 01, 2028",3.88,5.71,-,3.68,4.1,3.68,USD,"Jun 24, 2021","Aug 19, 2021"
SQUARE INC 144A,Technology,Fixed Income,"246,325.86",0.17,"246,325.86","245,000.00",852234AL7,US852234AL72,-,100.31,United States,-,USD,4.13,2.67,1.0,"Jun 01, 2026",2.75,4.13,-,2.67,4.05,2.67,USD,"May 20, 2021","May 20, 2021"
