,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2028 Term Muni Bond ETF
CALIFORNIA ST,Government Related,Fixed Income,"222,945.42",0.29,"222,945.42","175,000.00",13063DKD9,US13063DKD92,-,126.15,United States,-,USD,6.38,1.76,1.0,"Oct 01, 2030",5.0,7.26,-,0.99,5.85,0.99,USD,"Oct 25, 2018","Oct 25, 2018"
NORTH CAROLINA ST GRANT ANTIC,Government Related,Fixed Income,"221,255.21",0.29,"221,255.21","175,000.00",658268DZ7,US658268DZ73,-,124.76,United States,-,USD,5.38,0.87,1.0,"Mar 01, 2028",5.0,5.39,-,0.87,5.39,0.87,USD,"Jun 04, 2019","Jun 04, 2019"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"221,200.67",0.29,"221,200.67","175,000.00",64990AJT3,US64990AJT34,-,124.93,United States,-,USD,5.71,1.36,1.0,"Mar 15, 2029",5.0,6.16,-,0.87,5.42,0.87,USD,"Jul 19, 2018","Jul 19, 2018"
CLARK CNTY NEV,Government Related,Fixed Income,"220,354.55",0.28,"220,354.55","175,000.00",180848YU1,US180848YU10,-,125.5,United States,-,USD,6.83,2.13,1.0,"Dec 01, 2031",5.0,8.07,-,1.15,6.0,1.15,USD,"Nov 20, 2018","Nov 20, 2018"
UTAH ST,Government Related,Fixed Income,"219,375.85",0.28,"219,375.85","170,000.00",917542VW9,US917542VW98,-,126.54,United States,-,USD,5.61,0.8,1.0,"Jul 01, 2028",5.0,5.61,-,0.8,5.61,0.8,USD,"Feb 05, 2019","Feb 05, 2019"
NEW YORK ST DORM AUTH REVS NON,Government Related,Fixed Income,"218,067.82",0.28,"218,067.82","170,000.00",64990GHJ4,US64990GHJ40,-,125.78,United States,-,USD,5.89,1.37,1.0,"Jul 01, 2029",5.0,6.33,-,0.91,5.61,0.91,USD,"Oct 11, 2018","Oct 11, 2018"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"216,765.04",0.28,"216,765.04","170,000.00",64972HT85,US64972HT859,-,125.2,United States,-,USD,6.44,2.07,1.0,"Jul 15, 2031",5.0,7.71,-,1.01,5.64,1.01,USD,"Jul 26, 2018","Jul 26, 2018"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"215,624.71",0.28,"215,624.71","175,000.00",64990FVY7,US64990FVY77,-,121.33,United States,-,USD,4.85,1.36,1.0,"Feb 15, 2028",5.0,5.32,-,0.75,4.55,0.75,USD,"Jul 13, 2017","Jul 13, 2017"
NORTH TEX TWY AUTH REV,Government Related,Fixed Income,"214,760.76",0.28,"214,760.76","170,000.00",66285WZK5,US66285WZK51,-,123.83,United States,-,USD,5.22,0.91,1.0,"Jan 01, 2028",5.0,5.22,-,0.91,5.22,0.91,USD,"Aug 15, 2019","Aug 15, 2019"
OHIO ST WTR DEV AUTH REV,Government Related,Fixed Income,"213,903.23",0.28,"213,903.23","170,000.00",67765QFY7,US67765QFY70,-,125.41,United States,-,USD,5.51,0.91,1.0,"Jun 01, 2028",5.0,5.63,-,0.77,5.44,0.77,USD,"Aug 22, 2018","Aug 22, 2018"
LONG BEACH CALIF UNI SCH DIST,Municipals,Fixed Income,"213,605.25",0.28,"213,605.25","175,000.00",542433RB5,US542433RB55,-,119.98,United States,-,USD,4.63,1.77,1.0,"Aug 01, 2028",5.0,5.63,-,0.58,4.11,0.58,USD,"Apr 14, 2016","Apr 14, 2016"
LONG IS PWR AUTH N Y ELEC SYS,Corporates,Fixed Income,"211,476.65",0.27,"211,476.65","165,000.00",542691BL3,US542691BL33,-,126.5,United States,-,USD,6.06,1.35,1.0,"Sep 01, 2029",5.0,6.49,-,0.9,5.77,0.9,USD,"Oct 30, 2018","Oct 30, 2018"
AUSTIN TEX WTR & WASTEWATER SY,Government Related,Fixed Income,"211,369.85",0.27,"211,369.85","175,000.00",052476T81,US052476T816,-,120.14,United States,-,USD,4.95,1.86,1.0,"Nov 15, 2028",5.0,5.92,-,0.78,4.4,0.78,USD,"Jun 01, 2016","Jun 01, 2016"
INDIANAPOLIS IND LOC PUB IMPT,Corporates,Fixed Income,"210,414.68",0.27,"210,414.68","175,000.00",45528USL6,US45528USL60,-,117.74,United States,-,USD,3.62,0.51,1.0,"Jan 01, 2026",5.0,3.62,-,0.51,3.62,0.51,USD,"Sep 16, 2015","Sep 16, 2015"
HONOLULU HAWAII CITY & CNTY,Government Related,Fixed Income,"210,328.33",0.27,"210,328.33","165,000.00",438687GN9,US438687GN90,-,125.81,United States,-,USD,6.31,1.77,1.0,"Sep 01, 2030",5.0,7.17,-,0.99,5.76,0.99,USD,"Jan 31, 2019","Jan 31, 2019"
PORT AUTH N Y & N J,Government Related,Fixed Income,"209,785.65",0.27,"209,785.65","165,000.00",73358WW83,US73358WW838,-,125.48,United States,-,USD,6.8,2.29,1.0,"Sep 01, 2032",5.0,8.47,-,1.04,5.76,1.04,USD,"Aug 29, 2018","Aug 29, 2018"
METROPOLITAN GOVT NASHVILLE &,Government Related,Fixed Income,"206,642.02",0.27,"206,642.02","170,000.00",592112RM0,US592112RM06,-,119.05,United States,-,USD,4.44,1.65,1.0,"Jan 01, 2028",5.0,5.18,-,0.69,4.03,0.69,USD,"Jun 01, 2016","Jun 01, 2016"
VIRGINIA ST PUB SCH AUTH SCH F,Government Related,Fixed Income,"206,505.26",0.27,"206,505.26","165,000.00",92818HGW5,US92818HGW51,-,123.07,United States,-,USD,5.21,1.33,1.0,"Aug 01, 2028",5.0,5.66,-,0.77,4.91,0.77,USD,"Aug 22, 2017","Aug 22, 2017"
NORTH TEX TWY AUTH REV,Government Related,Fixed Income,"204,476.34",0.26,"204,476.34","220,000.00",66285WBT2,US66285WBT27,-,92.94,United States,-,USD,5.98,1.22,1.0,"Jan 01, 2028",0.0,5.93,-,1.22,5.93,1.22,USD,"Apr 03, 2008","Apr 03, 2008"
VIRGINIA COLLEGE BLDG AUTH VA,Government Related,Fixed Income,"202,385.88",0.26,"202,385.88","160,000.00",92778VFH6,US92778VFH69,-,124.41,United States,-,USD,5.6,1.37,1.0,"Feb 01, 2029",5.0,6.04,-,0.87,5.3,0.87,USD,"Dec 21, 2017","Dec 21, 2017"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"201,167.28",0.26,"201,167.28","160,000.00",64990AHL2,US64990AHL26,-,124.26,United States,-,USD,6.23,2.09,1.0,"Mar 15, 2031",5.0,7.53,-,0.96,5.42,0.96,USD,"Mar 23, 2018","Mar 23, 2018"
DENVER COLO CITY & CNTY ARPT R,Government Related,Fixed Income,"200,526.23",0.26,"200,526.23","160,000.00",249182MN3,US249182MN36,-,124.91,United States,-,USD,7.06,2.39,1.0,"Dec 01, 2032",5.0,8.7,-,1.23,6.0,1.23,USD,"Aug 28, 2018","Aug 28, 2018"
WEST VA COMMR OF HWYS SPL OBLI,Municipals,Fixed Income,"199,238.22",0.26,"199,238.22","160,000.00",95649ACN2,US95649ACN28,-,122.86,United States,-,USD,5.29,1.4,1.0,"Sep 01, 2028",5.0,5.74,-,0.86,4.99,0.86,USD,"Oct 26, 2017","Oct 26, 2017"
HAMPTON RDS TRANSN ACCOUNTABIL,Municipals,Fixed Income,"198,901.98",0.26,"198,901.98","155,000.00",409328AB7,US409328AB70,-,125.82,United States,-,USD,5.6,0.9,1.0,"Jul 01, 2028",5.0,5.61,-,0.9,5.61,0.9,USD,"Oct 22, 2020","Oct 22, 2020"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"198,226.34",0.26,"198,226.34","155,000.00",64990APK5,US64990APK50,-,126.42,United States,-,USD,6.22,1.56,1.0,"Mar 15, 2030",5.0,6.88,-,0.93,5.81,0.93,USD,"Oct 12, 2018","Oct 12, 2018"
OREGON ST,Government Related,Fixed Income,"196,037.05",0.25,"196,037.05","155,000.00",68609TKF4,US68609TKF48,-,126.06,United States,-,USD,5.63,0.82,1.0,"Jun 01, 2028",5.0,5.64,-,0.82,5.64,0.82,USD,"Feb 21, 2019","Feb 21, 2019"
UNIVERSITY UTAH UNIV REVS,Corporates,Fixed Income,"193,609.42",0.25,"193,609.42","155,000.00",915183ZG5,US915183ZG50,-,122.83,United States,-,USD,5.21,1.36,1.0,"Aug 01, 2028",5.0,5.66,-,0.81,4.91,0.81,USD,"Dec 21, 2017","Dec 21, 2017"
CALIFORNIA ST,Government Related,Fixed Income,"193,125.38",0.25,"193,125.38","150,000.00",13063DHM3,US13063DHM39,-,126.67,United States,-,USD,5.69,0.83,1.0,"Aug 01, 2028",5.0,5.69,-,0.83,5.69,0.83,USD,"Sep 18, 2018","Sep 18, 2018"
MICHIGAN FIN AUTH REV,Government Related,Fixed Income,"193,004.94",0.25,"193,004.94","150,000.00",59447TTA1,US59447TTA15,-,127.42,United States,-,USD,6.38,1.63,1.0,"Oct 01, 2030",5.0,7.27,-,0.82,5.86,0.82,USD,"Dec 19, 2018","Dec 19, 2018"
NEVADA ST HWY IMPT REV,Government Related,Fixed Income,"192,907.80",0.25,"192,907.80","155,000.00",641480JS8,US641480JS82,-,124.04,United States,-,USD,6.33,2.04,1.0,"Dec 01, 2030",5.0,7.4,-,1.11,5.62,1.11,USD,"Jun 05, 2018","Jun 05, 2018"
CALIFORNIA ST DEPT WTR RES CEN,Government Related,Fixed Income,"192,896.01",0.25,"192,896.01","150,000.00",13067WQP0,US13067WQP04,-,128.18,United States,-,USD,6.02,0.8,1.0,"Dec 01, 2028",5.0,6.02,-,0.8,6.02,0.8,USD,"Apr 24, 2019","Apr 24, 2019"
WM S HART CALIF UN HIGH SCH DI,Municipals,Fixed Income,"192,854.05",0.25,"192,854.05","210,000.00",969275PR1,US969275PR14,-,91.84,United States,-,USD,6.64,1.28,1.0,"Sep 01, 2028",0.0,6.58,-,1.28,6.58,1.28,USD,"Jun 23, 2005","Jun 23, 2005"
ARIZONA ST LOTTERY REV,Government Related,Fixed Income,"192,852.52",0.25,"192,852.52","150,000.00",040624BM9,US040624BM96,-,126.07,United States,-,USD,5.61,0.87,1.0,"Jul 01, 2028",5.0,5.61,-,0.87,5.61,0.87,USD,"Oct 03, 2019","Oct 03, 2019"
ILLINOIS ST,Government Related,Fixed Income,"192,832.49",0.25,"192,832.49","155,000.00",4521522L4,US4521522L45,-,123.16,United States,-,USD,5.83,1.39,1.0,"Oct 01, 2028",5.0,5.82,-,1.39,5.82,1.39,USD,"Sep 05, 2018","Sep 05, 2018"
OHIO ST,Government Related,Fixed Income,"192,786.71",0.25,"192,786.71","150,000.00",677522ZP2,US677522ZP22,-,126.86,United States,-,USD,5.77,0.85,1.0,"Sep 01, 2028",5.0,5.77,-,0.85,5.77,0.85,USD,"Nov 06, 2018","Nov 06, 2018"
CLARK CNTY NEV ARPT REV,Government Related,Fixed Income,"192,701.45",0.25,"192,701.45","150,000.00",18085PRK2,US18085PRK20,-,125.97,United States,-,USD,5.61,0.88,1.0,"Jul 01, 2028",5.0,5.61,-,0.88,5.61,0.88,USD,"Jul 01, 2019","Jul 01, 2019"
ANNE ARUNDEL CNTY MD,Government Related,Fixed Income,"192,668.02",0.25,"192,668.02","150,000.00",03588HXT8,US03588HXT84,-,127.2,United States,-,USD,5.85,0.85,1.0,"Oct 01, 2028",5.0,5.86,-,0.85,5.86,0.85,USD,"Apr 12, 2019","Apr 12, 2019"
MIAMI-DADE CNTY FLA AVIATION R,Government Related,Fixed Income,"192,366.74",0.25,"192,366.74","160,000.00",59333PT24,US59333PT243,-,118.98,United States,-,USD,4.83,1.98,1.0,"Oct 01, 2028",5.0,5.79,-,0.91,4.27,0.91,USD,"Aug 25, 2016","Aug 25, 2016"
TEXAS ST,Government Related,Fixed Income,"192,167.55",0.25,"192,167.55","150,000.00",882724KL0,US882724KL09,-,126.03,United States,-,USD,5.97,1.37,1.0,"Aug 01, 2029",5.0,6.41,-,0.92,5.69,0.92,USD,"Feb 20, 2019","Feb 15, 2019"
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"191,694.58",0.25,"191,694.58","150,000.00",7417014U7,US7417014U70,-,125.49,United States,-,USD,6.44,2.04,1.0,"Jul 15, 2031",5.0,7.71,-,0.97,5.64,0.97,USD,"May 15, 2018","May 15, 2018"
NORTHSIDE TEX INDPT SCH DIST,Government Related,Fixed Income,"191,501.52",0.25,"191,501.52","150,000.00",66702RVJ8,US66702RVJ84,-,125.78,United States,-,USD,6.52,2.04,1.0,"Aug 15, 2031",5.0,7.79,-,0.97,5.72,0.97,USD,"May 30, 2019","May 01, 2019"
WISCONSIN ST FOR ISSUES DTD PR,Government Related,Fixed Income,"190,792.20",0.25,"190,792.20","155,000.00",97705MKQ7,US97705MKQ77,-,122.26,United States,-,USD,5.18,1.55,1.0,"Nov 01, 2028",5.0,5.9,-,0.74,4.76,0.74,USD,"Dec 28, 2017","Dec 28, 2017"
FAIRFAX CNTY VA,Government Related,Fixed Income,"190,240.20",0.25,"190,240.20","150,000.00",30382AGG1,US30382AGG13,-,125.58,United States,-,USD,5.62,1.06,1.0,"Oct 01, 2028",5.0,5.84,-,0.8,5.47,0.8,USD,"Jan 24, 2018","Jan 24, 2018"
NEW JERSEY ST TPK AUTH TPK REV,Government Related,Fixed Income,"189,569.31",0.24,"189,569.31","150,000.00",646140BY8,US646140BY83,-,123.88,United States,-,USD,5.51,1.41,1.0,"Jan 01, 2029",5.0,5.95,-,0.9,5.22,0.9,USD,"Dec 14, 2017","Dec 14, 2017"
UNIVERSITY MASS BLDG AUTH REV,Government Related,Fixed Income,"189,406.28",0.24,"189,406.28","150,000.00",914437TN8,US914437TN80,-,125.44,United States,-,USD,5.55,0.86,1.0,"May 01, 2028",5.0,5.55,-,0.86,5.55,0.86,USD,"May 01, 2019","May 01, 2019"
CLARK CNTY NEV,Government Related,Fixed Income,"189,393.08",0.24,"189,393.08","150,000.00",180848YT4,US180848YT47,-,125.85,United States,-,USD,6.56,1.84,1.0,"Dec 01, 2030",5.0,7.42,-,1.11,6.01,1.11,USD,"Nov 20, 2018","Nov 20, 2018"
HOUSTON TEX,Government Related,Fixed Income,"189,239.80",0.24,"189,239.80","150,000.00",4423314Z4,US4423314Z40,-,124.49,United States,-,USD,5.38,0.91,1.0,"Mar 01, 2028",5.0,5.38,-,0.91,5.38,0.91,USD,"Sep 10, 2019","Sep 10, 2019"
LOS ANGELES CALIF UNI SCH DIST,Government Related,Fixed Income,"189,135.55",0.24,"189,135.55","150,000.00",5446467Q9,US5446467Q95,-,123.59,United States,-,USD,6.15,2.23,1.0,"Jul 01, 2031",5.0,7.65,-,0.95,5.22,0.95,USD,"Mar 08, 2018","Mar 08, 2018"
NORTH CAROLINA ST,Government Related,Fixed Income,"188,902.89",0.24,"188,902.89","150,000.00",6582563P5,US6582563P58,-,125.52,United States,-,USD,5.92,1.37,1.0,"Jun 01, 2029",5.0,6.37,-,0.9,5.63,0.9,USD,"Aug 01, 2018","Aug 01, 2018"
LOS ANGELES CALIF WASTEWATER S,Government Related,Fixed Income,"188,859.64",0.24,"188,859.64","150,000.00",53945CJP6,US53945CJP68,-,125.49,United States,-,USD,6.45,2.01,1.0,"Jun 01, 2031",5.0,7.75,-,0.9,5.63,0.9,USD,"Nov 15, 2018","Nov 15, 2018"
CALIFORNIA INFRASTRUCTURE & EC,Government Related,Fixed Income,"188,777.65",0.24,"188,777.65","150,000.00",13034AYU8,US13034AYU86,-,124.6,United States,-,USD,6.6,2.39,1.0,"Oct 01, 2032",5.0,8.54,-,0.94,5.46,0.94,USD,"Mar 08, 2018","Mar 08, 2018"
DALLAS TEX WTRWKS & SWR SYS RE,Municipals,Fixed Income,"187,997.60",0.24,"187,997.60","150,000.00",23542JFJ9,US23542JFJ97,-,124.08,United States,-,USD,5.37,1.27,1.0,"Oct 01, 2028",5.0,5.83,-,0.72,5.08,0.72,USD,"Aug 17, 2017","Aug 17, 2017"
NORTHSIDE TEX INDPT SCH DIST,Government Related,Fixed Income,"187,916.65",0.24,"187,916.65","150,000.00",66702RTK8,US66702RTK85,-,123.39,United States,-,USD,5.24,1.3,1.0,"Aug 15, 2028",5.0,5.7,-,0.74,4.95,0.74,USD,"May 30, 2018","May 01, 2018"
UNIVERSITY UTAH UNIV REVS,Corporates,Fixed Income,"187,363.96",0.24,"187,363.96","150,000.00",915183YM3,US915183YM38,-,122.83,United States,-,USD,5.21,1.36,1.0,"Aug 01, 2028",5.0,5.66,-,0.81,4.91,0.81,USD,"Sep 13, 2017","Sep 13, 2017"
LOUISIANA ST,Government Related,Fixed Income,"187,330.98",0.24,"187,330.98","150,000.00",546417BF2,US546417BF27,-,123.64,United States,-,USD,5.37,1.33,1.0,"Oct 01, 2028",5.0,5.83,-,0.79,5.08,0.79,USD,"Sep 20, 2017","Sep 20, 2017"
ILLINOIS ST SALES TAX REVENUE,Government Related,Fixed Income,"186,258.58",0.24,"186,258.58","150,000.00",452227SC6,US452227SC63,-,122.89,United States,-,USD,5.61,1.29,1.0,"Jun 15, 2028",5.0,5.61,-,1.29,5.61,1.29,USD,"Sep 29, 2021","Sep 29, 2021"
ROUND ROCK TEX INDPT SCH DIST,Government Related,Fixed Income,"186,052.36",0.24,"186,052.36","145,000.00",779240NQ9,US779240NQ95,-,126.23,United States,-,USD,5.68,0.89,1.0,"Aug 01, 2028",5.0,5.69,-,0.89,5.69,0.89,USD,"Dec 17, 2019","Dec 01, 2019"
SPRING TEX INDPT SCH DIST,Municipals,Fixed Income,"184,453.50",0.24,"184,453.50","145,000.00",8500007H7,US8500007H78,-,125.32,United States,-,USD,6.76,2.3,1.0,"Aug 15, 2032",5.0,8.42,-,1.03,5.72,1.03,USD,"Feb 26, 2019","Feb 15, 2019"
NORTH CAROLINA ST LTD OBLIG,Government Related,Fixed Income,"184,209.59",0.24,"184,209.59","150,000.00",65829QCX0,US65829QCX07,-,121.97,United States,-,USD,5.06,1.37,1.0,"May 01, 2028",5.0,5.52,-,0.78,4.76,0.78,USD,"Aug 03, 2017","Aug 03, 2017"
NEW YORK N Y,Government Related,Fixed Income,"184,091.02",0.24,"184,091.02","150,000.00",64966MJM2,US64966MJM29,-,120.64,United States,-,USD,4.93,1.67,1.0,"Aug 01, 2028",5.0,5.64,-,0.84,4.51,0.84,USD,"Feb 22, 2017","Feb 22, 2017"
HOUSTON TEX UTIL SYS REV,Government Related,Fixed Income,"183,420.43",0.24,"183,420.43","145,000.00",44244CSQ1,US44244CSQ14,-,125.86,United States,-,USD,6.51,1.83,1.0,"Nov 15, 2030",5.0,7.37,-,1.08,5.96,1.08,USD,"Aug 21, 2018","Aug 15, 2018"
PORTLAND ORE REV,Government Related,Fixed Income,"183,220.28",0.24,"183,220.28","145,000.00",736740TF8,US736740TF89,-,126.14,United States,-,USD,5.96,1.31,1.0,"Jun 15, 2029",5.0,6.41,-,0.83,5.67,0.83,USD,"Nov 29, 2018","Nov 29, 2018"
KING & SNOHOMISH CNTYS WASH SC,Municipals,Fixed Income,"181,729.77",0.23,"181,729.77","145,000.00",494656T27,US494656T272,-,124.91,United States,-,USD,6.05,1.63,1.0,"Dec 01, 2029",5.0,6.72,-,0.98,5.63,0.98,USD,"Jul 17, 2018","Jul 17, 2018"
CHICAGO ILL MET WTR RECLAMATIO,Government Related,Fixed Income,"181,638.25",0.23,"181,638.25","150,000.00",167560SX0,US167560SX00,-,120.68,United States,-,USD,4.98,1.81,1.0,"Dec 01, 2028",5.0,5.96,-,0.71,4.44,0.71,USD,"Jul 07, 2016","Jul 07, 2016"
DISTRICT COLUMBIA WTR & SWR AU,Municipals,Fixed Income,"180,139.41",0.23,"180,139.41","140,000.00",254845QK9,US254845QK91,-,127.42,United States,-,USD,5.85,0.82,1.0,"Oct 01, 2028",5.0,5.86,-,0.82,5.86,0.82,USD,"Nov 06, 2019","Nov 06, 2019"
UTILITY DEBT SECURITIZATION AU,Municipals,Fixed Income,"179,280.92",0.23,"179,280.92","150,000.00",91802RCL1,US91802RCL15,-,119.3,United States,-,USD,4.6,1.82,1.0,"Jun 15, 2028",5.0,5.62,-,0.6,4.07,0.6,USD,"Apr 07, 2016","Apr 07, 2016"
CLARK CNTY NEV SCH DIST FOR IS,Government Related,Fixed Income,"178,992.72",0.23,"178,992.72","145,000.00",181059YH3,US181059YH35,-,123.22,United States,-,USD,5.43,1.25,1.0,"Jun 15, 2028",5.0,5.65,-,0.98,5.28,0.98,USD,"Dec 07, 2017","Dec 07, 2017"
SEATTLE WASH DRAIN & WASTEWATE,Municipals,Fixed Income,"178,948.35",0.23,"178,948.35","150,000.00",812631NQ8,US812631NQ83,-,117.3,United States,-,USD,5.29,1.22,1.0,"Jul 01, 2028",4.0,5.72,-,0.78,4.94,0.78,USD,"Jun 28, 2017","Jun 28, 2017"
FLORIDA ST DEPT MGMT SVCS CTFS,Municipals,Fixed Income,"178,439.02",0.23,"178,439.02","140,000.00",34160PEC9,US34160PEC95,-,126.62,United States,-,USD,5.93,0.96,1.0,"Nov 01, 2028",5.0,5.93,-,0.96,5.93,0.96,USD,"Dec 13, 2018","Dec 13, 2018"
KANSAS CITY MO SANTN SWR SYS REVEN,Municipals,Fixed Income,"177,208.23",0.23,"177,208.23","140,000.00",48507THA4,US48507THA43,-,124.08,United States,-,USD,5.51,1.38,1.0,"Jan 01, 2029",5.0,5.95,-,0.87,5.22,0.87,USD,"Feb 14, 2018","Feb 14, 2018"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"175,736.89",0.23,"175,736.89","140,000.00",64990AHM0,US64990AHM09,-,124.05,United States,-,USD,6.46,2.34,1.0,"Mar 15, 2032",5.0,8.17,-,0.99,5.42,0.99,USD,"Mar 23, 2018","Mar 23, 2018"
ANNE ARUNDEL CNTY MD,Government Related,Fixed Income,"175,197.46",0.23,"175,197.46","140,000.00",03588HUG9,US03588HUG90,-,123.89,United States,-,USD,5.37,1.29,1.0,"Oct 01, 2028",5.0,5.83,-,0.75,5.08,0.75,USD,"Mar 29, 2018","Mar 29, 2018"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"174,547.73",0.23,"174,547.73","150,000.00",13063CD49,US13063CD490,-,115.03,United States,-,USD,4.95,1.61,1.0,"Sep 01, 2028",4.0,5.86,-,0.72,4.27,0.72,USD,"Mar 17, 2016","Mar 17, 2016"
OREGON HEALTH SCIENCES UNIV RE,Corporates,Fixed Income,"172,849.82",0.22,"172,849.82","135,000.00",685869GF0,US685869GF05,-,125.54,United States,-,USD,5.6,0.94,1.0,"Jul 01, 2028",5.0,5.6,-,0.94,5.6,0.94,USD,"Dec 19, 2019","Dec 19, 2019"
UNIVERSITY NEB FACS CORP REV,Government Related,Fixed Income,"172,099.88",0.22,"172,099.88","135,000.00",914639KK4,US914639KK47,-,125.18,United States,-,USD,6.18,1.81,1.0,"Jul 15, 2030",5.0,7.05,-,1.01,5.64,1.01,USD,"Aug 09, 2018","Aug 09, 2018"
MICHIGAN FIN AUTH REV,Government Related,Fixed Income,"170,734.35",0.22,"170,734.35","140,000.00",59447TNY5,US59447TNY54,-,120.7,United States,-,USD,4.8,1.74,1.0,"Oct 01, 2028",5.0,5.8,-,0.58,4.28,0.58,USD,"Nov 17, 2016","Nov 17, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"168,491.39",0.22,"168,491.39","135,000.00",13063C8R4,US13063C8R43,-,122.73,United States,-,USD,5.21,1.38,1.0,"Aug 01, 2028",5.0,5.66,-,0.83,4.91,0.83,USD,"Apr 19, 2017","Apr 19, 2017"
OHIO ST,Government Related,Fixed Income,"167,081.82",0.22,"167,081.82","130,000.00",677522VB7,US677522VB71,-,126.86,United States,-,USD,5.77,0.85,1.0,"Sep 01, 2028",5.0,5.77,-,0.85,5.77,0.85,USD,"Dec 21, 2017","Dec 21, 2017"
PENNSYLVANIA ST,Government Related,Fixed Income,"166,781.96",0.22,"166,781.96","140,000.00",70914PZT2,US70914PZT29,-,117.05,United States,-,USD,4.21,2.01,1.0,"Feb 01, 2028",5.0,5.24,-,0.75,3.7,0.75,USD,"Jun 17, 2016","Jun 17, 2016"
CALIFORNIA INFRASTRUCTURE & EC,Government Related,Fixed Income,"166,525.59",0.21,"166,525.59","135,000.00",13034ASB7,US13034ASB79,-,122.1,United States,-,USD,5.1,1.54,1.0,"Oct 01, 2028",5.0,5.81,-,0.7,4.68,0.7,USD,"Mar 23, 2017","Mar 23, 2017"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"166,193.11",0.21,"166,193.11","130,000.00",64972HF80,US64972HF809,-,125.54,United States,-,USD,6.18,1.77,1.0,"Jul 15, 2030",5.0,7.05,-,0.96,5.64,0.96,USD,"Mar 22, 2018","Mar 22, 2018"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"166,090.02",0.21,"166,090.02","130,000.00",61334PAL7,US61334PAL76,-,126.93,United States,-,USD,6.22,1.36,1.0,"Nov 01, 2029",5.0,6.66,-,0.92,5.93,0.92,USD,"Nov 08, 2018","Nov 08, 2018"
OHIO ST TPK COMMN TPK REV,Government Related,Fixed Income,"165,994.65",0.21,"165,994.65","135,000.00",67760HLE9,US67760HLE98,-,121.07,United States,-,USD,4.85,1.4,1.0,"Feb 15, 2028",5.0,5.31,-,0.79,4.55,0.79,USD,"Sep 28, 2017","Sep 28, 2017"
CLARK CNTY WASH SCH DIST NO 03,Municipals,Fixed Income,"165,974.19",0.21,"165,974.19","130,000.00",181144SZ0,US181144SZ04,-,127.26,United States,-,USD,6.01,0.92,1.0,"Dec 01, 2028",5.0,6.02,-,0.92,6.02,0.92,USD,"Oct 23, 2018","Oct 23, 2018"
SPOKANE CNTY WASH,Municipals,Fixed Income,"165,974.19",0.21,"165,974.19","130,000.00",8486443Q1,US8486443Q14,-,127.26,United States,-,USD,6.01,0.92,1.0,"Dec 01, 2028",5.0,6.02,-,0.92,6.02,0.92,USD,"Dec 19, 2019","Dec 19, 2019"
TRIBOROUGH BRDG & TUNL AUTH N,Corporates,Fixed Income,"165,886.07",0.21,"165,886.07","130,000.00",89602N7G3,US89602N7G30,-,126.97,United States,-,USD,5.97,0.94,1.0,"Nov 15, 2028",5.0,5.97,-,0.94,5.97,0.94,USD,"Jan 19, 2017","Jan 19, 2017"
SOUTH CAROLINA TRANSN INFRASTR,Corporates,Fixed Income,"165,628.22",0.21,"165,628.22","130,000.00",837152VL8,US837152VL84,-,126.16,United States,-,USD,6.13,1.42,1.0,"Oct 01, 2029",5.0,6.57,-,0.99,5.85,0.99,USD,"Aug 22, 2019","Aug 22, 2019"
GRAND PARKWAY TRANSN CORP TEX,Government Related,Fixed Income,"163,975.30",0.21,"163,975.30","130,000.00",38611TBF3,US38611TBF30,-,124.88,United States,-,USD,6.15,1.9,1.0,"Oct 01, 2030",5.0,7.25,-,0.9,5.47,0.9,USD,"May 30, 2018","May 30, 2018"
NEW JERSEY ST,Government Related,Fixed Income,"163,939.81",0.21,"163,939.81","135,000.00",646039WR4,US646039WR40,-,121.02,United States,-,USD,5.14,1.55,1.0,"Jun 01, 2028",5.0,5.6,-,1.0,4.84,1.0,USD,"Dec 21, 2016","Dec 21, 2016"
VIRGINIA COLLEGE BLDG AUTH VA,Government Related,Fixed Income,"163,677.26",0.21,"163,677.26","130,000.00",92778VFJ2,US92778VFJ26,-,123.82,United States,-,USD,5.85,1.82,1.0,"Feb 01, 2030",5.0,6.73,-,0.96,5.3,0.96,USD,"Dec 21, 2017","Dec 21, 2017"
OHIO ST SPL OBLIG,Government Related,Fixed Income,"162,679.11",0.21,"162,679.11","135,000.00",67759HHY3,US67759HHY36,-,120.09,United States,-,USD,5.0,1.89,1.0,"Dec 01, 2028",5.0,5.96,-,0.82,4.44,0.82,USD,"Oct 06, 2016","Oct 06, 2016"
