,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Corporate ETF
ROPER TECHNOLOGIES INC,Corporates,Fixed Income,"538,724.05",0.36,"538,724.05","515,000.00",776743AG1,US776743AG17,BKRLV79,103.74,United States,-,USD,6.75,2.42,1.0,"Sep 15, 2029",2.95,6.83,-,2.4,6.63,2.4,USD,"Aug 26, 2019","Aug 26, 2019"
KEYCORP MTN,Corporates,Fixed Income,"535,992.60",0.36,"535,992.60","520,000.00",49326EEJ8,US49326EEJ82,-,102.44,United States,-,USD,6.99,2.21,1.0,"Oct 01, 2029",2.55,6.97,-,2.21,6.97,2.21,USD,"Sep 11, 2019","Sep 11, 2019"
NUTRIEN LTD,Corporates,Fixed Income,"535,466.30",0.36,"535,466.30","470,000.00",67077MAT5,US67077MAT53,BHPHFC1,112.88,Canada,-,USD,6.13,2.26,1.0,"Apr 01, 2029",4.2,6.26,-,2.2,6.07,2.2,USD,"Apr 01, 2019","Apr 01, 2019"
ANTHEM INC,Corporates,Fixed Income,"531,999.86",0.36,"531,999.86","504,000.00",036752AL7,US036752AL74,BJDSXN7,104.71,United States,-,USD,6.76,2.21,1.0,"Sep 15, 2029",2.88,6.86,-,2.19,6.66,2.19,USD,"Sep 09, 2019","Sep 09, 2019"
PNC BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"530,630.07",0.36,"530,630.07","511,000.00",69349LAS7,US69349LAS79,-,103.32,United States,-,USD,7.02,2.23,1.0,"Oct 22, 2029",2.7,6.99,-,2.23,6.99,2.23,USD,"Oct 22, 2019","Oct 22, 2019"
BOSTON PROPERTIES LP,Corporates,Fixed Income,"527,612.28",0.35,"527,612.28","496,000.00",10112RBB9,US10112RBB96,BK6WVQ2,106.28,United States,-,USD,6.51,2.47,1.0,"Jun 21, 2029",3.4,6.6,-,2.45,6.41,2.45,USD,"Jun 21, 2019","Jun 21, 2019"
BROADRIDGE FINANCIAL SOLUTIONS INC,Corporates,Fixed Income,"525,356.78",0.35,"525,356.78","507,000.00",11133TAD5,US11133TAD54,BKL9NX9,103.38,United States,-,USD,6.97,2.43,1.0,"Dec 01, 2029",2.9,7.04,-,2.41,6.85,2.41,USD,"Dec 09, 2019","Dec 09, 2019"
ENBRIDGE INC,Corporates,Fixed Income,"525,162.44",0.35,"525,162.44","498,000.00",29250NAZ8,US29250NAZ87,-,105.06,Canada,-,USD,6.86,2.42,1.0,"Nov 15, 2029",3.13,6.95,-,2.4,6.76,2.4,USD,"Nov 15, 2019","Nov 15, 2019"
AVANGRID INC,Corporates,Fixed Income,"524,560.39",0.35,"524,560.39","478,000.00",05351WAB9,US05351WAB90,BKDKCC2,109.42,United States,-,USD,6.37,2.4,1.0,"Jun 01, 2029",3.8,6.48,-,2.36,6.29,2.36,USD,"May 16, 2019","May 16, 2019"
UNILEVER CAPITAL CORP,Corporates,Fixed Income,"519,200.63",0.35,"519,200.63","511,000.00",904764BH9,US904764BH90,BJK53F3,100.93,United States,-,USD,6.93,1.99,1.0,"Sep 06, 2029",2.13,7.01,-,1.99,6.8,1.99,USD,"Sep 06, 2019","Sep 06, 2019"
HUNTSMAN INTERNATIONAL LLC,Corporates,Fixed Income,"519,081.44",0.35,"519,081.44","464,000.00",44701QBE1,US44701QBE17,BJLTYV7,111.12,United States,-,USD,6.16,2.81,1.0,"May 01, 2029",4.5,6.26,-,2.76,6.08,2.76,USD,"Mar 13, 2019","Mar 13, 2019"
SYNCHRONY FINANCIAL,Corporates,Fixed Income,"515,235.72",0.35,"515,235.72","442,000.00",87165BAP8,US87165BAP85,BJQ1YC9,115.11,United States,-,USD,5.93,2.82,1.0,"Mar 19, 2029",5.15,6.05,-,2.75,5.87,2.75,USD,"Mar 19, 2019","Mar 19, 2019"
FORTUNE BRANDS HOME & SECURITY INC,Corporates,Fixed Income,"512,567.73",0.34,"512,567.73","480,000.00",34964CAE6,US34964CAE66,-,105.83,United States,-,USD,6.67,2.42,1.0,"Sep 15, 2029",3.25,6.76,-,2.39,6.57,2.39,USD,"Sep 13, 2019","Sep 13, 2019"
MIDAMERICAN ENERGY COMPANY,Corporates,Fixed Income,"511,016.56",0.34,"511,016.56","460,000.00",595620AT2,US595620AT22,BJ1STT7,110.32,United States,-,USD,6.28,2.11,1.0,"Apr 15, 2029",3.65,6.4,-,2.07,6.21,2.07,USD,"Jan 09, 2019","Jan 09, 2019"
AON CORP,Corporates,Fixed Income,"509,103.43",0.34,"509,103.43","461,000.00",037389BC6,US037389BC65,BK1WFQ5,109.82,United States,-,USD,6.3,2.29,1.0,"May 02, 2029",3.75,6.42,-,2.24,6.23,2.24,USD,"May 02, 2019","May 02, 2019"
INGERSOLL-RAND LUXEMBOURG FINANCE,Corporates,Fixed Income,"507,515.96",0.34,"507,515.96","460,000.00",456873AD0,US456873AD03,BJ1DL29,109.27,United States,-,USD,6.18,2.39,1.0,"Mar 21, 2029",3.8,6.29,-,2.35,6.1,2.35,USD,"Mar 21, 2019","Mar 21, 2019"
NEXTERA ENERGY CAPITAL HOLDINGS IN,Corporates,Fixed Income,"503,750.34",0.34,"503,750.34","486,000.00",65339KBM1,US65339KBM18,BKRWX76,103.19,United States,-,USD,6.92,2.3,1.0,"Nov 01, 2029",2.75,7.0,-,2.29,6.8,2.29,USD,"Oct 03, 2019","Oct 03, 2019"
TEXAS INSTRUMENTS INC,Corporates,Fixed Income,"502,044.65",0.34,"502,044.65","487,000.00",882508BG8,US882508BG82,-,102.36,United States,-,USD,6.89,1.92,1.0,"Sep 04, 2029",2.25,6.98,-,1.91,6.77,1.91,USD,"Sep 04, 2019","Sep 04, 2019"
GLP CAPITAL LP,Corporates,Fixed Income,"501,885.80",0.34,"501,885.80","434,000.00",361841AL3,US361841AL38,BGLKMW6,113.2,United States,-,USD,5.73,3.19,1.0,"Jan 15, 2029",5.3,5.82,-,3.13,5.64,3.13,USD,"Sep 26, 2018","Sep 26, 2018"
LABORATORY CORPORATION OF AMERICA,Corporates,Fixed Income,"495,998.96",0.33,"495,998.96","475,000.00",50540RAW2,US50540RAW25,-,104.18,United States,-,USD,6.95,2.37,1.0,"Dec 01, 2029",2.95,7.04,-,2.35,6.84,2.35,USD,"Nov 25, 2019","Nov 25, 2019"
ONEOK INC,Corporates,Fixed Income,"495,890.05",0.33,"495,890.05","473,000.00",682680AY9,US682680AY93,BKFV9C2,103.71,United States,-,USD,6.6,2.86,1.0,"Sep 01, 2029",3.4,6.66,-,2.84,6.47,2.84,USD,"Aug 15, 2019","Aug 15, 2019"
NEWMONT GOLDCORP CORP,Corporates,Fixed Income,"493,145.52",0.33,"493,145.52","476,000.00",651639AX4,US651639AX42,-,102.9,United States,-,USD,6.82,2.39,1.0,"Oct 01, 2029",2.8,6.9,-,2.38,6.7,2.38,USD,"Sep 16, 2019","Sep 16, 2019"
CROWN CASTLE INTERNATIONAL CORP,Corporates,Fixed Income,"489,501.12",0.33,"489,501.12","432,000.00",22822VAL5,US22822VAL53,BGQPWW6,111.69,United States,-,USD,5.99,2.5,1.0,"Feb 15, 2029",4.3,6.1,-,2.44,5.92,2.44,USD,"Feb 11, 2019","Feb 11, 2019"
EVERGY INC,Corporates,Fixed Income,"486,726.78",0.33,"486,726.78","470,000.00",30034WAB2,US30034WAB28,BK5W958,102.71,United States,-,USD,6.76,2.51,1.0,"Sep 15, 2029",2.9,6.83,-,2.5,6.63,2.5,USD,"Sep 09, 2019","Sep 09, 2019"
AMERICAN TOWER CORPORATION,Corporates,Fixed Income,"483,911.40",0.33,"483,911.40","438,000.00",03027XAU4,US03027XAU46,BJQN856,109.32,United States,-,USD,6.13,2.53,1.0,"Mar 15, 2029",3.95,6.24,-,2.48,6.05,2.48,USD,"Mar 15, 2019","Mar 15, 2019"
COMERICA INCORPORATED,Corporates,Fixed Income,"480,598.50",0.32,"480,598.50","423,000.00",200340AT4,US200340AT44,BHWF8B8,111.95,United States,-,USD,6.01,2.17,1.0,"Feb 01, 2029",4.0,6.14,-,2.11,5.95,2.11,USD,"Feb 01, 2019","Feb 01, 2019"
AMERICA MOVIL SAB DE CV,Corporates,Fixed Income,"479,462.38",0.32,"479,462.38","440,000.00",02364WBH7,US02364WBH79,BK7K1Y3,108.28,Mexico,-,USD,6.3,2.38,1.0,"Apr 22, 2029",3.63,6.41,-,2.35,6.21,2.35,USD,"Apr 22, 2019","Apr 22, 2019"
S&P GLOBAL INC,Corporates,Fixed Income,"479,201.80",0.32,"479,201.80","462,000.00",78409VAP9,US78409VAP94,BKM1DM3,103.52,United States,-,USD,7.06,2.02,1.0,"Dec 01, 2029",2.5,7.16,-,2.0,6.95,2.0,USD,"Nov 26, 2019","Nov 26, 2019"
QUEST DIAGNOSTICS INCORPORATED,Corporates,Fixed Income,"472,753.82",0.32,"472,753.82","418,000.00",74834LBA7,US74834LBA70,BHNBYH3,113.1,United States,-,USD,6.38,2.29,1.0,"Jun 30, 2029",4.2,6.51,-,2.23,6.32,2.23,USD,"Mar 12, 2019","Mar 12, 2019"
TRUIST FINANCIAL CORP MTN,Corporates,Fixed Income,"471,323.17",0.32,"471,323.17","423,000.00",05531GAB7,US05531GAB77,BJ2DGS9,110.33,United States,-,USD,6.25,2.31,1.0,"Mar 19, 2029",3.88,6.28,-,2.3,6.22,2.3,USD,"Mar 18, 2019","Mar 18, 2019"
KROGER CO,Corporates,Fixed Income,"470,120.37",0.32,"470,120.37","401,000.00",501044DL2,US501044DL23,BJ1STQ4,115.16,United States,-,USD,5.88,2.17,1.0,"Jan 15, 2029",4.5,6.01,-,2.09,5.82,2.09,USD,"Jan 14, 2019","Jan 14, 2019"
FLEX LTD,Corporates,Fixed Income,"467,451.93",0.31,"467,451.93","410,000.00",33938XAA3,US33938XAA37,BJNP598,113.8,Singapore,-,USD,6.21,2.81,1.0,"Jun 15, 2029",4.88,6.32,-,2.75,6.14,2.75,USD,"Jun 06, 2019","Jun 06, 2019"
ING GROEP NV,Corporates,Fixed Income,"466,642.17",0.31,"466,642.17","414,000.00",456837AQ6,US456837AQ60,BJFFD58,111.79,Netherlands,-,USD,6.33,2.28,1.0,"Apr 09, 2029",4.05,6.31,-,2.28,6.31,2.28,USD,"Apr 09, 2019","Apr 09, 2019"
HUSKY ENERGY INC.,Corporates,Fixed Income,"465,817.73",0.31,"465,817.73","417,000.00",448055AP8,US448055AP89,BJMGV16,110.78,Canada,-,USD,6.13,2.76,1.0,"Apr 15, 2029",4.4,6.24,-,2.71,6.05,2.71,USD,"Mar 15, 2019","Mar 15, 2019"
NISOURCE INC,Corporates,Fixed Income,"454,376.35",0.31,"454,376.35","435,000.00",65473PAH8,US65473PAH82,BK20BW6,103.47,United States,-,USD,6.71,2.45,1.0,"Sep 01, 2029",2.95,6.79,-,2.44,6.59,2.44,USD,"Aug 12, 2019","Aug 12, 2019"
OREILLY AUTOMOTIVE INC,Corporates,Fixed Income,"444,640.83",0.3,"444,640.83","401,000.00",67103HAH0,US67103HAH03,BK8KJS2,110.56,United States,-,USD,6.35,2.34,1.0,"Jun 01, 2029",3.9,6.47,-,2.29,6.28,2.29,USD,"May 20, 2019","May 20, 2019"
HARTFORD FINANCIAL SERVICES GROUP,Corporates,Fixed Income,"444,460.83",0.3,"444,460.83","424,000.00",416515BE3,US416515BE33,BK5HXN9,103.8,United States,-,USD,6.71,2.26,1.0,"Aug 19, 2029",2.8,6.8,-,2.24,6.59,2.24,USD,"Aug 19, 2019","Aug 19, 2019"
VENTAS REALTY LP,Corporates,Fixed Income,"443,892.05",0.3,"443,892.05","384,000.00",92277GAN7,US92277GAN79,BGB5RY8,113.57,United States,-,USD,5.89,2.3,1.0,"Jan 15, 2029",4.4,6.02,-,2.24,5.83,2.24,USD,"Aug 15, 2018","Aug 15, 2018"
WILLIS NORTH AMERICA INC,Corporates,Fixed Income,"443,530.46",0.3,"443,530.46","428,000.00",970648AJ0,US970648AJ01,-,102.76,United States,-,USD,6.75,2.55,1.0,"Sep 15, 2029",2.95,6.82,-,2.54,6.62,2.54,USD,"Sep 10, 2019","Sep 10, 2019"
LAZARD GROUP LLC,Corporates,Fixed Income,"442,196.99",0.3,"442,196.99","386,000.00",52107QAK1,US52107QAK13,BJRL224,113.22,United States,-,USD,6.05,2.37,1.0,"Mar 11, 2029",4.38,6.17,-,2.3,5.99,2.3,USD,"Mar 11, 2019","Mar 11, 2019"
NORTHERN TRUST CORPORATION,Corporates,Fixed Income,"439,472.67",0.3,"439,472.67","406,000.00",665859AU8,US665859AU89,-,107.74,United States,-,USD,6.43,2.01,1.0,"May 03, 2029",3.15,6.55,-,1.98,6.35,1.98,USD,"May 03, 2019","May 03, 2019"
CBS CORP,Corporates,Fixed Income,"437,319.12",0.29,"437,319.12","392,000.00",124857AZ6,US124857AZ68,BJKCM68,111.21,United States,-,USD,6.3,2.53,1.0,"Jun 01, 2029",4.2,6.41,-,2.48,6.22,2.48,USD,"Mar 05, 2019","Mar 05, 2019"
AMERICAN INTERNATIONAL GROUP INC,Corporates,Fixed Income,"435,768.23",0.29,"435,768.23","377,000.00",026874DN4,US026874DN40,BJL1145,114.34,United States,-,USD,6.08,2.1,1.0,"Mar 15, 2029",4.25,6.22,-,2.03,6.03,2.03,USD,"Mar 15, 2019","Mar 15, 2019"
WELLTOWER INC,Corporates,Fixed Income,"434,463.68",0.29,"434,463.68","384,000.00",95040QAH7,US95040QAH74,BHZQ1K8,111.93,United States,-,USD,5.96,2.32,1.0,"Mar 15, 2029",4.13,6.23,-,2.2,5.85,2.2,USD,"Feb 15, 2019","Feb 15, 2019"
ESTEE LAUDER COMPANIES INC. (THE),Corporates,Fixed Income,"433,435.85",0.29,"433,435.85","422,000.00",29736RAP5,US29736RAP55,BKT4KG8,102.51,United States,-,USD,7.1,2.03,1.0,"Dec 01, 2029",2.38,7.19,-,2.02,6.98,2.02,USD,"Nov 21, 2019","Nov 21, 2019"
GENERAL MOTORS FINANCIAL CO INC,Corporates,Fixed Income,"433,015.61",0.29,"433,015.61","357,000.00",37045XCS3,US37045XCS36,BH420S8,118.72,United States,-,USD,5.69,2.71,1.0,"Jan 17, 2029",5.65,5.81,-,2.62,5.64,2.62,USD,"Jan 17, 2019","Jan 17, 2019"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"433,000.00",0.29,"433,000.00","433,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
BRIXMOR OPERATING PARTNERSHIP LP,Corporates,Fixed Income,"428,871.07",0.29,"428,871.07","385,000.00",11120VAH6,US11120VAH69,BJCX1Y0,110.87,United States,-,USD,6.27,2.5,1.0,"May 15, 2029",4.13,6.38,-,2.45,6.19,2.45,USD,"May 10, 2019","May 10, 2019"
ONEOK INC,Corporates,Fixed Income,"428,818.34",0.29,"428,818.34","386,000.00",682680AW3,US682680AW38,BJ2XVC8,109.81,United States,-,USD,6.06,2.83,1.0,"Mar 15, 2029",4.35,6.16,-,2.79,5.97,2.79,USD,"Mar 13, 2019","Mar 13, 2019"
VERISK ANALYTICS INC,Corporates,Fixed Income,"427,662.02",0.29,"427,662.02","379,000.00",92345YAF3,US92345YAF34,BJLZY60,111.63,United States,-,USD,6.1,2.36,1.0,"Mar 15, 2029",4.13,6.22,-,2.31,6.04,2.31,USD,"Mar 06, 2019","Mar 06, 2019"
CYRUSONE LP,Corporates,Fixed Income,"427,339.68",0.29,"427,339.68","393,000.00",23283PAR5,US23283PAR55,-,108.3,United States,-,USD,6.79,2.29,1.0,"Nov 15, 2029",3.45,6.9,-,2.26,6.7,2.26,USD,"Dec 05, 2019","Dec 05, 2019"
AGILENT TECHNOLOGIES INC,Corporates,Fixed Income,"425,897.83",0.29,"425,897.83","408,000.00",00846UAL5,US00846UAL52,BK51654,103.58,United States,-,USD,6.79,2.24,1.0,"Sep 15, 2029",2.75,6.88,-,2.23,6.68,2.23,USD,"Sep 16, 2019","Sep 16, 2019"
3M CO MTN,Corporates,Fixed Income,"425,734.84",0.29,"425,734.84","386,000.00",88579YBG5,US88579YBG52,BJ2WB03,109.17,United States,-,USD,6.21,2.0,1.0,"Mar 01, 2029",3.38,6.34,-,1.95,6.14,1.95,USD,"Feb 22, 2019","Feb 22, 2019"
REINSURANCE GROUP OF AMERICA INCOR,Corporates,Fixed Income,"422,431.13",0.28,"422,431.13","383,000.00",759351AN9,US759351AN90,BK9W8V3,109.8,United States,-,USD,6.31,2.44,1.0,"May 15, 2029",3.9,6.42,-,2.4,6.23,2.4,USD,"May 15, 2019","May 15, 2019"
KIMBERLY-CLARK CORPORATION,Corporates,Fixed Income,"422,386.57",0.28,"422,386.57","389,000.00",494368BZ5,US494368BZ58,BK97GJ2,108.0,United States,-,USD,6.39,2.02,1.0,"Apr 25, 2029",3.2,6.51,-,1.98,6.32,1.98,USD,"Apr 25, 2019","Apr 25, 2019"
CATERPILLAR INC,Corporates,Fixed Income,"420,322.49",0.28,"420,322.49","398,000.00",149123CG4,US149123CG49,-,104.87,United States,-,USD,6.84,1.92,1.0,"Sep 19, 2029",2.6,6.95,-,1.9,6.74,1.9,USD,"Sep 19, 2019","Sep 19, 2019"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"417,473.74",0.28,"417,473.74","391,000.00",24422EUY3,US24422EUY30,BK8M6J8,105.5,United States,-,USD,6.74,2.01,1.0,"Jul 18, 2029",2.8,6.73,-,2.01,6.73,2.01,USD,"Jul 18, 2019","Jul 18, 2019"
JUNIPER NETWORKS INC,Corporates,Fixed Income,"414,284.04",0.28,"414,284.04","377,000.00",48203RAM6,US48203RAM60,BJTJ787,108.47,United States,-,USD,6.47,2.52,1.0,"Aug 15, 2029",3.75,6.58,-,2.49,6.39,2.49,USD,"Aug 26, 2019","Aug 26, 2019"
LAS VEGAS SANDS CORP,Corporates,Fixed Income,"413,829.67",0.28,"413,829.67","405,000.00",517834AF4,US517834AF40,BKPHQ07,100.63,United States,-,USD,6.42,3.8,1.0,"Aug 08, 2029",3.9,6.43,-,3.8,6.25,3.8,USD,"Jul 31, 2019","Jul 31, 2019"
HONEYWELL INTERNATIONAL INC,Corporates,Fixed Income,"412,959.30",0.28,"412,959.30","390,000.00",438516BU9,US438516BU93,BK9DLD9,104.87,United States,-,USD,6.72,2.01,1.0,"Aug 15, 2029",2.7,6.82,-,1.99,6.62,1.99,USD,"Aug 08, 2019","Aug 08, 2019"
DUKE ENERGY CORP,Corporates,Fixed Income,"411,966.65",0.28,"411,966.65","386,000.00",26441CBE4,US26441CBE49,BJN4JY8,106.58,United States,-,USD,6.49,2.43,1.0,"Jun 15, 2029",3.4,6.59,-,2.4,6.39,2.4,USD,"Jun 07, 2019","Jun 07, 2019"
ASCENSION HEALTH,Corporates,Fixed Income,"411,119.40",0.28,"411,119.40","393,000.00",04352EAA3,US04352EAA38,-,104.29,United States,-,USD,7.01,1.94,1.0,"Nov 15, 2029",2.53,7.11,-,1.92,6.91,1.92,USD,"Oct 23, 2019","Oct 23, 2019"
CHEVRON USA INC,Corporates,Fixed Income,"409,969.17",0.28,"409,969.17","375,000.00",166756AS5,US166756AS52,-,108.64,United States,-,USD,6.75,2.04,1.0,"Oct 15, 2029",3.25,6.87,-,2.01,6.67,2.01,USD,"Oct 15, 2020","Jan 06, 2021"
NEXTERA ENERGY CAPITAL HOLDINGS IN,Corporates,Fixed Income,"407,388.75",0.27,"407,388.75","375,000.00",65339KBJ8,US65339KBJ88,BJLTXW1,107.76,United States,-,USD,6.27,2.33,1.0,"Apr 01, 2029",3.5,6.38,-,2.29,6.18,2.29,USD,"Apr 04, 2019","Apr 04, 2019"
UNITED PARCEL SERVICE INC,Corporates,Fixed Income,"407,372.72",0.27,"407,372.72","369,000.00",911312BR6,US911312BR66,BJCRWL6,109.4,United States,-,USD,6.24,1.99,1.0,"Mar 15, 2029",3.4,6.37,-,1.95,6.17,1.95,USD,"Mar 15, 2019","Mar 15, 2019"
FMC CORPORATION,Corporates,Fixed Income,"406,525.77",0.27,"406,525.77","378,000.00",302491AU9,US302491AU91,-,106.68,United States,-,USD,6.67,2.5,1.0,"Oct 01, 2029",3.45,6.76,-,2.47,6.57,2.47,USD,"Sep 20, 2019","Sep 20, 2019"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"404,452.54",0.27,"404,452.54","357,000.00",89236TFT7,US89236TFT79,-,111.54,United States,-,USD,6.16,1.89,1.0,"Jan 08, 2029",3.65,6.15,-,1.89,6.15,1.89,USD,"Jan 08, 2019","Jan 08, 2019"
CNO FINANCIAL GROUP INC,Corporates,Fixed Income,"398,835.93",0.27,"398,835.93","346,000.00",12621EAL7,US12621EAL74,BJ5C4Z6,114.83,United States,-,USD,6.1,3.0,1.0,"May 30, 2029",5.25,6.21,-,2.94,6.04,2.94,USD,"Jun 12, 2019","Jun 12, 2019"
AMERICAN WATER CAPITAL CORP,Corporates,Fixed Income,"397,591.29",0.27,"397,591.29","367,000.00",03040WAU9,US03040WAU99,BJXS070,108.05,United States,-,USD,6.44,2.26,1.0,"Jun 01, 2029",3.45,6.55,-,2.23,6.36,2.23,USD,"May 13, 2019","May 13, 2019"
KEYSIGHT TECHNOLOGIES INC,Corporates,Fixed Income,"396,011.70",0.27,"396,011.70","378,000.00",49338LAF0,US49338LAF04,BKLFFL9,104.27,United States,-,USD,6.85,2.4,1.0,"Oct 30, 2029",3.0,6.94,-,2.38,6.74,2.38,USD,"Oct 22, 2019","Oct 22, 2019"
BAKER HUGHES A GE COMPANY LLC,Corporates,Fixed Income,"394,138.16",0.26,"394,138.16","371,000.00",05723KAG5,US05723KAG58,BJV1CQ4,105.77,United States,-,USD,6.84,2.33,1.0,"Nov 07, 2029",3.14,6.94,-,2.31,6.74,2.31,USD,"Nov 07, 2019","Nov 07, 2019"
PIEDMONT NATURAL GAS COMPANY INC,Corporates,Fixed Income,"390,865.63",0.26,"390,865.63","364,000.00",720186AL9,US720186AL95,BJR4FP7,107.09,United States,-,USD,6.43,2.45,1.0,"Jun 01, 2029",3.5,6.53,-,2.42,6.34,2.42,USD,"May 24, 2019","May 24, 2019"
WEYERHAEUSER COMPANY,Corporates,Fixed Income,"390,752.19",0.26,"390,752.19","348,000.00",962166BX1,US962166BX19,BJJDQP9,111.77,United States,-,USD,6.67,2.35,1.0,"Nov 15, 2029",4.0,6.79,-,2.31,6.6,2.31,USD,"Feb 25, 2019","Feb 25, 2019"
PUBLIC STORAGE,Corporates,Fixed Income,"388,515.59",0.26,"388,515.59","354,000.00",74460DAD1,US74460DAD12,BJN4QV4,109.19,United States,-,USD,6.37,2.03,1.0,"May 01, 2029",3.38,6.5,-,1.99,6.3,1.99,USD,"Apr 12, 2019","Apr 12, 2019"
HUMANA INC,Corporates,Fixed Income,"387,903.47",0.26,"387,903.47","366,000.00",444859BK7,US444859BK72,BK59KS9,104.8,United States,-,USD,6.62,2.43,1.0,"Aug 15, 2029",3.13,6.71,-,2.41,6.51,2.41,USD,"Aug 15, 2019","Aug 15, 2019"
MOODYS CORPORATION,Corporates,Fixed Income,"386,874.02",0.26,"386,874.02","336,600.00",615369AP0,US615369AP01,BFZYRJ9,113.17,United States,-,USD,5.97,2.23,1.0,"Feb 01, 2029",4.25,6.09,-,2.17,5.9,2.17,USD,"Dec 17, 2018","Dec 17, 2018"
EASTERN GAS TRANSMISSION AND STORA 144A,Corporates,Fixed Income,"385,358.73",0.26,"385,358.73","373,000.00",276480AG5,US276480AG56,-,102.93,United States,-,USD,6.9,2.59,1.0,"Nov 15, 2029",3.0,6.97,-,2.57,6.77,2.57,USD,"May 15, 2021","Jun 30, 2021"
ERP OPERATING LP,Corporates,Fixed Income,"385,150.72",0.26,"385,150.72","358,000.00",26884ABL6,US26884ABL61,BJLK272,106.08,United States,-,USD,6.53,2.12,1.0,"Jul 01, 2029",3.0,6.64,-,2.09,6.43,2.09,USD,"Jun 26, 2019","Jun 26, 2019"
PROGRESSIVE CORPORATION (THE),Corporates,Fixed Income,"381,803.19",0.26,"381,803.19","334,000.00",743315AV5,US743315AV57,-,112.98,United States,-,USD,6.09,2.04,1.0,"Mar 01, 2029",4.0,6.23,-,1.98,6.04,1.98,USD,"Oct 23, 2018","Oct 23, 2018"
COTERRA ENERGY INC 144A,Corporates,Fixed Income,"380,976.05",0.26,"380,976.05","335,000.00",127097AH6,US127097AH63,-,112.44,United States,-,USD,4.88,2.48,1.0,"Mar 15, 2029",4.38,6.18,-,1.82,4.58,1.82,USD,"Sep 15, 2021","Oct 07, 2021"
PROVIDENCE ST JOSEPH HEALTH,Corporates,Fixed Income,"380,435.04",0.26,"380,435.04","366,000.00",743820AA0,US743820AA01,-,103.31,United States,-,USD,6.89,2.07,1.0,"Oct 01, 2029",2.53,6.98,-,2.05,6.78,2.05,USD,"Oct 01, 2019","Oct 01, 2019"
KANSAS CITY SOUTHERN RAILWAY CO,Corporates,Fixed Income,"376,466.54",0.25,"376,466.54","361,000.00",485170BD5,US485170BD50,BJXCLN5,103.92,United States,-,USD,6.92,2.33,1.0,"Nov 15, 2029",2.88,7.01,-,2.31,6.81,2.31,USD,"Nov 18, 2019","Nov 18, 2019"
ZIONS BANCORPORATION NATIONAL ASSO,Corporates,Fixed Income,"374,618.60",0.25,"374,618.60","360,000.00",98971DAB6,US98971DAB64,-,103.5,United States,-,USD,6.79,2.75,1.0,"Oct 29, 2029",3.25,6.86,-,2.74,6.66,2.74,USD,"Oct 29, 2019","Oct 29, 2019"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"373,500.60",0.25,"373,500.60","330,000.00",842400GQ0,US842400GQ05,BJMTK85,111.78,United States,-,USD,6.05,2.4,1.0,"Mar 01, 2029",4.2,6.17,-,2.34,5.98,2.34,USD,"Mar 15, 2019","Mar 15, 2019"
ENABLE MIDSTREAM PARTNERS LP,Corporates,Fixed Income,"368,733.50",0.25,"368,733.50","339,000.00",292480AM2,US292480AM22,-,107.55,United States,-,USD,6.47,3.04,1.0,"Sep 15, 2029",4.15,6.54,-,3.01,6.36,3.01,USD,"Sep 13, 2019","Sep 13, 2019"
DTE ENERGY COMPANY,Corporates,Fixed Income,"367,224.02",0.25,"367,224.02","346,000.00",233331BC0,US233331BC02,BJMJ836,105.98,United States,-,USD,6.49,2.51,1.0,"Jun 15, 2029",3.4,6.58,-,2.49,6.39,2.49,USD,"Jun 13, 2019","Jun 13, 2019"
ENSTAR GROUP LTD,Corporates,Fixed Income,"363,650.31",0.24,"363,650.31","324,000.00",29359UAB5,US29359UAB52,BK0Y636,111.84,Bermuda,-,USD,6.16,3.15,1.0,"Jun 01, 2029",4.95,6.25,-,3.1,6.07,3.1,USD,"May 28, 2019","May 28, 2019"
MID-AMERICA APARTMENTS LP,Corporates,Fixed Income,"361,744.18",0.24,"361,744.18","320,000.00",59523UAQ0,US59523UAQ04,BJJK605,111.88,United States,-,USD,6.14,2.16,1.0,"Mar 15, 2029",3.95,6.27,-,2.1,6.08,2.1,USD,"Mar 07, 2019","Mar 07, 2019"
NOV INC,Corporates,Fixed Income,"356,088.99",0.24,"356,088.99","339,000.00",637071AM3,US637071AM31,BJR2SN0,104.74,United States,-,USD,6.8,2.92,1.0,"Dec 01, 2029",3.6,6.87,-,2.91,6.68,2.91,USD,"Nov 14, 2019","Nov 14, 2019"
XCEL ENERGY INC,Corporates,Fixed Income,"354,645.39",0.24,"354,645.39","346,000.00",98389BAW0,US98389BAW00,-,102.28,United States,-,USD,6.93,2.28,1.0,"Dec 01, 2029",2.6,7.12,-,2.26,6.71,2.26,USD,"Nov 07, 2019","Nov 07, 2019"
