,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2027 Term Muni Bond ETF
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"209,138.83",0.29,"209,138.83","170,000.00",64990AGC3,US64990AGC36,-,121.55,United States,-,USD,5.45,2.12,1.0,"Mar 15, 2030",5.0,6.83,-,0.77,4.64,0.77,USD,"Jul 27, 2017","Jul 27, 2017"
PHOENIX ARIZ CIVIC IMPT CORP A,Government Related,Fixed Income,"204,474.25",0.29,"204,474.25","165,000.00",71883MMN1,US71883MMN10,-,121.42,United States,-,USD,5.39,1.92,1.0,"Jul 01, 2029",5.0,6.28,-,0.99,4.82,0.99,USD,"Dec 21, 2017","Dec 21, 2017"
TENNESSEE ST SCH BD AUTH,Corporates,Fixed Income,"204,091.71",0.29,"204,091.71","165,000.00",880558JL6,US880558JL64,-,122.86,United States,-,USD,6.2,2.38,1.0,"Nov 01, 2031",5.0,7.96,-,0.96,5.15,0.96,USD,"Sep 21, 2017","Sep 21, 2017"
NEWPORT-MESA CALIF UNI SCH DIS,Municipals,Fixed Income,"203,581.74",0.28,"203,581.74","215,000.00",652113UL3,US652113UL37,-,94.69,United States,-,USD,5.57,0.98,1.0,"Aug 01, 2027",0.0,5.53,-,0.98,5.53,0.98,USD,"Jan 04, 2007","Jan 04, 2007"
LOS ANGELES CNTY CALIF MET TRA,Government Related,Fixed Income,"201,288.86",0.28,"201,288.86","160,000.00",54466HFL5,US54466HFL50,-,123.31,United States,-,USD,5.36,1.68,1.0,"Jul 01, 2029",5.0,6.3,-,0.68,4.84,0.68,USD,"Oct 31, 2017","Oct 31, 2017"
MINNESOTA ST FOR PREVIOUS ISSU,Government Related,Fixed Income,"200,022.56",0.28,"200,022.56","160,000.00",60412ALD3,US60412ALD36,-,123.76,United States,-,USD,5.37,1.31,1.0,"Oct 01, 2028",5.0,5.83,-,0.77,5.08,0.77,USD,"Oct 11, 2017","Oct 11, 2017"
CLARK CNTY NEV ARPT REV,Government Related,Fixed Income,"199,933.52",0.28,"199,933.52","160,000.00",181006GT8,US181006GT86,-,122.46,United States,-,USD,4.83,0.82,1.0,"Jul 01, 2027",5.0,4.83,-,0.82,4.83,0.82,USD,"Jul 22, 2015","Jul 22, 2015"
OHIO ST WTR DEV AUTH POLLUTION,Government Related,Fixed Income,"199,847.87",0.28,"199,847.87","160,000.00",677660UW0,US677660UW04,-,124.49,United States,-,USD,5.24,0.76,1.0,"Dec 01, 2027",5.0,5.25,-,0.76,5.25,0.76,USD,"Mar 14, 2019","Mar 14, 2019"
KING & PIERCE CNTY WASH SCH DI,Municipals,Fixed Income,"198,853.88",0.28,"198,853.88","160,000.00",494619EM7,US494619EM73,-,123.87,United States,-,USD,6.28,2.3,1.0,"Dec 01, 2031",5.0,8.05,-,0.85,5.24,0.85,USD,"Aug 22, 2018","Aug 22, 2018"
DISTRICT COLUMBIA INCOME TAX R,Government Related,Fixed Income,"197,848.60",0.28,"197,848.60","160,000.00",25477GRG2,US25477GRG28,-,121.99,United States,-,USD,4.6,0.66,1.0,"Mar 01, 2027",5.0,4.6,-,0.66,4.6,0.66,USD,"Mar 11, 2020","Mar 11, 2020"
NORTH CAROLINA ST GRANT ANTIC,Government Related,Fixed Income,"197,485.35",0.28,"197,485.35","160,000.00",658268DY0,US658268DY09,-,121.76,United States,-,USD,4.6,0.7,1.0,"Mar 01, 2027",5.0,4.6,-,0.7,4.6,0.7,USD,"Jun 04, 2019","Jun 04, 2019"
METROPOLITAN GOVT NASHVILLE &,Government Related,Fixed Income,"197,190.49",0.28,"197,190.49","165,000.00",592112SK3,US592112SK31,-,117.51,United States,-,USD,4.93,0.74,1.0,"Jul 01, 2027",4.0,4.94,-,0.74,4.94,0.74,USD,"Feb 02, 2017","Feb 02, 2017"
NEW YORK ST DORM AUTH ST PERS,Government Related,Fixed Income,"196,159.37",0.27,"196,159.37","160,000.00",64990FWA8,US64990FWA82,-,120.71,United States,-,USD,5.39,2.2,1.0,"Feb 15, 2030",5.0,6.74,-,0.86,4.55,0.86,USD,"Jul 13, 2017","Jul 13, 2017"
NEW YORK N Y,Government Related,Fixed Income,"193,928.21",0.27,"193,928.21","155,000.00",64966MRT8,US64966MRT89,-,123.03,United States,-,USD,4.92,0.78,1.0,"Aug 01, 2027",5.0,4.91,-,0.78,4.91,0.78,USD,"Oct 03, 2017","Oct 03, 2017"
ILLINOIS ST,Government Related,Fixed Income,"193,906.87",0.27,"193,906.87","160,000.00",452153AF6,US452153AF68,-,119.53,United States,-,USD,4.59,1.1,1.0,"Mar 01, 2027",5.0,4.58,-,1.1,4.58,1.1,USD,"Mar 24, 2021","Mar 24, 2021"
ANNE ARUNDEL CNTY MD,Government Related,Fixed Income,"193,782.29",0.27,"193,782.29","155,000.00",03588HUH7,US03588HUH73,-,123.77,United States,-,USD,5.62,1.71,1.0,"Oct 01, 2029",5.0,6.55,-,0.77,5.08,0.77,USD,"Mar 29, 2018","Mar 29, 2018"
CLARK CNTY WASH SCH DIST NO 11,Municipals,Fixed Income,"193,501.20",0.27,"193,501.20","155,000.00",181234N92,US181234N923,-,124.42,United States,-,USD,5.24,0.77,1.0,"Dec 01, 2027",5.0,5.25,-,0.77,5.25,0.77,USD,"Oct 16, 2019","Oct 16, 2019"
TEXAS WATER DEV BRD,Government Related,Fixed Income,"192,214.14",0.27,"192,214.14","155,000.00",882854A51,US882854A513,-,122.95,United States,-,USD,6.06,2.36,1.0,"Oct 15, 2031",5.0,7.62,-,0.92,5.11,0.92,USD,"Oct 12, 2017","Oct 12, 2017"
SEATTLE WASH MUN LT & PWR REV,Municipals,Fixed Income,"190,825.02",0.27,"190,825.02","160,000.00",812643MX9,US812643MX99,-,118.02,United States,-,USD,4.12,1.43,1.0,"Apr 01, 2027",5.0,4.65,-,0.69,3.86,0.69,USD,"Jan 28, 2016","Jan 28, 2016"
ALDINE TEX INDPT SCH DIST,Municipals,Fixed Income,"189,917.90",0.27,"189,917.90","155,000.00",014393XG2,US014393XG27,-,120.64,United States,-,USD,5.61,2.46,1.0,"Feb 15, 2031",5.0,7.41,-,0.87,4.55,0.87,USD,"Jul 15, 2017","Jul 15, 2017"
NORTHSIDE TEX INDPT SCH DIST,Government Related,Fixed Income,"189,306.54",0.26,"189,306.54","150,000.00",66702RZZ8,US66702RZZ80,-,123.22,United States,-,USD,4.91,0.77,1.0,"Aug 15, 2027",5.0,4.91,-,0.77,4.91,0.77,USD,"May 26, 2021","May 01, 2021"
DALLAS TEX WTRWKS & SWR SYS RE,Government Related,Fixed Income,"189,108.14",0.26,"189,108.14","155,000.00",23542JAL9,US23542JAL98,-,120.76,United States,-,USD,4.56,1.25,1.0,"Oct 01, 2027",5.0,5.06,-,0.57,4.28,0.57,USD,"Jul 07, 2016","Jul 07, 2016"
SAN ANTONIO TEX,Government Related,Fixed Income,"188,656.05",0.26,"188,656.05","150,000.00",7962375X9,US7962375X91,-,123.69,United States,-,USD,5.21,1.24,1.0,"Aug 01, 2028",5.0,5.67,-,0.67,4.92,0.67,USD,"Aug 31, 2017","Aug 01, 2017"
LOS ANGELES CALIF DEPT WTR & P,Government Related,Fixed Income,"188,435.18",0.26,"188,435.18","150,000.00",5444953D4,US5444953D47,-,123.12,United States,-,USD,5.12,1.28,1.0,"Jul 01, 2028",5.0,5.58,-,0.71,4.84,0.71,USD,"Jul 13, 2017","Jul 13, 2017"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"188,411.35",0.26,"188,411.35","160,000.00",64990ADV4,US64990ADV44,-,116.28,United States,-,USD,3.76,1.72,1.0,"Mar 15, 2027",5.0,4.6,-,0.55,3.4,0.55,USD,"Oct 22, 2015","Oct 22, 2015"
OHIO ST UNIV GEN RCPTS,Government Related,Fixed Income,"188,215.14",0.26,"188,215.14","150,000.00",677632L58,US677632L584,-,124.23,United States,-,USD,5.21,0.8,1.0,"Dec 01, 2027",5.0,5.21,-,0.8,5.21,0.8,USD,"Sep 30, 2021","Sep 30, 2021"
NEVADA ST,Government Related,Fixed Income,"187,580.39",0.26,"187,580.39","150,000.00",641462GV2,US641462GV25,-,122.97,United States,-,USD,4.92,0.79,1.0,"Aug 01, 2027",5.0,4.91,-,0.79,4.91,0.79,USD,"Dec 10, 2019","Dec 10, 2019"
CALIFORNIA ST,Government Related,Fixed Income,"187,579.18",0.26,"187,579.18","150,000.00",13063DAS7,US13063DAS71,-,124.22,United States,-,USD,5.16,0.75,1.0,"Nov 01, 2027",5.0,5.16,-,0.75,5.16,0.75,USD,"Sep 12, 2017","Sep 12, 2017"
RHODE ISLAND ST & PROVIDENCE P,Municipals,Fixed Income,"187,547.90",0.26,"187,547.90","150,000.00",76222RVS8,US76222RVS83,-,122.95,United States,-,USD,5.21,1.35,1.0,"Aug 01, 2028",5.0,5.66,-,0.79,4.91,0.79,USD,"May 09, 2017","May 09, 2017"
MISSISSIPPI ST,Government Related,Fixed Income,"187,330.98",0.26,"187,330.98","150,000.00",605581JL2,US605581JL25,-,123.64,United States,-,USD,5.37,1.33,1.0,"Oct 01, 2028",5.0,5.83,-,0.79,5.08,0.79,USD,"Jun 28, 2017","Jun 28, 2017"
KING CNTY WA,Government Related,Fixed Income,"185,461.01",0.26,"185,461.01","160,000.00",49474FJZ4,US49474FJZ45,-,113.41,United States,-,USD,3.29,2.38,1.0,"Jul 01, 2027",5.0,4.76,-,0.49,2.77,0.49,USD,"Feb 18, 2015","Feb 18, 2015"
WASHINGTON MULTNOMAH & YAMHILL,Municipals,Fixed Income,"184,999.83",0.26,"184,999.83","150,000.00",939307HZ0,US939307HZ01,-,123.11,United States,-,USD,5.18,1.26,1.0,"Jun 15, 2028",5.0,5.65,-,0.68,4.89,0.68,USD,"Dec 21, 2017","Dec 21, 2017"
NEW MEXICO ST,Government Related,Fixed Income,"184,972.52",0.26,"184,972.52","150,000.00",647293SB6,US647293SB68,-,121.65,United States,-,USD,4.6,0.72,1.0,"Mar 01, 2027",5.0,4.6,-,0.72,4.6,0.72,USD,"Jul 30, 2019","Jul 30, 2019"
HOWARD CNTY MD,Municipals,Fixed Income,"184,858.26",0.26,"184,858.26","150,000.00",44256PGL1,US44256PGL13,-,121.35,United States,-,USD,4.85,1.35,1.0,"Feb 15, 2028",5.0,5.32,-,0.74,4.55,0.74,USD,"Apr 25, 2017","Apr 25, 2017"
WISCONSIN ST FOR ISSUES DTD PR,Government Related,Fixed Income,"184,308.04",0.26,"184,308.04","150,000.00",97705MKS3,US97705MKS34,-,122.04,United States,-,USD,5.71,2.24,1.0,"Nov 01, 2030",5.0,7.29,-,0.77,4.76,0.77,USD,"Dec 28, 2017","Dec 28, 2017"
OREGON ST DEPT TRANSN HWY USER,Government Related,Fixed Income,"184,244.19",0.26,"184,244.19","150,000.00",68607DSX4,US68607DSX48,-,122.19,United States,-,USD,4.95,1.09,1.0,"Nov 15, 2027",5.0,5.19,-,0.77,4.8,0.77,USD,"Jun 08, 2017","Jun 08, 2017"
NORTH CAROLINA ST LTD OBLIG,Government Related,Fixed Income,"184,209.59",0.26,"184,209.59","150,000.00",65829QCX0,US65829QCX07,-,121.97,United States,-,USD,5.06,1.37,1.0,"May 01, 2028",5.0,5.52,-,0.78,4.76,0.78,USD,"Aug 03, 2017","Aug 03, 2017"
CONNECTICUT ST REVOLVING FD GE,Government Related,Fixed Income,"184,162.85",0.26,"184,162.85","150,000.00",20775YDH6,US20775YDH62,-,121.94,United States,-,USD,5.31,1.79,1.0,"May 01, 2029",5.0,6.25,-,0.79,4.76,0.79,USD,"Jun 15, 2017","Jun 15, 2017"
HUDSON YDS INFRASTRUCTURE CORP,Municipals,Fixed Income,"183,982.99",0.26,"183,982.99","150,000.00",44420RAQ3,US44420RAQ39,-,120.77,United States,-,USD,5.11,1.87,1.0,"Feb 15, 2029",5.0,6.04,-,0.85,4.55,0.85,USD,"May 30, 2017","May 30, 2017"
DISTRICT COLUMBIA,Government Related,Fixed Income,"182,284.12",0.26,"182,284.12","150,000.00",25476FTM0,US25476FTM04,-,121.11,United States,-,USD,4.58,0.99,1.0,"Jun 01, 2027",5.0,4.84,-,0.63,4.44,0.63,USD,"Dec 20, 2016","Dec 20, 2016"
MILWAUKEE WIS MET SEW DIST,Municipals,Fixed Income,"182,149.80",0.25,"182,149.80","150,000.00",602409KJ2,US602409KJ23,-,120.18,United States,-,USD,4.57,1.34,1.0,"Oct 01, 2027",5.0,5.05,-,0.68,4.28,0.68,USD,"Jun 12, 2017","Jun 12, 2017"
CLARK CNTY NEV,Government Related,Fixed Income,"180,766.42",0.25,"180,766.42","145,000.00",180848ZW6,US180848ZW66,-,123.83,United States,-,USD,5.16,0.81,1.0,"Nov 01, 2027",5.0,5.16,-,0.81,5.16,0.81,USD,"Mar 26, 2019","Mar 26, 2019"
TRIBOROUGH BRDG & TUNL AUTH NY,Corporates,Fixed Income,"180,565.70",0.25,"180,565.70","145,000.00",89602RCH6,US89602RCH66,-,123.89,United States,-,USD,5.2,0.82,1.0,"Nov 15, 2027",5.0,5.2,-,0.82,5.2,0.82,USD,"Nov 17, 2017","Nov 17, 2017"
MAINE MUN BD BK,Government Related,Fixed Income,"180,301.20",0.25,"180,301.20","145,000.00",56045RYT0,US56045RYT03,-,123.51,United States,-,USD,5.16,0.86,1.0,"Nov 01, 2027",5.0,5.16,-,0.86,5.16,0.86,USD,"Nov 02, 2017","Nov 02, 2017"
MEMPHIS TENN ELEC SYS REV,Government Related,Fixed Income,"179,840.03",0.25,"179,840.03","145,000.00",586158PX9,US586158PX93,-,123.61,United States,-,USD,5.54,1.41,1.0,"Dec 01, 2028",5.0,5.99,-,0.89,5.24,0.89,USD,"Sep 28, 2017","Sep 28, 2017"
LOS ANGELES CALIF DEPT WTR & P,Government Related,Fixed Income,"179,270.33",0.25,"179,270.33","145,000.00",544525VY1,US544525VY16,-,121.13,United States,-,USD,5.37,2.25,1.0,"Jul 01, 2030",5.0,6.97,-,0.69,4.44,0.69,USD,"May 11, 2017","May 11, 2017"
DENVER COLO CITY & CNTY SCH DI,Government Related,Fixed Income,"179,035.21",0.25,"179,035.21","150,000.00",249174YB3,US249174YB36,-,118.66,United States,-,USD,5.33,0.77,1.0,"Dec 01, 2027",4.0,5.34,-,0.77,5.34,0.77,USD,"Oct 28, 2021","Oct 28, 2021"
NEW YORK ST TWY AUTH GEN REV,Government Related,Fixed Income,"178,399.69",0.25,"178,399.69","145,000.00",650009P49,US650009P496,-,120.53,United States,-,USD,4.44,0.8,1.0,"Jan 01, 2027",5.0,4.43,-,0.8,4.43,0.8,USD,"Mar 08, 2018","Mar 08, 2018"
OREGON ST DEPT TRANSN HWY USER,Government Related,Fixed Income,"177,627.51",0.25,"177,627.51","145,000.00",68607DTE5,US68607DTE57,-,121.86,United States,-,USD,5.5,1.99,1.0,"Nov 15, 2029",5.0,6.64,-,0.83,4.8,0.83,USD,"Jun 08, 2017","Jun 08, 2017"
CHICAGO ILL MET WTR RECLAMATIO,Government Related,Fixed Income,"176,051.66",0.25,"176,051.66","145,000.00",167560SW2,US167560SW27,-,121.0,United States,-,USD,4.74,1.3,1.0,"Dec 01, 2027",5.0,5.22,-,0.65,4.44,0.65,USD,"Jul 07, 2016","Jul 07, 2016"
PRINCE GEORGES CNTY MD,Government Related,Fixed Income,"175,951.77",0.25,"175,951.77","140,000.00",7417015K8,US7417015K89,-,123.37,United States,-,USD,4.87,0.69,1.0,"Jul 15, 2027",5.0,4.87,-,0.69,4.87,0.69,USD,"May 22, 2019","May 22, 2019"
ANNE ARUNDEL CNTY MD,Government Related,Fixed Income,"175,278.03",0.25,"175,278.03","140,000.00",03588HZK5,US03588HZK57,-,123.95,United States,-,USD,5.08,0.74,1.0,"Oct 01, 2027",5.0,5.08,-,0.74,5.08,0.74,USD,"May 06, 2020","May 06, 2020"
NEW YORK N Y,Government Related,Fixed Income,"175,160.96",0.25,"175,160.96","140,000.00",64966MPE3,US64966MPE39,-,123.03,United States,-,USD,4.92,0.78,1.0,"Aug 01, 2027",5.0,4.91,-,0.78,4.91,0.78,USD,"Aug 10, 2017","Aug 10, 2017"
CLARK CNTY NEV SCH DIST FOR IS,Government Related,Fixed Income,"175,010.01",0.24,"175,010.01","150,000.00",181059TD8,US181059TD85,-,116.45,United States,-,USD,4.04,1.82,1.0,"Jun 15, 2027",5.0,4.84,-,0.77,3.64,0.77,USD,"Nov 23, 2015","Nov 23, 2015"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"173,294.27",0.24,"173,294.27","150,000.00",64971WPE4,US64971WPE48,-,114.7,United States,-,USD,3.66,2.29,1.0,"Nov 01, 2027",5.0,5.09,-,0.54,3.1,0.54,USD,"Mar 12, 2015","Mar 12, 2015"
FLORIDA ST BRD ED LOTTERY REV,Government Related,Fixed Income,"173,193.06",0.24,"173,193.06","138,000.00",341507S28,US341507S282,-,123.0,United States,-,USD,4.83,0.73,1.0,"Jul 01, 2027",5.0,4.84,-,0.73,4.84,0.73,USD,"Dec 07, 2017","Dec 07, 2017"
TEXAS A & M UNIV REV,Government Related,Fixed Income,"172,233.68",0.24,"172,233.68","150,000.00",88213AFC4,US88213AFC45,-,114.31,United States,-,USD,4.37,1.24,1.0,"May 15, 2027",4.0,4.87,-,0.67,4.05,0.67,USD,"Jul 20, 2016","Jul 20, 2016"
HONOLULU HAWAII CITY & CNTY WA,Municipals,Fixed Income,"170,515.64",0.24,"170,515.64","145,000.00",438701YH1,US438701YH15,-,115.1,United States,-,USD,3.67,2.08,1.0,"Jul 01, 2027",5.0,4.78,-,0.63,3.2,0.63,USD,"Aug 12, 2015","Aug 12, 2015"
GRAND RIVER DAM AUTH OKLA REV,Government Related,Fixed Income,"169,882.35",0.24,"169,882.35","140,000.00",386442WM5,US386442WM56,-,120.93,United States,-,USD,4.58,1.02,1.0,"Jun 01, 2027",5.0,4.84,-,0.67,4.44,0.67,USD,"Nov 15, 2016","Nov 15, 2016"
MASSACHUSETTS ST WTR RES AUTH,Government Related,Fixed Income,"168,896.70",0.24,"168,896.70","135,000.00",576051RC2,US576051RC20,-,123.03,United States,-,USD,5.45,1.74,1.0,"Aug 01, 2029",5.0,6.38,-,0.78,4.91,0.78,USD,"May 18, 2017","May 18, 2017"
ARIZONA BRD REGENTS ARIZ ST UN,Municipals,Fixed Income,"168,257.98",0.24,"168,257.98","135,000.00",04048RSU1,US04048RSU13,-,122.14,United States,-,USD,5.65,2.14,1.0,"Jul 01, 2030",5.0,6.98,-,0.87,4.83,0.87,USD,"Dec 20, 2017","Dec 20, 2017"
WASHINGTON ST,Government Related,Fixed Income,"167,964.97",0.23,"167,964.97","135,000.00",93974DP28,US93974DP287,-,122.34,United States,-,USD,5.95,2.38,1.0,"Aug 01, 2031",5.0,7.71,-,0.89,4.91,0.89,USD,"Oct 11, 2017","Oct 11, 2017"
CALIFORNIA ST,Government Related,Fixed Income,"167,780.16",0.23,"167,780.16","135,000.00",13063DBW7,US13063DBW74,-,123.45,United States,-,USD,5.99,2.08,1.0,"Nov 01, 2030",5.0,7.31,-,0.87,5.16,0.87,USD,"Sep 12, 2017","Sep 12, 2017"
CENTRAL UTAH WTR CONSERVANCY D,Municipals,Fixed Income,"167,658.97",0.23,"167,658.97","135,000.00",15567RBG7,US15567RBG74,-,122.94,United States,-,USD,5.91,2.11,1.0,"Oct 01, 2030",5.0,7.22,-,0.9,5.07,0.9,USD,"Dec 28, 2017","Dec 28, 2017"
NEW YORK ST URBAN DEV CORP REV,Government Related,Fixed Income,"167,435.26",0.23,"167,435.26","140,000.00",650035T99,US650035T998,-,118.12,United States,-,USD,4.07,1.38,1.0,"Mar 15, 2027",5.0,4.61,-,0.63,3.82,0.63,USD,"Mar 17, 2016","Mar 17, 2016"
METROPOLITAN ST LOUIS MO SWR D,Government Related,Fixed Income,"166,420.89",0.23,"166,420.89","135,000.00",592481JV8,US592481JV81,-,122.44,United States,-,USD,5.06,1.3,1.0,"May 01, 2028",5.0,5.53,-,0.71,4.77,0.71,USD,"Dec 14, 2017","Dec 14, 2017"
WEST VIRGINIA ST,Government Related,Fixed Income,"166,239.27",0.23,"166,239.27","135,000.00",956553E72,US956553E720,-,122.72,United States,-,USD,4.85,0.72,1.0,"Jun 01, 2027",5.0,4.85,-,0.72,4.85,0.72,USD,"Dec 17, 2019","Dec 17, 2019"
HAWAII ST,Government Related,Fixed Income,"165,946.43",0.23,"165,946.43","135,000.00",419792RH1,US419792RH14,-,122.09,United States,-,USD,5.06,1.35,1.0,"May 01, 2028",5.0,5.53,-,0.76,4.76,0.76,USD,"May 24, 2017","May 24, 2017"
MASSACHUSETTS ST,Government Related,Fixed Income,"162,945.04",0.23,"162,945.04","130,000.00",57582RZA7,US57582RZA75,-,123.68,United States,-,USD,5.0,0.73,1.0,"Sep 01, 2027",5.0,5.0,-,0.73,5.0,0.73,USD,"Sep 12, 2019","Sep 12, 2019"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"162,790.39",0.23,"162,790.39","130,000.00",64972HF56,US64972HF569,-,122.92,United States,-,USD,4.87,0.77,1.0,"Jul 15, 2027",5.0,4.87,-,0.77,4.87,0.77,USD,"Mar 22, 2018","Mar 22, 2018"
NORTHWEST TEX INDPT SCH DIST,Government Related,Fixed Income,"162,788.03",0.23,"162,788.03","130,000.00",6678253Q4,US6678253Q41,-,123.33,United States,-,USD,5.1,1.05,1.0,"Feb 15, 2028",5.0,5.33,-,0.75,4.95,0.75,USD,"Dec 21, 2017","Dec 01, 2017"
UNIVERSITY MINN,Government Related,Fixed Income,"161,994.27",0.23,"161,994.27","130,000.00",914460QZ6,US914460QZ63,-,124.19,United States,-,USD,5.79,1.72,1.0,"Dec 01, 2029",5.0,6.71,-,0.8,5.24,0.8,USD,"Sep 28, 2017","Sep 28, 2017"
MECKLENBURG CNTY N C,Government Related,Fixed Income,"161,121.81",0.23,"161,121.81","130,000.00",584002WB1,US584002WB10,-,122.27,United States,-,USD,4.6,0.61,1.0,"Mar 01, 2027",5.0,4.6,-,0.61,4.6,0.61,USD,"Sep 27, 2018","Sep 27, 2018"
EAST BAY CALIF MUN UTIL DIST W,Government Related,Fixed Income,"160,781.67",0.22,"160,781.67","130,000.00",271012FX9,US271012FX90,-,123.26,United States,-,USD,5.14,1.22,1.0,"Jun 01, 2028",5.0,5.62,-,0.63,4.85,0.63,USD,"Jun 14, 2017","Jun 14, 2017"
PORT SEATTLE WASH REV,Government Related,Fixed Income,"160,766.16",0.22,"160,766.16","135,000.00",735389YF9,US735389YF98,-,117.0,United States,-,USD,3.95,1.51,1.0,"Feb 01, 2027",5.0,4.49,-,0.76,3.69,0.76,USD,"Aug 02, 2016","Aug 02, 2016"
CYPRESS-FAIRBANKS TEX INDPT SC,Government Related,Fixed Income,"160,178.35",0.22,"160,178.35","130,000.00",232769GW3,US232769GW30,-,121.33,United States,-,USD,4.56,0.75,1.0,"Feb 15, 2027",5.0,4.55,-,0.75,4.55,0.75,USD,"Nov 19, 2020","Oct 01, 2020"
GEORGIA ST RD & TWY AUTH REV,Government Related,Fixed Income,"159,540.73",0.22,"159,540.73","130,000.00",37358MEJ6,US37358MEJ62,-,122.31,United States,-,USD,4.85,0.79,1.0,"Jun 01, 2027",5.0,4.85,-,0.79,4.85,0.79,USD,"Dec 22, 2020","Dec 22, 2020"
NEW JERSEY ECONOMIC DEV AUTH R,Government Related,Fixed Income,"158,240.11",0.22,"158,240.11","135,000.00",64577BC93,US64577BC939,-,116.55,United States,-,USD,5.26,1.07,1.0,"Nov 01, 2027",4.0,5.25,-,1.07,5.25,1.07,USD,"Jan 23, 2017","Jan 23, 2017"
WASHINGTON ST FOR ISSUES DTD P,Government Related,Fixed Income,"158,222.71",0.22,"158,222.71","130,000.00",93974DWZ7,US93974DWZ76,-,119.63,United States,-,USD,4.39,1.34,1.0,"Aug 01, 2027",5.0,4.89,-,0.65,4.11,0.65,USD,"Jul 14, 2016","Jul 14, 2016"
ALABAMA ST,Government Related,Fixed Income,"158,019.84",0.22,"158,019.84","130,000.00",010411BR6,US010411BR67,-,119.47,United States,-,USD,4.39,1.37,1.0,"Aug 01, 2027",5.0,4.89,-,0.68,4.11,0.68,USD,"Oct 06, 2016","Oct 06, 2016"
AUSTIN TEX INDPT SCH DIST,Government Related,Fixed Income,"156,393.72",0.22,"156,393.72","125,000.00",052430QB4,US052430QB42,-,123.03,United States,-,USD,4.92,0.78,1.0,"Aug 01, 2027",5.0,4.91,-,0.78,4.91,0.78,USD,"Apr 10, 2019","Apr 10, 2019"
SPOKANE CNTY WASH SCH DIST NO,Municipals,Fixed Income,"156,011.82",0.22,"156,011.82","125,000.00",848797QD1,US848797QD14,-,124.39,United States,-,USD,5.54,1.3,1.0,"Dec 01, 2028",5.0,5.99,-,0.77,5.25,0.77,USD,"May 08, 2018","May 08, 2018"
METROPOLITAN GOVT NASHVILLE &,Government Related,Fixed Income,"155,944.71",0.22,"155,944.71","125,000.00",592098S32,US592098S320,-,122.26,United States,-,USD,5.65,2.12,1.0,"Jul 01, 2030",5.0,6.98,-,0.85,4.83,0.85,USD,"Nov 02, 2017","Nov 02, 2017"
METROPOLITAN WASH D C ARPTS AU,Government Related,Fixed Income,"155,943.43",0.22,"155,943.43","125,000.00",592647GX3,US592647GX34,-,123.5,United States,-,USD,5.08,0.81,1.0,"Oct 01, 2027",5.0,5.08,-,0.81,5.08,0.81,USD,"Jul 03, 2019","Jul 03, 2019"
CALIFORNIA ST DEPT WTR RES CEN,Government Related,Fixed Income,"155,722.68",0.22,"155,722.68","125,000.00",13067WNW8,US13067WNW81,-,124.16,United States,-,USD,6.28,2.27,1.0,"Dec 01, 2031",5.0,8.06,-,0.81,5.24,0.81,USD,"Dec 19, 2017","Dec 19, 2017"
CALIFORNIA ST PUB WKS BRD LEAS,Corporates,Fixed Income,"155,664.92",0.22,"155,664.92","125,000.00",13068LN50,US13068LN507,-,122.87,United States,-,USD,5.55,1.79,1.0,"Sep 01, 2029",5.0,6.46,-,0.86,4.99,0.86,USD,"Oct 12, 2017","Oct 12, 2017"
ATLANTA GA WTR & WASTE WTR REV,Government Related,Fixed Income,"155,493.38",0.22,"155,493.38","125,000.00",047870NT3,US047870NT34,-,123.56,United States,-,USD,6.2,2.31,1.0,"Nov 01, 2031",5.0,7.97,-,0.85,5.16,0.85,USD,"May 04, 2017","May 04, 2017"
HAWAII ST,Government Related,Fixed Income,"155,239.79",0.22,"155,239.79","125,000.00",419792SK3,US419792SK34,-,122.94,United States,-,USD,5.91,2.11,1.0,"Oct 01, 2030",5.0,7.22,-,0.9,5.07,0.9,USD,"May 24, 2017","May 24, 2017"
DALLAS FORT WORTH TEX INTL ARP,Government Related,Fixed Income,"155,112.10",0.22,"155,112.10","125,000.00",2350365C0,US2350365C00,-,123.26,United States,-,USD,5.16,0.9,1.0,"Nov 01, 2027",5.0,5.16,-,0.9,5.16,0.9,USD,"Aug 04, 2020","Aug 01, 2020"
CALIFORNIA ST,Government Related,Fixed Income,"154,406.86",0.22,"154,406.86","125,000.00",13063DLC0,US13063DLC01,-,122.28,United States,-,USD,4.68,0.67,1.0,"Apr 01, 2027",5.0,4.68,-,0.67,4.68,0.67,USD,"Mar 14, 2019","Mar 14, 2019"
FLORIDA ST BRD ED PUB ED,Government Related,Fixed Income,"154,298.43",0.22,"154,298.43","125,000.00",34153QPJ9,US34153QPJ93,-,123.02,United States,-,USD,4.85,0.67,1.0,"Jun 01, 2027",5.0,4.85,-,0.67,4.85,0.67,USD,"Aug 30, 2018","Aug 30, 2018"
