,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
INTESA SANPAOLO SPA MTN RegS,Banking,Fixed Income,"221,433.62",0.33,"221,433.62","175,000.00",-,XS1109765005,BQSC0N2,125.22,Italy,-,USD,4.37,1.67,0.88,"Sep 15, 2026",3.93,4.29,-,1.67,4.29,1.67,EUR,"Sep 15, 2014","Sep 15, 2014"
VZ VENDOR FINANCING II BV RegS,Communications,Fixed Income,"221,100.81",0.32,"221,100.81","200,000.00",-,XS2272845798,BMGPSR5,109.87,Netherlands,-,USD,5.99,3.46,0.88,"Jan 15, 2029",2.88,6.26,-,3.46,6.26,3.46,EUR,"Dec 18, 2020","Dec 18, 2020"
TEVA PHARMACEUTICAL FINANCE NETHER RegS,Consumer Non-Cyclical,Fixed Income,"220,260.67",0.32,"220,260.67","200,000.00",-,XS1439749281,BDH4HK4,109.86,Israel,-,USD,2.76,2.40,0.88,"Oct 15, 2024",1.13,2.69,-,2.40,2.69,2.40,EUR,"Jul 25, 2016","Jul 25, 2016"
REPSOL INTERNATIONAL FINANCE BV RegS,Energy,Fixed Income,"220,147.04",0.32,"220,147.04","175,000.00",-,XS1207058733,BWFL4S7,121.86,Spain,-,USD,3.0,4.38,0.88,"Mar 25, 2075",4.5,2.53,-,2.17,2.96,2.17,EUR,"Mar 25, 2015","Mar 25, 2015"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"219,861.50",0.32,"219,861.50","200,000.00",-,XS2385393587,-,109.26,Spain,-,USD,9.62,2.42,0.88,"Sep 15, 2032",2.0,9.44,-,2.42,9.44,2.42,EUR,"Sep 15, 2021","Sep 15, 2021"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"219,411.43",0.32,"219,411.43","200,000.00",-,XS2300292963,-,108.46,Spain,-,USD,6.69,1.96,0.88,"Jan 15, 2029",1.25,6.57,-,1.96,6.57,1.96,EUR,"Feb 15, 2021","Feb 15, 2021"
UNIPOL GRUPPO FINANZIARIO SPA MTN RegS,Insurance,Fixed Income,"218,975.92",0.32,"218,975.92","175,000.00",-,XS1206977495,BWDP157,122.44,Italy,-,USD,3.06,0.58,0.88,"Mar 18, 2025",3.0,3.03,-,0.58,3.03,0.58,EUR,"Mar 18, 2015","Mar 18, 2015"
ALTICE FINANCING SA RegS,Communications,Fixed Income,"217,938.69",0.32,"217,938.69","200,000.00",-,XS2102493389,BL2FJB3,107.41,Luxembourg,-,USD,5.43,4.04,0.88,"Jan 15, 2028",3.0,5.37,-,4.04,5.37,4.04,EUR,"Jan 22, 2020","Jan 22, 2020"
ARQIVA BROADCAST FINANCE PLC RegS,Communications,Fixed Income,"208,846.64",0.31,"208,846.64","150,000.00",-,XS1879638697,BDZ4K85,136.94,United Kingdom,-,USD,0.85,6.07,0.74,"Sep 30, 2023",6.75,1.61,-,5.21,0.72,5.21,GBP,"Oct 01, 2018","Oct 01, 2018"
INTRUM AB MTN RegS,Financial Other,Fixed Income,"204,392.56",0.3,"204,392.56","175,000.00",-,XS2034925375,BKLVKT0,114.97,Sweden,-,USD,2.93,3.26,0.88,"Jul 15, 2026",3.5,4.11,-,3.07,2.38,3.07,EUR,"Jul 31, 2019","Jul 31, 2019"
ADIENT GLOBAL HOLDINGS LTD RegS,Consumer Cyclical,Fixed Income,"203,674.85",0.3,"203,674.85","175,000.00",-,XS1468662801,BDCSFH4,114.89,United States,-,USD,2.37,3.09,0.88,"Aug 15, 2024",3.5,2.46,-,3.05,2.24,3.05,EUR,"Aug 19, 2016","Aug 19, 2016"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"198,187.02",0.29,"198,187.02","175,000.00",-,XS2361253862,-,112.08,Japan,-,USD,2.44,2.72,0.88,"Jul 06, 2024",2.13,2.41,-,2.72,2.41,2.72,EUR,"Jul 06, 2021","Jul 06, 2021"
INTESA SANPAOLO SPA MTN RegS,Banking,Fixed Income,"195,356.25",0.29,"195,356.25","150,000.00",-,XS1958656552,BJ7M9Y8,124.71,Italy,-,USD,2.03,4.21,0.88,"Mar 04, 2029",5.88,1.9,-,1.32,2.01,1.32,EUR,"Mar 04, 2019","Mar 04, 2019"
ADLER GROUP SA RegS,Financial Other,Fixed Income,"193,317.24",0.28,"193,317.24","200,000.00",-,XS2283225477,-,94.2,Germany,-,USD,6.38,5.23,0.88,"Jan 14, 2029",2.25,6.05,-,5.23,6.05,5.23,EUR,"Jan 14, 2021","Jan 14, 2021"
INTESA SANPAOLO SPA MTN RegS,Banking,Fixed Income,"186,608.25",0.27,"186,608.25","150,000.00",-,XS2026295126,BK747L4,122.06,Italy,-,USD,2.42,3.51,0.88,"Jul 12, 2029",4.38,2.3,-,1.43,2.39,1.43,EUR,"Jul 12, 2019","Jul 12, 2019"
ALTICE FRANCE SA (FRANCE) RegS,Communications,Fixed Income,"182,057.44",0.27,"182,057.44","150,000.00",-,XS1859337419,BFD1Y46,118.61,France,-,USD,0.68,4.99,0.88,"Feb 01, 2027",5.88,4.28,-,3.57,0.56,3.57,EUR,"Jul 31, 2018","Jul 31, 2018"
CHEPLAPHARM ARZNEIMITTEL GMBH RegS,Consumer Non-Cyclical,Fixed Income,"181,058.54",0.27,"181,058.54","150,000.00",-,XS2243548273,-,118.43,Germany,-,USD,3.35,3.63,0.88,"Jan 15, 2028",4.38,5.2,-,3.29,3.63,3.29,EUR,"Oct 15, 2020","Oct 15, 2020"
NOKIA OYJ MTN RegS,Technology,Fixed Income,"180,896.85",0.27,"180,896.85","150,000.00",-,XS1960685383,BJQTTF1,118.76,Finland,-,USD,3.84,0.92,0.88,"Mar 11, 2026",2.0,3.97,-,0.85,3.75,0.85,EUR,"Mar 11, 2019","Mar 11, 2019"
JAGUAR LAND ROVER AUTOMOTIVE PLC RegS,Consumer Cyclical,Fixed Income,"180,640.57",0.27,"180,640.57","150,000.00",-,XS1881005976,BFWND13,118.08,United Kingdom,-,USD,3.53,3.47,0.88,"Jan 15, 2026",4.5,3.61,-,3.41,3.41,3.41,EUR,"Sep 14, 2018","Sep 14, 2018"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"180,384.14",0.26,"180,384.14","150,000.00",-,XS1169832810,BVC3V77,116.72,Italy,-,USD,1.02,0.70,0.88,"Jan 16, 2023",3.25,1.01,-,0.70,1.01,0.70,EUR,"Jan 16, 2015","Jan 16, 2015"
ILIAD HOLDING SAS RegS,Communications,Fixed Income,"179,409.01",0.26,"179,409.01","150,000.00",-,XS2397781357,-,118.59,France,-,USD,3.02,4.17,0.88,"Oct 15, 2026",5.13,4.2,-,3.94,3.41,3.94,EUR,"Oct 27, 2021","Oct 27, 2021"
SUMMER BC HOLDCO B SARL RegS,Communications,Fixed Income,"178,950.20",0.26,"178,950.20","150,000.00",-,XS2067263850,BKWBFF0,118.21,Luxembourg,-,USD,1.79,4.82,0.88,"Oct 31, 2026",5.75,4.16,-,4.25,1.72,4.25,EUR,"Oct 30, 2019","Oct 30, 2019"
INFRASTRUTTURE WIRELESS ITALIANE S MTN RegS,Communications,Fixed Income,"177,783.12",0.26,"177,783.12","150,000.00",-,XS2200215213,-,117.49,Italy,-,USD,4.12,1.07,0.88,"Jul 08, 2026",1.88,4.08,-,1.07,4.08,1.07,EUR,"Jul 08, 2020","Jul 08, 2020"
BELDEN INC RegS,Industrial Other,Fixed Income,"177,094.81",0.26,"177,094.81","150,000.00",-,XS1789515134,BYZPTQ6,116.78,United States,-,USD,2.77,3.39,0.88,"Mar 15, 2028",3.88,5.44,-,3.16,1.14,3.16,EUR,"Mar 14, 2018","Mar 14, 2018"
GRUENENTHAL GMBH 7Y RegS,Consumer Non-Cyclical,Fixed Income,"176,505.02",0.26,"176,505.02","150,000.00",-,XS2337703537,BMDTTS8,117.08,Germany,-,USD,4.26,3.63,0.88,"May 15, 2028",4.13,5.56,-,3.42,3.97,3.42,EUR,"May 05, 2021","May 05, 2021"
THYSSENKRUPP AG MTN RegS,Capital Goods,Fixed Income,"175,456.96",0.26,"175,456.96","150,000.00",-,DE000A2YN6V1,BKBS2R3,115.22,Germany,-,USD,1.09,0.75,0.88,"Mar 06, 2023",1.88,1.15,-,0.66,1.09,0.66,EUR,"Sep 06, 2019","Sep 06, 2019"
INTERNATIONAL GAME TECHNOLOGY PLC RegS,Consumer Cyclical,Fixed Income,"173,982.89",0.26,"173,982.89","150,000.00",-,XS2009038113,BKC9MY2,115.82,United States,-,USD,1.98,3.05,0.88,"Jun 15, 2026",3.5,4.1,-,2.72,2.34,2.72,EUR,"Jun 20, 2019","Jun 20, 2019"
IQVIA INC RegS,Consumer Non-Cyclical,Fixed Income,"172,814.17",0.25,"172,814.17","150,000.00",-,XS2036798150,BK5HL68,114.04,United States,-,USD,3.58,2.20,0.88,"Jan 15, 2028",2.25,5.56,-,2.14,2.43,2.14,EUR,"Aug 13, 2019","Aug 13, 2019"
VERISURE HOLDING AB RegS,Consumer Cyclical,Fixed Income,"172,054.90",0.25,"172,054.90","150,000.00",-,XS2289588837,-,113.32,Sweden,-,USD,1.11,5.06,0.88,"Feb 15, 2027",3.25,1.07,-,5.06,1.07,5.06,EUR,"Jan 25, 2021","Jan 25, 2021"
CATALENT PHARMA SOLUTIONS INC RegS,Consumer Non-Cyclical,Fixed Income,"171,711.06",0.25,"171,711.06","150,000.00",-,XS2125168729,-,113.58,United States,-,USD,4.51,2.45,0.88,"Mar 01, 2028",2.38,5.66,-,2.45,5.66,2.45,EUR,"Mar 02, 2020","Mar 02, 2020"
GRIFOLS SA RegS,Consumer Non-Cyclical,Fixed Income,"170,431.14",0.25,"170,431.14","150,000.00",-,XS2076836555,BKP31D3,112.93,Spain,-,USD,0.13,14.56,0.88,"Feb 15, 2025",1.63,0.12,-,14.56,0.12,14.56,EUR,"Nov 15, 2019","Nov 15, 2019"
TECHEM VERWALTUNGSGESELLSCHAFT 675 RegS,Industrial Other,Fixed Income,"170,157.47",0.25,"170,157.47","150,000.00",-,XS2090816526,BKVFFP3,112.4,Germany,-,USD,3.16,2.36,0.88,"Jul 15, 2025",2.0,3.37,-,2.36,3.37,2.36,EUR,"Jan 29, 2020","Jan 29, 2020"
ZIGGO BOND COMPANY BV RegS,Communications,Fixed Income,"168,735.25",0.25,"168,735.25","150,000.00",-,XS2116386132,-,110.73,Netherlands,-,USD,6.68,3.78,0.88,"Feb 28, 2030",3.38,6.94,-,3.78,6.94,3.78,EUR,"Feb 11, 2020","Feb 11, 2020"
NEXI SPA RegS,Technology,Fixed Income,"167,671.93",0.25,"167,671.93","150,000.00",-,XS2332590475,-,111.37,Italy,-,USD,6.59,2.46,0.88,"Apr 30, 2029",2.13,6.5,-,2.46,6.5,2.46,EUR,"Apr 29, 2021","Apr 29, 2021"
ALTICE FRANCE SA (FRANCE) RegS,Communications,Fixed Income,"167,059.77",0.25,"167,059.77","150,000.00",-,XS2110799751,-,110.47,France,-,USD,3.03,3.15,0.88,"Feb 15, 2025",2.13,2.97,-,3.15,2.97,3.15,EUR,"Feb 06, 2020","Feb 06, 2020"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"152,946.49",0.22,"152,946.49","125,000.00",-,XS1935256369,BJ2NYN0,119.07,Italy,-,USD,1.94,1.87,0.88,"Apr 11, 2024",4.0,2.13,-,1.61,1.92,1.61,EUR,"Jan 11, 2019","Jan 11, 2019"
DEUTSCHE BANK AG (FRANKFURT AM MAI MTN RegS,Banking,Fixed Income,"152,749.10",0.22,"152,749.10","125,000.00",-,DE000DB7XJJ2,BVG1K14,119.48,Germany,-,USD,2.99,1.09,0.88,"Feb 17, 2025",2.75,2.95,-,1.09,2.95,1.09,EUR,"Feb 17, 2015","Feb 17, 2015"
ROLLS-ROYCE PLC RegS,Capital Goods,Fixed Income,"151,855.85",0.22,"151,855.85","100,000.00",-,XS2244321787,BMTLNX1,150.23,United Kingdom,-,USD,4.84,3.64,0.74,"Oct 15, 2027",5.75,4.91,-,3.56,4.73,3.56,GBP,"Oct 21, 2020","Oct 21, 2020"
H.J. HEINZ CO RegS,Consumer Non-Cyclical,Fixed Income,"151,366.18",0.22,"151,366.18","100,000.00",-,XS1253559865,BYVDTW0,148.56,United States,-,USD,4.8,2.24,0.74,"Jul 01, 2027",4.13,4.86,-,2.15,4.67,2.15,GBP,"Jul 01, 2015","Jul 01, 2015"
MARKS & SPENCER GROUP PLC MTN RegS,Consumer Cyclical,Fixed Income,"150,811.16",0.22,"150,811.16","100,000.00",-,XS0863523030,B92X2L4,146.31,United Kingdom,-,USD,3.12,3.48,0.74,"Jun 12, 2025",6.0,3.03,-,3.48,3.03,3.48,GBP,"Dec 12, 2012","Dec 12, 2012"
TEVA PHARMACEUTICAL FINANCE NETHER RegS,Consumer Non-Cyclical,Fixed Income,"149,455.28",0.22,"149,455.28","150,000.00",-,XS1439749364,BD1WX51,99.25,Israel,-,USD,6.45,3.79,0.88,"Oct 15, 2028",1.63,6.2,-,3.79,6.2,3.79,EUR,"Jul 25, 2016","Jul 25, 2016"
CROWN EUROPEAN HOLDINGS SA RegS,Capital Goods,Fixed Income,"148,162.35",0.22,"148,162.35","125,000.00",-,XS1490137418,BD300H4,117.78,United States,-,USD,2.22,1.30,0.88,"Sep 30, 2024",2.63,2.64,-,1.02,2.17,1.02,EUR,"Sep 15, 2016","Sep 15, 2016"
PANTHER BF AGGREGATOR 2 LP RegS,Consumer Cyclical,Fixed Income,"146,435.33",0.22,"146,435.33","125,000.00",-,XS1964638107,BJ0M309,116.53,United States,-,USD,1.4,3.75,0.88,"May 15, 2026",4.38,3.94,-,3.27,2.24,3.27,EUR,"Apr 01, 2019","Apr 01, 2019"
FAURECIA SE RegS,Consumer Cyclical,Fixed Income,"145,153.49",0.21,"145,153.49","125,000.00",-,XS2405483301,BMGF7V2,115.69,France,-,USD,3.91,2.40,0.88,"Feb 15, 2027",2.75,4.74,-,2.35,3.87,2.35,EUR,"Nov 10, 2021","Nov 10, 2021"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"144,400.34",0.21,"144,400.34","100,000.00",-,XS2085724156,-,141.54,United States,-,USD,5.65,2.91,0.74,"Jun 05, 2028",3.69,5.58,-,2.89,5.46,2.89,GBP,"Dec 05, 2019","Dec 05, 2019"
VODAFONE GROUP PLC GBP 60NC7 RegS,Communications,Fixed Income,"144,355.52",0.21,"144,355.52","100,000.00",-,XS1888180996,BGNKT01,142.74,United Kingdom,-,USD,3.48,4.71,0.74,"Oct 03, 2078",4.88,3.1,-,3.31,3.44,3.31,GBP,"Oct 03, 2018","Oct 03, 2018"
ENCORE CAPITAL GROUP INC. RegS,Financial Other,Fixed Income,"142,917.45",0.21,"142,917.45","100,000.00",-,XS2258992317,BMCVY80,140.19,United States,-,USD,2.05,4.44,0.74,"Feb 15, 2026",5.38,3.61,-,4.07,2.61,4.07,GBP,"Nov 23, 2020","Nov 23, 2020"
GARFUNKELUX HOLDCO 3 SA RegS,Financial Other,Fixed Income,"142,308.19",0.21,"142,308.19","100,000.00",-,XS2250155467,BLN9TV4,140.59,Luxembourg,-,USD,1.31,6.61,0.74,"Nov 01, 2025",7.75,3.25,-,5.33,0.8,5.33,GBP,"Nov 04, 2020","Nov 04, 2020"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"141,795.45",0.21,"141,795.45","100,000.00",-,XS2322420352,-,138.26,United States,-,USD,7.11,3.09,0.74,"Apr 24, 2030",3.38,7.0,-,3.08,6.83,3.08,GBP,"Mar 24, 2021","Mar 24, 2021"
MARKS AND SPENCER PLC MTN RegS,Consumer Cyclical,Fixed Income,"141,335.07",0.21,"141,335.07","100,000.00",-,XS2258453369,-,138.19,United Kingdom,-,USD,3.91,3.24,0.74,"May 19, 2026",3.75,3.91,-,3.21,3.72,3.21,GBP,"Nov 19, 2020","Nov 19, 2020"
JERROLD FINCO PLC RegS,Banking,Fixed Income,"141,048.55",0.21,"141,048.55","100,000.00",-,XS2287892751,BMYC801,137.79,United Kingdom,-,USD,3.02,4.85,0.74,"Jan 15, 2027",5.25,4.29,-,4.62,2.72,4.62,GBP,"Jan 25, 2021","Jan 25, 2021"
HEATHROW FINANCE PLC RegS,Transportation,Fixed Income,"140,522.04",0.21,"140,522.04","100,000.00",-,XS1904681944,BGLT1Y8,138.17,United Kingdom,-,USD,1.91,4.28,0.74,"Mar 01, 2024",5.25,2.0,-,4.16,1.78,4.16,GBP,"Nov 07, 2018","Nov 07, 2018"
THAMES WATER UTILITIES FINANCE PLC MTN RegS,Utility Other,Fixed Income,"140,165.48",0.21,"140,165.48","100,000.00",-,XS1605393054,BD3F8Z3,137.58,United Kingdom,-,USD,4.92,2.55,0.74,"May 03, 2027",2.88,4.81,-,2.55,4.81,2.55,GBP,"May 03, 2017","May 03, 2017"
ARDAGH PACKAGING FINANCE PLC/ARDAG RegS,Capital Goods,Fixed Income,"138,300.17",0.2,"138,300.17","100,000.00",-,XS1628848241,BF347C4,135.35,United States,-,USD,3.44,4.76,0.74,"Jul 15, 2027",4.75,4.72,-,4.76,4.72,4.76,GBP,"Jun 12, 2017","Jun 12, 2017"
JAGUAR LAND ROVER AUTOMOTIVE PLC RegS,Consumer Cyclical,Fixed Income,"138,178.83",0.2,"138,178.83","100,000.00",-,XS1195502031,BW0DD03,136.44,United Kingdom,-,USD,1.13,3.21,0.74,"Mar 01, 2023",3.88,1.12,-,3.21,1.12,3.21,GBP,"Feb 24, 2015","Feb 24, 2015"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"137,627.68",0.2,"137,627.68","100,000.00",-,XS2322419776,-,135.01,United States,-,USD,3.95,2.59,0.74,"Mar 24, 2026",2.5,3.89,-,2.58,3.83,2.58,GBP,"Mar 24, 2021","Mar 24, 2021"
IRON MOUNTAIN (UK) PLC MTN RegS,Technology,Fixed Income,"136,614.40",0.2,"136,614.40","100,000.00",-,XS1713495759,BF4T8M5,135.96,United States,-,USD,1.41,3.77,0.74,"Nov 15, 2025",3.88,3.55,-,3.43,0.85,3.43,GBP,"Nov 13, 2017","Nov 13, 2017"
BCP V MODULAR SERVICES FINANCE II RegS,Industrial Other,Fixed Income,"136,477.79",0.2,"136,477.79","100,000.00",-,XS2397447538,-,134.89,United Kingdom,-,USD,4.88,6.19,0.74,"Nov 30, 2028",6.13,5.51,-,6.19,5.51,6.19,GBP,"Oct 21, 2021","Oct 21, 2021"
BELLIS ACQUISITION COMPANY PLC RegS,Consumer Non-Cyclical,Fixed Income,"136,076.14",0.2,"136,076.14","100,000.00",-,XS2404741238,-,135.14,United Kingdom,-,USD,3.25,4.56,0.74,"Feb 16, 2026",4.5,3.7,-,4.56,3.7,4.56,GBP,"Nov 05, 2021","Nov 05, 2021"
VIRGIN MEDIA SECURED FINANCE PLC RegS,Communications,Fixed Income,"135,474.87",0.2,"135,474.87","100,000.00",-,XS2010031214,BL9Z8T7,133.38,United Kingdom,-,USD,6.04,4.34,0.74,"Aug 15, 2030",4.13,7.07,-,4.34,7.07,4.34,GBP,"Jun 29, 2020","Jun 29, 2020"
HEATHROW FINANCE PLC RegS,Transportation,Fixed Income,"135,373.80",0.2,"135,373.80","100,000.00",-,XS1622694617,BDG0134,133.41,United Kingdom,-,USD,4.59,4.70,0.74,"Mar 01, 2027",4.38,4.51,-,4.70,4.51,4.70,GBP,"Jun 08, 2017","Jun 08, 2017"
VIRGIN MEDIA SECURED FINANCE PLC RegS,Communications,Fixed Income,"135,057.46",0.2,"135,057.46","100,000.00",-,XS2062666602,BKLXG54,133.86,United Kingdom,-,USD,5.46,4.43,0.74,"Jan 15, 2030",4.25,6.68,-,4.43,6.68,4.43,GBP,"Oct 15, 2019","Oct 15, 2019"
VMED O2 UK FINANCING I PLC RegS,Communications,Fixed Income,"135,003.39",0.2,"135,003.39","100,000.00",-,XS2231189924,-,132.51,United Kingdom,-,USD,4.94,4.36,0.74,"Jan 31, 2029",4.0,5.98,-,4.36,5.98,4.36,GBP,"Sep 24, 2020","Sep 24, 2020"
DEUCE FINCO PLC RegS,Consumer Cyclical,Fixed Income,"134,755.75",0.2,"134,755.75","100,000.00",-,XS2351480996,-,134.43,United Kingdom,-,USD,3.95,5.66,0.74,"Jun 15, 2027",5.5,4.64,-,5.66,4.64,5.66,GBP,"Jun 18, 2021","Jun 18, 2021"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"134,636.85",0.2,"134,636.85","125,000.00",-,XS2361255057,-,105.85,Japan,-,USD,6.55,4.47,0.88,"Jul 06, 2029",3.38,6.41,-,4.47,6.41,4.47,EUR,"Jul 06, 2021","Jul 06, 2021"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"134,346.98",0.2,"134,346.98","100,000.00",-,XS1405136364,BZBGNV3,130.16,Spain,-,USD,3.89,2.11,0.88,"May 06, 2026",5.63,3.8,-,2.11,3.8,2.11,EUR,"May 06, 2016","May 06, 2016"
DEUTSCHE BANK AG RegS,Banking,Fixed Income,"132,923.10",0.2,"132,923.10","100,000.00",-,DE000DL40SR8,BZ6VVF3,129.75,Germany,-,USD,4.01,1.18,0.88,"May 19, 2026",4.5,3.96,-,1.18,3.96,1.18,EUR,"May 19, 2016","May 19, 2016"
ATLAS LUXCO 4 SARL RegS,Consumer Cyclical,Fixed Income,"131,730.58",0.19,"131,730.58","100,000.00",-,XS2342058034,-,131.19,United States,-,USD,4.93,5.46,0.74,"Jun 01, 2028",4.88,5.4,-,5.46,5.4,5.46,GBP,"May 14, 2021","May 14, 2021"
COMMERZBANK AG MTN RegS,Banking,Fixed Income,"130,776.47",0.19,"130,776.47","100,000.00",-,DE000CZ40LW5,BDH32R3,127.34,Germany,-,USD,4.75,1.60,0.88,"Mar 30, 2027",4.0,4.66,-,1.60,4.66,1.60,EUR,"Jan 16, 2017","Jan 16, 2017"
ATLANTIA SPA MTN RegS,Transportation,Fixed Income,"129,568.49",0.19,"129,568.49","100,000.00",-,XS0542534192,B67MZY9,128.12,Italy,-,USD,3.49,0.89,0.88,"Sep 16, 2025",4.38,3.45,-,0.89,3.45,0.89,EUR,"Sep 16, 2010","Sep 16, 2010"
BELLIS FINCO PLC RegS,Consumer Non-Cyclical,Fixed Income,"129,240.25",0.19,"129,240.25","100,000.00",-,XS2303072883,-,127.89,United Kingdom,-,USD,4.33,5.25,0.74,"Feb 16, 2027",4.0,4.5,-,5.25,4.5,5.25,GBP,"Feb 24, 2021","Feb 24, 2021"
PIRAEUS GROUP FINANCE PLC MTN RegS,Banking,Fixed Income,"128,566.91",0.19,"128,566.91","100,000.00",-,XS2018638648,BJX9HZ0,122.86,Greece,-,USD,2.58,8.36,0.88,"Jun 26, 2029",9.75,2.04,-,8.36,2.17,8.36,EUR,"Jun 26, 2019","Jun 26, 2019"
LA BANQUE POSTALE MTN RegS,Owned No Guarantee,Fixed Income,"127,882.52",0.19,"127,882.52","100,000.00",-,FR0013181898,BD57HY9,125.97,France,-,USD,5.9,1.25,0.88,"Jun 09, 2028",3.0,5.82,-,1.25,5.82,1.25,EUR,"Jun 09, 2016","Jun 09, 2016"
ROLLS-ROYCE PLC RegS,Capital Goods,Fixed Income,"127,724.93",0.19,"127,724.93","100,000.00",-,XS2244322082,BMTLNW0,125.77,United Kingdom,-,USD,3.57,1.94,0.88,"Feb 16, 2026",4.63,3.73,-,1.78,3.52,1.78,EUR,"Oct 21, 2020","Oct 21, 2020"
SCHAEFFLER AG RegS,Consumer Cyclical,Fixed Income,"127,422.08",0.19,"127,422.08","100,000.00",-,DE000A3H2TA0,-,126.58,Germany,-,USD,6.03,1.60,0.88,"Oct 12, 2028",3.38,6.07,-,1.54,5.88,1.54,EUR,"Oct 12, 2020","Oct 12, 2020"
INTESA SANPAOLO SPA MTN RegS,Banking,Fixed Income,"127,402.48",0.19,"127,402.48","100,000.00",-,XS0971213201,BDRZPG9,125.15,Italy,-,USD,1.65,0.66,0.88,"Sep 13, 2023",6.63,1.63,-,0.66,1.63,0.66,EUR,"Sep 13, 2013","Sep 13, 2013"
BANCO BPM SPA MTN RegS,Banking,Fixed Income,"127,367.15",0.19,"127,367.15","109,000.00",-,XS1811053641,BZ1M838,115.48,Italy,-,USD,1.3,0.56,0.88,"Apr 24, 2023",1.75,1.29,-,0.56,1.29,0.56,EUR,"Apr 24, 2018","Apr 24, 2018"
ORANO SA MTN,Owned No Guarantee,Fixed Income,"127,306.42",0.19,"127,306.42","100,000.00",-,FR0010804500,B4K8HL1,125.8,France,-,USD,2.61,0.89,0.88,"Sep 23, 2024",4.88,2.58,-,0.89,2.58,0.89,EUR,"Sep 23, 2009","Sep 23, 2009"
MPT OPERATING PARTNERSHIP LP / MPT,Reits,Fixed Income,"125,443.97",0.18,"125,443.97","100,000.00",-,XS1523028436,BF2C5Z8,122.52,United States,-,USD,2.84,0.88,0.88,"Mar 24, 2025",3.33,3.02,-,0.69,2.81,0.69,EUR,"Mar 24, 2017","Mar 24, 2017"
TEVA PHARMACEUTICAL FINANCE NETHER,Consumer Non-Cyclical,Fixed Income,"125,092.00",0.18,"125,092.00","100,000.00",-,XS2198213956,-,122.25,Israel,-,USD,1.96,3.44,0.88,"Jan 31, 2025",6.0,2.76,-,2.30,1.93,2.30,EUR,"Jul 31, 2020","Sep 14, 2020"
BALL CORPORATION RegS,Capital Goods,Fixed Income,"124,844.13",0.18,"124,844.13","100,000.00",-,XS1330978567,BYWKWN2,122.37,United States,-,USD,1.87,0.46,0.88,"Dec 15, 2023",4.38,1.86,-,0.46,1.86,0.46,EUR,"Dec 14, 2015","Dec 14, 2015"
ABANCA CORPORACION BANCARIA SA RegS,Banking,Fixed Income,"124,772.70",0.18,"124,772.70","100,000.00",-,ES0265936015,BJRFWN7,120.91,Spain,-,USD,2.94,3.94,0.88,"Apr 07, 2030",4.63,2.89,-,2.58,2.98,2.58,EUR,"Oct 07, 2019","Oct 07, 2019"
VALEO SA MTN RegS,Consumer Cyclical,Fixed Income,"124,409.27",0.18,"124,409.27","100,000.00",-,FR0011689033,BJ05TM2,120.94,France,-,USD,1.98,0.16,0.88,"Jan 22, 2024",3.25,1.97,-,0.16,1.97,0.16,EUR,"Jan 22, 2014","Jan 22, 2014"
ORANO SA MTN RegS,Owned No Guarantee,Fixed Income,"124,368.61",0.18,"124,368.61","100,000.00",-,FR0013414919,BJHQ951,121.72,France,-,USD,3.83,1.67,0.88,"Apr 23, 2026",3.38,3.94,-,1.57,3.74,1.57,EUR,"Apr 23, 2019","Apr 23, 2019"
COMMERZBANK AG MTN RegS,Banking,Fixed Income,"124,118.83",0.18,"124,118.83","100,000.00",-,DE000CZ45V25,-,123.8,Germany,-,USD,3.92,3.06,0.88,"Dec 05, 2030",4.0,3.61,-,3.06,3.47,3.06,EUR,"Jun 05, 2020","Jun 05, 2020"
BERTELSMANN SE & CO KGAA MTN RegS,Communications,Fixed Income,"123,770.99",0.18,"123,770.99","100,000.00",-,XS1222594472,BWX61D8,121.02,Germany,-,USD,4.85,3.26,0.88,"Apr 23, 2075",3.5,4.49,-,2.20,4.79,2.20,EUR,"Apr 23, 2015","Apr 23, 2015"
ZF FINANCE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"123,602.87",0.18,"123,602.87","100,000.00",-,XS2231331260,-,122.42,Germany,-,USD,5.92,2.50,0.88,"Sep 21, 2028",3.75,5.89,-,2.45,5.71,2.45,EUR,"Sep 21, 2020","Sep 21, 2020"
CELLNEX TELECOM SA MTN RegS,Communications,Fixed Income,"123,492.80",0.18,"123,492.80","100,000.00",-,XS1551726810,BDR5967,121.19,Spain,-,USD,2.93,0.84,0.88,"Apr 18, 2025",2.88,3.11,-,0.69,2.9,0.69,EUR,"Jan 18, 2017","Jan 18, 2017"
